
       Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
   50  4500  2.50  0.50  2.00  1.25  0.00 -13.216 -14.862 -15.499 -23.168  -0.697   1.284   1.241   1.225
   51  4500  3.00  0.50  2.00  1.25  0.00 -13.334 -14.903 -15.490 -23.168  -0.706   1.204   1.191   1.175
   52  4500  3.50  0.50  2.00  1.25  0.00 -13.422 -14.932 -15.477 -23.168  -0.719   1.142   1.149   1.133
   53  4500  4.00  0.50  2.00  1.25  0.00 -13.485 -14.943 -15.455 -23.168  -0.741   1.088   1.116   1.100
   54  4500  4.50  0.50  2.00  1.25  0.00 -13.532 -14.942 -15.427 -23.168  -0.769   1.038   1.088   1.072
   55  4500  5.00  0.50  2.00  1.25  0.00 -13.569 -14.934 -15.396 -23.168  -0.800   0.991   1.066   1.050
   56  4750  0.00  0.50  2.00  1.25  0.00 -13.219 -15.187 -15.939 -23.403  -0.492   1.617   1.356   1.340
   57  4750  0.50  0.50  2.00  1.25  0.00 -13.336 -15.203 -15.925 -23.403  -0.506   1.514   1.325   1.309
   58  4750  1.00  0.50  2.00  1.25  0.00 -13.465 -15.224 -15.912 -23.403  -0.519   1.403   1.291   1.275
   59  4750  1.50  0.50  2.00  1.25  0.00 -13.616 -15.261 -15.904 -23.403  -0.526   1.285   1.247   1.231
   60  4750  2.00  0.50  2.00  1.25  0.00 -13.772 -15.311 -15.904 -23.403  -0.527   1.177   1.196   1.180
   61  4750  2.50  0.50  2.00  1.25  0.00 -13.908 -15.363 -15.906 -23.403  -0.525   1.090   1.146   1.130
   62  4750  3.00  0.50  2.00  1.25  0.00 -14.012 -15.403 -15.903 -23.403  -0.528   1.024   1.103   1.087
   63  4750  3.50  0.50  2.00  1.25  0.00 -14.075 -15.428 -15.895 -23.403  -0.536   0.984   1.070   1.054
   64  4750  4.00  0.50  2.00  1.25  0.00 -14.111 -15.441 -15.883 -23.403  -0.548   0.959   1.045   1.029
   65  4750  4.50  0.50  2.00  1.25  0.00 -14.126 -15.442 -15.866 -23.403  -0.564   0.944   1.028   1.012
