
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   42  4250  4.00  0.50  2.00  1.25  0.00 -12.433 -12.418 -14.063 -14.728 -14.998   3.097   3.090   0.770   0.324   0.908   0.900
   43  4250  4.50  0.50  2.00  1.25  0.00 -12.541 -12.526 -14.126 -14.702 -14.961   2.962   2.955   0.759   0.245   0.951   0.944
   44  4250  5.00  0.50  2.00  1.25  0.00 -12.643 -12.628 -14.175 -14.675 -14.930   2.834   2.827   0.756   0.173   0.973   0.967
   45  4500  0.00  0.50  2.00  1.25  0.00 -12.068 -12.051 -13.779 -15.100 -15.542   3.834   3.828   0.943   0.807   0.333   0.327
   46  4500  0.50  0.50  2.00  1.25  0.00 -12.189 -12.172 -13.873 -15.100 -15.525   3.713   3.708   0.925   0.731   0.399   0.394
   47  4500  1.00  0.50  2.00  1.25  0.00 -12.338 -12.322 -13.978 -15.115 -15.514   3.579   3.573   0.900   0.667   0.444   0.439
   48  4500  1.50  0.50  2.00  1.25  0.00 -12.520 -12.504 -14.105 -15.156 -15.515   3.438   3.432   0.859   0.621   0.476   0.470
   49  4500  2.00  0.50  2.00  1.25  0.00 -12.698 -12.681 -14.234 -15.214 -15.527   3.318   3.313   0.813   0.596   0.499   0.493
   50  4500  2.50  0.50  2.00  1.25  0.00 -12.851 -12.834 -14.357 -15.271 -15.540   3.222   3.216   0.769   0.573   0.535   0.530
   51  4500  3.00  0.50  2.00  1.25  0.00 -12.952 -12.936 -14.448 -15.305 -15.543   3.155   3.149   0.738   0.549   0.580   0.574
   52  4500  3.50  0.50  2.00  1.25  0.00 -13.026 -13.010 -14.521 -15.328 -15.542   3.103   3.097   0.714   0.522   0.630   0.624
   53  4500  4.00  0.50  2.00  1.25  0.00 -13.083 -13.067 -14.573 -15.331 -15.530   3.050   3.044   0.699   0.488   0.674   0.667
   54  4500  4.50  0.50  2.00  1.25  0.00 -13.134 -13.118 -14.610 -15.322 -15.511   2.990   2.984   0.689   0.451   0.707   0.701
   55  4500  5.00  0.50  2.00  1.25  0.00 -13.181 -13.165 -14.636 -15.304 -15.488   2.925   2.919   0.683   0.414   0.729   0.723
   56  4750  0.00  0.50  2.00  1.25  0.00 -13.005 -12.987 -14.482 -15.627 -15.954   3.424   3.419   0.827   0.747   0.274   0.270
   57  4750  0.50  0.50  2.00  1.25  0.00 -13.104 -13.087 -14.564 -15.627 -15.939   3.324   3.320   0.813   0.679   0.339   0.335
   58  4750  1.00  0.50  2.00  1.25  0.00 -13.220 -13.203 -14.646 -15.632 -15.927   3.213   3.209   0.796   0.619   0.381   0.377
   59  4750  1.50  0.50  2.00  1.25  0.00 -13.367 -13.349 -14.740 -15.653 -15.922   3.088   3.084   0.769   0.573   0.403   0.399
   60  4750  2.00  0.50  2.00  1.25  0.00 -13.521 -13.503 -14.840 -15.691 -15.925   2.971   2.967   0.734   0.545   0.411   0.407
   61  4750  2.50  0.50  2.00  1.25  0.00 -13.653 -13.635 -14.935 -15.735 -15.934   2.884   2.880   0.699   0.530   0.424   0.420
   62  4750  3.00  0.50  2.00  1.25  0.00 -13.747 -13.729 -15.011 -15.769 -15.940   2.825   2.821   0.670   0.517   0.449   0.444
   63  4750  3.50  0.50  2.00  1.25  0.00 -13.796 -13.778 -15.064 -15.794 -15.943   2.801   2.796   0.649   0.510   0.481   0.476
