
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta     a0      r*
    1  3500  0.00 -2.00  2.00  1.25  0.00   4.659   4.651   1.526   0.508   0.588   0.579   2.535   2.118   0.126
    2  3500  0.50 -2.00  2.00  1.25  0.00   4.537   4.529   1.396   0.583   0.577   0.569   2.510   1.966   0.156
    3  3500  1.00 -2.00  2.00  1.25  0.00   4.310   4.302   1.274   0.602   0.556   0.548   2.486   1.803   0.182
    4  3500  1.50 -2.00  2.00  1.25  0.00   3.969   3.961   1.186   0.549   0.498   0.491   2.479   1.654   0.175
    5  3500  2.00 -2.00  2.00  1.25  0.00   3.654   3.647   1.130   0.479   0.434   0.428   2.479   1.541   0.157
    6  3500  2.50 -2.00  2.00  1.25  0.00   3.460   3.454   1.094   0.445   0.380   0.374   2.476   1.471   0.143
    7  3500  3.00 -2.00  2.00  1.25  0.00   3.375   3.370   1.076   0.450   0.320   0.315   2.466   1.437   0.134
    8  3500  3.50 -2.00  2.00  1.25  0.00   3.349   3.345   1.070   0.479   0.250   0.246   2.450   1.427   0.126
    9  3500  4.00 -2.00  2.00  1.25  0.00   3.324   3.322   1.071   0.509   0.161   0.158   2.430   1.423   0.115
   10  3500  4.50 -2.00  2.00  1.25  0.00   3.253   3.251   1.077   0.523   0.050   0.049   2.405   1.417   0.102
   11  3500  5.00 -2.00  2.00  1.25  0.00   3.139   3.138   1.084   0.521  -0.073  -0.074   2.375   1.404   0.088
   12  3750  0.00 -2.00  2.00  1.25  0.00   4.220   4.213   1.329   0.462   0.636   0.629   2.562   1.842   0.130
   13  3750  0.50 -2.00  2.00  1.25  0.00   4.068   4.061   1.200   0.520   0.626   0.619   2.549   1.686   0.149
   14  3750  1.00 -2.00  2.00  1.25  0.00   3.865   3.858   1.086   0.550   0.590   0.583   2.531   1.535   0.162
   15  3750  1.50 -2.00  2.00  1.25  0.00   3.649   3.642   0.998   0.562   0.525   0.519   2.511   1.408   0.166
   16  3750  2.00 -2.00  2.00  1.25  0.00   3.435   3.430   0.946   0.541   0.460   0.454   2.495   1.318   0.163
   17  3750  2.50 -2.00  2.00  1.25  0.00   3.241   3.236   0.935   0.476   0.417   0.412   2.491   1.272   0.153
   18  3750  3.00 -2.00  2.00  1.25  0.00   3.098   3.094   0.933   0.419   0.392   0.387   2.488   1.245   0.147
   19  3750  3.50 -2.00  2.00  1.25  0.00   3.023   3.019   0.930   0.397   0.367   0.363   2.482   1.228   0.145
   20  3750  4.00 -2.00  2.00  1.25  0.00   2.985   2.982   0.931   0.397   0.326   0.323   2.470   1.222   0.143
   21  3750  4.50 -2.00  2.00  1.25  0.00   2.940   2.937   0.936   0.404   0.256   0.254   2.453   1.219   0.135
   22  3750  5.00 -2.00  2.00  1.25  0.00   2.864   2.862   0.944   0.409   0.156   0.154   2.431   1.214   0.122
   23  4000  0.00 -2.00  2.00  1.25  0.00   3.821   3.815   1.167   0.403   0.679   0.673   2.568   1.609   0.151
