
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -2.00  2.00  1.25  0.00  -8.026  -8.012 -10.277 -11.883 -12.909   4.659   4.651   1.526   0.508   0.588   0.579
    2  3500  0.50 -2.00  2.00  1.25  0.00  -8.434  -8.420 -10.619 -12.169 -13.065   4.537   4.529   1.396   0.583   0.577   0.569
    3  3500  1.00 -2.00  2.00  1.25  0.00  -8.903  -8.889 -10.964 -12.411 -13.185   4.310   4.302   1.274   0.602   0.556   0.548
    4  3500  1.50 -2.00  2.00  1.25  0.00  -9.459  -9.445 -11.321 -12.626 -13.312   3.969   3.961   1.186   0.549   0.498   0.491
    5  3500  2.00 -2.00  2.00  1.25  0.00  -9.978  -9.963 -11.650 -12.830 -13.460   3.654   3.647   1.130   0.479   0.434   0.428
    6  3500  2.50 -2.00  2.00  1.25  0.00 -10.306 -10.290 -11.854 -12.964 -13.558   3.460   3.454   1.094   0.445   0.380   0.374
    7  3500  3.00 -2.00  2.00  1.25  0.00 -10.441 -10.424 -11.917 -13.014 -13.590   3.375   3.370   1.076   0.450   0.320   0.315
    8  3500  3.50 -2.00  2.00  1.25  0.00 -10.477 -10.459 -11.905 -13.024 -13.594   3.349   3.345   1.070   0.479   0.250   0.246
    9  3500  4.00 -2.00  2.00  1.25  0.00 -10.493 -10.473 -11.863 -13.015 -13.586   3.324   3.322   1.071   0.509   0.161   0.158
   10  3500  4.50 -2.00  2.00  1.25  0.00 -10.544 -10.523 -11.823 -12.995 -13.571   3.253   3.251   1.077   0.523   0.050   0.049
   11  3500  5.00 -2.00  2.00  1.25  0.00 -10.629 -10.608 -11.789 -12.965 -13.550   3.139   3.138   1.084   0.521  -0.073  -0.074
   12  3750  0.00 -2.00  2.00  1.25  0.00  -9.499  -9.484 -11.555 -12.916 -13.745   4.220   4.213   1.329   0.462   0.636   0.629
   13  3750  0.50 -2.00  2.00  1.25  0.00  -9.912  -9.897 -11.887 -13.178 -13.878   4.068   4.061   1.200   0.520   0.626   0.619
   14  3750  1.00 -2.00  2.00  1.25  0.00 -10.322 -10.306 -12.177 -13.384 -13.970   3.865   3.858   1.086   0.550   0.590   0.583
   15  3750  1.50 -2.00  2.00  1.25  0.00 -10.687 -10.671 -12.402 -13.534 -14.032   3.649   3.642   0.998   0.562   0.525   0.519
   16  3750  2.00 -2.00  2.00  1.25  0.00 -10.998 -10.981 -12.573 -13.631 -14.077   3.435   3.430   0.946   0.541   0.460   0.454
   17  3750  2.50 -2.00  2.00  1.25  0.00 -11.255 -11.237 -12.711 -13.693 -14.128   3.241   3.236   0.935   0.476   0.417   0.412
   18  3750  3.00 -2.00  2.00  1.25  0.00 -11.452 -11.434 -12.825 -13.748 -14.181   3.098   3.094   0.933   0.419   0.392   0.387
   19  3750  3.50 -2.00  2.00  1.25  0.00 -11.559 -11.541 -12.883 -13.781 -14.211   3.023   3.019   0.930   0.397   0.367   0.363
   20  3750  4.00 -2.00  2.00  1.25  0.00 -11.606 -11.587 -12.889 -13.789 -14.220   2.985   2.982   0.931   0.397   0.326   0.323
   21  3750  4.50 -2.00  2.00  1.25  0.00 -11.643 -11.624 -12.870 -13.781 -14.218   2.940   2.937   0.936   0.404   0.256   0.254
   22  3750  5.00 -2.00  2.00  1.25  0.00 -11.702 -11.682 -12.840 -13.764 -14.208   2.864   2.862   0.944   0.409   0.156   0.154
   23  4000  0.00 -2.00  2.00  1.25  0.00 -10.725 -10.709 -12.603 -13.744 -14.412   3.821   3.815   1.167   0.403   0.679   0.673
   24  4000  0.50 -2.00  2.00  1.25  0.00 -11.133 -11.117 -12.914 -13.967 -14.519   3.636   3.630   1.052   0.430   0.670   0.664
   25  4000  1.00 -2.00  2.00  1.25  0.00 -11.535 -11.519 -13.178 -14.141 -14.593   3.408   3.403   0.952   0.440   0.622   0.616
   26  4000  1.50 -2.00  2.00  1.25  0.00 -11.884 -11.867 -13.380 -14.268 -14.641   3.187   3.182   0.873   0.445   0.549   0.544
   27  4000  2.00 -2.00  2.00  1.25  0.00 -12.142 -12.125 -13.515 -14.355 -14.671   3.014   3.010   0.817   0.452   0.475   0.471
   28  4000  2.50 -2.00  2.00  1.25  0.00 -12.301 -12.283 -13.591 -14.406 -14.691   2.907   2.903   0.786   0.458   0.418   0.414
   29  4000  3.00 -2.00  2.00  1.25  0.00 -12.387 -12.368 -13.631 -14.419 -14.707   2.834   2.831   0.788   0.429   0.398   0.395
   30  4000  3.50 -2.00  2.00  1.25  0.00 -12.453 -12.435 -13.665 -14.423 -14.725   2.771   2.768   0.802   0.384   0.396   0.393
   31  4000  4.00 -2.00  2.00  1.25  0.00 -12.515 -12.496 -13.695 -14.428 -14.740   2.715   2.712   0.812   0.350   0.389   0.386
   32  4000  4.50 -2.00  2.00  1.25  0.00 -12.564 -12.544 -13.707 -14.429 -14.749   2.667   2.664   0.820   0.331   0.364   0.362
   33  4000  5.00 -2.00  2.00  1.25  0.00 -12.610 -12.591 -13.701 -14.422 -14.750   2.614   2.612   0.828   0.322   0.312   0.310
   34  4250  0.00 -2.00  2.00  1.25  0.00 -11.878 -11.862 -13.552 -14.469 -14.978   3.393   3.387   1.009   0.337   0.700   0.694
   35  4250  0.50 -2.00  2.00  1.25  0.00 -12.235 -12.218 -13.796 -14.634 -15.053   3.201   3.195   0.920   0.346   0.666   0.661
   36  4250  1.00 -2.00  2.00  1.25  0.00 -12.585 -12.568 -14.007 -14.766 -15.107   2.983   2.978   0.840   0.348   0.605   0.600
   37  4250  1.50 -2.00  2.00  1.25  0.00 -12.886 -12.868 -14.169 -14.864 -15.142   2.781   2.776   0.777   0.347   0.531   0.526
   38  4250  2.00 -2.00  2.00  1.25  0.00 -13.112 -13.094 -14.282 -14.932 -15.163   2.622   2.618   0.731   0.348   0.462   0.458
   39  4250  2.50 -2.00  2.00  1.25  0.00 -13.255 -13.236 -14.349 -14.977 -15.177   2.524   2.521   0.700   0.356   0.409   0.406
   40  4250  3.00 -2.00  2.00  1.25  0.00 -13.320 -13.301 -14.379 -15.001 -15.186   2.483   2.480   0.685   0.367   0.378   0.376
   41  4250  3.50 -2.00  2.00  1.25  0.00 -13.329 -13.310 -14.381 -15.001 -15.192   2.474   2.471   0.691   0.358   0.374   0.371
   42  4250  4.00 -2.00  2.00  1.25  0.00 -13.336 -13.316 -14.383 -14.991 -15.197   2.457   2.454   0.706   0.331   0.381   0.379
   43  4250  4.50 -2.00  2.00  1.25  0.00 -13.361 -13.341 -14.391 -14.982 -15.202   2.423   2.421   0.720   0.300   0.380   0.378
   44  4250  5.00 -2.00  2.00  1.25  0.00 -13.398 -13.378 -14.397 -14.975 -15.206   2.379   2.377   0.731   0.276   0.364   0.361
   45  4500  0.00 -2.00  2.00  1.25  0.00 -12.997 -12.980 -14.439 -15.119 -15.472   2.924   2.919   0.853   0.256   0.704   0.699
   46  4500  0.50 -2.00  2.00  1.25  0.00 -13.279 -13.262 -14.601 -15.223 -15.513   2.746   2.741   0.791   0.260   0.643   0.638
   47  4500  1.00 -2.00  2.00  1.25  0.00 -13.549 -13.531 -14.742 -15.309 -15.544   2.562   2.558   0.735   0.261   0.567   0.563
   48  4500  1.50 -2.00  2.00  1.25  0.00 -13.781 -13.763 -14.852 -15.375 -15.565   2.395   2.391   0.691   0.261   0.490   0.486
   49  4500  2.00 -2.00  2.00  1.25  0.00 -13.958 -13.939 -14.930 -15.422 -15.579   2.266   2.262   0.657   0.264   0.422   0.419
   50  4500  2.50 -2.00  2.00  1.25  0.00 -14.070 -14.051 -14.976 -15.453 -15.588   2.185   2.182   0.635   0.271   0.372   0.369
   51  4500  3.00 -2.00  2.00  1.25  0.00 -14.126 -14.106 -14.999 -15.473 -15.594   2.149   2.146   0.621   0.281   0.342   0.340
   52  4500  3.50 -2.00  2.00  1.25  0.00 -14.135 -14.115 -15.003 -15.481 -15.598   2.149   2.147   0.617   0.290   0.332   0.330
   53  4500  4.00 -2.00  2.00  1.25  0.00 -14.117 -14.097 -14.994 -15.477 -15.601   2.162   2.160   0.624   0.288   0.337   0.335
   54  4500  4.50 -2.00  2.00  1.25  0.00 -14.105 -14.085 -14.987 -15.465 -15.602   2.162   2.160   0.637   0.270   0.346   0.344
   55  4500  5.00 -2.00  2.00  1.25  0.00 -14.112 -14.092 -14.985 -15.453 -15.604   2.143   2.141   0.650   0.247   0.347   0.345
   56  4750  0.00 -2.00  2.00  1.25  0.00 -13.924 -13.907 -15.210 -15.683 -15.896   2.560   2.556   0.714   0.188   0.755   0.751
   57  4750  0.50 -2.00  2.00  1.25  0.00 -14.167 -14.149 -15.314 -15.740 -15.912   2.376   2.372   0.672   0.184   0.662   0.658
   58  4750  1.00 -2.00  2.00  1.25  0.00 -14.386 -14.368 -15.397 -15.787 -15.923   2.203   2.199   0.636   0.183   0.563   0.560
   59  4750  1.50 -2.00  2.00  1.25  0.00 -14.570 -14.551 -15.459 -15.822 -15.930   2.055   2.051   0.608   0.184   0.469   0.465
   60  4750  2.00 -2.00  2.00  1.25  0.00 -14.706 -14.687 -15.501 -15.848 -15.935   1.944   1.941   0.587   0.189   0.390   0.387
