        Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
    50  4500  2.50 -4.00  2.00  1.25  0.00 -14.575 -15.220 -15.556 -23.168  -0.641   0.259   0.939   0.923
    51  4500  3.00 -4.00  2.00  1.25  0.00 -14.631 -15.238 -15.564 -23.168  -0.632   0.221   0.930   0.914
    52  4500  3.50 -4.00  2.00  1.25  0.00 -14.657 -15.245 -15.571 -23.168  -0.626   0.202   0.929   0.913
    53  4500  4.00 -4.00  2.00  1.25  0.00 -14.663 -15.248 -15.578 -23.168  -0.618   0.199   0.933   0.917
    54  4500  4.50 -4.00  2.00  1.25  0.00 -14.661 -15.249 -15.585 -23.168  -0.611   0.202   0.939   0.923
    55  4500  5.00 -4.00  2.00  1.25  0.00 -14.651 -15.250 -15.591 -23.168  -0.605   0.213   0.945   0.929
    56  4750  0.00 -4.00  2.00  1.25  0.00 -14.597 -15.508 -15.876 -23.403  -0.555   0.527   0.972   0.956
    57  4750  0.50 -4.00  2.00  1.25  0.00 -14.780 -15.576 -15.887 -23.403  -0.544   0.410   0.914   0.898
    58  4750  1.00 -4.00  2.00  1.25  0.00 -14.944 -15.631 -15.893 -23.403  -0.538   0.299   0.865   0.849
    59  4750  1.50 -4.00  2.00  1.25  0.00 -15.082 -15.672 -15.895 -23.403  -0.536   0.200   0.827   0.811
    60  4750  2.00 -4.00  2.00  1.25  0.00 -15.184 -15.699 -15.897 -23.403  -0.534   0.124   0.801   0.785
    61  4750  2.50 -4.00  2.00  1.25  0.00 -15.245 -15.713 -15.900 -23.403  -0.531   0.076   0.791   0.775
    62  4750  3.00 -4.00  2.00  1.25  0.00 -15.272 -15.716 -15.904 -23.403  -0.527   0.052   0.792   0.776
    63  4750  3.50 -4.00  2.00  1.25  0.00 -15.274 -15.709 -15.906 -23.403  -0.524   0.044   0.801   0.785
    64  4750  4.00 -4.00  2.00  1.25  0.00 -15.262 -15.700 -15.909 -23.403  -0.522   0.046   0.813   0.797
    65  4750  4.50 -4.00  2.00  1.25  0.00 -15.246 -15.692 -15.913 -23.403  -0.518   0.056   0.825   0.809
    66  4750  4.50 -4.00  2.00  1.25  0.00 -15.244 -15.691 -15.914 -23.403  -0.517   0.057   0.826   0.810
    67  5000  0.00 -4.00  2.00  1.25  0.00 -15.258 -16.036 -16.237 -23.626  -0.417   0.388   0.805   0.789
    68  5000  0.50 -4.00  2.00  1.25  0.00 -15.400 -16.074 -16.233 -23.626  -0.420   0.282   0.763   0.747
    69  5000  1.00 -4.00  2.00  1.25  0.00 -15.526 -16.100 -16.226 -23.626  -0.427   0.180   0.729   0.713
    70  5000  1.50 -4.00  2.00  1.25  0.00 -15.632 -16.116 -16.217 -23.626  -0.437   0.089   0.704   0.688
    71  5000  2.00 -4.00  2.00  1.25  0.00 -15.715 -16.123 -16.207 -23.626  -0.447   0.013   0.687   0.671
    72  5000  2.50 -4.00  2.00  1.25  0.00 -15.770 -16.124 -16.201 -23.626  -0.453  -0.042   0.680   0.664
    73  5000  3.00 -4.00  2.00  1.25  0.00 -15.795 -16.120 -16.199 -23.626  -0.455  -0.071   0.683   0.667
    74  5000  3.50 -4.00  2.00  1.25  0.00 -15.793 -16.111 -16.201 -23.626  -0.452  -0.078   0.694   0.678
    75  5000  4.00 -4.00  2.00  1.25  0.00 -15.775 -16.097 -16.204 -23.626  -0.450  -0.073   0.710   0.694
    76  5000  4.50 -4.00  2.00  1.25  0.00 -15.751 -16.084 -16.207 -23.626  -0.447  -0.062   0.726   0.710
    77  5000  5.00 -4.00  2.00  1.25  0.00 -15.728 -16.074 -16.211 -23.626  -0.443  -0.048   0.741   0.725
    78  5250  0.00 -4.00  2.00  1.25  0.00 -15.790 -16.487 -16.549 -23.837  -0.317   0.301   0.666   0.650
    79  5250  0.50 -4.00  2.00  1.25  0.00 -15.895 -16.499 -16.536 -23.837  -0.330   0.207   0.640   0.624
    80  5250  1.00 -4.00  2.00  1.25  0.00 -15.990 -16.504 -16.521 -23.837  -0.345   0.117   0.620   0.604
    81  5250  1.50 -4.00  2.00  1.25  0.00 -16.070 -16.501 -16.504 -23.837  -0.362   0.033   0.606   0.590
    82  5250  2.00 -4.00  2.00  1.25  0.00 -16.135 -16.492 -16.487 -23.837  -0.379  -0.042   0.598   0.582
    83  5250  2.50 -4.00  2.00  1.25  0.00 -16.183 -16.481 -16.473 -23.837  -0.393  -0.102   0.596   0.580
    84  5250  3.00 -4.00  2.00  1.25  0.00 -16.213 -16.469 -16.464 -23.837  -0.402  -0.144   0.599   0.583
    85  5250  3.50 -4.00  2.00  1.25  0.00 -16.221 -16.457 -16.462 -23.837  -0.403  -0.163   0.608   0.592
    86  5250  4.00 -4.00  2.00  1.25  0.00 -16.210 -16.445 -16.465 -23.837  -0.400  -0.164   0.624   0.608
    87  5250  4.50 -4.00  2.00  1.25  0.00 -16.189 -16.431 -16.469 -23.837  -0.396  -0.155   0.641   0.625
    88  5250  5.00 -4.00  2.00  1.25  0.00 -16.165 -16.420 -16.474 -23.837  -0.392  -0.143   0.658   0.642
    89  5500  0.00 -4.00  2.00  1.25  0.00 -16.230 -16.882 -16.826 -24.039  -0.241   0.251   0.548   0.532
    90  5500  0.50 -4.00  2.00  1.25  0.00 -16.303 -16.875 -16.808 -24.039  -0.260   0.172   0.536   0.520
    91  5500  1.00 -4.00  2.00  1.25  0.00 -16.371 -16.863 -16.787 -24.039  -0.280   0.091   0.528   0.512
