        Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    42  4250  4.00 -4.00  2.00  1.25  0.00 -13.699 -13.681 -14.514 -14.940 -15.210   2.042   2.038   0.771   0.084   0.330   0.326
    43  4250  4.50 -4.00  2.00  1.25  0.00 -13.723 -13.705 -14.529 -14.965 -15.228   2.043   2.040   0.763   0.102   0.312   0.308
    44  4250  5.00 -4.00  2.00  1.25  0.00 -13.734 -13.716 -14.545 -15.007 -15.258   2.075   2.071   0.751   0.140   0.290   0.287
    45  4500  0.00 -4.00  2.00  1.25  0.00 -13.243 -13.226 -14.559 -15.088 -15.447   2.647   2.642   0.859   0.099   0.729   0.724
    46  4500  0.50 -4.00  2.00  1.25  0.00 -13.536 -13.519 -14.705 -15.175 -15.481   2.441   2.436   0.806   0.093   0.641   0.637
    47  4500  1.00 -4.00  2.00  1.25  0.00 -13.809 -13.791 -14.832 -15.249 -15.509   2.242   2.238   0.760   0.087   0.547   0.543
    48  4500  1.50 -4.00  2.00  1.25  0.00 -14.037 -14.019 -14.934 -15.308 -15.530   2.074   2.070   0.722   0.082   0.464   0.460
    49  4500  2.00 -4.00  2.00  1.25  0.00 -14.204 -14.186 -15.006 -15.352 -15.549   1.950   1.946   0.697   0.079   0.397   0.393
    50  4500  2.50 -4.00  2.00  1.25  0.00 -14.318 -14.300 -15.051 -15.380 -15.563   1.864   1.861   0.682   0.076   0.345   0.342
    51  4500  3.00 -4.00  2.00  1.25  0.00 -14.397 -14.378 -15.076 -15.392 -15.571   1.797   1.794   0.679   0.067   0.305   0.302
    52  4500  3.50 -4.00  2.00  1.25  0.00 -14.437 -14.418 -15.086 -15.396 -15.577   1.761   1.757   0.682   0.058   0.280   0.277
    53  4500  4.00 -4.00  2.00  1.25  0.00 -14.451 -14.432 -15.087 -15.398 -15.585   1.749   1.745   0.687   0.053   0.267   0.264
    54  4500  4.50 -4.00  2.00  1.25  0.00 -14.454 -14.435 -15.086 -15.401 -15.592   1.749   1.746   0.691   0.053   0.259   0.256
    55  4500  5.00 -4.00  2.00  1.25  0.00 -14.448 -14.429 -15.084 -15.407 -15.599   1.761   1.758   0.692   0.061   0.255   0.252
    56  4750  0.00 -4.00  2.00  1.25  0.00 -14.102 -14.084 -15.305 -15.673 -15.885   2.372   2.368   0.712   0.084   0.777   0.773
    57  4750  0.50 -4.00  2.00  1.25  0.00 -14.364 -14.345 -15.405 -15.723 -15.896   2.161   2.157   0.673   0.073   0.666   0.662
    58  4750  1.00 -4.00  2.00  1.25  0.00 -14.604 -14.585 -15.486 -15.761 -15.902   1.960   1.956   0.640   0.063   0.550   0.547
    59  4750  1.50 -4.00  2.00  1.25  0.00 -14.808 -14.789 -15.547 -15.789 -15.904   1.783   1.780   0.615   0.056   0.440   0.437
    60  4750  2.00 -4.00  2.00  1.25  0.00 -14.960 -14.941 -15.588 -15.808 -15.906   1.650   1.647   0.598   0.051   0.351   0.348
    61  4750  2.50 -4.00  2.00  1.25  0.00 -15.052 -15.033 -15.609 -15.818 -15.909   1.569   1.566   0.590   0.048   0.290   0.287
    62  4750  3.00 -4.00  2.00  1.25  0.00 -15.096 -15.077 -15.613 -15.822 -15.913   1.527   1.525   0.591   0.047   0.251   0.248
