        Teff log g  [M]a Vturb  l/H   small     big    beta
     1  3500  0.00 -1.50  2.00  1.25 -12.693 -12.733   2.560
     2  3500  0.50 -1.50  2.00  1.25 -12.927 -12.964   2.556
     3  3500  1.00 -1.50  2.00  1.25 -13.114 -13.149   2.553
     4  3500  1.50 -1.50  2.00  1.25 -13.262 -13.296   2.552
     5  3500  2.00 -1.50  2.00  1.25 -13.386 -13.418   2.550
     6  3500  2.50 -1.50  2.00  1.25 -13.478 -13.507   2.545
     7  3500  3.00 -1.50  2.00  1.25 -13.532 -13.554   2.536
     8  3500  3.50 -1.50  2.00  1.25 -13.574 -13.586   2.521
     9  3500  4.00 -1.50  2.00  1.25 -13.601 -13.602   2.507
    10  3500  4.50 -1.50  2.00  1.25 -13.616 -13.606   2.491
    11  3500  5.00 -1.50  2.00  1.25 -13.621 -13.596   2.472
    12  3750  0.00 -1.50  2.00  1.25 -13.458 -13.490   2.549
    13  3750  0.50 -1.50  2.00  1.25 -13.637 -13.661   2.539
    14  3750  1.00 -1.50  2.00  1.25 -13.782 -13.799   2.530
    15  3750  1.50 -1.50  2.00  1.25 -13.899 -13.910   2.522
    16  3750  2.00 -1.50  2.00  1.25 -13.995 -14.002   2.516
    17  3750  2.50 -1.50  2.00  1.25 -14.072 -14.076   2.510
    18  3750  3.00 -1.50  2.00  1.25 -14.115 -14.116   2.507
    19  3750  3.50 -1.50  2.00  1.25 -14.126 -14.124   2.503
    20  3750  4.00 -1.50  2.00  1.25 -14.141 -14.135   2.497
    21  3750  4.50 -1.50  2.00  1.25 -14.155 -14.142   2.489
    22  3750  5.00 -1.50  2.00  1.25 -14.166 -14.145   2.477
    23  4000  0.00 -1.50  2.00  1.25 -14.143 -14.180   2.557
    24  4000  0.50 -1.50  2.00  1.25 -14.283 -14.314   2.548
    25  4000  1.00 -1.50  2.00  1.25 -14.383 -14.407   2.539
    26  4000  1.50 -1.50  2.00  1.25 -14.456 -14.473   2.529
    27  4000  2.00 -1.50  2.00  1.25 -14.515 -14.525   2.519
    28  4000  2.50 -1.50  2.00  1.25 -14.570 -14.573   2.510
    29  4000  3.00 -1.50  2.00  1.25 -14.621 -14.618   2.502
    30  4000  3.50 -1.50  2.00  1.25 -14.640 -14.634   2.497
    31  4000  4.00 -1.50  2.00  1.25 -14.635 -14.627   2.496
    32  4000  4.50 -1.50  2.00  1.25 -14.643 -14.633   2.492
    33  4000  5.00 -1.50  2.00  1.25 -14.651 -14.636   2.485
    34  4250  0.00 -1.50  2.00  1.25 -14.741 -14.780   2.560
    35  4250  0.50 -1.50  2.00  1.25 -14.852 -14.887   2.554
    36  4250  1.00 -1.50  2.00  1.25 -14.931 -14.960   2.547
    37  4250  1.50 -1.50  2.00  1.25 -14.984 -15.008   2.539
    38  4250  2.00 -1.50  2.00  1.25 -15.022 -15.041   2.532
    39  4250  2.50 -1.50  2.00  1.25 -15.051 -15.064   2.523
    40  4250  3.00 -1.50  2.00  1.25 -15.076 -15.082   2.515
    41  4250  3.50 -1.50  2.00  1.25 -15.098 -15.098   2.506
    42  4250  4.00 -1.50  2.00  1.25 -15.103 -15.099   2.500
    43  4250  4.50 -1.50  2.00  1.25 -15.097 -15.090   2.496
    44  4250  5.00 -1.50  2.00  1.25 -15.105 -15.095   2.492
    45  4500  0.00 -1.50  2.00  1.25 -15.277 -15.316   2.559
    46  4500  0.50 -1.50  2.00  1.25 -15.358 -15.393   2.554
    47  4500  1.00 -1.50  2.00  1.25 -15.415 -15.447   2.549
    48  4500  1.50 -1.50  2.00  1.25 -15.454 -15.482   2.544
    49  4500  2.00 -1.50  2.00  1.25 -15.481 -15.504   2.538
    50  4500  2.50 -1.50  2.00  1.25 -15.500 -15.519   2.532
    51  4500  3.00 -1.50  2.00  1.25 -15.516 -15.531   2.526
    52  4500  3.50 -1.50  2.00  1.25 -15.530 -15.541   2.520
    53  4500  4.00 -1.50  2.00  1.25 -15.543 -15.548   2.513
    54  4500  4.50 -1.50  2.00  1.25 -15.547 -15.547   2.507
    55  4500  5.00 -1.50  2.00  1.25 -15.540 -15.537   2.502
    56  4750  0.00 -1.50  2.00  1.25 -15.752 -15.791   2.560
    57  4750  0.50 -1.50  2.00  1.25 -15.802 -15.838   2.555
    58  4750  1.00 -1.50  2.00  1.25 -15.839 -15.872   2.551
    59  4750  1.50 -1.50  2.00  1.25 -15.864 -15.893   2.546
    60  4750  2.00 -1.50  2.00  1.25 -15.880 -15.906   2.542
    61  4750  2.50 -1.50  2.00  1.25 -15.891 -15.914   2.538
    62  4750  3.00 -1.50  2.00  1.25 -15.901 -15.921   2.533
    63  4750  3.50 -1.50  2.00  1.25 -15.910 -15.926   2.529
    64  4750  4.00 -1.50  2.00  1.25 -15.919 -15.932   2.524
    65  4750  4.50 -1.50  2.00  1.25 -15.927 -15.936   2.519
    66  4750  5.00 -1.50  2.00  1.25 -15.932 -15.937   2.513
    67  5000  0.00 -1.50  2.00  1.25 -16.170 -16.214   2.567
    68  5000  0.50 -1.50  2.00  1.25 -16.194 -16.234   2.561
    69  5000  1.00 -1.50  2.00  1.25 -16.212 -16.248   2.556
    70  5000  1.50 -1.50  2.00  1.25 -16.224 -16.257   2.551
    71  5000  2.00 -1.50  2.00  1.25 -16.230 -16.260   2.547
    72  5000  2.50 -1.50  2.00  1.25 -16.234 -16.261   2.543
    73  5000  3.00 -1.50  2.00  1.25 -16.238 -16.262   2.539
