        Teff log g [M]a  Vturb  l/H   small     big    beta
   374 19000  4.00 -1.00  2.00  0.00 -20.723 -20.825   2.658
   375 19000  4.50 -1.00  2.00  0.00 -20.677 -20.806   2.693
   376 19000  5.00 -1.00  2.00  0.00 -20.633 -20.790   2.729
   377 20000  3.00 -1.00  2.00  0.00 -20.928 -20.973   2.584
   378 20000  3.50 -1.00  2.00  0.00 -20.878 -20.947   2.616
   379 20000  4.00 -1.00  2.00  0.00 -20.829 -20.924   2.648
   380 20000  4.50 -1.00  2.00  0.00 -20.784 -20.904   2.682
   381 20000  5.00 -1.00  2.00  0.00 -20.739 -20.886   2.717
   382 21000  3.00 -1.00  2.00  0.00 -21.035 -21.074   2.576
   383 21000  3.50 -1.00  2.00  0.00 -20.981 -21.044   2.608
   384 21000  4.00 -1.00  2.00  0.00 -20.932 -21.019   2.639
   385 21000  4.50 -1.00  2.00  0.00 -20.885 -20.998   2.671
   386 21000  5.00 -1.00  2.00  0.00 -20.841 -20.979   2.705
   387 22000  3.00 -1.00  2.00  0.00 -21.138 -21.172   2.569
   388 22000  3.50 -1.00  2.00  0.00 -21.081 -21.139   2.600
   389 22000  4.00 -1.00  2.00  0.00 -21.030 -21.111   2.630
   390 22000  4.50 -1.00  2.00  0.00 -20.983 -21.088   2.662
   391 22000  5.00 -1.00  2.00  0.00 -20.939 -21.069   2.694
   392 23000  3.00 -1.00  2.00  0.00 -21.238 -21.267   2.563
   393 23000  3.50 -1.00  2.00  0.00 -21.178 -21.230   2.593
   394 23000  4.00 -1.00  2.00  0.00 -21.124 -21.199   2.623
   395 23000  4.50 -1.00  2.00  0.00 -21.077 -21.175   2.653
   396 23000  5.00 -1.00  2.00  0.00 -21.032 -21.155   2.685
   397 24000  3.00 -1.00  2.00  0.00 -21.337 -21.361   2.556
   398 24000  3.50 -1.00  2.00  0.00 -21.272 -21.319   2.587
   399 24000  4.00 -1.00  2.00  0.00 -21.216 -21.286   2.616
   400 24000  4.50 -1.00  2.00  0.00 -21.167 -21.260   2.646
   401 24000  5.00 -1.00  2.00  0.00 -21.123 -21.239   2.676
   402 25000  3.00 -1.00  2.00  0.00 -21.438 -21.457   2.550
   403 25000  3.50 -1.00  2.00  0.00 -21.364 -21.406   2.581
   404 25000  4.00 -1.00  2.00  0.00 -21.306 -21.370   2.609
   405 25000  4.50 -1.00  2.00  0.00 -21.255 -21.342   2.639
   406 25000  5.00 -1.00  2.00  0.00 -21.210 -21.320   2.669
   407 26000  3.00 -1.00  2.00  0.00 -21.544 -21.558   2.543
   408 26000  3.50 -1.00  2.00  0.00 -21.454 -21.493   2.576
   409 26000  4.00 -1.00  2.00  0.00 -21.393 -21.453   2.603
   410 26000  4.50 -1.00  2.00  0.00 -21.342 -21.423   2.632
   411 26000  5.00 -1.00  2.00  0.00 -21.296 -21.400   2.661
   412 27000  3.50 -1.00  2.00  0.00 -21.546 -21.581   2.571
   413 27000  4.00 -1.00  2.00  0.00 -21.479 -21.535   2.598
   414 27000  4.50 -1.00  2.00  0.00 -21.426 -21.503   2.625
   415 27000  5.00 -1.00  2.00  0.00 -21.380 -21.479   2.654
   416 28000  3.50 -1.00  2.00  0.00 -21.641 -21.672   2.565
   417 28000  4.00 -1.00  2.00  0.00 -21.565 -21.617   2.593
   418 28000  4.50 -1.00  2.00  0.00 -21.510 -21.582   2.620
   419 28000  5.00 -1.00  2.00  0.00 -21.463 -21.557   2.648
   420 29000  3.50 -1.00  2.00  0.00 -21.738 -21.763   2.558
   421 29000  4.00 -1.00  2.00  0.00 -21.653 -21.701   2.588
   422 29000  4.50 -1.00  2.00  0.00 -21.593 -21.661   2.614
   423 29000  5.00 -1.00  2.00  0.00 -21.546 -21.635   2.641
   424 30000  3.50 -1.00  2.00  0.00 -21.829 -21.849   2.550
   425 30000  4.00 -1.00  2.00  0.00 -21.742 -21.786   2.582
   426 30000  4.50 -1.00  2.00  0.00 -21.678 -21.742   2.608
   427 30000  5.00 -1.00  2.00  0.00 -21.629 -21.713   2.634
   428 31000  3.50 -1.00  2.00  0.00 -21.912 -21.926   2.543
   429 31000  4.00 -1.00  2.00  0.00 -21.831 -21.869   2.575
   430 31000  4.50 -1.00  2.00  0.00 -21.763 -21.822   2.602
   431 31000  5.00 -1.00  2.00  0.00 -21.712 -21.791   2.628
   432 32000  4.00 -1.00  2.00  0.00 -21.916 -21.949   2.568
   433 32000  4.50 -1.00  2.00  0.00 -21.848 -21.902   2.595
   434 32000  5.00 -1.00  2.00  0.00 -21.795 -21.869   2.621
   435 33000  4.00 -1.00  2.00  0.00 -21.993 -22.021   2.562
   436 33000  4.50 -1.00  2.00  0.00 -21.931 -21.979   2.588
   437 33000  5.00 -1.00  2.00  0.00 -21.877 -21.945   2.613
   438 34000  4.00 -1.00  2.00  0.00 -22.062 -22.085   2.556
   439 34000  4.50 -1.00  2.00  0.00 -22.008 -22.051   2.581
   440 34000  5.00 -1.00  2.00  0.00 -21.957 -22.019   2.606
   441 35000  4.00 -1.00  2.00  0.00 -22.123 -22.142   2.549
   442 35000  4.50 -1.00  2.00  0.00 -22.078 -22.116   2.575
   443 35000  5.00 -1.00  2.00  0.00 -22.031 -22.088   2.599
   444 36000  4.00 -1.00  2.00  0.00 -22.176 -22.190   2.544
   445 36000  4.50 -1.00  2.00  0.00 -22.141 -22.174   2.568
   446 36000  5.00 -1.00  2.00  0.00 -22.099 -22.150   2.592
   447 37000  4.00 -1.00  2.00  0.00 -22.220 -22.231   2.540
   448 37000  4.50 -1.00  2.00  0.00 -22.197 -22.225   2.562
   449 37000  5.00 -1.00  2.00  0.00 -22.161 -22.207   2.585
   450 38000  4.00 -1.00  2.00  0.00 -22.259 -22.268   2.537
   451 38000  4.50 -1.00  2.00  0.00 -22.245 -22.269   2.557
   452 38000  5.00 -1.00  2.00  0.00 -22.217 -22.258   2.578
   453 39000  4.00 -1.00  2.00  0.00 -22.294 -22.301   2.535
   454 39000  4.50 -1.00  2.00  0.00 -22.286 -22.308   2.553
   455 39000  5.00 -1.00  2.00  0.00 -22.266 -22.302   2.572
   456 40000  4.50 -1.00  2.00  0.00 -22.323 -22.342   2.550
   457 40000  5.00 -1.00  2.00  0.00 -22.309 -22.341   2.567
   458 41000  4.50 -1.00  2.00  0.00 -22.356 -22.373   2.547
   459 41000  5.00 -1.00  2.00  0.00 -22.346 -22.375   2.563
   460 42000  4.50 -1.00  2.00  0.00 -22.387 -22.402   2.545
   461 42000  5.00 -1.00  2.00  0.00 -22.379 -22.406   2.560
   462 43000  4.50 -1.00  2.00  0.00 -22.416 -22.430   2.544
   463 43000  5.00 -1.00  2.00  0.00 -22.409 -22.434   2.558
   464 44000  4.50 -1.00  2.00  0.00 -22.444 -22.457   2.543
   465 44000  5.00 -1.00  2.00  0.00 -22.437 -22.461   2.556
   466 45000  5.00 -1.00  2.00  0.00 -22.464 -22.486   2.554
   467 45000  5.00 -1.00  2.00  0.00 -22.464 -22.486   2.554
   468 46000  4.50 -1.00  2.00  0.00 -22.498 -22.509   2.540
   469 46000  5.00 -1.00  2.00  0.00 -22.490 -22.511   2.553
   470 47000  4.50 -1.00  2.00  0.00 -22.524 -22.535   2.539
   471 47000  5.00 -1.00  2.00  0.00 -22.515 -22.535   2.551
   472 48000  4.50 -1.00  2.00  0.00 -22.549 -22.559   2.538
   473 48000  5.00 -1.00  2.00  0.00 -22.540 -22.559   2.550
   474 49000  4.50 -1.00  2.00  0.00 -22.574 -22.583   2.537
   475 49000  5.00 -1.00  2.00  0.00 -22.564 -22.582   2.549
   476 50000  5.00 -1.00  2.00  0.00 -22.588 -22.605   2.548
