        Teff log g  [M]  Vturb  l/H   small     big    beta
     1  3500  0.00  0.00  0.00  1.25 -12.511 -12.636   2.678
     2  3500  0.50  0.00  0.00  1.25 -12.493 -12.639   2.705
     3  3500  1.00  0.00  0.00  1.25 -12.475 -12.638   2.729
     4  3500  1.50  0.00  0.00  1.25 -12.471 -12.649   2.749
     5  3500  2.00  0.00  0.00  1.25 -12.489 -12.677   2.762
     6  3500  2.50  0.00  0.00  1.25 -12.536 -12.728   2.769
     7  3500  3.00  0.00  0.00  1.25 -12.616 -12.807   2.768
     8  3500  3.50  0.00  0.00  1.25 -12.732 -12.914   2.754
     9  3500  4.00  0.00  0.00  1.25 -12.885 -13.043   2.723
    10  3500  4.50  0.00  0.00  1.25 -13.024 -13.154   2.683
    11  3500  5.00  0.00  0.00  1.25 -13.125 -13.226   2.644
    12  3750  0.00  0.00  0.00  1.25 -13.718 -13.754   2.555
    13  3750  0.50  0.00  0.00  1.25 -13.740 -13.778   2.558
    14  3750  1.00  0.00  0.00  1.25 -13.736 -13.778   2.564
    15  3750  1.50  0.00  0.00  1.25 -13.715 -13.765   2.574
    16  3750  2.00  0.00  0.00  1.25 -13.688 -13.746   2.586
    17  3750  2.50  0.00  0.00  1.25 -13.661 -13.728   2.598
    18  3750  3.00  0.00  0.00  1.25 -13.648 -13.723   2.608
    19  3750  3.50  0.00  0.00  1.25 -13.654 -13.732   2.613
    20  3750  4.00  0.00  0.00  1.25 -13.689 -13.763   2.607
    21  3750  4.50  0.00  0.00  1.25 -13.752 -13.812   2.589
    22  3750  5.00  0.00  0.00  1.25 -13.824 -13.868   2.567
    23  4000  0.00  0.00  0.00  1.25 -14.457 -14.489   2.550
    24  4000  0.50  0.00  0.00  1.25 -14.499 -14.526   2.544
    25  4000  1.00  0.00  0.00  1.25 -14.522 -14.545   2.538
    26  4000  1.50  0.00  0.00  1.25 -14.530 -14.549   2.532
    27  4000  2.00  0.00  0.00  1.25 -14.526 -14.541   2.527
    28  4000  2.50  0.00  0.00  1.25 -14.509 -14.523   2.524
    29  4000  3.00  0.00  0.00  1.25 -14.488 -14.501   2.524
    30  4000  3.50  0.00  0.00  1.25 -14.468 -14.482   2.524
    31  4000  4.00  0.00  0.00  1.25 -14.454 -14.467   2.524
    32  4000  4.50  0.00  0.00  1.25 -14.455 -14.463   2.517
    33  4000  5.00  0.00  0.00  1.25 -14.473 -14.475   2.509
    34  4250  0.00  0.00  0.00  1.25 -15.017 -15.055   2.558
    35  4250  0.50  0.00  0.00  1.25 -15.056 -15.091   2.553
    36  4250  1.00  0.00  0.00  1.25 -15.081 -15.111   2.548
    37  4250  1.50  0.00  0.00  1.25 -15.094 -15.120   2.541
    38  4250  2.00  0.00  0.00  1.25 -15.098 -15.118   2.534
    39  4250  2.50  0.00  0.00  1.25 -15.097 -15.111   2.525
    40  4250  3.00  0.00  0.00  1.25 -15.090 -15.097   2.516
    41  4250  3.50  0.00  0.00  1.25 -15.083 -15.084   2.508
    42  4250  4.00  0.00  0.00  1.25 -15.075 -15.070   2.500
    43  4250  4.50  0.00  0.00  1.25 -15.060 -15.050   2.492
    44  4250  5.00  0.00  0.00  1.25 -15.046 -15.030   2.484
    45  4500  0.00  0.00  0.00  1.25 -15.491 -15.533   2.563
    46  4500  0.50  0.00  0.00  1.25 -15.525 -15.565   2.561
    47  4500  1.00  0.00  0.00  1.25 -15.547 -15.584   2.557
    48  4500  1.50  0.00  0.00  1.25 -15.559 -15.593   2.552
    49  4500  2.00  0.00  0.00  1.25 -15.564 -15.594   2.547
    50  4500  2.50  0.00  0.00  1.25 -15.565 -15.589   2.539
    51  4500  3.00  0.00  0.00  1.25 -15.562 -15.580   2.531
    52  4500  3.50  0.00  0.00  1.25 -15.560 -15.571   2.521
    53  4500  4.00  0.00  0.00  1.25 -15.561 -15.565   2.511
    54  4500  4.50  0.00  0.00  1.25 -15.561 -15.557   2.501
    55  4500  5.00  0.00  0.00  1.25 -15.555 -15.543   2.489
    56  4750  0.00  0.00  0.00  1.25 -15.899 -15.945   2.569
    57  4750  0.50  0.00  0.00  1.25 -15.927 -15.972   2.567
    58  4750  1.00  0.00  0.00  1.25 -15.945 -15.988   2.565
    59  4750  1.50  0.00  0.00  1.25 -15.955 -15.996   2.561
    60  4750  2.00  0.00  0.00  1.25 -15.960 -15.998   2.557
    61  4750  2.50  0.00  0.00  1.25 -15.961 -15.994   2.551
    62  4750  3.00  0.00  0.00  1.25 -15.960 -15.988   2.545
    63  4750  3.50  0.00  0.00  1.25 -15.957 -15.980   2.537
    64  4750  4.00  0.00  0.00  1.25 -15.958 -15.974   2.528
    65  4750  4.50  0.00  0.00  1.25 -15.961 -15.971   2.519
    66  4750  5.00  0.00  0.00  1.25 -15.965 -15.966   2.508
    67  5000  0.00  0.00  0.00  1.25 -16.261 -16.313   2.577
    68  5000  0.50  0.00  0.00  1.25 -16.280 -16.330   2.575
    69  5000  1.00  0.00  0.00  1.25 -16.292 -16.340   2.573
    70  5000  1.50  0.00  0.00  1.25 -16.298 -16.345   2.570
    71  5000  2.00  0.00  0.00  1.25 -16.301 -16.345   2.566
    72  5000  2.50  0.00  0.00  1.25 -16.301 -16.342   2.562
    73  5000  3.00  0.00  0.00  1.25 -16.300 -16.337   2.557
    74  5000  3.50  0.00  0.00  1.25 -16.299 -16.331   2.551
    75  5000  4.00  0.00  0.00  1.25 -16.299 -16.326   2.544
