        Teff log g  [M]a Vturb  l/H   small     big    beta
   383 21000  3.50  0.00  2.00  0.00 -21.079 -21.138   2.603
   384 21000  4.00  0.00  2.00  0.00 -21.026 -21.109   2.634
   385 21000  4.50  0.00  2.00  0.00 -20.977 -21.085   2.665
   386 21000  5.00  0.00  2.00  0.00 -20.925 -21.057   2.697
   387 22000  3.00  0.00  2.00  0.00 -21.243 -21.272   2.563
   388 22000  3.50  0.00  2.00  0.00 -21.181 -21.235   2.595
   389 22000  4.00  0.00  2.00  0.00 -21.125 -21.202   2.626
   390 22000  4.50  0.00  2.00  0.00 -21.076 -21.177   2.657
   391 22000  5.00  0.00  2.00  0.00 -21.023 -21.148   2.688
   392 23000  3.00  0.00  2.00  0.00 -21.341 -21.365   2.557
   393 23000  3.50  0.00  2.00  0.00 -21.280 -21.328   2.588
   394 23000  4.00  0.00  2.00  0.00 -21.221 -21.292   2.618
   395 23000  4.50  0.00  2.00  0.00 -21.170 -21.265   2.648
   396 23000  5.00  0.00  2.00  0.00 -21.119 -21.237   2.679
   397 24000  3.00  0.00  2.00  0.00 -21.435 -21.455   2.551
   398 24000  3.50  0.00  2.00  0.00 -21.373 -21.416   2.582
   399 24000  4.00  0.00  2.00  0.00 -21.314 -21.379   2.611
   400 24000  4.50  0.00  2.00  0.00 -21.262 -21.350   2.640
   401 24000  5.00  0.00  2.00  0.00 -21.212 -21.323   2.671
   402 25000  3.00  0.00  2.00  0.00 -21.529 -21.545   2.545
   403 25000  3.50  0.00  2.00  0.00 -21.462 -21.502   2.577
   404 25000  4.00  0.00  2.00  0.00 -21.402 -21.463   2.604
   405 25000  4.50  0.00  2.00  0.00 -21.349 -21.432   2.633
   406 25000  5.00  0.00  2.00  0.00 -21.301 -21.406   2.662
   407 26000  3.00  0.00  2.00  0.00 -21.623 -21.633   2.538
   408 26000  3.50  0.00  2.00  0.00 -21.549 -21.585   2.572
   409 26000  4.00  0.00  2.00  0.00 -21.487 -21.544   2.599
   410 26000  4.50  0.00  2.00  0.00 -21.434 -21.511   2.626
   411 26000  5.00  0.00  2.00  0.00 -21.386 -21.485   2.654
   412 27000  3.50  0.00  2.00  0.00 -21.637 -21.670   2.568
   413 27000  4.00  0.00  2.00  0.00 -21.570 -21.623   2.594
   414 27000  4.50  0.00  2.00  0.00 -21.516 -21.589   2.620
   415 27000  5.00  0.00  2.00  0.00 -21.468 -21.562   2.648
   416 28000  3.50  0.00  2.00  0.00 -21.726 -21.754   2.562
   417 28000  4.00  0.00  2.00  0.00 -21.653 -21.703   2.590
   418 28000  4.50  0.00  2.00  0.00 -21.596 -21.665   2.615
   419 28000  5.00  0.00  2.00  0.00 -21.547 -21.637   2.642
   420 29000  3.50  0.00  2.00  0.00 -21.813 -21.836   2.556
   421 29000  4.00  0.00  2.00  0.00 -21.736 -21.783   2.586
   422 29000  4.50  0.00  2.00  0.00 -21.676 -21.741   2.611
   423 29000  5.00  0.00  2.00  0.00 -21.626 -21.711   2.636
   424 30000  3.50  0.00  2.00  0.00 -21.894 -21.912   2.549
   425 30000  4.00  0.00  2.00  0.00 -21.820 -21.862   2.580
   426 30000  4.50  0.00  2.00  0.00 -21.756 -21.818   2.606
   427 30000  5.00  0.00  2.00  0.00 -21.704 -21.785   2.631
   428 31000  3.50  0.00  2.00  0.00 -21.965 -21.978   2.542
   429 31000  4.00  0.00  2.00  0.00 -21.901 -21.939   2.574
   430 31000  4.50  0.00  2.00  0.00 -21.836 -21.894   2.601
   431 31000  5.00  0.00  2.00  0.00 -21.782 -21.860   2.626
   432 32000  4.00  0.00  2.00  0.00 -21.978 -22.011   2.568
   433 32000  4.50  0.00  2.00  0.00 -21.915 -21.968   2.595
   434 32000  5.00  0.00  2.00  0.00 -21.860 -21.933   2.620
   435 33000  4.00  0.00  2.00  0.00 -22.047 -22.075   2.562
   436 33000  4.50  0.00  2.00  0.00 -21.990 -22.039   2.588
   437 33000  5.00  0.00  2.00  0.00 -21.937 -22.004   2.614
   438 34000  4.00  0.00  2.00  0.00 -22.108 -22.132   2.556
   439 34000  4.50  0.00  2.00  0.00 -22.060 -22.104   2.582
   440 34000  5.00  0.00  2.00  0.00 -22.009 -22.072   2.607
   441 35000  4.00  0.00  2.00  0.00 -22.163 -22.182   2.551
   442 35000  4.50  0.00  2.00  0.00 -22.123 -22.162   2.576
   443 35000  5.00  0.00  2.00  0.00 -22.077 -22.135   2.600
   444 36000  4.00  0.00  2.00  0.00 -22.210 -22.227   2.547
   445 36000  4.50  0.00  2.00  0.00 -22.180 -22.215   2.570
   446 36000  5.00  0.00  2.00  0.00 -22.140 -22.192   2.594
   447 37000  4.00  0.00  2.00  0.00 -22.252 -22.266   2.543
   448 37000  4.50  0.00  2.00  0.00 -22.231 -22.262   2.565
   449 37000  5.00  0.00  2.00  0.00 -22.197 -22.245   2.587
   450 38000  4.00  0.00  2.00  0.00 -22.290 -22.302   2.541
   451 38000  4.50  0.00  2.00  0.00 -22.276 -22.303   2.561
   452 38000  5.00  0.00  2.00  0.00 -22.248 -22.292   2.581
   453 39000  4.00  0.00  2.00  0.00 -22.326 -22.337   2.538
   454 39000  4.50  0.00  2.00  0.00 -22.316 -22.341   2.557
   455 39000  5.00  0.00  2.00  0.00 -22.294 -22.333   2.576
   456 40000  4.50  0.00  2.00  0.00 -22.352 -22.375   2.555
   457 40000  5.00  0.00  2.00  0.00 -22.334 -22.371   2.572
   458 41000  4.50  0.00  2.00  0.00 -22.387 -22.408   2.553
   459 41000  5.00  0.00  2.00  0.00 -22.371 -22.405   2.569
   460 42000  4.50  0.00  2.00  0.00 -22.419 -22.439   2.551
   461 42000  5.00  0.00  2.00  0.00 -22.405 -22.437   2.566
   462 43000  4.50  0.00  2.00  0.00 -22.451 -22.470   2.549
   463 43000  5.00  0.00  2.00  0.00 -22.437 -22.468   2.564
   464 44000  4.50  0.00  2.00  0.00 -22.482 -22.499   2.547
   465 44000  5.00  0.00  2.00  0.00 -22.468 -22.497   2.562
   466 45000  5.00  0.00  2.00  0.00 -22.498 -22.525   2.560
   467 45000  5.00  0.00  2.00  0.00 -22.498 -22.525   2.560
   468 46000  4.50  0.00  2.00  0.00 -22.541 -22.556   2.544
   469 46000  5.00  0.00  2.00  0.00 -22.527 -22.553   2.559
   470 47000  4.50  0.00  2.00  0.00 -22.569 -22.583   2.543
   471 47000  5.00  0.00  2.00  0.00 -22.555 -22.580   2.557
   472 48000  4.50  0.00  2.00  0.00 -22.597 -22.609   2.541
   473 48000  5.00  0.00  2.00  0.00 -22.582 -22.606   2.555
   474 49000  4.50  0.00  2.00  0.00 -22.623 -22.635   2.540
   475 49000  5.00  0.00  2.00  0.00 -22.609 -22.631   2.554
   476 50000  5.00  0.00  2.00  0.00 -22.634 -22.655   2.553
