        Teff log g  [M]a Vturb  l/H   small     big    beta
    89  5500  0.00  0.00  2.00  1.25 -16.881 -16.963   2.618
    90  5500  0.50  0.00  2.00  1.25 -16.873 -16.953   2.616
    91  5500  1.00  0.00  2.00  1.25 -16.866 -16.944   2.613
    92  5500  1.50  0.00  2.00  1.25 -16.859 -16.934   2.609
    93  5500  2.00  0.00  2.00  1.25 -16.853 -16.925   2.604
    94  5500  2.50  0.00  2.00  1.25 -16.847 -16.915   2.599
    95  5500  3.00  0.00  2.00  1.25 -16.842 -16.905   2.593
    96  5500  3.50  0.00  2.00  1.25 -16.838 -16.897   2.586
    97  5500  4.00  0.00  2.00  1.25 -16.837 -16.891   2.580
    98  5500  4.50  0.00  2.00  1.25 -16.840 -16.889   2.573
    99  5500  5.00  0.00  2.00  1.25 -16.846 -16.888   2.564
   100  5750  0.00  0.00  2.00  1.25 -17.167 -17.260   2.633
   101  5750  0.50  0.00  2.00  1.25 -17.150 -17.242   2.632
   102  5750  1.00  0.00  2.00  1.25 -17.135 -17.225   2.630
   103  5750  1.50  0.00  2.00  1.25 -17.122 -17.210   2.626
   104  5750  2.00  0.00  2.00  1.25 -17.111 -17.195   2.621
   105  5750  2.50  0.00  2.00  1.25 -17.101 -17.182   2.616
   106  5750  3.00  0.00  2.00  1.25 -17.093 -17.169   2.611
   107  5750  3.50  0.00  2.00  1.25 -17.087 -17.158   2.604
   108  5750  4.00  0.00  2.00  1.25 -17.084 -17.151   2.598
   109  5750  4.50  0.00  2.00  1.25 -17.084 -17.147   2.592
   110  5750  5.00  0.00  2.00  1.25 -17.088 -17.146   2.585
   111  6000  0.00  0.00  2.00  1.25 -17.425 -17.530   2.650
   112  6000  0.50  0.00  2.00  1.25 -17.402 -17.507   2.650
   113  6000  1.00  0.00  2.00  1.25 -17.381 -17.486   2.649
   114  6000  1.50  0.00  2.00  1.25 -17.363 -17.466   2.647
   115  6000  2.00  0.00  2.00  1.25 -17.346 -17.446   2.643
   116  6000  2.50  0.00  2.00  1.25 -17.333 -17.429   2.638
   117  6000  3.00  0.00  2.00  1.25 -17.321 -17.413   2.632
   118  6000  3.50  0.00  2.00  1.25 -17.312 -17.399   2.625
   119  6000  4.00  0.00  2.00  1.25 -17.306 -17.389   2.619
   120  6000  4.50  0.00  2.00  1.25 -17.304 -17.382   2.613
   121  6000  5.00  0.00  2.00  1.25 -17.306 -17.379   2.607
   122  6250  0.50  0.00  2.00  1.25 -17.630 -17.751   2.671
