        Teff log g  [M]a Vturb  l/H   small     big    beta
     1  3500  0.00 -0.50  2.00  1.25 -12.349 -12.496   2.707
     2  3500  0.50 -0.50  2.00  1.25 -12.342 -12.512   2.740
     3  3500  1.00 -0.50  2.00  1.25 -12.333 -12.525   2.769
     4  3500  1.50 -0.50  2.00  1.25 -12.338 -12.548   2.792
     5  3500  2.00 -0.50  2.00  1.25 -12.367 -12.588   2.808
     6  3500  2.50 -0.50  2.00  1.25 -12.427 -12.654   2.816
     7  3500  3.00 -0.50  2.00  1.25 -12.524 -12.750   2.814
     8  3500  3.50 -0.50  2.00  1.25 -12.678 -12.886   2.791
     9  3500  4.00 -0.50  2.00  1.25 -12.865 -13.044   2.750
    10  3500  4.50 -0.50  2.00  1.25 -13.036 -13.179   2.702
    11  3500  5.00 -0.50  2.00  1.25 -13.155 -13.265   2.656
    12  3750  0.00 -0.50  2.00  1.25 -13.579 -13.626   2.571
    13  3750  0.50 -0.50  2.00  1.25 -13.627 -13.674   2.571
    14  3750  1.00 -0.50  2.00  1.25 -13.644 -13.695   2.576
    15  3750  1.50 -0.50  2.00  1.25 -13.642 -13.699   2.585
    16  3750  2.00 -0.50  2.00  1.25 -13.630 -13.696   2.596
    17  3750  2.50 -0.50  2.00  1.25 -13.621 -13.696   2.609
    18  3750  3.00 -0.50  2.00  1.25 -13.618 -13.701   2.619
    19  3750  3.50 -0.50  2.00  1.25 -13.635 -13.722   2.625
    20  3750  4.00 -0.50  2.00  1.25 -13.685 -13.766   2.617
    21  3750  4.50 -0.50  2.00  1.25 -13.766 -13.833   2.599
    22  3750  5.00 -0.50  2.00  1.25 -13.853 -13.904   2.575
    23  4000  0.00 -0.50  2.00  1.25 -14.314 -14.357   2.566
    24  4000  0.50 -0.50  2.00  1.25 -14.381 -14.418   2.558
    25  4000  1.00 -0.50  2.00  1.25 -14.425 -14.457   2.549
    26  4000  1.50 -0.50  2.00  1.25 -14.452 -14.478   2.541
    27  4000  2.00 -0.50  2.00  1.25 -14.465 -14.486   2.535
    28  4000  2.50 -0.50  2.00  1.25 -14.466 -14.484   2.530
    29  4000  3.00 -0.50  2.00  1.25 -14.461 -14.477   2.529
    30  4000  3.50 -0.50  2.00  1.25 -14.453 -14.470   2.529
    31  4000  4.00 -0.50  2.00  1.25 -14.450 -14.467   2.529
    32  4000  4.50 -0.50  2.00  1.25 -14.462 -14.474   2.523
    33  4000  5.00 -0.50  2.00  1.25 -14.489 -14.496   2.516
    34  4250  0.00 -0.50  2.00  1.25 -14.884 -14.933   2.572
    35  4250  0.50 -0.50  2.00  1.25 -14.943 -14.986   2.566
    36  4250  1.00 -0.50  2.00  1.25 -14.984 -15.022   2.558
    37  4250  1.50 -0.50  2.00  1.25 -15.013 -15.045   2.550
    38  4250  2.00 -0.50  2.00  1.25 -15.033 -15.058   2.540
    39  4250  2.50 -0.50  2.00  1.25 -15.045 -15.063   2.530
    40  4250  3.00 -0.50  2.00  1.25 -15.054 -15.064   2.520
    41  4250  3.50 -0.50  2.00  1.25 -15.059 -15.062   2.510
    42  4250  4.00 -0.50  2.00  1.25 -15.061 -15.057   2.501
    43  4250  4.50 -0.50  2.00  1.25 -15.057 -15.048   2.494
    44  4250  5.00 -0.50  2.00  1.25 -15.053 -15.039   2.487
    45  4500  0.00 -0.50  2.00  1.25 -15.382 -15.433   2.577
    46  4500  0.50 -0.50  2.00  1.25 -15.429 -15.477   2.572
    47  4500  1.00 -0.50  2.00  1.25 -15.461 -15.506   2.566
    48  4500  1.50 -0.50  2.00  1.25 -15.485 -15.524   2.560
    49  4500  2.00 -0.50  2.00  1.25 -15.501 -15.534   2.552
    50  4500  2.50 -0.50  2.00  1.25 -15.512 -15.540   2.543
    51  4500  3.00 -0.50  2.00  1.25 -15.521 -15.541   2.534
    52  4500  3.50 -0.50  2.00  1.25 -15.531 -15.543   2.524
    53  4500  4.00 -0.50  2.00  1.25 -15.541 -15.545   2.513
    54  4500  4.50 -0.50  2.00  1.25 -15.550 -15.547   2.501
    55  4500  5.00 -0.50  2.00  1.25 -15.553 -15.541   2.489
    56  4750  0.00 -0.50  2.00  1.25 -15.819 -15.874   2.581
    57  4750  0.50 -0.50  2.00  1.25 -15.854 -15.906   2.577
    58  4750  1.00 -0.50  2.00  1.25 -15.878 -15.926   2.572
