        Teff log g  [M]  Vturb  l/H   small     big    beta
    89  5500  0.00  0.50  2.00  1.25 -16.880 -16.971   2.630
    90  5500  0.50  0.50  2.00  1.25 -16.868 -16.958   2.630
    91  5500  1.00  0.50  2.00  1.25 -16.858 -16.948   2.629
    92  5500  1.50  0.50  2.00  1.25 -16.851 -16.939   2.626
    93  5500  2.00  0.50  2.00  1.25 -16.844 -16.929   2.622
    94  5500  2.50  0.50  2.00  1.25 -16.836 -16.916   2.616
    95  5500  3.00  0.50  2.00  1.25 -16.828 -16.904   2.611
    96  5500  3.50  0.50  2.00  1.25 -16.824 -16.896   2.604
    97  5500  4.00  0.50  2.00  1.25 -16.825 -16.892   2.597
    98  5500  4.50  0.50  2.00  1.25 -16.830 -16.890   2.587
    99  5500  5.00  0.50  2.00  1.25 -16.837 -16.889   2.576
   100  5750  0.00  0.50  2.00  1.25 -17.172 -17.272   2.643
   101  5750  0.50  0.50  2.00  1.25 -17.150 -17.251   2.644
   102  5750  1.00  0.50  2.00  1.25 -17.133 -17.234   2.644
   103  5750  1.50  0.50  2.00  1.25 -17.118 -17.218   2.643
   104  5750  2.00  0.50  2.00  1.25 -17.106 -17.204   2.640
   105  5750  2.50  0.50  2.00  1.25 -17.095 -17.189   2.635
   106  5750  3.00  0.50  2.00  1.25 -17.085 -17.175   2.629
   107  5750  3.50  0.50  2.00  1.25 -17.079 -17.165   2.624
   108  5750  4.00  0.50  2.00  1.25 -17.077 -17.158   2.617
   109  5750  4.50  0.50  2.00  1.25 -17.080 -17.155   2.610
   110  5750  5.00  0.50  2.00  1.25 -17.085 -17.155   2.601
   111  6000  0.00  0.50  2.00  1.25 -17.438 -17.548   2.657
   112  6000  0.50  0.50  2.00  1.25 -17.409 -17.522   2.661
   113  6000  1.00  0.50  2.00  1.25 -17.386 -17.500   2.662
   114  6000  1.50  0.50  2.00  1.25 -17.365 -17.479   2.662
   115  6000  2.00  0.50  2.00  1.25 -17.347 -17.460   2.660
   116  6000  2.50  0.50  2.00  1.25 -17.332 -17.442   2.656
   117  6000  3.00  0.50  2.00  1.25 -17.320 -17.426   2.651
   118  6000  3.50  0.50  2.00  1.25 -17.311 -17.413   2.645
   119  6000  4.00  0.50  2.00  1.25 -17.306 -17.403   2.639
   120  6000  4.50  0.50  2.00  1.25 -17.305 -17.398   2.632
   121  6000  5.00  0.50  2.00  1.25 -17.308 -17.395   2.625
   122  6250  0.50  0.50  2.00  1.25 -17.645 -17.771   2.679
   123  6250  1.00  0.50  2.00  1.25 -17.617 -17.746   2.683
   124  6250  1.50  0.50  2.00  1.25 -17.592 -17.722   2.684
   125  6250  2.00  0.50  2.00  1.25 -17.570 -17.699   2.683
   126  6250  2.50  0.50  2.00  1.25 -17.551 -17.678   2.680
   127  6250  3.00  0.50  2.00  1.25 -17.535 -17.659   2.676
   128  6250  3.50  0.50  2.00  1.25 -17.523 -17.643   2.670
   129  6250  4.00  0.50  2.00  1.25 -17.514 -17.630   2.664
   130  6250  4.50  0.50  2.00  1.25 -17.510 -17.621   2.657
   131  6250  5.00  0.50  2.00  1.25 -17.510 -17.615   2.650
   132  6500  0.50  0.50  2.00  1.25 -17.864 -18.000   2.691
   133  6500  1.00  0.50  2.00  1.25 -17.828 -17.973   2.704
   134  6500  1.50  0.50  2.00  1.25 -17.800 -17.947   2.707
   135  6500  2.00  0.50  2.00  1.25 -17.775 -17.922   2.708
   136  6500  2.50  0.50  2.00  1.25 -17.752 -17.898   2.706
   137  6500  3.00  0.50  2.00  1.25 -17.732 -17.876   2.703
   138  6500  3.50  0.50  2.00  1.25 -17.716 -17.856   2.698
   139  6500  4.00  0.50  2.00  1.25 -17.705 -17.840   2.691
   140  6500  4.50  0.50  2.00  1.25 -17.697 -17.827   2.685
   141  6500  5.00  0.50  2.00  1.25 -17.693 -17.819   2.677
   142  6750  0.50  0.50  2.00  1.25 -18.068 -18.207   2.697
   143  6750  1.00  0.50  2.00  1.25 -18.026 -18.182   2.720
   144  6750  1.50  0.50  2.00  1.25 -17.990 -18.156   2.732
   145  6750  2.00  0.50  2.00  1.25 -17.963 -18.130   2.734
   146  6750  2.50  0.50  2.00  1.25 -17.937 -18.104   2.734
   147  6750  3.00  0.50  2.00  1.25 -17.914 -18.079   2.732
   148  6750  3.50  0.50  2.00  1.25 -17.894 -18.056   2.727
   149  6750  4.00  0.50  2.00  1.25 -17.879 -18.036   2.721
   150  6750  4.50  0.50  2.00  1.25 -17.867 -18.019   2.714
   151  6750  5.00  0.50  2.00  1.25 -17.860 -18.007   2.707
   152  7000  0.50  0.50  2.00  1.25 -18.259 -18.395   2.692
   153  7000  1.00  0.50  2.00  1.25 -18.212 -18.374   2.728
   154  7000  1.50  0.50  2.00  1.25 -18.170 -18.349   2.751
   155  7000  2.00  0.50  2.00  1.25 -18.134 -18.322   2.763
