        Teff log g  [M]  Vturb  l/H   small     big    beta
     1  3500  0.00  0.20  2.00  1.25 -12.251 -12.437   2.761
     2  3500  0.50  0.20  2.00  1.25 -12.167 -12.379   2.795
     3  3500  1.00  0.20  2.00  1.25 -12.087 -12.320   2.825
     4  3500  1.50  0.20  2.00  1.25 -12.030 -12.280   2.848
     5  3500  2.00  0.20  2.00  1.25 -12.009 -12.271   2.864
     6  3500  2.50  0.20  2.00  1.25 -12.031 -12.299   2.873
     7  3500  3.00  0.20  2.00  1.25 -12.108 -12.376   2.872
     8  3500  3.50  0.20  2.00  1.25 -12.250 -12.507   2.858
     9  3500  4.00  0.20  2.00  1.25 -12.457 -12.688   2.822
    10  3500  4.50  0.20  2.00  1.25 -12.688 -12.878   2.766
    11  3500  5.00  0.20  2.00  1.25 -12.884 -13.031   2.706
    12  3750  0.00  0.20  2.00  1.25 -13.615 -13.683   2.598
    13  3750  0.50  0.20  2.00  1.25 -13.618 -13.686   2.598
    14  3750  1.00  0.20  2.00  1.25 -13.595 -13.666   2.604
    15  3750  1.50  0.20  2.00  1.25 -13.554 -13.632   2.613
    16  3750  2.00  0.20  2.00  1.25 -13.503 -13.591   2.626
    17  3750  2.50  0.20  2.00  1.25 -13.451 -13.550   2.641
    18  3750  3.00  0.20  2.00  1.25 -13.412 -13.520   2.654
    19  3750  3.50  0.20  2.00  1.25 -13.400 -13.515   2.664
    20  3750  4.00  0.20  2.00  1.25 -13.433 -13.546   2.661
    21  3750  4.50  0.20  2.00  1.25 -13.524 -13.621   2.639
    22  3750  5.00  0.20  2.00  1.25 -13.639 -13.715   2.610
    23  4000  0.00  0.20  2.00  1.25 -14.392 -14.450   2.585
    24  4000  0.50  0.20  2.00  1.25 -14.426 -14.478   2.577
    25  4000  1.00  0.20  2.00  1.25 -14.444 -14.490   2.568
    26  4000  1.50  0.20  2.00  1.25 -14.448 -14.487   2.560
    27  4000  2.00  0.20  2.00  1.25 -14.436 -14.471   2.554
    28  4000  2.50  0.20  2.00  1.25 -14.413 -14.445   2.549
    29  4000  3.00  0.20  2.00  1.25 -14.381 -14.412   2.548
    30  4000  3.50  0.20  2.00  1.25 -14.348 -14.380   2.549
    31  4000  4.00  0.20  2.00  1.25 -14.324 -14.356   2.550
    32  4000  4.50  0.20  2.00  1.25 -14.329 -14.356   2.543
    33  4000  5.00  0.20  2.00  1.25 -14.363 -14.381   2.531
    34  4250  0.00  0.20  2.00  1.25 -14.976 -15.035   2.587
    35  4250  0.50  0.20  2.00  1.25 -15.010 -15.065   2.582
    36  4250  1.00  0.20  2.00  1.25 -15.032 -15.082   2.575
    37  4250  1.50  0.20  2.00  1.25 -15.042 -15.087   2.567
    38  4250  2.00  0.20  2.00  1.25 -15.045 -15.083   2.557
    39  4250  2.50  0.20  2.00  1.25 -15.042 -15.071   2.547
    40  4250  3.00  0.20  2.00  1.25 -15.031 -15.053   2.536
    41  4250  3.50  0.20  2.00  1.25 -15.019 -15.033   2.526
    42  4250  4.00  0.20  2.00  1.25 -15.008 -15.015   2.516
    43  4250  4.50  0.20  2.00  1.25 -14.993 -14.994   2.507
    44  4250  5.00  0.20  2.00  1.25 -14.984 -14.977   2.497
    45  4500  0.00  0.20  2.00  1.25 -15.464 -15.523   2.588
    46  4500  0.50  0.20  2.00  1.25 -15.494 -15.552   2.585
    47  4500  1.00  0.20  2.00  1.25 -15.515 -15.570   2.581
    48  4500  1.50  0.20  2.00  1.25 -15.527 -15.578   2.576
    49  4500  2.00  0.20  2.00  1.25 -15.532 -15.578   2.569
    50  4500  2.50  0.20  2.00  1.25 -15.531 -15.571   2.561
    51  4500  3.00  0.20  2.00  1.25 -15.528 -15.560   2.550
    52  4500  3.50  0.20  2.00  1.25 -15.523 -15.547   2.539
    53  4500  4.00  0.20  2.00  1.25 -15.522 -15.537   2.526
    54  4500  4.50  0.20  2.00  1.25 -15.524 -15.528   2.513
    55  4500  5.00  0.20  2.00  1.25 -15.522 -15.516   2.498
    56  4750  0.00  0.20  2.00  1.25 -15.882 -15.944   2.591
    57  4750  0.50  0.20  2.00  1.25 -15.908 -15.969   2.589
    58  4750  1.00  0.20  2.00  1.25 -15.926 -15.985   2.587
    59  4750  1.50  0.20  2.00  1.25 -15.937 -15.994   2.584
    60  4750  2.00  0.20  2.00  1.25 -15.942 -15.995   2.579
    61  4750  2.50  0.20  2.00  1.25 -15.942 -15.991   2.573
    62  4750  3.00  0.20  2.00  1.25 -15.940 -15.983   2.565
    63  4750  3.50  0.20  2.00  1.25 -15.938 -15.973   2.555
    64  4750  4.00  0.20  2.00  1.25 -15.937 -15.964   2.544
    65  4750  4.50  0.20  2.00  1.25 -15.940 -15.958   2.531
    66  4750  5.00  0.20  2.00  1.25 -15.944 -15.953   2.518
    67  5000  0.00  0.20  2.00  1.25 -16.250 -16.317   2.598
    68  5000  0.50  0.20  2.00  1.25 -16.270 -16.336   2.596
    69  5000  1.00  0.20  2.00  1.25 -16.283 -16.347   2.594
    70  5000  1.50  0.20  2.00  1.25 -16.290 -16.353   2.591
    71  5000  2.00  0.20  2.00  1.25 -16.294 -16.354   2.588
    72  5000  2.50  0.20  2.00  1.25 -16.294 -16.350   2.583
    73  5000  3.00  0.20  2.00  1.25 -16.293 -16.344   2.576
    74  5000  3.50  0.20  2.00  1.25 -16.291 -16.337   2.569
    75  5000  4.00  0.20  2.00  1.25 -16.290 -16.330   2.560
    76  5000  4.50  0.20  2.00  1.25 -16.292 -16.324   2.550
    77  5000  5.00  0.20  2.00  1.25 -16.296 -16.320   2.538
    78  5250  0.00  0.20  2.00  1.25 -16.522 -16.598   2.609
    79  5250  0.50  0.20  2.00  1.25 -16.525 -16.600   2.608
    80  5250  1.00  0.20  2.00  1.25 -16.527 -16.599   2.605
    81  5250  1.50  0.20  2.00  1.25 -16.528 -16.597   2.602
    82  5250  2.00  0.20  2.00  1.25 -16.528 -16.594   2.597
    83  5250  2.50  0.20  2.00  1.25 -16.527 -16.589   2.592
    84  5250  3.00  0.20  2.00  1.25 -16.525 -16.584   2.586
    85  5250  3.50  0.20  2.00  1.25 -16.525 -16.579   2.579
    86  5250  4.00  0.20  2.00  1.25 -16.527 -16.574   2.571
    87  5250  4.50  0.20  2.00  1.25 -16.530 -16.570   2.561
