        Teff log g  [M]  Vturb  l/H   small     big    beta
     1  3500  0.00  0.00  2.00  1.25 -12.354 -12.505   2.713
     2  3500  0.50  0.00  2.00  1.25 -12.321 -12.493   2.742
     3  3500  1.00  0.00  2.00  1.25 -12.286 -12.477   2.768
     4  3500  1.50  0.00  2.00  1.25 -12.269 -12.476   2.789
     5  3500  2.00  0.00  2.00  1.25 -12.281 -12.498   2.803
     6  3500  2.50  0.00  2.00  1.25 -12.327 -12.549   2.810
     7  3500  3.00  0.00  2.00  1.25 -12.414 -12.634   2.807
     8  3500  3.50  0.00  2.00  1.25 -12.551 -12.757   2.788
     9  3500  4.00  0.00  2.00  1.25 -12.744 -12.919   2.746
    10  3500  4.50  0.00  2.00  1.25 -12.932 -13.069   2.693
    11  3500  5.00  0.00  2.00  1.25 -13.074 -13.175   2.644
    12  3750  0.00  0.00  2.00  1.25 -13.602 -13.660   2.586
    13  3750  0.50  0.00  2.00  1.25 -13.633 -13.689   2.583
    14  3750  1.00  0.00  2.00  1.25 -13.637 -13.693   2.583
    15  3750  1.50  0.00  2.00  1.25 -13.623 -13.683   2.588
    16  3750  2.00  0.00  2.00  1.25 -13.600 -13.666   2.596
    17  3750  2.50  0.00  2.00  1.25 -13.577 -13.649   2.606
    18  3750  3.00  0.00  2.00  1.25 -13.566 -13.645   2.614
    19  3750  3.50  0.00  2.00  1.25 -13.577 -13.659   2.618
    20  3750  4.00  0.00  2.00  1.25 -13.625 -13.700   2.609
    21  3750  4.50  0.00  2.00  1.25 -13.706 -13.766   2.588
    22  3750  5.00  0.00  2.00  1.25 -13.794 -13.837   2.564
    23  4000  0.00  0.00  2.00  1.25 -14.350 -14.405   2.581
    24  4000  0.50  0.00  2.00  1.25 -14.398 -14.446   2.573
    25  4000  1.00  0.00  2.00  1.25 -14.428 -14.470   2.563
    26  4000  1.50  0.00  2.00  1.25 -14.444 -14.479   2.554
    27  4000  2.00  0.00  2.00  1.25 -14.449 -14.478   2.545
    28  4000  2.50  0.00  2.00  1.25 -14.442 -14.466   2.539
    29  4000  3.00  0.00  2.00  1.25 -14.430 -14.450   2.534
    30  4000  3.50  0.00  2.00  1.25 -14.419 -14.437   2.531
    31  4000  4.00  0.00  2.00  1.25 -14.412 -14.428   2.527
    32  4000  4.50  0.00  2.00  1.25 -14.424 -14.433   2.518
    33  4000  5.00  0.00  2.00  1.25 -14.452 -14.454   2.509
    34  4250  0.00  0.00  2.00  1.25 -14.929 -14.986   2.584
    35  4250  0.50  0.00  2.00  1.25 -14.973 -15.026   2.579
    36  4250  1.00  0.00  2.00  1.25 -15.002 -15.050   2.572
    37  4250  1.50  0.00  2.00  1.25 -15.021 -15.062   2.563
    38  4250  2.00  0.00  2.00  1.25 -15.030 -15.065   2.554
    39  4250  2.50  0.00  2.00  1.25 -15.035 -15.062   2.543
    40  4250  3.00  0.00  2.00  1.25 -15.035 -15.053   2.531
    41  4250  3.50  0.00  2.00  1.25 -15.035 -15.045   2.520
    42  4250  4.00  0.00  2.00  1.25 -15.034 -15.036   2.508
    43  4250  4.50  0.00  2.00  1.25 -15.028 -15.021   2.497
    44  4250  5.00  0.00  2.00  1.25 -15.022 -15.008   2.487
    45  4500  0.00  0.00  2.00  1.25 -15.422 -15.479   2.585
    46  4500  0.50  0.00  2.00  1.25 -15.459 -15.515   2.582
    47  4500  1.00  0.00  2.00  1.25 -15.484 -15.537   2.578
    48  4500  1.50  0.00  2.00  1.25 -15.500 -15.549   2.573
    49  4500  2.00  0.00  2.00  1.25 -15.510 -15.554   2.566
    50  4500  2.50  0.00  2.00  1.25 -15.515 -15.552   2.557
    51  4500  3.00  0.00  2.00  1.25 -15.517 -15.546   2.547
    52  4500  3.50  0.00  2.00  1.25 -15.519 -15.540   2.535
    53  4500  4.00  0.00  2.00  1.25 -15.524 -15.536   2.522
    54  4500  4.50  0.00  2.00  1.25 -15.529 -15.531   2.509
    55  4500  5.00  0.00  2.00  1.25 -15.530 -15.521   2.494
    56  4750  0.00  0.00  2.00  1.25 -15.846 -15.906   2.588
    57  4750  0.50  0.00  2.00  1.25 -15.877 -15.936   2.586
    58  4750  1.00  0.00  2.00  1.25 -15.898 -15.955   2.584
    59  4750  1.50  0.00  2.00  1.25 -15.911 -15.965   2.580
    60  4750  2.00  0.00  2.00  1.25 -15.919 -15.970   2.575
    61  4750  2.50  0.00  2.00  1.25 -15.923 -15.969   2.568
    62  4750  3.00  0.00  2.00  1.25 -15.925 -15.965   2.560
    63  4750  3.50  0.00  2.00  1.25 -15.926 -15.958   2.551
    64  4750  4.00  0.00  2.00  1.25 -15.929 -15.954   2.540
    65  4750  4.50  0.00  2.00  1.25 -15.936 -15.952   2.528
    66  4750  5.00  0.00  2.00  1.25 -15.943 -15.949   2.515
    67  5000  0.00  0.00  2.00  1.25 -16.223 -16.287   2.595
    68  5000  0.50  0.00  2.00  1.25 -16.244 -16.307   2.593
    69  5000  1.00  0.00  2.00  1.25 -16.258 -16.320   2.590
    70  5000  1.50  0.00  2.00  1.25 -16.267 -16.326   2.587
    71  5000  2.00  0.00  2.00  1.25 -16.273 -16.329   2.583
    72  5000  2.50  0.00  2.00  1.25 -16.275 -16.327   2.577
    73  5000  3.00  0.00  2.00  1.25 -16.276 -16.324   2.571
    74  5000  3.50  0.00  2.00  1.25 -16.277 -16.319   2.563
    75  5000  4.00  0.00  2.00  1.25 -16.278 -16.314   2.555
    76  5000  4.50  0.00  2.00  1.25 -16.283 -16.311   2.545
    77  5000  5.00  0.00  2.00  1.25 -16.289 -16.310   2.534
