        Teff log g  [M]  Vturb  l/H   small     big    beta
    89  5500  0.00  0.50  2.00  1.25 -16.837 -16.927   2.628
    90  5500  0.50  0.50  2.00  1.25 -16.827 -16.917   2.628
    91  5500  1.00  0.50  2.00  1.25 -16.820 -16.908   2.627
    92  5500  1.50  0.50  2.00  1.25 -16.814 -16.900   2.624
    93  5500  2.00  0.50  2.00  1.25 -16.808 -16.891   2.620
    94  5500  2.50  0.50  2.00  1.25 -16.803 -16.883   2.615
    95  5500  3.00  0.50  2.00  1.25 -16.799 -16.875   2.609
    96  5500  3.50  0.50  2.00  1.25 -16.796 -16.867   2.603
    97  5500  4.00  0.50  2.00  1.25 -16.795 -16.861   2.597
    98  5500  4.50  0.50  2.00  1.25 -16.797 -16.857   2.588
    99  5500  5.00  0.50  2.00  1.25 -16.802 -16.855   2.578
   100  5750  0.00  0.50  2.00  1.25 -17.133 -17.231   2.640
   101  5750  0.50  0.50  2.00  1.25 -17.113 -17.213   2.642
   102  5750  1.00  0.50  2.00  1.25 -17.097 -17.197   2.642
   103  5750  1.50  0.50  2.00  1.25 -17.084 -17.182   2.640
   104  5750  2.00  0.50  2.00  1.25 -17.073 -17.169   2.637
   105  5750  2.50  0.50  2.00  1.25 -17.064 -17.156   2.632
   106  5750  3.00  0.50  2.00  1.25 -17.056 -17.145   2.627
   107  5750  3.50  0.50  2.00  1.25 -17.051 -17.135   2.621
   108  5750  4.00  0.50  2.00  1.25 -17.048 -17.127   2.614
   109  5750  4.50  0.50  2.00  1.25 -17.048 -17.122   2.607
   110  5750  5.00  0.50  2.00  1.25 -17.052 -17.120   2.599
   111  6000  0.00  0.50  2.00  1.25 -17.402 -17.511   2.654
   112  6000  0.50  0.50  2.00  1.25 -17.376 -17.487   2.658
   113  6000  1.00  0.50  2.00  1.25 -17.354 -17.466   2.659
   114  6000  1.50  0.50  2.00  1.25 -17.334 -17.446   2.659
   115  6000  2.00  0.50  2.00  1.25 -17.318 -17.428   2.657
   116  6000  2.50  0.50  2.00  1.25 -17.304 -17.411   2.653
   117  6000  3.00  0.50  2.00  1.25 -17.292 -17.396   2.647
   118  6000  3.50  0.50  2.00  1.25 -17.284 -17.383   2.641
   119  6000  4.00  0.50  2.00  1.25 -17.278 -17.372   2.635
   120  6000  4.50  0.50  2.00  1.25 -17.276 -17.365   2.628
   121  6000  5.00  0.50  2.00  1.25 -17.277 -17.361   2.620
   122  6250  0.50  0.50  2.00  1.25 -17.615 -17.738   2.675
   123  6250  1.00  0.50  2.00  1.25 -17.588 -17.714   2.678
   124  6250  1.50  0.50  2.00  1.25 -17.564 -17.691   2.679
   125  6250  2.00  0.50  2.00  1.25 -17.543 -17.669   2.678
   126  6250  2.50  0.50  2.00  1.25 -17.525 -17.648   2.675
   127  6250  3.00  0.50  2.00  1.25 -17.509 -17.630   2.671
   128  6250  3.50  0.50  2.00  1.25 -17.497 -17.613   2.665
   129  6250  4.00  0.50  2.00  1.25 -17.489 -17.600   2.658
   130  6250  4.50  0.50  2.00  1.25 -17.484 -17.589   2.651
   131  6250  5.00  0.50  2.00  1.25 -17.482 -17.582   2.643
   132  6500  0.50  0.50  2.00  1.25 -17.836 -17.970   2.689
   133  6500  1.00  0.50  2.00  1.25 -17.802 -17.943   2.700
   134  6500  1.50  0.50  2.00  1.25 -17.775 -17.919   2.702
   135  6500  2.00  0.50  2.00  1.25 -17.750 -17.894   2.702
   136  6500  2.50  0.50  2.00  1.25 -17.728 -17.870   2.700
   137  6500  3.00  0.50  2.00  1.25 -17.708 -17.848   2.697
   138  6500  3.50  0.50  2.00  1.25 -17.692 -17.828   2.691
   139  6500  4.00  0.50  2.00  1.25 -17.680 -17.811   2.684
   140  6500  4.50  0.50  2.00  1.25 -17.672 -17.797   2.676
   141  6500  5.00  0.50  2.00  1.25 -17.668 -17.787   2.669
   142  6750  0.50  0.50  2.00  1.25 -18.043 -18.181   2.694
   143  6750  1.00  0.50  2.00  1.25 -18.001 -18.155   2.716
   144  6750  1.50  0.50  2.00  1.25 -17.967 -18.129   2.727
   145  6750  2.00  0.50  2.00  1.25 -17.941 -18.103   2.728
   146  6750  2.50  0.50  2.00  1.25 -17.915 -18.077   2.728
   147  6750  3.00  0.50  2.00  1.25 -17.892 -18.052   2.725
   148  6750  3.50  0.50  2.00  1.25 -17.872 -18.028   2.720
   149  6750  4.00  0.50  2.00  1.25 -17.856 -18.007   2.713
   150  6750  4.50  0.50  2.00  1.25 -17.844 -17.990   2.705
   151  6750  5.00  0.50  2.00  1.25 -17.837 -17.976   2.697
   152  7000  0.50  0.50  2.00  1.25 -18.237 -18.373   2.691
   153  7000  1.00  0.50  2.00  1.25 -18.190 -18.349   2.725
   154  7000  1.50  0.50  2.00  1.25 -18.148 -18.324   2.747
   155  7000  2.00  0.50  2.00  1.25 -18.114 -18.297   2.756
   156  7000  2.50  0.50  2.00  1.25 -18.087 -18.270   2.756
   157  7000  3.00  0.50  2.00  1.25 -18.060 -18.242   2.755
   158  7000  3.50  0.50  2.00  1.25 -18.036 -18.215   2.751
   159  7000  4.00  0.50  2.00  1.25 -18.016 -18.191   2.744
   160  7000  4.50  0.50  2.00  1.25 -18.001 -18.169   2.736
   161  7000  5.00  0.50  2.00  1.25 -17.990 -18.152   2.728
   162  7250  0.50  0.50  2.00  1.25 -18.422 -18.545   2.674
   163  7250  1.00  0.50  2.00  1.25 -18.368 -18.527   2.724
   164  7250  1.50  0.50  2.00  1.25 -18.321 -18.504   2.757
   165  7250  2.00  0.50  2.00  1.25 -18.278 -18.477   2.779
   166  7250  2.50  0.50  2.00  1.25 -18.244 -18.449   2.786
   167  7250  3.00  0.50  2.00  1.25 -18.216 -18.421   2.786
   168  7250  3.50  0.50  2.00  1.25 -18.189 -18.391   2.783
   169  7250  4.00  0.50  2.00  1.25 -18.164 -18.363   2.778
   170  7250  4.50  0.50  2.00  1.25 -18.144 -18.337   2.770
   171  7250  5.00  0.50  2.00  1.25 -18.129 -18.315   2.761
   172  7500  0.50  0.50  2.00  1.25 -18.586 -18.681   2.636
   173  7500  1.00  0.50  2.00  1.25 -18.537 -18.688   2.713
   174  7500  1.50  0.50  2.00  1.25 -18.485 -18.669   2.758
   175  7500  2.00  0.50  2.00  1.25 -18.436 -18.644   2.790
   176  7500  2.50  0.50  2.00  1.25 -18.393 -18.616   2.811
   177  7500  3.00  0.50  2.00  1.25 -18.358 -18.585   2.817
   178  7500  3.50  0.50  2.00  1.25 -18.329 -18.555   2.815
   179  7500  4.00  0.50  2.00  1.25 -18.301 -18.524   2.811
   180  7500  4.50  0.50  2.00  1.25 -18.276 -18.494   2.804
   181  7500  5.00  0.50  2.00  1.25 -18.257 -18.468   2.795
   182  7750  1.00  0.50  2.00  1.25 -18.697 -18.830   2.688
   183  7750  1.50  0.50  2.00  1.25 -18.641 -18.818   2.748
   184  7750  2.00  0.50  2.00  1.25 -18.587 -18.797   2.792
   185  7750  2.50  0.50  2.00  1.25 -18.537 -18.770   2.824
   186  7750  3.00  0.50  2.00  1.25 -18.493 -18.739   2.843
   187  7750  3.50  0.50  2.00  1.25 -18.458 -18.707   2.847
   188  7750  4.00  0.50  2.00  1.25 -18.427 -18.675   2.844
   189  7750  4.50  0.50  2.00  1.25 -18.399 -18.642   2.838
   190  7750  5.00  0.50  2.00  1.25 -18.375 -18.612   2.830
   191  8000  1.00  0.50  2.00  1.25 -18.840 -18.947   2.652
   192  8000  1.50  0.50  2.00  1.25 -18.789 -18.952   2.729
   193  8000  2.00  0.50  2.00  1.25 -18.731 -18.935   2.785
   194  8000  2.50  0.50  2.00  1.25 -18.675 -18.911   2.829
   195  8000  3.00  0.50  2.00  1.25 -18.624 -18.882   2.859
   196  8000  3.50  0.50  2.00  1.25 -18.578 -18.848   2.875
   197  8000  4.00  0.50  2.00  1.25 -18.544 -18.814   2.876
   198  8000  4.50  0.50  2.00  1.25 -18.513 -18.780   2.871
   199  8000  5.00  0.50  2.00  1.25 -18.485 -18.746   2.864
   200  8250  1.00  0.50  2.00  1.25 -18.956 -19.033   2.611
   201  8250  1.50  0.50  2.00  1.25 -18.927 -19.070   2.701
   202  8250  2.00  0.50  2.00  1.25 -18.868 -19.060   2.768
   203  8250  2.50  0.50  2.00  1.25 -18.808 -19.038   2.821
   204  8250  3.00  0.50  2.00  1.25 -18.751 -19.011   2.861
   205  8250  3.50  0.50  2.00  1.25 -18.698 -18.979   2.890
   206  8250  4.00  0.50  2.00  1.25 -18.653 -18.943   2.903
   207  8250  4.50  0.50  2.00  1.25 -18.619 -18.909   2.902
   208  8250  5.00  0.50  2.00  1.25 -18.588 -18.873   2.896
   209  8500  1.50  0.50  2.00  1.25 -19.051 -19.171   2.669
   210  8500  2.00  0.50  2.00  1.25 -18.997 -19.171   2.743
   211  8500  2.50  0.50  2.00  1.25 -18.935 -19.154   2.806
   212  8500  3.00  0.50  2.00  1.25 -18.873 -19.129   2.857
   213  8500  3.50  0.50  2.00  1.25 -18.814 -19.098   2.894
   214  8500  4.00  0.50  2.00  1.25 -18.762 -19.063   2.918
   215  8500  4.50  0.50  2.00  1.25 -18.719 -19.026   2.926
   216  8500  5.00  0.50  2.00  1.25 -18.686 -18.992   2.924
   217  8750  1.50  0.50  2.00  1.25 -19.158 -19.257   2.641
   218  8750  2.00  0.50  2.00  1.25 -19.116 -19.269   2.716
   219  8750  2.50  0.50  2.00  1.25 -19.054 -19.258   2.784
   220  8750  3.00  0.50  2.00  1.25 -18.989 -19.236   2.844
   221  8750  3.50  0.50  2.00  1.25 -18.926 -19.208   2.892
   222  8750  4.00  0.50  2.00  1.25 -18.868 -19.174   2.925
   223  8750  4.50  0.50  2.00  1.25 -18.816 -19.136   2.943
   224  8750  5.00  0.50  2.00  1.25 -18.777 -19.100   2.948
   225  9000  1.50  0.50  2.00  0.00 -19.251 -19.334   2.619
   226  9000  2.00  0.50  2.00  0.00 -19.221 -19.357   2.691
   227  9000  2.50  0.50  2.00  0.00 -19.165 -19.351   2.760
   228  9000  3.00  0.50  2.00  0.00 -19.099 -19.332   2.825
   229  9000  3.50  0.50  2.00  0.00 -19.032 -19.307   2.881
   230  9000  4.00  0.50  2.00  0.00 -18.969 -19.275   2.924
