        Teff log g  [M]a Vturb  l/H   small     big    beta
    86  5250  4.00 -2.00  2.00  1.25 -16.516 -16.542   2.542
    87  5250  4.50 -2.00  2.00  1.25 -16.518 -16.543   2.541
    88  5250  5.00 -2.00  2.00  1.25 -16.520 -16.545   2.540
    89  5500  0.00 -2.00  2.00  1.25 -16.846 -16.906   2.588
    90  5500  0.50 -2.00  2.00  1.25 -16.839 -16.894   2.582
    91  5500  1.00 -2.00  2.00  1.25 -16.829 -16.880   2.576
    92  5500  1.50 -2.00  2.00  1.25 -16.816 -16.864   2.571
    93  5500  2.00 -2.00  2.00  1.25 -16.802 -16.846   2.566
    94  5500  2.50 -2.00  2.00  1.25 -16.789 -16.830   2.562
    95  5500  3.00 -2.00  2.00  1.25 -16.778 -16.816   2.558
    96  5500  3.50 -2.00  2.00  1.25 -16.772 -16.808   2.555
    97  5500  4.00 -2.00  2.00  1.25 -16.771 -16.805   2.552
    98  5500  4.50 -2.00  2.00  1.25 -16.772 -16.805   2.550
    99  5500  5.00 -2.00  2.00  1.25 -16.774 -16.806   2.550
   100  5750  0.00 -2.00  2.00  1.25 -17.125 -17.198   2.607
   101  5750  0.50 -2.00  2.00  1.25 -17.108 -17.179   2.602
   102  5750  1.00 -2.00  2.00  1.25 -17.091 -17.158   2.597
   103  5750  1.50 -2.00  2.00  1.25 -17.073 -17.135   2.591
   104  5750  2.00 -2.00  2.00  1.25 -17.053 -17.111   2.585
   105  5750  2.50 -2.00  2.00  1.25 -17.033 -17.088   2.580
   106  5750  3.00 -2.00  2.00  1.25 -17.017 -17.067   2.575
   107  5750  3.50 -2.00  2.00  1.25 -17.004 -17.052   2.571
   108  5750  4.00 -2.00  2.00  1.25 -16.998 -17.043   2.567
   109  5750  4.50 -2.00  2.00  1.25 -16.998 -17.040   2.564
   110  5750  5.00 -2.00  2.00  1.25 -17.000 -17.041   2.562
   111  6000  0.00 -2.00  2.00  1.25 -17.376 -17.464   2.627
   112  6000  0.50 -2.00  2.00  1.25 -17.354 -17.440   2.625
   113  6000  1.00 -2.00  2.00  1.25 -17.331 -17.415   2.621
   114  6000  1.50 -2.00  2.00  1.25 -17.307 -17.387   2.615
   115  6000  2.00 -2.00  2.00  1.25 -17.283 -17.359   2.609
   116  6000  2.50 -2.00  2.00  1.25 -17.259 -17.330   2.603
   117  6000  3.00 -2.00  2.00  1.25 -17.237 -17.303   2.597
   118  6000  3.50 -2.00  2.00  1.25 -17.218 -17.281   2.591
   119  6000  4.00 -2.00  2.00  1.25 -17.206 -17.265   2.586
   120  6000  4.50 -2.00  2.00  1.25 -17.202 -17.257   2.582
   121  6000  5.00 -2.00  2.00  1.25 -17.203 -17.255   2.578
   122  6250  0.50 -2.00  2.00  1.25 -17.578 -17.682   2.648
   123  6250  1.00 -2.00  2.00  1.25 -17.552 -17.655   2.646
   124  6250  1.50 -2.00  2.00  1.25 -17.524 -17.624   2.643
   125  6250  2.00 -2.00  2.00  1.25 -17.496 -17.592   2.637
   126  6250  2.50 -2.00  2.00  1.25 -17.468 -17.559   2.631
   127  6250  3.00 -2.00  2.00  1.25 -17.441 -17.527   2.624
   128  6250  3.50 -2.00  2.00  1.25 -17.417 -17.498   2.617
   129  6250  4.00 -2.00  2.00  1.25 -17.400 -17.476   2.610
   130  6250  4.50 -2.00  2.00  1.25 -17.389 -17.461   2.604
   131  6250  5.00 -2.00  2.00  1.25 -17.386 -17.454   2.599
   132  6500  0.50 -2.00  2.00  1.25 -17.784 -17.905   2.672
   133  6500  1.00 -2.00  2.00  1.25 -17.756 -17.878   2.673
   134  6500  1.50 -2.00  2.00  1.25 -17.726 -17.847   2.671
   135  6500  2.00 -2.00  2.00  1.25 -17.694 -17.812   2.668
   136  6500  2.50 -2.00  2.00  1.25 -17.662 -17.776   2.662
   137  6500  3.00 -2.00  2.00  1.25 -17.631 -17.739   2.654
   138  6500  3.50 -2.00  2.00  1.25 -17.603 -17.705   2.646
   139  6500  4.00 -2.00  2.00  1.25 -17.580 -17.676   2.638
   140  6500  4.50 -2.00  2.00  1.25 -17.563 -17.654   2.631
   141  6500  5.00 -2.00  2.00  1.25 -17.555 -17.641   2.624
   142  6750  0.50 -2.00  2.00  1.25 -17.980 -18.113   2.688
   143  6750  1.00 -2.00  2.00  1.25 -17.944 -18.085   2.699
   144  6750  1.50 -2.00  2.00  1.25 -17.913 -18.055   2.700
   145  6750  2.00 -2.00  2.00  1.25 -17.878 -18.020   2.699
   146  6750  2.50 -2.00  2.00  1.25 -17.843 -17.981   2.695
   147  6750  3.00 -2.00  2.00  1.25 -17.808 -17.941   2.688
   148  6750  3.50 -2.00  2.00  1.25 -17.776 -17.903   2.680
   149  6750  4.00 -2.00  2.00  1.25 -17.748 -17.868   2.670
