        Teff log g  [M]a Vturb  l/H   small     big    beta
     1  3500  0.00 -4.00  2.00  1.25 -11.684 -11.727   2.565
     2  3500  0.50 -4.00  2.00  1.25 -12.132 -12.171   2.560
     3  3500  1.00 -4.00  2.00  1.25 -12.549 -12.582   2.551
     4  3500  1.50 -4.00  2.00  1.25 -12.847 -12.875   2.544
     5  3500  2.00 -4.00  2.00  1.25 -13.060 -13.084   2.539
     6  3500  2.50 -4.00  2.00  1.25 -13.232 -13.252   2.533
     7  3500  3.00 -4.00  2.00  1.25 -13.379 -13.395   2.527
     8  3500  3.50 -4.00  2.00  1.25 -13.517 -13.527   2.520
     9  3500  4.00 -4.00  2.00  1.25 -13.665 -13.669   2.511
    10  3500  4.50 -4.00  2.00  1.25 -13.833 -13.831   2.503
    11  3500  5.00 -4.00  2.00  1.25 -14.014 -14.010   2.500
    12  3750  0.00 -4.00  2.00  1.25 -12.623 -12.664   2.562
    13  3750  0.50 -4.00  2.00  1.25 -12.896 -12.933   2.557
    14  3750  1.00 -4.00  2.00  1.25 -13.209 -13.242   2.550
    15  3750  1.50 -4.00  2.00  1.25 -13.481 -13.508   2.542
    16  3750  2.00 -4.00  2.00  1.25 -13.684 -13.706   2.536
    17  3750  2.50 -4.00  2.00  1.25 -13.819 -13.838   2.532
    18  3750  3.00 -4.00  2.00  1.25 -13.925 -13.941   2.529
    19  3750  3.50 -4.00  2.00  1.25 -13.963 -13.977   2.525
    20  3750  4.00 -4.00  2.00  1.25 -14.027 -14.037   2.520
    21  3750  4.50 -4.00  2.00  1.25 -14.131 -14.135   2.512
    22  3750  5.00 -4.00  2.00  1.25 -14.302 -14.303   2.508
    23  4000  0.00 -4.00  2.00  1.25 -13.654 -13.687   2.551
    24  4000  0.50 -4.00  2.00  1.25 -13.826 -13.857   2.549
    25  4000  1.00 -4.00  2.00  1.25 -13.994 -14.023   2.545
    26  4000  1.50 -4.00  2.00  1.25 -14.158 -14.183   2.540
    27  4000  2.00 -4.00  2.00  1.25 -14.301 -14.322   2.535
    28  4000  2.50 -4.00  2.00  1.25 -14.396 -14.414   2.531
    29  4000  3.00 -4.00  2.00  1.25 -14.462 -14.478   2.528
    30  4000  3.50 -4.00  2.00  1.25 -14.515 -14.530   2.526
    31  4000  4.00 -4.00  2.00  1.25 -14.572 -14.585   2.524
    32  4000  4.50 -4.00  2.00  1.25 -14.645 -14.656   2.521
    33  4000  5.00 -4.00  2.00  1.25 -14.734 -14.742   2.517
    34  4250  0.00 -4.00  2.00  1.25 -14.509 -14.537   2.545
    35  4250  0.50 -4.00  2.00  1.25 -14.625 -14.650   2.541
    36  4250  1.00 -4.00  2.00  1.25 -14.729 -14.753   2.538
    37  4250  1.50 -4.00  2.00  1.25 -14.818 -14.840   2.535
    38  4250  2.00 -4.00  2.00  1.25 -14.890 -14.910   2.533
    39  4250  2.50 -4.00  2.00  1.25 -14.943 -14.960   2.530
    40  4250  3.00 -4.00  2.00  1.25 -14.977 -14.993   2.527
    41  4250  3.50 -4.00  2.00  1.25 -15.001 -15.016   2.526
    42  4250  4.00 -4.00  2.00  1.25 -15.019 -15.033   2.525
    43  4250  4.50 -4.00  2.00  1.25 -15.041 -15.055   2.525
    44  4250  5.00 -4.00  2.00  1.25 -15.081 -15.093   2.523
    45  4500  0.00 -4.00  2.00  1.25 -15.186 -15.213   2.543
    46  4500  0.50 -4.00  2.00  1.25 -15.258 -15.283   2.539
    47  4500  1.00 -4.00  2.00  1.25 -15.319 -15.341   2.536
    48  4500  1.50 -4.00  2.00  1.25 -15.368 -15.388   2.533
    49  4500  2.00 -4.00  2.00  1.25 -15.405 -15.423   2.531
    50  4500  2.50 -4.00  2.00  1.25 -15.429 -15.446   2.529
    51  4500  3.00 -4.00  2.00  1.25 -15.441 -15.457   2.528
    52  4500  3.50 -4.00  2.00  1.25 -15.446 -15.461   2.526
    53  4500  4.00 -4.00  2.00  1.25 -15.451 -15.465   2.526
    54  4500  4.50 -4.00  2.00  1.25 -15.455 -15.469   2.525
    55  4500  5.00 -4.00  2.00  1.25 -15.461 -15.476   2.526
    56  4750  0.00 -4.00  2.00  1.25 -15.719 -15.748   2.546
    57  4750  0.50 -4.00  2.00  1.25 -15.759 -15.786   2.542
    58  4750  1.00 -4.00  2.00  1.25 -15.790 -15.813   2.538
    59  4750  1.50 -4.00  2.00  1.25 -15.811 -15.833   2.535
    60  4750  2.00 -4.00  2.00  1.25 -15.826 -15.846   2.532
    61  4750  2.50 -4.00  2.00  1.25 -15.836 -15.854   2.530
    62  4750  3.00 -4.00  2.00  1.25 -15.841 -15.858   2.529
    63  4750  3.50 -4.00  2.00  1.25 -15.838 -15.855   2.528
    64  4750  4.00 -4.00  2.00  1.25 -15.835 -15.851   2.528
    65  4750  4.50 -4.00  2.00  1.25 -15.833 -15.848   2.527
    66  4750  5.00 -4.00  2.00  1.25 -15.832 -15.848   2.528
    67  5000  0.00 -4.00  2.00  1.25 -16.151 -16.186   2.554
    68  5000  0.50 -4.00  2.00  1.25 -16.168 -16.200   2.549
    69  5000  1.00 -4.00  2.00  1.25 -16.178 -16.207   2.545
    70  5000  1.50 -4.00  2.00  1.25 -16.182 -16.208   2.542
    71  5000  2.00 -4.00  2.00  1.25 -16.181 -16.204   2.538
    72  5000  2.50 -4.00  2.00  1.25 -16.180 -16.202   2.535
    73  5000  3.00 -4.00  2.00  1.25 -16.179 -16.199   2.533
    74  5000  3.50 -4.00  2.00  1.25 -16.178 -16.197   2.532
    75  5000  4.00 -4.00  2.00  1.25 -16.173 -16.192   2.531
    76  5000  4.50 -4.00  2.00  1.25 -16.169 -16.187   2.531
    77  5000  5.00 -4.00  2.00  1.25 -16.166 -16.184   2.531
    78  5250  0.00 -4.00  2.00  1.25 -16.518 -16.564   2.568
    79  5250  0.50 -4.00  2.00  1.25 -16.519 -16.561   2.563
    80  5250  1.00 -4.00  2.00  1.25 -16.515 -16.553   2.558
    81  5250  1.50 -4.00  2.00  1.25 -16.506 -16.541   2.554
    82  5250  2.00 -4.00  2.00  1.25 -16.495 -16.527   2.550
    83  5250  2.50 -4.00  2.00  1.25 -16.484 -16.514   2.547
    84  5250  3.00 -4.00  2.00  1.25 -16.476 -16.504   2.544
    85  5250  3.50 -4.00  2.00  1.25 -16.472 -16.498   2.542
    86  5250  4.00 -4.00  2.00  1.25 -16.469 -16.494   2.541
    87  5250  4.50 -4.00  2.00  1.25 -16.465 -16.490   2.541
    88  5250  5.00 -4.00  2.00  1.25 -16.461 -16.487   2.541
    89  5500  0.00 -4.00  2.00  1.25 -16.832 -16.889   2.585
    90  5500  0.50 -4.00  2.00  1.25 -16.821 -16.875   2.580
    91  5500  1.00 -4.00  2.00  1.25 -16.807 -16.857   2.575
    92  5500  1.50 -4.00  2.00  1.25 -16.791 -16.837   2.569
    93  5500  2.00 -4.00  2.00  1.25 -16.772 -16.815   2.565
    94  5500  2.50 -4.00  2.00  1.25 -16.754 -16.794   2.560
    95  5500  3.00 -4.00  2.00  1.25 -16.739 -16.776   2.556
