ITLE SDSC GRID  [+0.0]   VTURB 8.0 KM/S    L/H 1.25                            
OPACITY IFOP 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 0 0 0 0
CONVECTION ON   1.25 TURBULENCE OFF  0.00  0.00  0.00  0.00
BUNDANCE SCALE   1.00000 ABUNDANCE CHANGE 1 0.91100 2 0.08900
ABUNDANCE CHANGE  3 -10.88  4 -10.89  5  -9.44  6  -3.48  7  -3.99  8  -3.11
ABUNDANCE CHANGE  9  -7.48 10  -3.95 11  -5.71 12  -4.46 13  -5.57 14  -4.49
ABUNDANCE CHANGE 15  -6.59 16  -4.83 17  -6.54 18  -5.48 19  -6.82 20  -5.68
ABUNDANCE CHANGE 21  -8.94 22  -7.05 23  -8.04 24  -6.37 25  -6.65 26  -4.37
ABUNDANCE CHANGE 27  -7.12 28  -5.79 29  -7.83 30  -7.44 31  -9.16 32  -8.63
ABUNDANCE CHANGE 33  -9.67 34  -8.69 35  -9.41 36  -8.81 37  -9.44 38  -9.14
ABUNDANCE CHANGE 39  -9.80 40  -9.54 41 -10.62 42 -10.12 43 -20.00 44 -10.20
ABUNDANCE CHANGE 45 -10.92 46 -10.35 47 -11.10 48 -10.18 49 -10.58 50 -10.04
ABUNDANCE CHANGE 51 -11.04 52  -9.80 53 -10.53 54  -9.81 55 -10.92 56  -9.91
ABUNDANCE CHANGE 57 -10.82 58 -10.49 59 -11.33 60 -10.54 61 -20.00 62 -11.04
ABUNDANCE CHANGE 63 -11.53 64 -10.92 65 -11.94 66 -10.94 67 -11.78 68 -11.11
ABUNDANCE CHANGE 69 -12.04 70 -10.96 71 -11.28 72 -11.16 73 -11.91 74 -10.93
ABUNDANCE CHANGE 75 -11.77 76 -10.59 77 -10.69 78 -10.24 79 -11.03 80 -10.95
ABUNDANCE CHANGE 81 -11.14 82 -10.19 83 -11.33 84 -20.00 85 -20.00 86 -20.00
ABUNDANCE CHANGE 87 -20.00 88 -20.00 89 -20.00 90 -11.92 91 -20.00 92 -12.51
ABUNDANCE CHANGE 93 -20.00 94 -20.00 95 -20.00 96 -20.00 97 -20.00 98 -20.00
ABUNDANCE CHANGE 99 -20.00
EAD DECK6 72 RHOX,T,P,XNE,ABROSS,ACCRAD,VTURB
3.25169108E+01   2822.9 3.250E+01 7.057E+08 6.636E-05 2.860E-04 8.000E+05 0.000E+00 0.000E+00
3.87776963E+01   2846.2 3.876E+01 8.537E+08 7.571E-05 2.723E-04 8.000E+05 0.000E+00 0.000E+00
4.60848734E+01   2869.9 4.607E+01 1.031E+09 8.662E-05 2.608E-04 8.000E+05 0.000E+00 0.000E+00
5.45857644E+01   2894.0 5.457E+01 1.243E+09 9.950E-05 2.530E-04 8.000E+05 0.000E+00 0.000E+00
6.44328520E+01   2918.4 6.441E+01 1.496E+09 1.147E-04 2.486E-04 8.000E+05 0.000E+00 0.000E+00
7.58090846E+01   2943.1 7.578E+01 1.797E+09 1.325E-04 2.442E-04 8.000E+05 0.000E+00 0.000E+00
8.89338561E+01   2968.3 8.891E+01 2.157E+09 1.533E-04 2.405E-04 8.000E+05 0.000E+00 0.000E+00
1.04053783E+02   2994.0 1.040E+02 2.587E+09 1.776E-04 2.381E-04 8.000E+05 0.000E+00 0.000E+00
1.21437003E+02   3020.4 1.214E+02 3.102E+09 2.063E-04 2.390E-04 8.000E+05 0.000E+00 0.000E+00
1.41304464E+02   3048.9 1.413E+02 3.733E+09 2.418E-04 2.484E-04 8.000E+05 0.000E+00 0.000E+00
1.63877691E+02   3079.0 1.638E+02 4.501E+09 2.841E-04 2.587E-04 8.000E+05 0.000E+00 0.000E+00
1.89438155E+02   3111.1 1.894E+02 5.445E+09 3.353E-04 2.706E-04 8.000E+05 0.000E+00 0.000E+00
2.18263058E+02   3145.6 2.182E+02 6.614E+09 3.975E-04 2.856E-04 8.000E+05 0.000E+00 0.000E+00
2.50510521E+02   3184.0 2.504E+02 8.105E+09 4.767E-04 3.098E-04 8.000E+05 0.000E+00 0.000E+00
2.86142213E+02   3227.2 2.861E+02 1.003E+10 5.787E-04 3.431E-04 8.000E+05 0.000E+00 0.000E+00
3.25085971E+02   3275.5 3.250E+02 1.254E+10 7.098E-04 3.846E-04 8.000E+05 0.000E+00 0.000E+00
3.67075870E+02   3331.1 3.670E+02 1.592E+10 8.857E-04 4.432E-04 8.000E+05 0.000E+00 0.000E+00
4.11508664E+02   3395.1 4.114E+02 2.051E+10 1.126E-03 5.247E-04 8.000E+05 1.394E-15 0.000E+00
