1.13668243E-01   4494.4 3.114E+03 4.835E+11 1.629E-02 1.018E-01 1.500E+05 0.000E+00 0.000E+00
1.32781437E-01   4523.7 3.638E+03 5.611E+11 1.860E-02 1.063E-01 1.500E+05 0.000E+00 0.000E+00
1.55092193E-01   4552.9 4.249E+03 6.510E+11 2.126E-02 1.115E-01 1.500E+05 0.000E+00 0.000E+00
1.81131891E-01   4582.1 4.962E+03 7.551E+11 2.428E-02 1.177E-01 1.500E+05 0.000E+00 0.000E+00
2.11536844E-01   4611.6 5.795E+03 8.757E+11 2.773E-02 1.244E-01 1.500E+05 0.000E+00 0.000E+00
2.47043642E-01   4641.1 6.768E+03 1.016E+12 3.167E-02 1.323E-01 1.500E+05 0.000E+00 0.000E+00
2.88497120E-01   4671.1 7.904E+03 1.178E+12 3.617E-02 1.415E-01 1.500E+05 0.000E+00 0.000E+00
3.36882747E-01   4701.6 9.229E+03 1.366E+12 4.133E-02 1.521E-01 1.500E+05 0.000E+00 0.000E+00
3.93352095E-01   4733.2 1.078E+04 1.584E+12 4.723E-02 1.643E-01 1.500E+05 0.000E+00 0.000E+00
4.59241922E-01   4766.4 1.258E+04 1.839E+12 5.398E-02 1.783E-01 1.500E+05 0.000E+00 0.000E+00
5.36108394E-01   4801.4 1.469E+04 2.136E+12 6.171E-02 1.943E-01 1.500E+05 0.000E+00 0.000E+00
6.25790417E-01   4838.9 1.714E+04 2.485E+12 7.053E-02 2.123E-01 1.500E+05 0.000E+00 0.000E+00
7.30410248E-01   4879.7 2.001E+04 2.894E+12 8.064E-02 2.329E-01 1.500E+05 0.000E+00 0.000E+00
8.52392880E-01   4924.8 2.335E+04 3.377E+12 9.226E-02 2.565E-01 1.500E+05 0.000E+00 0.000E+00
9.94528773E-01   4975.5 2.725E+04 3.953E+12 1.056E-01 2.835E-01 1.500E+05 0.000E+00 0.000E+00
1.16003880E+00   5033.2 3.178E+04 4.642E+12 1.210E-01 3.145E-01 1.500E+05 0.000E+00 0.000E+00
1.35268997E+00   5100.4 3.706E+04 5.482E+12 1.387E-01 3.500E-01 1.500E+05 0.000E+00 0.000E+00
1.57658828E+00   5178.5 4.319E+04 6.519E+12 1.593E-01 3.911E-01 1.500E+05 0.000E+00 0.000E+00
1.83595371E+00   5270.4 5.030E+04 7.834E+12 1.838E-01 4.397E-01 1.500E+05 0.000E+00 0.000E+00
2.13448421E+00   5377.7 5.848E+04 9.564E+12 2.140E-01 5.000E-01 1.500E+05 2.471E-10 0.000E+00
2.47278330E+00   5507.9 6.775E+04 1.202E+13 2.549E-01 5.850E-01 1.500E+05 1.320E-08 0.000E+00
2.84686189E+00   5659.7 7.799E+04 1.570E+13 3.118E-01 7.036E-01 1.500E+05 3.431E-06 0.000E+00
3.24401998E+00   5850.0 8.888E+04 2.207E+13 4.042E-01 9.018E-01 1.500E+05 5.214E-04 0.000E+00
3.63331745E+00   6099.1 9.954E+04 3.482E+13 5.755E-01 1.230E+00 1.500E+05 1.449E-02 9.602E+02
3.98916891E+00   6352.1 1.093E+05 5.602E+13 8.428E-01 1.634E+00 1.500E+05 8.599E-02 2.251E+03
4.32619935E+00   6551.9 1.185E+05 8.197E+13 1.150E+00 1.993E+00 1.500E+05 1.666E-01 4.966E+03
4.65242309E+00   6773.9 1.275E+05 1.229E+14 1.612E+00 2.545E+00 1.500E+05 2.432E-01 2.282E+04
4.95784209E+00   7027.5 1.358E+05 1.900E+14 2.332E+00 3.367E+00 1.500E+05 3.116E-01 5.649E+04
5.23594180E+00   7308.6 1.434E+05 2.983E+14 3.457E+00 4.574E+00 1.500E+05 3.712E-01 9.034E+04
5.48326758E+00   7621.6 1.502E+05 4.745E+14 5.247E+00 6.409E+00 1.500E+05 4.202E-01 1.386E+05
