 1.80416909E+01   2659.4 1.804E+01 1.243E+08 1.396E-05 1.015E-04 2.000E+05 0.000E+00 0.000E+00
 2.20660189E+01   2680.3 2.206E+01 1.530E+08 1.551E-05 9.727E-05 2.000E+05 0.000E+00 0.000E+00
 2.68869058E+01   2701.1 2.688E+01 1.877E+08 1.729E-05 9.367E-05 2.000E+05 0.000E+00 0.000E+00
 3.26421559E+01   2721.7 3.264E+01 2.294E+08 1.935E-05 9.060E-05 2.000E+05 0.000E+00 0.000E+00
 3.94891005E+01   2741.9 3.948E+01 2.793E+08 2.173E-05 8.821E-05 2.000E+05 0.000E+00 0.000E+00
 4.76013438E+01   2762.2 4.760E+01 3.391E+08 2.451E-05 8.686E-05 2.000E+05 0.000E+00 0.000E+00
 5.71726084E+01   2782.5 5.717E+01 4.103E+08 2.775E-05 8.636E-05 2.000E+05 0.000E+00 0.000E+00
 6.84265556E+01   2802.8 6.842E+01 4.952E+08 3.152E-05 8.611E-05 2.000E+05 0.000E+00 0.000E+00
 8.16190766E+01   2823.4 8.161E+01 5.961E+08 3.591E-05 8.614E-05 2.000E+05 0.000E+00 0.000E+00
 9.70393080E+01   2844.2 9.703E+01 7.161E+08 4.102E-05 8.645E-05 2.000E+05 0.000E+00 0.000E+00
 1.15013331E+02   2864.9 1.150E+02 8.577E+08 4.699E-05 8.736E-05 2.000E+05 0.000E+00 0.000E+00
 1.35901490E+02   2886.2 1.359E+02 1.026E+09 5.402E-05 8.910E-05 2.000E+05 0.000E+00 0.000E+00
 1.60078088E+02   2908.1 1.601E+02 1.226E+09 6.237E-05 9.227E-05 2.000E+05 0.000E+00 0.000E+00
 1.87954537E+02   2930.8 1.879E+02 1.465E+09 7.224E-05 9.589E-05 2.000E+05 0.000E+00 0.000E+00
 2.19994397E+02   2954.5 2.200E+02 1.751E+09 8.395E-05 1.001E-04 2.000E+05 0.000E+00 0.000E+00
 2.56687831E+02   2979.5 2.567E+02 2.094E+09 9.794E-05 1.051E-04 2.000E+05 0.000E+00 0.000E+00
 2.98543247E+02   3006.0 2.985E+02 2.509E+09 1.148E-04 1.111E-04 2.000E+05 0.000E+00 0.000E+00
 3.45978380E+02   3035.3 3.459E+02 3.020E+09 1.357E-04 1.197E-04 2.000E+05 0.000E+00 0.000E+00
 3.99213885E+02   3068.0 3.992E+02 3.662E+09 1.620E-04 1.310E-04 2.000E+05 0.000E+00 0.000E+00
 4.58356719E+02   3104.6 4.583E+02 4.475E+09 1.954E-04 1.446E-04 2.000E+05 0.000E+00 0.000E+00
 5.23399201E+02   3145.7 5.233E+02 5.521E+09 2.383E-04 1.614E-04 2.000E+05 0.000E+00 0.000E+00
 5.93923802E+02   3192.9 5.939E+02 6.906E+09 2.956E-04 1.844E-04 2.000E+05 0.000E+00 0.000E+00
 6.69142581E+02   3246.7 6.691E+02 8.755E+09 3.724E-04 2.140E-04 2.000E+05 0.000E+00 0.000E+00
 7.48262151E+02   3307.3 7.482E+02 1.124E+10 4.751E-04 2.513E-04 2.000E+05 0.000E+00 0.000E+00
 8.30290474E+02   3376.3 8.302E+02 1.462E+10 6.156E-04 3.009E-04 2.000E+05 0.000E+00 0.000E+00
 9.14367703E+02   3453.7 9.142E+02 1.917E+10 8.034E-04 3.626E-04 2.000E+05 0.000E+00 0.000E+00
