
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta     a0      r*
   50  4500  2.50 -0.50  2.00  1.25  0.00   2.647   2.646   0.655   0.478   0.379   0.378   2.547   0.886   0.104
   51  4500  3.00 -0.50  2.00  1.25  0.00   2.605   2.604   0.638   0.477   0.372   0.372   2.535   0.862   0.116
   52  4500  3.50 -0.50  2.00  1.25  0.00   2.599   2.599   0.625   0.488   0.373   0.372   2.519   0.848   0.132
   53  4500  4.00 -0.50  2.00  1.25  0.00   2.627   2.627   0.614   0.510   0.378   0.377   2.501   0.842   0.153
   54  4500  4.50 -0.50  2.00  1.25  0.00   2.677   2.676   0.608   0.537   0.385   0.385   2.480   0.845   0.177
   55  4500  5.00 -0.50  2.00  1.25  0.00   2.685   2.684   0.621   0.521   0.399   0.399   2.464   0.859   0.197
   56  4750  0.00 -0.50  2.00  1.25  0.00   2.974   2.970   0.730   0.466   0.581   0.577   2.583   1.020   0.133
   57  4750  0.50 -0.50  2.00  1.25  0.00   2.810   2.806   0.688   0.449   0.533   0.530   2.579   0.948   0.123
   58  4750  1.00 -0.50  2.00  1.25  0.00   2.660   2.657   0.656   0.431   0.484   0.481   2.576   0.889   0.111
   59  4750  1.50 -0.50  2.00  1.25  0.00   2.534   2.532   0.631   0.416   0.439   0.436   2.571   0.842   0.102
   60  4750  2.00 -0.50  2.00  1.25  0.00   2.435   2.433   0.612   0.404   0.400   0.399   2.565   0.805   0.097
   61  4750  2.50 -0.50  2.00  1.25  0.00   2.364   2.362   0.596   0.399   0.372   0.370   2.559   0.776   0.094
   62  4750  3.00 -0.50  2.00  1.25  0.00   2.320   2.319   0.582   0.400   0.353   0.352   2.551   0.754   0.096
   63  4750  3.50 -0.50  2.00  1.25  0.00   2.306   2.305   0.570   0.410   0.344   0.343   2.542   0.740   0.103
   64  4750  4.00 -0.50  2.00  1.25  0.00   2.321   2.321   0.559   0.429   0.344   0.344   2.530   0.732   0.116
   65  4750  4.50 -0.50  2.00  1.25  0.00   2.362   2.362   0.549   0.456   0.350   0.350   2.516   0.729   0.133
   66  4750  5.00 -0.50  2.00  1.25  0.00   2.408   2.409   0.544   0.479   0.361   0.361   2.500   0.732   0.153
   67  5000  0.00 -0.50  2.00  1.25  0.00   2.721   2.717   0.631   0.386   0.686   0.682   2.586   0.875   0.174
   68  5000  0.50 -0.50  2.00  1.25  0.00   2.563   2.560   0.601   0.371   0.617   0.614   2.583   0.817   0.155
   69  5000  1.00 -0.50  2.00  1.25  0.00   2.418   2.415   0.579   0.354   0.550   0.547   2.580   0.769   0.136
   70  5000  1.50 -0.50  2.00  1.25  0.00   2.294   2.292   0.562   0.340   0.489   0.486   2.575   0.729   0.121
   71  5000  2.00 -0.50  2.00  1.25  0.00   2.196   2.194   0.549   0.331   0.434   0.432   2.571   0.699   0.107
