WL          Excit    loggf   ele      num    
5641.434    4.256    -1.180  FeI      26.0   
5641.489    3.642    -3.079  FeI      26.0   
5649.987    5.100    -0.920  FeI      26.0   
5650.706    5.086    -0.960  FeI      26.0   
5651.469    4.473    -2.000  FeI      26.0   
5652.317    4.260    -1.950  FeI      26.0   
5662.516    4.178    -0.573  FeI      26.0   
5662.938    3.695    -1.975  FeI      26.0   
5667.458    5.064    -1.875  FeI      26.0   
5667.518    4.178    -1.576  FeI      26.0   
5679.023    4.652    -0.920  FeI      26.0   
5679.119    5.033    -2.021  FeI      26.0   
5691.497    4.301    -1.520  FeI      26.0   
5717.833    4.284    -1.130  FeI      26.0   
5731.762    4.256    -1.300  FeI      26.0   
5775.081    4.220    -1.298  FeI      26.0   
6085.258    2.759    -3.095  FeI      26.0   
6271.278    3.332    -2.703  FeI      26.0   
6591.313    4.593    -2.070  FeI      26.0   
6625.021    1.011    -5.350  FeI      26.0   
6625.067    5.320    -6.617  FeI      26.0   
6627.544    4.549    -1.680  FeI      26.0   
6633.412    4.835    -1.490  FeI      26.0   
6646.910    4.435    -5.242  FeI      26.0   
6646.931    2.609    -3.990  FeI      26.0   
6745.100    4.580    -2.160  FeI      26.0   
6745.956    4.076    -2.770  FeI      26.0   
6746.954    2.609    -4.350  FeI      26.0   
6783.704    2.588    -3.980  FeI      26.0   
6786.858    4.191    -2.070  FeI      26.0   
6793.255    4.584    -4.275  FeI      26.0   
6793.258    4.076    -2.326  FeI      26.0   
6796.046    4.186    -2.563  FeI      26.0   
6796.124    4.143    -2.530  FeI      26.0   
5234.610    10.448   -2.697  FeII     26.1   
5234.623    3.221    -2.230  FeII     26.1   
5264.802    3.230    -3.120  FeII     26.1   
5284.071    10.531   -1.381  FeII     26.1   
5284.103    2.891    -2.990  FeII     26.1   
5325.552    3.221    -3.120  FeII     26.1   
5414.070    3.221    -3.540  FeII     26.1   
5425.249    3.199    -3.160  FeII     26.1   
5534.813    11.035   -3.108  FeII     26.1   
5534.838    3.245    -2.730  FeII     26.1   
5534.893    10.545   -0.440  FeII     26.1   
5991.371    3.153    -3.540  FeII     26.1   
6247.557    3.892    -2.310  FeII     26.1   
6247.576    5.956    -4.827  FeII     26.1   
6456.379    3.903    -2.100  FeII     26.1   
5115.392    3.834    -0.110  NiI      28.0   
5129.371    3.679    -0.630  NiI      28.0   
5155.126    3.898    -0.650  NiI      28.0   
5155.764    3.898    0.074   NiI      28.0   
5176.560    3.898    -0.440  NiI      28.0   
5220.291    3.740    -1.310  NiI      28.0   
5392.331    4.154    -1.320  NiI      28.0   
5589.358    3.898    -1.140  NiI      28.0   
5593.735    3.898    -0.840  NiI      28.0   
5625.317    4.089    -0.700  NiI      28.0   
5637.119    4.089    -0.820  NiI      28.0   
5682.199    4.105    -0.470  NiI      28.0   
5748.351    1.676    -3.260  NiI      28.0   
5760.830    4.105    -0.800  NiI      28.0   
5805.217    4.167    -0.640  NiI      28.0   
5831.397    5.004    -5.748  NiI      28.0   
6086.282    4.266    -0.530  NiI      28.0   
6111.070    4.088    -0.870  NiI      28.0   
6130.135    4.266    -0.960  NiI      28.0   
6175.367    4.089    -0.530  NiI      28.0   
6186.711    4.105    -0.960  NiI      28.0   
6259.595    4.089    -1.237  NiI      28.0   
6414.581    4.154    -1.180  NiI      28.0   
6424.852    4.167    -1.355  NiI      28.0   
5105.537    1.389    -1.542  CuI      29.0   
5218.197    3.817    0.364   CuI      29.0   
5220.066    3.817    -0.590  CuI      29.0   
5700.237    1.642    -2.583  CuI      29.0   
6362.338    5.796    0.150   ZnI      30.0   
