 WL             Excit   loggf   Elm_Ion lt
------- ----- ------ --- ----            
6581.22  1.48   -4.68   FeI  26.0
6591.31  4.59   -2.04   FeI  26.0
6593.88  2.43   -2.30   FeI  26.0
6608.04  2.28   -3.96   FeI  26.0
6609.12  2.56   -2.65   FeI  26.0
6627.56  4.55   -1.50   FeI  26.0
6633.76  4.56   -0.81   FeI  26.0
6667.43  2.45   -4.37   FeI  26.0
6667.72  4.58   -2.10   FeI  26.0
6699.14  4.59   -2.11   FeI  26.0
6703.58  2.76   -3.00   FeI  26.0
6704.49  4.22   -2.64   FeI  26.0
6713.75  4.79   -1.41   FeI  26.0
6725.36  4.10   -2.21   FeI  26.0
6726.67  4.61   -1.05   FeI  26.0
6733.15  4.64   -1.44   FeI  26.0
6739.52  1.56   -4.85   FeI  26.0
6745.97  4.07   -2.71   FeI  26.0
6750.16  2.42   -2.58   FeI  26.0
6753.47  4.56   -2.35   FeI  26.0
6756.55  4.29   -2.78   FeI  26.0
6786.86  4.19   -1.90   FeI  26.0
6793.26  4.07   -2.43   FeI  26.0
6796.12  4.14   -2.40   FeI  26.0
6804.30  4.58   -1.85   FeI  26.0
6806.86  2.73   -3.14   FeI  26.0
6810.27  4.61   -1.00   FeI  26.0
5100.66  2.81   -4.16   FeII 26.1
5132.67  2.81   -3.95   FeII 26.1
5136.80  2.84   -4.32   FeII 26.1
5197.58  3.23   -2.23   FeII 26.1
5234.63  3.22   -2.22   FeII 26.1
5264.81  3.34   -3.21   FeII 26.1
5284.11  2.89   -3.01   FeII 26.1
5414.08  3.22   -3.61   FeII 26.1
5425.26  3.20   -3.27   FeII 26.1
5627.50  3.39   -4.14   FeII 26.1
5991.38  3.15   -3.55   FeII 26.1
6084.11  3.20   -3.80   FeII 26.1
6113.33  3.21   -4.12   FeII 26.1
6149.25  3.89   -2.72   FeII 26.1
6239.95  3.89   -3.44   FeII 26.1
6247.56  3.87   -2.32   FeII 26.1
6369.46  2.89   -4.21   FeII 26.1
6416.93  3.89   -2.70   FeII 26.1
6432.68  2.89   -3.58   FeII 26.1
6456.39  3.90   -2.10   FeII 26.1
6516.08  2.89   -3.38   FeII 26.1
