
       Teff log g  [M]  Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
    1  3500  0.00  0.50  2.00  1.25  0.00  -8.837 -11.752 -12.977 -22.077  -2.125   2.573   1.829   1.813
    2  3500  0.50  0.50  2.00  1.25  0.00  -9.146 -11.821 -12.932 -22.077  -2.171   2.328   1.714   1.698
    3  3500  1.00  0.50  2.00  1.25  0.00  -9.451 -11.884 -12.877 -22.077  -2.225   2.079   1.597   1.581
    4  3500  1.50  0.50  2.00  1.25  0.00  -9.744 -11.939 -12.814 -22.077  -2.289   1.834   1.478   1.462
    5  3500  2.00  0.50  2.00  1.25  0.00 -10.013 -11.988 -12.746 -22.077  -2.357   1.606   1.361   1.345
    6  3500  2.50  0.50  2.00  1.25  0.00 -10.246 -12.029 -12.679 -22.077  -2.424   1.409   1.253   1.237
    7  3500  3.00  0.50  2.00  1.25  0.00 -10.425 -12.063 -12.624 -22.077  -2.479   1.258   1.164   1.148
    8  3500  3.50  0.50  2.00  1.25  0.00 -10.540 -12.099 -12.612 -22.077  -2.490   1.175   1.117   1.101
    9  3500  4.00  0.50  2.00  1.25  0.00 -10.683 -12.233 -12.808 -22.077  -2.295   1.169   1.178   1.162
   10  3500  4.50  0.50  2.00  1.25  0.00 -10.840 -12.401 -13.061 -22.077  -2.041   1.185   1.263   1.247
   11  3500  5.00  0.50  2.00  1.25  0.00 -10.879 -12.472 -13.193 -22.077  -1.910   1.219   1.325   1.309
   12  3750  0.00  0.50  2.00  1.25  0.00  -9.468 -12.655 -13.893 -22.376  -1.510   2.853   1.841   1.825
   13  3750  0.50  0.50  2.00  1.25  0.00  -9.776 -12.733 -13.893 -22.376  -1.509   2.618   1.763   1.747
   14  3750  1.00  0.50  2.00  1.25  0.00 -10.069 -12.803 -13.885 -22.376  -1.517   2.389   1.686   1.670
   15  3750  1.50  0.50  2.00  1.25  0.00 -10.346 -12.865 -13.868 -22.376  -1.534   2.170   1.607   1.591
   16  3750  2.00  0.50  2.00  1.25  0.00 -10.604 -12.922 -13.845 -22.376  -1.557   1.963   1.527   1.511
   17  3750  2.50  0.50  2.00  1.25  0.00 -10.835 -12.971 -13.816 -22.376  -1.586   1.777   1.449   1.433
   18  3750  3.00  0.50  2.00  1.25  0.00 -11.031 -13.010 -13.782 -22.376  -1.620   1.615   1.376   1.360
   19  3750  3.50  0.50  2.00  1.25  0.00 -11.187 -13.038 -13.748 -22.376  -1.654   1.483   1.314   1.298
   20  3750  4.00  0.50  2.00  1.25  0.00 -11.305 -13.063 -13.733 -22.376  -1.669   1.387   1.273   1.257
   21  3750  4.50  0.50  2.00  1.25  0.00 -11.434 -13.118 -13.795 -22.376  -1.607   1.313   1.280   1.264
   22  3750  5.00  0.50  2.00  1.25  0.00 -11.566 -13.193 -13.896 -22.376  -1.506   1.256   1.307   1.291
   23  4000  0.00  0.50  2.00  1.25  0.00 -10.211 -13.403 -14.540 -22.656  -1.143   2.857   1.741   1.725
   24  4000  0.50  0.50  2.00  1.25  0.00 -10.503 -13.473 -14.548 -22.656  -1.134   2.631   1.679   1.663
   25  4000  1.00  0.50  2.00  1.25  0.00 -10.778 -13.534 -14.551 -22.656  -1.132   2.414   1.620   1.604
   26  4000  1.50  0.50  2.00  1.25  0.00 -11.032 -13.588 -14.548 -22.656  -1.134   2.210   1.564   1.548
   27  4000  2.00  0.50  2.00  1.25  0.00 -11.260 -13.636 -14.541 -22.656  -1.141   2.025   1.508   1.492
   28  4000  2.50  0.50  2.00  1.25  0.00 -11.461 -13.677 -14.529 -22.656  -1.153   1.862   1.456   1.440
   29  4000  3.00  0.50  2.00  1.25  0.00 -11.633 -13.711 -14.514 -22.656  -1.169   1.720   1.406   1.390
   30  4000  3.50  0.50  2.00  1.25  0.00 -11.774 -13.736 -14.493 -22.656  -1.189   1.601   1.361   1.345
   31  4000  4.00  0.50  2.00  1.25  0.00 -11.884 -13.750 -14.471 -22.656  -1.211   1.503   1.324   1.308
   32  4000  4.50  0.50  2.00  1.25  0.00 -11.978 -13.762 -14.460 -22.656  -1.223   1.418   1.301   1.285
   33  4000  5.00  0.50  2.00  1.25  0.00 -12.098 -13.790 -14.484 -22.656  -1.198   1.325   1.298   1.282
   34  4250  0.00  0.50  2.00  1.25  0.00 -11.180 -14.065 -15.076 -22.920  -0.870   2.545   1.614   1.598
   35  4250  0.50  0.50  2.00  1.25  0.00 -11.417 -14.126 -15.083 -22.920  -0.863   2.366   1.561   1.545
   36  4250  1.00  0.50  2.00  1.25  0.00 -11.648 -14.181 -15.086 -22.920  -0.860   2.187   1.509   1.493
   37  4250  1.50  0.50  2.00  1.25  0.00 -11.861 -14.229 -15.086 -22.920  -0.860   2.020   1.460   1.444
   38  4250  2.00  0.50  2.00  1.25  0.00 -12.049 -14.270 -15.082 -22.920  -0.864   1.870   1.415   1.399
   39  4250  2.50  0.50  2.00  1.25  0.00 -12.208 -14.304 -15.074 -22.920  -0.872   1.741   1.373   1.357
   40  4250  3.00  0.50  2.00  1.25  0.00 -12.337 -14.330 -15.063 -22.920  -0.883   1.635   1.337   1.321
   41  4250  3.50  0.50  2.00  1.25  0.00 -12.438 -14.346 -15.049 -22.920  -0.897   1.548   1.307   1.291
   42  4250  4.00  0.50  2.00  1.25  0.00 -12.513 -14.352 -15.031 -22.920  -0.914   1.477   1.283   1.267
   43  4250  4.50  0.50  2.00  1.25  0.00 -12.570 -14.351 -15.012 -22.920  -0.934   1.417   1.265   1.249
   44  4250  5.00  0.50  2.00  1.25  0.00 -12.632 -14.349 -15.001 -22.920  -0.945   1.352   1.255   1.239
   45  4500  0.00  0.50  2.00  1.25  0.00 -12.238 -14.664 -15.536 -23.168  -0.658   2.080   1.476   1.460
   46  4500  0.50  0.50  2.00  1.25  0.00 -12.399 -14.711 -15.540 -23.168  -0.654   1.964   1.433   1.417
   47  4500  1.00  0.50  2.00  1.25  0.00 -12.567 -14.756 -15.542 -23.168  -0.652   1.838   1.390   1.374
   48  4500  1.50  0.50  2.00  1.25  0.00 -12.732 -14.797 -15.542 -23.168  -0.652   1.712   1.349   1.333
