
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   42  4250  4.00 -0.50  2.00  0.00  0.00 -12.992 -12.971 -14.166 -14.982 -15.171   2.792   2.791   0.688   0.557   0.300   0.299
   43  4250  4.50 -0.50  2.00  0.00  0.00 -12.966 -12.945 -14.151 -14.964 -15.170   2.800   2.798   0.706   0.536   0.314   0.312
   44  4250  5.00 -0.50  2.00  0.00  0.00 -12.966 -12.946 -14.144 -14.943 -15.175   2.779   2.777   0.732   0.497   0.319   0.317
   45  4500  0.00 -0.50  2.00  0.00  0.00 -12.797 -12.779 -14.262 -15.251 -15.582   3.257   3.252   0.831   0.588   0.418   0.413
   46  4500  0.50 -0.50  2.00  0.00  0.00 -13.051 -13.032 -14.411 -15.325 -15.601   3.076   3.072   0.776   0.567   0.388   0.384
   47  4500  1.00 -0.50  2.00  0.00  0.00 -13.265 -13.246 -14.525 -15.374 -15.609   2.911   2.908   0.735   0.543   0.353   0.350
   48  4500  1.50 -0.50  2.00  0.00  0.00 -13.438 -13.418 -14.612 -15.406 -15.610   2.770   2.768   0.704   0.520   0.322   0.319
   49  4500  2.00 -0.50  2.00  0.00  0.00 -13.575 -13.554 -14.678 -15.428 -15.607   2.655   2.653   0.680   0.499   0.295   0.294
   50  4500  2.50 -0.50  2.00  0.00  0.00 -13.676 -13.655 -14.727 -15.444 -15.603   2.570   2.569   0.659   0.486   0.277   0.275
   51  4500  3.00 -0.50  2.00  0.00  0.00 -13.743 -13.722 -14.764 -15.458 -15.600   2.516   2.515   0.642   0.481   0.268   0.267
   52  4500  3.50 -0.50  2.00  0.00  0.00 -13.772 -13.750 -14.783 -15.468 -15.596   2.499   2.498   0.628   0.486   0.268   0.268
   53  4500  4.00 -0.50  2.00  0.00  0.00 -13.761 -13.739 -14.786 -15.476 -15.594   2.517   2.517   0.618   0.501   0.277   0.277
   54  4500  4.50 -0.50  2.00  0.00  0.00 -13.721 -13.699 -14.773 -15.477 -15.592   2.559   2.558   0.614   0.520   0.289   0.289
   55  4500  5.00 -0.50  2.00  0.00  0.00 -13.662 -13.640 -14.741 -15.464 -15.588   2.604   2.603   0.624   0.528   0.299   0.298
   56  4750  0.00 -0.50  2.00  0.00  0.00 -13.561 -13.544 -14.927 -15.725 -15.958   2.965   2.961   0.733   0.494   0.510   0.506
   57  4750  0.50 -0.50  2.00  0.00  0.00 -13.787 -13.769 -15.044 -15.779 -15.970   2.795   2.791   0.691   0.474   0.463   0.459
   58  4750  1.00 -0.50  2.00  0.00  0.00 -13.978 -13.959 -15.133 -15.816 -15.976   2.640   2.637   0.660   0.453   0.413   0.410
   59  4750  1.50 -0.50  2.00  0.00  0.00 -14.131 -14.112 -15.198 -15.840 -15.976   2.511   2.508   0.636   0.435   0.367   0.364
   60  4750  2.00 -0.50  2.00  0.00  0.00 -14.250 -14.230 -15.246 -15.856 -15.974   2.408   2.406   0.618   0.421   0.327   0.325
   61  4750  2.50 -0.50  2.00  0.00  0.00 -14.340 -14.319 -15.280 -15.868 -15.971   2.330   2.329   0.603   0.414   0.295   0.293
