        Teff log g  [M]  Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H)
    50  4500  2.50  0.00  2.00  1.25  0.00 -13.580 -14.998 -15.568 -23.168  -0.628   1.053   1.174   1.158
    51  4500  3.00  0.00  2.00  1.25  0.00 -13.658 -15.018 -15.555 -23.168  -0.641   0.993   1.141   1.125
    52  4500  3.50  0.00  2.00  1.25  0.00 -13.702 -15.029 -15.542 -23.168  -0.654   0.959   1.117   1.101
    53  4500  4.00  0.00  2.00  1.25  0.00 -13.712 -15.029 -15.526 -23.168  -0.670   0.948   1.101   1.085
    54  4500  4.50  0.00  2.00  1.25  0.00 -13.694 -15.019 -15.510 -23.168  -0.686   0.955   1.095   1.079
    55  4500  5.00  0.00  2.00  1.25  0.00 -13.662 -15.000 -15.495 -23.168  -0.701   0.969   1.099   1.083
    56  4750  0.00  0.00  2.00  1.25  0.00 -13.624 -15.308 -15.966 -23.403  -0.465   1.327   1.262   1.246
    57  4750  0.50  0.00  2.00  1.25  0.00 -13.783 -15.359 -15.971 -23.403  -0.460   1.217   1.215   1.199
    58  4750  1.00  0.00  2.00  1.25  0.00 -13.920 -15.397 -15.970 -23.403  -0.460   1.116   1.177   1.161
    59  4750  1.50  0.00  2.00  1.25  0.00 -14.038 -15.427 -15.967 -23.403  -0.464   1.024   1.143   1.127
    60  4750  2.00  0.00  2.00  1.25  0.00 -14.142 -15.451 -15.960 -23.403  -0.471   0.943   1.113   1.097
    61  4750  2.50  0.00  2.00  1.25  0.00 -14.230 -15.473 -15.953 -23.403  -0.478   0.875   1.083   1.067
    62  4750  3.00  0.00  2.00  1.25  0.00 -14.297 -15.492 -15.944 -23.403  -0.486   0.825   1.056   1.040
    63  4750  3.50  0.00  2.00  1.25  0.00 -14.336 -15.504 -15.934 -23.403  -0.497   0.797   1.033   1.017
    64  4750  4.00  0.00  2.00  1.25  0.00 -14.349 -15.510 -15.923 -23.403  -0.508   0.789   1.016   1.000
    65  4750  4.50  0.00  2.00  1.25  0.00 -14.334 -15.506 -15.909 -23.403  -0.522   0.800   1.006   0.990
    66  4750  5.00  0.00  2.00  1.25  0.00 -14.297 -15.494 -15.893 -23.403  -0.538   0.824   1.003   0.987
    67  5000  0.00  0.00  2.00  1.25  0.00 -14.331 -15.785 -16.301 -23.626  -0.353   1.090   1.120   1.104
    68  5000  0.50  0.00  2.00  1.25  0.00 -14.470 -15.824 -16.302 -23.626  -0.352   0.989   1.081   1.065
    69  5000  1.00  0.00  2.00  1.25  0.00 -14.591 -15.855 -16.300 -23.626  -0.354   0.896   1.049   1.033
    70  5000  1.50  0.00  2.00  1.25  0.00 -14.693 -15.878 -16.296 -23.626  -0.358   0.814   1.022   1.006
    71  5000  2.00  0.00  2.00  1.25  0.00 -14.778 -15.895 -16.291 -23.626  -0.363   0.745   0.999   0.983
    72  5000  2.50  0.00  2.00  1.25  0.00 -14.847 -15.910 -16.285 -23.626  -0.369   0.689   0.979   0.963
    73  5000  3.00  0.00  2.00  1.25  0.00 -14.899 -15.922 -16.279 -23.626  -0.375   0.649   0.961   0.945
    74  5000  3.50  0.00  2.00  1.25  0.00 -14.931 -15.931 -16.273 -23.626  -0.381   0.625   0.945   0.929
    75  5000  4.00  0.00  2.00  1.25  0.00 -14.941 -15.936 -16.265 -23.626  -0.388   0.620   0.933   0.917
    76  5000  4.50  0.00  2.00  1.25  0.00 -14.930 -15.936 -16.256 -23.626  -0.397   0.630   0.924   0.908
    77  5000  5.00  0.00  2.00  1.25  0.00 -14.901 -15.931 -16.245 -23.626  -0.408   0.655   0.918   0.902
    78  5250  0.00  0.00  2.00  1.25  0.00 -14.974 -16.238 -16.607 -23.837  -0.258   0.893   0.973   0.957
    79  5250  0.50  0.00  2.00  1.25  0.00 -15.086 -16.262 -16.603 -23.837  -0.263   0.803   0.945   0.929
    80  5250  1.00  0.00  2.00  1.25  0.00 -15.189 -16.281 -16.597 -23.837  -0.268   0.717   0.920   0.904
    81  5250  1.50  0.00  2.00  1.25  0.00 -15.278 -16.295 -16.591 -23.837  -0.274   0.641   0.900   0.884
    82  5250  2.00  0.00  2.00  1.25  0.00 -15.352 -16.305 -16.585 -23.837  -0.281   0.575   0.883   0.867
    83  5250  2.50  0.00  2.00  1.25  0.00 -15.411 -16.312 -16.578 -23.837  -0.287   0.522   0.870   0.854
    84  5250  3.00  0.00  2.00  1.25  0.00 -15.453 -16.317 -16.573 -23.837  -0.293   0.484   0.859   0.843
    85  5250  3.50  0.00  2.00  1.25  0.00 -15.479 -16.319 -16.567 -23.837  -0.298   0.461   0.852   0.836
    86  5250  4.00  0.00  2.00  1.25  0.00 -15.485 -16.320 -16.563 -23.837  -0.303   0.454   0.847   0.831
    87  5250  4.50  0.00  2.00  1.25  0.00 -15.475 -16.318 -16.558 -23.837  -0.308   0.464   0.843   0.827
    88  5250  5.00  0.00  2.00  1.25  0.00 -15.448 -16.315 -16.552 -23.837  -0.314   0.487   0.841   0.825
    89  5500  0.00  0.00  2.00  1.25  0.00 -15.559 -16.665 -16.889 -24.039  -0.179   0.729   0.827   0.811
    90  5500  0.50  0.00  2.00  1.25  0.00 -15.640 -16.672 -16.879 -24.039  -0.189   0.653   0.810   0.794
    91  5500  1.00  0.00  2.00  1.25  0.00 -15.720 -16.678 -16.869 -24.039  -0.198   0.577   0.795   0.779
