
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00  0.00  2.00  0.00  0.00  -8.369  -8.356 -10.829 -12.178 -12.964   4.611   4.603   1.286   0.492   1.053   1.045
    2  3500  0.50  0.00  2.00  0.00  0.00  -8.708  -8.694 -11.092 -12.205 -12.929   4.299   4.291   1.224   0.318   1.213   1.204
    3  3500  1.00  0.00  2.00  0.00  0.00  -9.050  -9.037 -11.340 -12.226 -12.900   3.977   3.969   1.174   0.140   1.347   1.338
    4  3500  1.50  0.00  2.00  0.00  0.00  -9.399  -9.386 -11.582 -12.261 -12.891   3.664   3.655   1.130  -0.022   1.446   1.437
    5  3500  2.00  0.00  2.00  0.00  0.00  -9.751  -9.738 -11.816 -12.320 -12.908   3.370   3.362   1.089  -0.156   1.503   1.494
    6  3500  2.50  0.00  2.00  0.00  0.00 -10.087 -10.073 -12.036 -12.411 -12.960   3.126   3.118   1.049  -0.246   1.517   1.509
    7  3500  3.00  0.00  2.00  0.00  0.00 -10.394 -10.380 -12.240 -12.532 -13.045   2.940   2.932   1.013  -0.291   1.494   1.487
    8  3500  3.50  0.00  2.00  0.00  0.00 -10.658 -10.643 -12.405 -12.679 -13.168   2.823   2.816   0.990  -0.287   1.415   1.408
    9  3500  4.00  0.00  2.00  0.00  0.00 -10.880 -10.864 -12.529 -12.842 -13.326   2.764   2.758   0.984  -0.242   1.278   1.272
   10  3500  4.50  0.00  2.00  0.00  0.00 -11.029 -11.013 -12.589 -12.986 -13.470   2.758   2.753   0.984  -0.159   1.106   1.100
   11  3500  5.00  0.00  2.00  0.00  0.00 -11.048 -11.030 -12.559 -13.069 -13.560   2.824   2.819   0.991  -0.051   0.942   0.937
   12  3750  0.00  0.00  2.00  0.00  0.00  -9.247  -9.232 -11.638 -13.301 -13.969   4.856   4.848   1.168   0.923   0.671   0.663
   13  3750  0.50  0.00  2.00  0.00  0.00  -9.563  -9.549 -11.849 -13.352 -13.965   4.591   4.584   1.113   0.819   0.726   0.718
   14  3750  1.00  0.00  2.00  0.00  0.00  -9.863  -9.849 -12.044 -13.384 -13.951   4.323   4.315   1.067   0.702   0.783   0.775
   15  3750  1.50  0.00  2.00  0.00  0.00 -10.149 -10.135 -12.227 -13.409 -13.935   4.062   4.054   1.026   0.584   0.838   0.830
   16  3750  2.00  0.00  2.00  0.00  0.00 -10.433 -10.418 -12.404 -13.434 -13.921   3.803   3.795   0.988   0.470   0.885   0.877
