
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -1.00  2.00  0.00  0.00  -8.547  -8.534 -10.848 -12.405 -13.239   4.660   4.652   1.334   0.653   0.685   0.676
    2  3500  0.50 -1.00  2.00  0.00  0.00  -9.065  -9.051 -11.235 -12.638 -13.356   4.375   4.367   1.218   0.614   0.709   0.701
    3  3500  1.00 -1.00  2.00  0.00  0.00  -9.571  -9.557 -11.580 -12.830 -13.455   4.061   4.053   1.125   0.554   0.701   0.692
    4  3500  1.50 -1.00  2.00  0.00  0.00 -10.024 -10.009 -11.872 -12.990 -13.544   3.768   3.760   1.054   0.492   0.673   0.666
    5  3500  2.00 -1.00  2.00  0.00  0.00 -10.405 -10.390 -12.112 -13.127 -13.626   3.524   3.517   0.999   0.444   0.635   0.628
    6  3500  2.50 -1.00  2.00  0.00  0.00 -10.685 -10.669 -12.281 -13.228 -13.698   3.345   3.339   0.970   0.406   0.591   0.585
    7  3500  3.00 -1.00  2.00  0.00  0.00 -10.862 -10.845 -12.363 -13.275 -13.757   3.216   3.210   0.981   0.360   0.531   0.525
    8  3500  3.50 -1.00  2.00  0.00  0.00 -10.958 -10.941 -12.389 -13.308 -13.803   3.153   3.147   0.995   0.353   0.455   0.450
    9  3500  4.00 -1.00  2.00  0.00  0.00 -10.971 -10.953 -12.355 -13.317 -13.819   3.148   3.144   1.002   0.389   0.364   0.360
   10  3500  4.50 -1.00  2.00  0.00  0.00 -10.914 -10.895 -12.263 -13.307 -13.814   3.195   3.191   1.008   0.465   0.248   0.245
   11  3500  5.00 -1.00  2.00  0.00  0.00 -10.774 -10.754 -12.105 -13.274 -13.790   3.302   3.299   1.017   0.581   0.105   0.102
   12  3750  0.00 -1.00  2.00  0.00  0.00  -9.687  -9.672 -11.790 -13.274 -13.960   4.389   4.382   1.186   0.727   0.560   0.553
   13  3750  0.50 -1.00  2.00  0.00  0.00 -10.101 -10.086 -12.070 -13.440 -14.027   4.141   4.134   1.087   0.712   0.541   0.534
   14  3750  1.00 -1.00  2.00  0.00  0.00 -10.491 -10.475 -12.311 -13.567 -14.077   3.879   3.872   1.010   0.676   0.506   0.499
   15  3750  1.50 -1.00  2.00  0.00  0.00 -10.841 -10.825 -12.520 -13.672 -14.123   3.633   3.626   0.952   0.629   0.469   0.463
   16  3750  2.00 -1.00  2.00  0.00  0.00 -11.149 -11.132 -12.703 -13.763 -14.169   3.417   3.411   0.906   0.583   0.436   0.431
   17  3750  2.50 -1.00  2.00  0.00  0.00 -11.385 -11.368 -12.848 -13.841 -14.215   3.258   3.253   0.874   0.548   0.412   0.407
   18  3750  3.00 -1.00  2.00  0.00  0.00 -11.540 -11.522 -12.939 -13.886 -14.252   3.149   3.145   0.866   0.510   0.395   0.391
   19  3750  3.50 -1.00  2.00  0.00  0.00 -11.640 -11.622 -12.983 -13.893 -14.282   3.055   3.051   0.889   0.450   0.375   0.371
   20  3750  4.00 -1.00  2.00  0.00  0.00 -11.715 -11.696 -13.009 -13.905 -14.310   2.993   2.989   0.905   0.421   0.340   0.336
   21  3750  4.50 -1.00  2.00  0.00  0.00 -11.727 -11.709 -12.986 -13.909 -14.321   2.984   2.980   0.912   0.440   0.279   0.275
   22  3750  5.00 -1.00  2.00  0.00  0.00 -11.675 -11.656 -12.910 -13.900 -14.318   3.027   3.024   0.917   0.502   0.187   0.184
   23  4000  0.00 -1.00  2.00  0.00  0.00 -10.916 -10.899 -12.766 -14.033 -14.586   3.919   3.914   1.053   0.643   0.525   0.520
   24  4000  0.50 -1.00  2.00  0.00  0.00 -11.299 -11.282 -13.010 -14.174 -14.634   3.677   3.672   0.960   0.632   0.490   0.485
   25  4000  1.00 -1.00  2.00  0.00  0.00 -11.635 -11.618 -13.201 -14.272 -14.662   3.439   3.434   0.891   0.609   0.437   0.432
   26  4000  1.50 -1.00  2.00  0.00  0.00 -11.903 -11.885 -13.340 -14.337 -14.678   3.236   3.232   0.841   0.585   0.382   0.379
