
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta     a0      r*
   45  4500  0.00  0.00  4.00  1.25  0.00   3.869   3.865   0.931   0.822   0.360   0.356   2.611   1.381   0.013
   46  4500  0.50  0.00  4.00  1.25  0.00   3.741   3.738   0.884   0.796   0.378   0.374   2.607   1.311   0.027
   47  4500  1.00  0.00  4.00  1.25  0.00   3.608   3.605   0.845   0.762   0.393   0.390   2.602   1.249   0.040
   48  4500  1.50  0.00  4.00  1.25  0.00   3.479   3.476   0.811   0.725   0.406   0.403   2.593   1.192   0.056
   49  4500  2.00  0.00  4.00  1.25  0.00   3.360   3.358   0.781   0.689   0.418   0.416   2.582   1.140   0.074
   50  4500  2.50  0.00  4.00  1.25  0.00   3.259   3.257   0.755   0.658   0.431   0.429   2.567   1.096   0.095
   51  4500  3.00  0.00  4.00  1.25  0.00   3.183   3.180   0.731   0.639   0.442   0.440   2.549   1.059   0.119
   52  4500  3.50  0.00  4.00  1.25  0.00   3.132   3.130   0.710   0.631   0.450   0.447   2.529   1.028   0.143
   53  4500  4.00  0.00  4.00  1.25  0.00   3.108   3.106   0.691   0.634   0.456   0.454   2.504   1.005   0.172
   54  4500  4.50  0.00  4.00  1.25  0.00   3.105   3.103   0.676   0.646   0.459   0.457   2.476   0.989   0.202
   55  4500  5.00  0.00  4.00  1.25  0.00   3.097   3.095   0.669   0.648   0.462   0.460   2.449   0.981   0.230
   56  4750  0.00  0.00  4.00  1.25  0.00   3.459   3.455   0.815   0.707   0.413   0.410   2.610   1.192   0.041
   57  4750  0.50  0.00  4.00  1.25  0.00   3.335   3.332   0.779   0.681   0.413   0.410   2.607   1.134   0.047
   58  4750  1.00  0.00  4.00  1.25  0.00   3.216   3.213   0.750   0.651   0.412   0.409   2.604   1.083   0.052
   59  4750  1.50  0.00  4.00  1.25  0.00   3.104   3.102   0.725   0.622   0.409   0.407   2.598   1.038   0.059
   60  4750  2.00  0.00  4.00  1.25  0.00   3.004   3.002   0.702   0.596   0.406   0.404   2.592   0.997   0.065
   61  4750  2.50  0.00  4.00  1.25  0.00   2.917   2.916   0.682   0.574   0.404   0.403   2.582   0.962   0.076
   62  4750  3.00  0.00  4.00  1.25  0.00   2.849   2.847   0.662   0.559   0.405   0.404   2.571   0.929   0.089
   63  4750  3.50  0.00  4.00  1.25  0.00   2.800   2.799   0.643   0.553   0.407   0.405   2.557   0.902   0.105
   64  4750  4.00  0.00  4.00  1.25  0.00   2.773   2.772   0.625   0.556   0.408   0.407   2.540   0.879   0.124
   65  4750  4.50  0.00  4.00  1.25  0.00   2.771   2.770   0.608   0.572   0.408   0.408   2.520   0.861   0.145
   66  4750  5.00  0.00  4.00  1.25  0.00   2.787   2.786   0.594   0.595   0.407   0.406   2.497   0.850   0.169
   67  5000  0.00  0.00  4.00  1.25  0.00   3.164   3.160   0.702   0.614   0.531   0.527   2.611   1.026   0.089
   68  5000  0.50  0.00  4.00  1.25  0.00   3.036   3.032   0.676   0.586   0.510   0.506   2.608   0.977   0.087
   69  5000  1.00  0.00  4.00  1.25  0.00   2.914   2.911   0.655   0.557   0.489   0.486   2.605   0.934   0.084
   70  5000  1.50  0.00  4.00  1.25  0.00   2.804   2.801   0.638   0.529   0.467   0.465   2.601   0.897   0.082
   71  5000  2.00  0.00  4.00  1.25  0.00   2.708   2.706   0.623   0.507   0.445   0.443   2.595   0.865   0.081
   72  5000  2.50  0.00  4.00  1.25  0.00   2.627   2.625   0.610   0.491   0.423   0.421   2.589   0.837   0.081
   73  5000  3.00  0.00  4.00  1.25  0.00   2.564   2.562   0.597   0.482   0.404   0.402   2.581   0.813   0.083
   74  5000  3.50  0.00  4.00  1.25  0.00   2.517   2.516   0.583   0.480   0.390   0.388   2.572   0.791   0.088
   75  5000  4.00  0.00  4.00  1.25  0.00   2.491   2.490   0.568   0.486   0.380   0.379   2.561   0.771   0.097
   76  5000  4.50  0.00  4.00  1.25  0.00   2.485   2.484   0.553   0.501   0.375   0.374   2.548   0.755   0.109
   77  5000  5.00  0.00  4.00  1.25  0.00   2.497   2.497   0.539   0.523   0.371   0.371   2.532   0.743   0.125
   78  5250  0.00  0.00  4.00  1.25  0.00   2.943   2.939   0.598   0.534   0.676   0.672   2.616   0.882   0.142
   79  5250  0.50  0.00  4.00  1.25  0.00   2.815   2.812   0.581   0.509   0.633   0.630   2.614   0.842   0.131
   80  5250  1.00  0.00  4.00  1.25  0.00   2.690   2.687   0.567   0.481   0.592   0.589   2.611   0.806   0.120
   81  5250  1.50  0.00  4.00  1.25  0.00   2.576   2.573   0.556   0.455   0.552   0.549   2.606   0.774   0.112
   82  5250  2.00  0.00  4.00  1.25  0.00   2.475   2.473   0.547   0.433   0.511   0.509   2.601   0.747   0.104
   83  5250  2.50  0.00  4.00  1.25  0.00   2.389   2.388   0.540   0.418   0.471   0.469   2.595   0.725   0.096
   84  5250  3.00  0.00  4.00  1.25  0.00   2.322   2.320   0.533   0.411   0.432   0.430   2.589   0.705   0.089
   85  5250  3.50  0.00  4.00  1.25  0.00   2.271   2.270   0.525   0.411   0.397   0.396   2.582   0.688   0.085
   86  5250  4.00  0.00  4.00  1.25  0.00   2.242   2.240   0.516   0.419   0.370   0.369   2.574   0.674   0.084
   87  5250  4.50  0.00  4.00  1.25  0.00   2.231   2.230   0.505   0.435   0.350   0.349   2.565   0.661   0.087
   88  5250  5.00  0.00  4.00  1.25  0.00   2.239   2.239   0.493   0.457   0.337   0.337   2.554   0.651   0.094
   89  5500  0.00  0.00  4.00  1.25  0.00   2.779   2.776   0.505   0.464   0.839   0.835   2.626   0.759   0.196
   90  5500  0.50  0.00  4.00  1.25  0.00   2.655   2.652   0.496   0.442   0.777   0.774   2.624   0.728   0.177
