
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   42  4250  4.00  0.00  0.00  0.00  0.00 -12.585 -12.565 -14.073 -14.936 -15.120   3.153   3.151   0.685   0.606   0.569   0.567
   43  4250  4.50  0.00  0.00  0.00  0.00 -12.563 -12.544 -14.050 -14.912 -15.109   3.150   3.148   0.697   0.594   0.567   0.564
   44  4250  5.00  0.00  0.00  0.00  0.00 -12.633 -12.614 -14.060 -14.886 -15.114   3.055   3.052   0.728   0.527   0.542   0.540
   45  4500  0.00  0.00  0.00  0.00  0.00 -12.801 -12.781 -14.337 -15.291 -15.581   3.293   3.290   0.789   0.594   0.524   0.522
   46  4500  0.50  0.00  0.00  0.00  0.00 -13.006 -12.985 -14.444 -15.345 -15.590   3.141   3.140   0.745   0.585   0.480   0.478
   47  4500  1.00  0.00  0.00  0.00  0.00 -13.183 -13.162 -14.531 -15.384 -15.593   3.003   3.002   0.710   0.572   0.437   0.436
   48  4500  1.50  0.00  0.00  0.00  0.00 -13.328 -13.306 -14.601 -15.412 -15.594   2.887   2.886   0.682   0.558   0.405   0.404
   49  4500  2.00  0.00  0.00  0.00  0.00 -13.437 -13.416 -14.657 -15.433 -15.592   2.797   2.797   0.660   0.544   0.387   0.387
   50  4500  2.50  0.00  0.00  0.00  0.00 -13.511 -13.489 -14.700 -15.447 -15.589   2.738   2.738   0.642   0.535   0.383   0.383
   51  4500  3.00  0.00  0.00  0.00  0.00 -13.544 -13.522 -14.725 -15.457 -15.584   2.714   2.714   0.628   0.533   0.391   0.391
   52  4500  3.50  0.00  0.00  0.00  0.00 -13.536 -13.514 -14.731 -15.461 -15.579   2.727   2.727   0.617   0.541   0.407   0.407
   53  4500  4.00  0.00  0.00  0.00  0.00 -13.491 -13.469 -14.717 -15.460 -15.571   2.770   2.770   0.611   0.560   0.426   0.426
   54  4500  4.50  0.00  0.00  0.00  0.00 -13.421 -13.399 -14.687 -15.451 -15.561   2.832   2.832   0.609   0.584   0.444   0.444
   55  4500  5.00  0.00  0.00  0.00  0.00 -13.362 -13.340 -14.654 -15.432 -15.551   2.872   2.871   0.619   0.587   0.457   0.456
   56  4750  0.00  0.00  0.00  0.00  0.00 -13.625 -13.606 -15.001 -15.757 -15.967   2.934   2.931   0.709   0.476   0.562   0.559
   57  4750  0.50  0.00  0.00  0.00  0.00 -13.805 -13.785 -15.082 -15.795 -15.971   2.792   2.790   0.676   0.466   0.507   0.504
   58  4750  1.00  0.00  0.00  0.00  0.00 -13.957 -13.936 -15.145 -15.823 -15.972   2.668   2.667   0.648   0.459   0.451   0.450
   59  4750  1.50  0.00  0.00  0.00  0.00 -14.080 -14.059 -15.193 -15.844 -15.970   2.566   2.565   0.626   0.454   0.403   0.402
   60  4750  2.00  0.00  0.00  0.00  0.00 -14.176 -14.154 -15.230 -15.860 -15.968   2.487   2.486   0.607   0.452   0.367   0.366
   61  4750  2.50  0.00  0.00  0.00  0.00 -14.245 -14.223 -15.260 -15.873 -15.964   2.431   2.431   0.591   0.452   0.343   0.343
   62  4750  3.00  0.00  0.00  0.00  0.00 -14.285 -14.263 -15.280 -15.884 -15.961   2.402   2.402   0.576   0.457   0.333   0.333
   63  4750  3.50  0.00  0.00  0.00  0.00 -14.293 -14.271 -15.289 -15.893 -15.957   2.402   2.402   0.564   0.468   0.335   0.335
   64  4750  4.00  0.00  0.00  0.00  0.00 -14.268 -14.245 -15.285 -15.898 -15.953   2.432   2.433   0.555   0.488   0.345   0.346
   65  4750  4.50  0.00  0.00  0.00  0.00 -14.212 -14.190 -15.265 -15.900 -15.948   2.489   2.490   0.548   0.516   0.359   0.359
   66  4750  5.00  0.00  0.00  0.00  0.00 -14.138 -14.116 -15.233 -15.897 -15.941   2.560   2.561   0.545   0.548   0.373   0.374
   67  5000  0.00  0.00  0.00  0.00  0.00 -14.287 -14.268 -15.600 -16.186 -16.308   2.701   2.698   0.622   0.393   0.670   0.666
   68  5000  0.50  0.00  0.00  0.00  0.00 -14.454 -14.434 -15.658 -16.209 -16.307   2.557   2.555   0.598   0.382   0.595   0.592
   69  5000  1.00  0.00  0.00  0.00  0.00 -14.596 -14.576 -15.701 -16.224 -16.305   2.430   2.428   0.580   0.372   0.524   0.522
   70  5000  1.50  0.00  0.00  0.00  0.00 -14.712 -14.691 -15.732 -16.235 -16.301   2.325   2.324   0.566   0.366   0.460   0.458
   71  5000  2.00  0.00  0.00  0.00  0.00 -14.801 -14.780 -15.754 -16.243 -16.297   2.244   2.243   0.553   0.365   0.405   0.404
   72  5000  2.50  0.00  0.00  0.00  0.00 -14.867 -14.846 -15.769 -16.251 -16.293   2.186   2.185   0.542   0.369   0.361   0.361
   73  5000  3.00  0.00  0.00  0.00  0.00 -14.909 -14.887 -15.778 -16.258 -16.289   2.152   2.151   0.531   0.379   0.330   0.330
   74  5000  3.50  0.00  0.00  0.00  0.00 -14.926 -14.904 -15.781 -16.266 -16.286   2.142   2.142   0.520   0.394   0.312   0.312
   75  5000  4.00  0.00  0.00  0.00  0.00 -14.916 -14.894 -15.777 -16.274 -16.284   2.160   2.160   0.510   0.415   0.306   0.307
   76  5000  4.50  0.00  0.00  0.00  0.00 -14.879 -14.856 -15.763 -16.280 -16.282   2.203   2.204   0.502   0.444   0.309   0.310
   77  5000  5.00  0.00  0.00  0.00  0.00 -14.821 -14.798 -15.741 -16.284 -16.279   2.265   2.266   0.495   0.478   0.318   0.319
   78  5250  0.00  0.00  0.00  0.00  0.00 -14.834 -14.815 -16.139 -16.577 -16.614   2.545   2.541   0.538   0.329   0.809   0.805
   79  5250  0.50  0.00  0.00  0.00  0.00 -14.987 -14.968 -16.173 -16.586 -16.609   2.402   2.399   0.523   0.320   0.715   0.712
   80  5250  1.00  0.00  0.00  0.00  0.00 -15.123 -15.104 -16.199 -16.592 -16.603   2.270   2.268   0.511   0.310   0.625   0.623
   81  5250  1.50  0.00  0.00  0.00  0.00 -15.238 -15.217 -16.216 -16.594 -16.597   2.158   2.156   0.503   0.303   0.544   0.542
   82  5250  2.00  0.00  0.00  0.00  0.00 -15.330 -15.309 -16.227 -16.594 -16.590   2.066   2.064   0.496   0.300   0.472   0.470
   83  5250  2.50  0.00  0.00  0.00  0.00 -15.400 -15.379 -16.231 -16.594 -16.585   1.996   1.995   0.491   0.301   0.410   0.409
   84  5250  3.00  0.00  0.00  0.00  0.00 -15.448 -15.427 -16.231 -16.596 -16.580   1.950   1.949   0.484   0.310   0.360   0.359
   85  5250  3.50  0.00  0.00  0.00  0.00 -15.474 -15.452 -16.226 -16.600 -16.577   1.928   1.927   0.478   0.325   0.321   0.320
   86  5250  4.00  0.00  0.00  0.00  0.00 -15.475 -15.453 -16.217 -16.605 -16.576   1.932   1.932   0.471   0.346   0.296   0.295
   87  5250  4.50  0.00  0.00  0.00  0.00 -15.453 -15.431 -16.203 -16.612 -16.575   1.961   1.961   0.463   0.375   0.283   0.283
