
       Teff log g  [M]  Vturb  l/H   small     big    beta
    1  3500  0.00  0.00  0.00  0.00 -12.667 -12.680   2.528
    2  3500  0.50  0.00  0.00  0.00 -12.685 -12.700   2.531
    3  3500  1.00  0.00  0.00  0.00 -12.677 -12.697   2.536
    4  3500  1.50  0.00  0.00  0.00 -12.653 -12.677   2.543
    5  3500  2.00  0.00  0.00  0.00 -12.619 -12.648   2.549
    6  3500  2.50  0.00  0.00  0.00 -12.581 -12.612   2.552
    7  3500  3.00  0.00  0.00  0.00 -12.591 -12.616   2.545
    8  3500  3.50  0.00  0.00  0.00 -12.768 -12.774   2.518
    9  3500  4.00  0.00  0.00  0.00 -12.934 -12.923   2.496
   10  3500  4.50  0.00  0.00  0.00 -13.004 -12.980   2.478
   11  3500  5.00  0.00  0.00  0.00 -13.028 -12.988   2.456
   12  3750  0.00  0.00  0.00  0.00 -13.631 -13.633   2.513
   13  3750  0.50  0.00  0.00  0.00 -13.672 -13.665   2.500
   14  3750  1.00  0.00  0.00  0.00 -13.693 -13.677   2.488
   15  3750  1.50  0.00  0.00  0.00 -13.698 -13.674   2.477
   16  3750  2.00  0.00  0.00  0.00 -13.691 -13.660   2.468
   17  3750  2.50  0.00  0.00  0.00 -13.675 -13.638   2.461
   18  3750  3.00  0.00  0.00  0.00 -13.652 -13.610   2.453
   19  3750  3.50  0.00  0.00  0.00 -13.644 -13.595   2.444
   20  3750  4.00  0.00  0.00  0.00 -13.700 -13.648   2.439
   21  3750  4.50  0.00  0.00  0.00 -13.769 -13.716   2.438
   22  3750  5.00  0.00  0.00  0.00 -13.801 -13.745   2.434
   23  4000  0.00  0.00  0.00  0.00 -14.335 -14.358   2.541
   24  4000  0.50  0.00  0.00  0.00 -14.379 -14.393   2.529
   25  4000  1.00  0.00  0.00  0.00 -14.406 -14.410   2.515
   26  4000  1.50  0.00  0.00  0.00 -14.421 -14.413   2.499
   27  4000  2.00  0.00  0.00  0.00 -14.426 -14.406   2.483
   28  4000  2.50  0.00  0.00  0.00 -14.424 -14.391   2.465
   29  4000  3.00  0.00  0.00  0.00 -14.415 -14.369   2.447
   30  4000  3.50  0.00  0.00  0.00 -14.399 -14.339   2.429
   31  4000  4.00  0.00  0.00  0.00 -14.384 -14.315   2.415
   32  4000  4.50  0.00  0.00  0.00 -14.392 -14.323   2.417
   33  4000  5.00  0.00  0.00  0.00 -14.418 -14.353   2.422
   34  4250  0.00  0.00  0.00  0.00 -14.909 -14.945   2.558
   35  4250  0.50  0.00  0.00  0.00 -14.947 -14.977   2.552
   36  4250  1.00  0.00  0.00  0.00 -14.971 -14.996   2.544
   37  4250  1.50  0.00  0.00  0.00 -14.987 -15.003   2.533
   38  4250  2.00  0.00  0.00  0.00 -14.996 -15.003   2.519
   39  4250  2.50  0.00  0.00  0.00 -15.001 -14.996   2.504
   40  4250  3.00  0.00  0.00  0.00 -15.001 -14.983   2.485
   41  4250  3.50  0.00  0.00  0.00 -14.996 -14.962   2.464
   42  4250  4.00  0.00  0.00  0.00 -14.985 -14.934   2.441
   43  4250  4.50  0.00  0.00  0.00 -14.968 -14.905   2.424
   44  4250  5.00  0.00  0.00  0.00 -14.959 -14.894   2.422
