 5.35146511E+00   2632.3 5.350E+00 1.099E+08 1.811E-05 2.445E-04 0.000E+00 0.000E+00 0.000E+00 5.029E+05
 6.67235796E+00   2652.6 6.670E+00 1.371E+08 1.975E-05 2.354E-04 0.000E+00 0.000E+00 0.000E+00 5.016E+05
 8.28342497E+00   2672.8 8.281E+00 1.703E+08 2.164E-05 2.275E-04 0.000E+00 0.000E+00 0.000E+00 5.008E+05
 1.02392431E+01   2693.1 1.024E+01 2.108E+08 2.382E-05 2.200E-04 0.000E+00 0.000E+00 0.000E+00 5.003E+05
 1.26030198E+01   2712.7 1.260E+01 2.595E+08 2.634E-05 2.126E-04 0.000E+00 0.000E+00 0.000E+00 5.000E+05
 1.54459951E+01   2732.7 1.544E+01 3.185E+08 2.928E-05 2.070E-04 0.000E+00 0.000E+00 0.000E+00 5.000E+05
 1.88477633E+01   2753.1 1.884E+01 3.898E+08 3.272E-05 2.028E-04 0.000E+00 0.000E+00 0.000E+00 5.004E+05
 2.28969965E+01   2773.1 2.289E+01 4.748E+08 3.674E-05 2.000E-04 0.000E+00 0.000E+00 0.000E+00 5.008E+05
 2.76938212E+01   2793.6 2.769E+01 5.767E+08 4.145E-05 1.968E-04 0.000E+00 0.000E+00 0.000E+00 5.015E+05
 3.33525346E+01   2814.2 3.334E+01 6.982E+08 4.694E-05 1.929E-04 0.000E+00 0.000E+00 0.000E+00 5.024E+05
 4.00022400E+01   2834.8 3.999E+01 8.423E+08 5.337E-05 1.891E-04 0.000E+00 0.000E+00 0.000E+00 5.034E+05
 4.77867479E+01   2856.0 4.778E+01 1.014E+09 6.090E-05 1.864E-04 0.000E+00 0.000E+00 0.000E+00 5.046E+05
 5.68680302E+01   2877.7 5.686E+01 1.218E+09 6.973E-05 1.848E-04 0.000E+00 0.000E+00 0.000E+00 5.060E+05
 6.74227151E+01   2899.7 6.741E+01 1.460E+09 8.017E-05 1.849E-04 0.000E+00 0.000E+00 0.000E+00 5.076E+05
 7.96429631E+01   2922.2 7.963E+01 1.747E+09 9.248E-05 1.853E-04 0.000E+00 0.000E+00 0.000E+00 5.094E+05
 9.37515510E+01   2945.3 9.373E+01 2.088E+09 1.069E-04 1.860E-04 0.000E+00 0.000E+00 0.000E+00 5.114E+05
 1.10001810E+02   2968.8 1.100E+02 2.491E+09 1.240E-04 1.875E-04 0.000E+00 0.000E+00 0.000E+00 5.135E+05
 1.28671388E+02   2993.0 1.286E+02 2.970E+09 1.441E-04 1.907E-04 0.000E+00 0.000E+00 0.000E+00 5.158E+05
 1.50065477E+02   3018.2 1.500E+02 3.541E+09 1.679E-04 1.958E-04 0.000E+00 0.000E+00 0.000E+00 5.185E+05
 1.74458184E+02   3045.4 1.744E+02 4.234E+09 1.971E-04 2.055E-04 0.000E+00 0.000E+00 0.000E+00 5.216E+05
 2.02102804E+02   3074.5 2.021E+02 5.075E+09 2.324E-04 2.166E-04 0.000E+00 0.000E+00 0.000E+00 5.253E+05
 2.33287073E+02   3105.9 2.332E+02 6.105E+09 2.754E-04 2.295E-04 0.000E+00 0.000E+00 0.000E+00 5.295E+05
 2.68280444E+02   3139.9 2.682E+02 7.379E+09 3.283E-04 2.453E-04 0.000E+00 0.000E+00 0.000E+00 5.344E+05
 3.07247050E+02   3177.9 3.072E+02 8.991E+09 3.953E-04 2.671E-04 0.000E+00 0.000E+00 0.000E+00 5.402E+05
 3.50080466E+02   3221.4 3.500E+02 1.109E+10 4.831E-04 2.978E-04 0.000E+00 0.000E+00 0.000E+00 5.472E+05
 3.96536028E+02   3270.3 3.964E+02 1.383E+10 5.975E-04 3.360E-04 0.000E+00 0.000E+00 0.000E+00 5.554E+05
