
       Teff log g  [M]  Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
    1  3500  0.00  0.00  0.00  0.00  0.00  -9.202 -11.990 -13.131 -22.077  -1.971   2.444   1.745   1.729
    2  3500  0.50  0.00  0.00  0.00  0.00  -9.537 -12.089 -13.119 -22.077  -1.984   2.202   1.634   1.618
    3  3500  1.00  0.00  0.00  0.00  0.00  -9.848 -12.165 -13.093 -22.077  -2.010   1.962   1.531   1.515
    4  3500  1.50  0.00  0.00  0.00  0.00 -10.118 -12.223 -13.058 -22.077  -2.045   1.743   1.438   1.422
    5  3500  2.00  0.00  0.00  0.00  0.00 -10.337 -12.263 -13.017 -22.077  -2.085   1.559   1.358   1.342
    6  3500  2.50  0.00  0.00  0.00  0.00 -10.495 -12.286 -12.977 -22.077  -2.125   1.421   1.295   1.279
    7  3500  3.00  0.00  0.00  0.00  0.00 -10.607 -12.313 -12.991 -22.077  -2.112   1.334   1.281   1.265
    8  3500  3.50  0.00  0.00  0.00  0.00 -10.776 -12.430 -13.170 -22.077  -1.932   1.283   1.344   1.328
    9  3500  4.00  0.00  0.00  0.00  0.00 -10.918 -12.539 -13.329 -22.077  -1.773   1.251   1.394   1.378
   10  3500  4.50  0.00  0.00  0.00  0.00 -10.945 -12.567 -13.395 -22.077  -1.708   1.254   1.432   1.416
   11  3500  5.00  0.00  0.00  0.00  0.00 -10.884 -12.549 -13.416 -22.077  -1.687   1.299   1.471   1.455
   12  3750  0.00  0.00  0.00  0.00  0.00 -10.046 -12.897 -13.972 -22.376  -1.431   2.509   1.678   1.662
   13  3750  0.50  0.00  0.00  0.00  0.00 -10.361 -12.983 -13.981 -22.376  -1.422   2.276   1.601   1.585
   14  3750  1.00  0.00  0.00  0.00  0.00 -10.642 -13.050 -13.979 -22.376  -1.423   2.057   1.533   1.517
   15  3750  1.50  0.00  0.00  0.00  0.00 -10.882 -13.101 -13.970 -22.376  -1.433   1.864   1.473   1.457
   16  3750  2.00  0.00  0.00  0.00  0.00 -11.076 -13.137 -13.954 -22.376  -1.448   1.703   1.420   1.404
   17  3750  2.50  0.00  0.00  0.00  0.00 -11.223 -13.160 -13.933 -22.376  -1.470   1.576   1.376   1.360
   18  3750  3.00  0.00  0.00  0.00  0.00 -11.322 -13.168 -13.909 -22.376  -1.494   1.482   1.344   1.328
   19  3750  3.50  0.00  0.00  0.00  0.00 -11.399 -13.171 -13.907 -22.376  -1.495   1.406   1.340   1.324
   20  3750  4.00  0.00  0.00  0.00  0.00 -11.528 -13.210 -13.975 -22.376  -1.427   1.316   1.368   1.352
   21  3750  4.50  0.00  0.00  0.00  0.00 -11.656 -13.267 -14.049 -22.376  -1.354   1.245   1.385   1.369
   22  3750  5.00  0.00  0.00  0.00  0.00 -11.712 -13.291 -14.082 -22.376  -1.321   1.212   1.394   1.378
   23  4000  0.00  0.00  0.00  0.00  0.00 -11.059 -13.663 -14.603 -22.656  -1.079   2.259   1.544   1.528
   24  4000  0.50  0.00  0.00  0.00  0.00 -11.343 -13.741 -14.614 -22.656  -1.069   2.049   1.476   1.460
   25  4000  1.00  0.00  0.00  0.00  0.00 -11.585 -13.799 -14.615 -22.656  -1.067   1.861   1.420   1.404
   26  4000  1.50  0.00  0.00  0.00  0.00 -11.779 -13.839 -14.611 -22.656  -1.072   1.704   1.375   1.359
   27  4000  2.00  0.00  0.00  0.00  0.00 -11.926 -13.865 -14.601 -22.656  -1.081   1.580   1.340   1.324
   28  4000  2.50  0.00  0.00  0.00  0.00 -12.029 -13.879 -14.589 -22.656  -1.094   1.489   1.313   1.297
   29  4000  3.00  0.00  0.00  0.00  0.00 -12.092 -13.882 -14.573 -22.656  -1.110   1.426   1.295   1.279
   30  4000  3.50  0.00  0.00  0.00  0.00 -12.122 -13.871 -14.553 -22.656  -1.129   1.385   1.286   1.270
   31  4000  4.00  0.00  0.00  0.00  0.00 -12.153 -13.855 -14.546 -22.656  -1.137   1.337   1.294   1.278
   32  4000  4.50  0.00  0.00  0.00  0.00 -12.245 -13.863 -14.571 -22.656  -1.111   1.251   1.312   1.296
