 9.10338098E+00   2674.5 9.099E+00 1.858E+08 2.699E-05 3.495E-04 4.000E+05 0.000E+00 0.000E+00
 1.11871588E+01   2696.7 1.118E+01 2.298E+08 2.992E-05 3.271E-04 4.000E+05 0.000E+00 0.000E+00
 1.36880821E+01   2718.8 1.368E+01 2.831E+08 3.332E-05 3.071E-04 4.000E+05 0.000E+00 0.000E+00
 1.66759460E+01   2741.3 1.667E+01 3.478E+08 3.727E-05 2.899E-04 4.000E+05 0.000E+00 0.000E+00
 2.02272210E+01   2763.9 2.022E+01 4.259E+08 4.193E-05 2.759E-04 4.000E+05 0.000E+00 0.000E+00
 2.44264923E+01   2786.3 2.442E+01 5.193E+08 4.739E-05 2.640E-04 4.000E+05 0.000E+00 0.000E+00
 2.93734032E+01   2808.7 2.936E+01 6.311E+08 5.371E-05 2.527E-04 4.000E+05 0.000E+00 0.000E+00
 3.51844573E+01   2831.0 3.517E+01 7.642E+08 6.107E-05 2.420E-04 4.000E+05 0.000E+00 0.000E+00
 4.19897310E+01   2853.4 4.198E+01 9.229E+08 6.964E-05 2.330E-04 4.000E+05 0.000E+00 0.000E+00
 4.99358327E+01   2876.2 4.992E+01 1.112E+09 7.964E-05 2.259E-04 4.000E+05 0.000E+00 0.000E+00
 5.91810278E+01   2899.3 5.916E+01 1.338E+09 9.149E-05 2.223E-04 4.000E+05 0.000E+00 0.000E+00
 6.98950961E+01   2922.6 6.988E+01 1.606E+09 1.054E-04 2.201E-04 4.000E+05 0.000E+00 0.000E+00
 8.22811679E+01   2946.4 8.226E+01 1.924E+09 1.217E-04 2.181E-04 4.000E+05 0.000E+00 0.000E+00
 9.65740854E+01   2970.6 9.655E+01 2.304E+09 1.408E-04 2.167E-04 4.000E+05 0.000E+00 0.000E+00
 1.13033239E+02   2995.4 1.130E+02 2.755E+09 1.632E-04 2.172E-04 4.000E+05 0.000E+00 0.000E+00
 1.31939939E+02   3021.1 1.319E+02 3.296E+09 1.898E-04 2.202E-04 4.000E+05 0.000E+00 0.000E+00
 1.53538383E+02   3048.8 1.535E+02 3.955E+09 2.224E-04 2.298E-04 4.000E+05 0.000E+00 0.000E+00
 1.78065063E+02   3078.2 1.780E+02 4.756E+09 2.616E-04 2.403E-04 4.000E+05 0.000E+00 0.000E+00
 2.05806820E+02   3109.7 2.058E+02 5.739E+09 3.092E-04 2.526E-04 4.000E+05 0.000E+00 0.000E+00
 2.37042061E+02   3143.7 2.370E+02 6.956E+09 3.671E-04 2.678E-04 4.000E+05 0.000E+00 0.000E+00
 2.71931446E+02   3181.7 2.719E+02 8.502E+09 4.409E-04 2.908E-04 4.000E+05 0.000E+00 0.000E+00
 3.10428722E+02   3224.6 3.103E+02 1.050E+10 5.362E-04 3.225E-04 4.000E+05 0.000E+00 0.000E+00
 3.52376946E+02   3273.1 3.523E+02 1.312E+10 6.604E-04 3.632E-04 4.000E+05 0.000E+00 0.000E+00
 3.97446871E+02   3328.6 3.973E+02 1.664E+10 8.264E-04 4.185E-04 4.000E+05 0.000E+00 0.000E+00
