
       Teff log g  [M]  Vturb  l/H   small     big    beta
   89  5500  0.00  0.00  4.00  1.25 -16.825 -16.910   2.626
   90  5500  0.50  0.00  4.00  1.25 -16.820 -16.904   2.624
   91  5500  1.00  0.00  4.00  1.25 -16.817 -16.898   2.620
   92  5500  1.50  0.00  4.00  1.25 -16.814 -16.892   2.616
   93  5500  2.00  0.00  4.00  1.25 -16.812 -16.886   2.611
   94  5500  2.50  0.00  4.00  1.25 -16.811 -16.881   2.605
   95  5500  3.00  0.00  4.00  1.25 -16.810 -16.876   2.599
   96  5500  3.50  0.00  4.00  1.25 -16.812 -16.872   2.593
   97  5500  4.00  0.00  4.00  1.25 -16.814 -16.870   2.586
   98  5500  4.50  0.00  4.00  1.25 -16.820 -16.870   2.579
   99  5500  5.00  0.00  4.00  1.25 -16.826 -16.871   2.571
  100  5750  0.00  0.00  4.00  1.25 -17.127 -17.221   2.639
  101  5750  0.50  0.00  4.00  1.25 -17.112 -17.206   2.638
  102  5750  1.00  0.00  4.00  1.25 -17.101 -17.193   2.635
  103  5750  1.50  0.00  4.00  1.25 -17.092 -17.181   2.631
  104  5750  2.00  0.00  4.00  1.25 -17.084 -17.170   2.626
  105  5750  2.50  0.00  4.00  1.25 -17.079 -17.160   2.620
  106  5750  3.00  0.00  4.00  1.25 -17.075 -17.151   2.614
  107  5750  3.50  0.00  4.00  1.25 -17.073 -17.144   2.607
  108  5750  4.00  0.00  4.00  1.25 -17.073 -17.139   2.601
  109  5750  4.50  0.00  4.00  1.25 -17.075 -17.137   2.594
  110  5750  5.00  0.00  4.00  1.25 -17.079 -17.136   2.587
  111  6000  0.00  0.00  4.00  1.25 -17.395 -17.502   2.655
  112  6000  0.50  0.00  4.00  1.25 -17.374 -17.481   2.655
  113  6000  1.00  0.00  4.00  1.25 -17.356 -17.462   2.654
  114  6000  1.50  0.00  4.00  1.25 -17.341 -17.445   2.651
  115  6000  2.00  0.00  4.00  1.25 -17.329 -17.429   2.646
  116  6000  2.50  0.00  4.00  1.25 -17.319 -17.415   2.640
  117  6000  3.00  0.00  4.00  1.25 -17.311 -17.402   2.633
  118  6000  3.50  0.00  4.00  1.25 -17.306 -17.391   2.626
  119  6000  4.00  0.00  4.00  1.25 -17.302 -17.383   2.620
  120  6000  4.50  0.00  4.00  1.25 -17.301 -17.377   2.613
  121  6000  5.00  0.00  4.00  1.25 -17.303 -17.374   2.606
  122  6250  0.50  0.00  4.00  1.25 -17.610 -17.732   2.676
  123  6250  1.00  0.00  4.00  1.25 -17.589 -17.711   2.676
  124  6250  1.50  0.00  4.00  1.25 -17.569 -17.689   2.674
  125  6250  2.00  0.00  4.00  1.25 -17.551 -17.669   2.670
  126  6250  2.50  0.00  4.00  1.25 -17.536 -17.650   2.665
  127  6250  3.00  0.00  4.00  1.25 -17.524 -17.633   2.658
  128  6250  3.50  0.00  4.00  1.25 -17.515 -17.618   2.650
  129  6250  4.00  0.00  4.00  1.25 -17.508 -17.606   2.643
  130  6250  4.50  0.00  4.00  1.25 -17.504 -17.597   2.636
  131  6250  5.00  0.00  4.00  1.25 -17.503 -17.591   2.629
  132  6500  0.50  0.00  4.00  1.25 -17.825 -17.961   2.694
  133  6500  1.00  0.00  4.00  1.25 -17.797 -17.937   2.700
  134  6500  1.50  0.00  4.00  1.25 -17.775 -17.915   2.700
  135  6500  2.00  0.00  4.00  1.25 -17.754 -17.892   2.698
  136  6500  2.50  0.00  4.00  1.25 -17.734 -17.869   2.693
  137  6500  3.00  0.00  4.00  1.25 -17.718 -17.848   2.687
  138  6500  3.50  0.00  4.00  1.25 -17.704 -17.828   2.679
  139  6500  4.00  0.00  4.00  1.25 -17.693 -17.811   2.671
  140  6500  4.50  0.00  4.00  1.25 -17.685 -17.797   2.663
  141  6500  5.00  0.00  4.00  1.25 -17.680 -17.787   2.655
  142  6750  0.50  0.00  4.00  1.25 -18.028 -18.170   2.704
  143  6750  1.00  0.00  4.00  1.25 -17.992 -18.148   2.722
  144  6750  1.50  0.00  4.00  1.25 -17.964 -18.124   2.727
  145  6750  2.00  0.00  4.00  1.25 -17.941 -18.100   2.726
  146  6750  2.50  0.00  4.00  1.25 -17.917 -18.074   2.723
  147  6750  3.00  0.00  4.00  1.25 -17.895 -18.049   2.718
  148  6750  3.50  0.00  4.00  1.25 -17.876 -18.024   2.711
  149  6750  4.00  0.00  4.00  1.25 -17.861 -18.002   2.702
  150  6750  4.50  0.00  4.00  1.25 -17.849 -17.984   2.693
  151  6750  5.00  0.00  4.00  1.25 -17.840 -17.969   2.685
  152  7000  0.50  0.00  4.00  1.25 -18.219 -18.361   2.703
  153  7000  1.00  0.00  4.00  1.25 -18.177 -18.341   2.733
  154  7000  1.50  0.00  4.00  1.25 -18.141 -18.318   2.751
  155  7000  2.00  0.00  4.00  1.25 -18.112 -18.293   2.756
  156  7000  2.50  0.00  4.00  1.25 -18.086 -18.266   2.755
  157  7000  3.00  0.00  4.00  1.25 -18.060 -18.238   2.752
  158  7000  3.50  0.00  4.00  1.25 -18.037 -18.210   2.745
  159  7000  4.00  0.00  4.00  1.25 -18.016 -18.183   2.737
  160  7000  4.50  0.00  4.00  1.25 -17.999 -18.159   2.728
  161  7000  5.00  0.00  4.00  1.25 -17.986 -18.139   2.718
  162  7250  0.50  0.00  4.00  1.25 -18.402 -18.533   2.689
  163  7250  1.00  0.00  4.00  1.25 -18.353 -18.518   2.734
  164  7250  1.50  0.00  4.00  1.25 -18.311 -18.497   2.764
  165  7250  2.00  0.00  4.00  1.25 -18.272 -18.473   2.782
  166  7250  2.50  0.00  4.00  1.25 -18.241 -18.445   2.786
  167  7250  3.00  0.00  4.00  1.25 -18.214 -18.416   2.784
  168  7250  3.50  0.00  4.00  1.25 -18.185 -18.384   2.780
  169  7250  4.00  0.00  4.00  1.25 -18.160 -18.354   2.773
  170  7250  4.50  0.00  4.00  1.25 -18.138 -18.325   2.764
  171  7250  5.00  0.00  4.00  1.25 -18.121 -18.300   2.753
  172  7500  0.50  0.00  4.00  1.25 -18.571 -18.674   2.650
  173  7500  1.00  0.00  4.00  1.25 -18.521 -18.678   2.722
  174  7500  1.50  0.00  4.00  1.25 -18.473 -18.660   2.765
  175  7500  2.00  0.00  4.00  1.25 -18.428 -18.638   2.794
  176  7500  2.50  0.00  4.00  1.25 -18.387 -18.610   2.813
  177  7500  3.00  0.00  4.00  1.25 -18.355 -18.580   2.817
  178  7500  3.50  0.00  4.00  1.25 -18.324 -18.548   2.815
  179  7500  4.00  0.00  4.00  1.25 -18.294 -18.514   2.809
  180  7500  4.50  0.00  4.00  1.25 -18.267 -18.481   2.801
  181  7500  5.00  0.00  4.00  1.25 -18.245 -18.451   2.790
  182  7750  1.00  0.00  4.00  1.25 -18.682 -18.819   2.697
  183  7750  1.50  0.00  4.00  1.25 -18.628 -18.808   2.755
  184  7750  2.00  0.00  4.00  1.25 -18.578 -18.789   2.796
  185  7750  2.50  0.00  4.00  1.25 -18.530 -18.763   2.826
  186  7750  3.00  0.00  4.00  1.25 -18.487 -18.732   2.843
  187  7750  3.50  0.00  4.00  1.25 -18.452 -18.699   2.846
  188  7750  4.00  0.00  4.00  1.25 -18.419 -18.665   2.844
  189  7750  4.50  0.00  4.00  1.25 -18.388 -18.629   2.837
  190  7750  5.00  0.00  4.00  1.25 -18.362 -18.594   2.827
  191  8000  1.00  0.00  4.00  1.25 -18.825 -18.935   2.658
  192  8000  1.50  0.00  4.00  1.25 -18.775 -18.940   2.734
