
       Teff log g  [M]  Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta 
   51  4500  3.00  0.00  2.00  1.25  0.00   2.913   2.912   0.676   0.576   0.405   0.404   2.536
   52  4500  3.50  0.00  2.00  1.25  0.00   2.894   2.893   0.661   0.576   0.419   0.418   2.517
   53  4500  4.00  0.00  2.00  1.25  0.00   2.904   2.903   0.648   0.586   0.434   0.433   2.495
   54  4500  4.50  0.00  2.00  1.25  0.00   2.936   2.934   0.639   0.603   0.448   0.447   2.470
   55  4500  5.00  0.00  2.00  1.25  0.00   2.959   2.958   0.641   0.608   0.458   0.457   2.446
   56  4750  0.00  0.00  2.00  1.25  0.00   3.171   3.168   0.763   0.581   0.482   0.479   2.593
   57  4750  0.50  0.00  2.00  1.25  0.00   3.037   3.034   0.728   0.564   0.451   0.448   2.591
   58  4750  1.00  0.00  2.00  1.25  0.00   2.913   2.911   0.699   0.547   0.419   0.417   2.587
   59  4750  1.50  0.00  2.00  1.25  0.00   2.804   2.802   0.675   0.529   0.393   0.392   2.582
   60  4750  2.00  0.00  2.00  1.25  0.00   2.712   2.711   0.654   0.514   0.374   0.373   2.576
   61  4750  2.50  0.00  2.00  1.25  0.00   2.640   2.639   0.635   0.502   0.363   0.362   2.569
   62  4750  3.00  0.00  2.00  1.25  0.00   2.589   2.589   0.618   0.496   0.359   0.359   2.559
   63  4750  3.50  0.00  2.00  1.25  0.00   2.564   2.564   0.602   0.498   0.362   0.361   2.546
   64  4750  4.00  0.00  2.00  1.25  0.00   2.566   2.566   0.588   0.510   0.368   0.368   2.531
   65  4750  4.50  0.00  2.00  1.25  0.00   2.595   2.595   0.576   0.532   0.377   0.377   2.513
   66  4750  5.00  0.00  2.00  1.25  0.00   2.641   2.641   0.568   0.560   0.385   0.385   2.492
   67  5000  0.00  0.00  2.00  1.25  0.00   2.909   2.906   0.663   0.493   0.595   0.591   2.599
   68  5000  0.50  0.00  2.00  1.25  0.00   2.772   2.769   0.638   0.475   0.544   0.541   2.597
   69  5000  1.00  0.00  2.00  1.25  0.00   2.646   2.643   0.618   0.456   0.496   0.493   2.593
   70  5000  1.50  0.00  2.00  1.25  0.00   2.537   2.535   0.602   0.439   0.452   0.450   2.589
   71  5000  2.00  0.00  2.00  1.25  0.00   2.446   2.445   0.589   0.426   0.414   0.412   2.584
   72  5000  2.50  0.00  2.00  1.25  0.00   2.375   2.374   0.576   0.419   0.383   0.381   2.579
   73  5000  3.00  0.00  2.00  1.25  0.00   2.325   2.325   0.564   0.418   0.359   0.359   2.572
   74  5000  3.50  0.00  2.00  1.25  0.00   2.296   2.296   0.551   0.424   0.344   0.343   2.564
   75  5000  4.00  0.00  2.00  1.25  0.00   2.291   2.291   0.539   0.437   0.336   0.336   2.554
   76  5000  4.50  0.00  2.00  1.25  0.00   2.310   2.310   0.527   0.459   0.335   0.336   2.542
   77  5000  5.00  0.00  2.00  1.25  0.00   2.349   2.350   0.516   0.488   0.339   0.340   2.527
   78  5250  0.00  0.00  2.00  1.25  0.00   2.723   2.720   0.570   0.422   0.737   0.733   2.607
   79  5250  0.50  0.00  2.00  1.25  0.00   2.587   2.584   0.553   0.406   0.666   0.663   2.605
   80  5250  1.00  0.00  2.00  1.25  0.00   2.458   2.455   0.540   0.388   0.599   0.596   2.602
   81  5250  1.50  0.00  2.00  1.25  0.00   2.343   2.340   0.530   0.371   0.538   0.535   2.599
   82  5250  2.00  0.00  2.00  1.25  0.00   2.245   2.243   0.523   0.358   0.482   0.480   2.594
   83  5250  2.50  0.00  2.00  1.25  0.00   2.165   2.164   0.516   0.350   0.432   0.430   2.589
   84  5250  3.00  0.00  2.00  1.25  0.00   2.107   2.106   0.510   0.349   0.388   0.387   2.583
   85  5250  3.50  0.00  2.00  1.25  0.00   2.070   2.069   0.502   0.355   0.353   0.352   2.577
   86  5250  4.00  0.00  2.00  1.25  0.00   2.056   2.056   0.494   0.370   0.327   0.327   2.570
   87  5250  4.50  0.00  2.00  1.25  0.00   2.065   2.065   0.484   0.392   0.311   0.310   2.561
   88  5250  5.00  0.00  2.00  1.25  0.00   2.095   2.096   0.474   0.421   0.303   0.303   2.551
   89  5500  0.00  0.00  2.00  1.25  0.00   2.594   2.591   0.484   0.365   0.894   0.891   2.619
   90  5500  0.50  0.00  2.00  1.25  0.00   2.461   2.458   0.476   0.351   0.806   0.803   2.617
   91  5500  1.00  0.00  2.00  1.25  0.00   2.330   2.328   0.469   0.335   0.720   0.718   2.614
   92  5500  1.50  0.00  2.00  1.25  0.00   2.209   2.207   0.464   0.320   0.639   0.637   2.611
   93  5500  2.00  0.00  2.00  1.25  0.00   2.102   2.100   0.461   0.307   0.564   0.562   2.607
   94  5500  2.50  0.00  2.00  1.25  0.00   2.011   2.010   0.459   0.298   0.495   0.494   2.601
