 1.32860603E-01   4515.9 3.640E+03 5.592E+11 1.859E-02 1.057E-01 1.500E+05
 1.55185538E-01   4545.1 4.252E+03 6.487E+11 2.124E-02 1.110E-01 1.500E+05
 1.81237908E-01   4574.2 4.965E+03 7.524E+11 2.428E-02 1.172E-01 1.500E+05
 2.11653768E-01   4603.6 5.799E+03 8.726E+11 2.772E-02 1.240E-01 1.500E+05
 2.47175855E-01   4633.2 6.772E+03 1.012E+12 3.165E-02 1.318E-01 1.500E+05
 2.88649399E-01   4663.1 7.908E+03 1.173E+12 3.616E-02 1.410E-01 1.500E+05
 3.37060662E-01   4693.5 9.234E+03 1.361E+12 4.131E-02 1.515E-01 1.500E+05
 3.93562605E-01   4725.0 1.078E+04 1.578E+12 4.720E-02 1.636E-01 1.500E+05
 4.59494796E-01   4758.0 1.259E+04 1.832E+12 5.395E-02 1.776E-01 1.500E+05
 5.36403346E-01   4792.9 1.470E+04 2.128E+12 6.168E-02 1.937E-01 1.500E+05
 6.26126532E-01   4830.3 1.715E+04 2.474E+12 7.049E-02 2.116E-01 1.500E+05
 7.30798545E-01   4870.9 2.002E+04 2.882E+12 8.060E-02 2.321E-01 1.500E+05
 8.52845953E-01   4915.7 2.337E+04 3.363E+12 9.221E-02 2.555E-01 1.500E+05
 9.95064077E-01   4966.0 2.726E+04 3.935E+12 1.056E-01 2.823E-01 1.500E+05
 1.16067109E+00   5023.2 3.180E+04 4.620E+12 1.209E-01 3.131E-01 1.500E+05
 1.35345441E+00   5089.7 3.708E+04 5.452E+12 1.386E-01 3.482E-01 1.500E+05
 1.57756544E+00   5166.9 4.322E+04 6.478E+12 1.591E-01 3.888E-01 1.500E+05
 1.83733948E+00   5257.2 5.034E+04 7.773E+12 1.834E-01 4.363E-01 1.500E+05
 2.13676631E+00   5362.3 5.854E+04 9.462E+12 2.131E-01 4.941E-01 1.500E+05
 2.47725778E+00   5487.2 6.787E+04 1.180E+13 2.526E-01 5.743E-01 1.500E+05
 2.85595305E+00   5632.8 7.824E+04 1.526E+13 3.067E-01 6.828E-01 1.500E+05
 3.26419475E+00   5803.4 8.943E+04 2.077E+13 3.875E-01 8.460E-01 1.500E+05
 3.68325886E+00   6002.7 1.009E+05 3.012E+13 5.184E-01 1.119E+00 1.500E+05
 4.08871897E+00   6238.8 1.120E+05 4.701E+13 7.362E-01 1.575E+00 1.500E+05
 4.45718854E+00   6516.6 1.221E+05 7.853E+13 1.115E+00 2.369E+00 1.500E+05
 4.77388502E+00   6834.7 1.308E+05 1.374E+14 1.773E+00 3.743E+00 1.500E+05
 5.02807350E+00   7226.4 1.377E+05 2.587E+14 3.049E+00 6.158E+00 1.500E+05
 5.22594588E+00   7614.3 1.432E+05 4.583E+14 5.096E+00 8.584E+00 1.500E+05
 5.39439403E+00   7920.1 1.478E+05 6.959E+14 7.552E+00 9.447E+00 1.500E+05
 5.55035004E+00   8190.1 1.521E+05 9.828E+14 1.058E+01 9.427E+00 1.500E+05
 5.70351901E+00   8418.3 1.562E+05 1.297E+15 1.399E+01 8.823E+00 1.500E+05
 5.86015737E+00   8628.9 1.605E+05 1.656E+15 1.801E+01 8.296E+00 1.500E+05
 6.02462748E+00   8821.6 1.650E+05 2.054E+15 2.260E+01 7.706E+00 1.500E+05
 6.20091449E+00   9004.4 1.699E+05 2.502E+15 2.792E+01 7.286E+00 1.500E+05
 6.39208593E+00   9182.5 1.751E+05 3.013E+15 3.416E+01 6.822E+00 1.500E+05
 6.60204383E+00   9352.3 1.809E+05 3.581E+15 4.123E+01 6.448E+00 1.500E+05
 6.83406546E+00   9526.6 1.872E+05 4.251E+15 4.967E+01 6.071E+00 1.500E+05
 7.09306490E+00   9691.1 1.943E+05 4.982E+15 5.894E+01 5.707E+00 1.500E+05
 7.38306212E+00   9868.2 2.023E+05 5.874E+15 7.040E+01 5.404E+00 1.500E+05
 7.71007568E+00  10031.2 2.112E+05 6.826E+15 8.256E+01 5.358E+00 1.500E+05
PRADK 1.4876E+00
BEGIN                    ITERATION  15 COMPLETED
