
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00  0.00  2.00  1.25  0.00  -8.199  -8.185 -10.765 -12.387 -13.098   4.990   4.982   1.211   0.839   0.886   0.879
    2  3500  0.50  0.00  2.00  1.25  0.00  -8.507  -8.493 -11.026 -12.450 -13.093   4.745   4.737   1.143   0.710   1.037   1.029
    3  3500  1.00  0.00  2.00  1.25  0.00  -8.809  -8.795 -11.263 -12.483 -13.071   4.476   4.468   1.088   0.561   1.176   1.168
    4  3500  1.50  0.00  2.00  1.25  0.00  -9.098  -9.084 -11.471 -12.493 -13.038   4.197   4.189   1.044   0.407   1.293   1.284
    5  3500  2.00  0.00  2.00  1.25  0.00  -9.362  -9.348 -11.648 -12.488 -12.998   3.929   3.920   1.009   0.260   1.388   1.379
    6  3500  2.50  0.00  2.00  1.25  0.00  -9.584  -9.570 -11.787 -12.475 -12.958   3.694   3.685   0.983   0.134   1.457   1.449
    7  3500  3.00  0.00  2.00  1.25  0.00  -9.772  -9.758 -11.890 -12.490 -12.960   3.520   3.512   0.970   0.059   1.460   1.452
    8  3500  3.50  0.00  2.00  1.25  0.00 -10.023 -10.008 -11.996 -12.639 -13.122   3.418   3.411   0.983   0.089   1.272   1.265
    9  3500  4.00  0.00  2.00  1.25  0.00 -10.255 -10.240 -12.099 -12.802 -13.296   3.348   3.342   0.995   0.137   1.082   1.076
   10  3500  4.50  0.00  2.00  1.25  0.00 -10.359 -10.343 -12.125 -12.872 -13.375   3.315   3.310   1.003   0.174   0.960   0.955
   11  3500  5.00  0.00  2.00  1.25  0.00 -10.361 -10.343 -12.097 -12.891 -13.401   3.332   3.327   1.011   0.213   0.883   0.879
   12  3750  0.00  0.00  2.00  1.25  0.00  -9.044  -9.029 -11.575 -13.320 -13.946   5.078   5.070   1.127   1.047   0.728   0.721
