
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -2.50  2.00  0.00  0.00  -8.260  -8.245 -10.376 -11.860 -12.936   4.403   4.395   1.575   0.338   0.575   0.567
    2  3500  0.50 -2.50  2.00  0.00  0.00  -8.810  -8.796 -10.855 -12.296 -13.229   4.288   4.280   1.433   0.436   0.546   0.538
    3  3500  1.00 -2.50  2.00  0.00  0.00  -9.398  -9.384 -11.329 -12.687 -13.474   4.091   4.084   1.287   0.501   0.515   0.507
    4  3500  1.50 -2.50  2.00  0.00  0.00  -9.971  -9.956 -11.724 -12.968 -13.639   3.799   3.792   1.172   0.500   0.452   0.445
    5  3500  2.00 -2.50  2.00  0.00  0.00 -10.407 -10.392 -11.981 -13.107 -13.718   3.501   3.495   1.111   0.444   0.389   0.382
    6  3500  2.50 -2.50  2.00  0.00  0.00 -10.683 -10.667 -12.131 -13.194 -13.767   3.313   3.308   1.073   0.420   0.326   0.320
    7  3500  3.00 -2.50  2.00  0.00  0.00 -10.823 -10.806 -12.185 -13.251 -13.799   3.230   3.225   1.048   0.448   0.237   0.232
    8  3500  3.50 -2.50  2.00  0.00  0.00 -10.860 -10.842 -12.155 -13.291 -13.821   3.233   3.229   1.031   0.534   0.101   0.097
    9  3500  4.00 -2.50  2.00  0.00  0.00 -10.811 -10.793 -12.045 -13.322 -13.841   3.312   3.309   1.020   0.686  -0.102  -0.105
   10  3500  4.50 -2.50  2.00  0.00  0.00 -10.701 -10.681 -11.883 -13.357 -13.867   3.458   3.456   1.010   0.893  -0.350  -0.352
   11  3500  5.00 -2.50  2.00  0.00  0.00 -10.544 -10.521 -11.701 -13.406 -13.903   3.664   3.665   0.997   1.136  -0.605  -0.605
   12  3750  0.00 -2.50  2.00  0.00  0.00  -9.363  -9.349 -11.373 -12.694 -13.613   4.132   4.125   1.419   0.331   0.631   0.624
   13  3750  0.50 -2.50  2.00  0.00  0.00  -9.781  -9.767 -11.736 -13.010 -13.802   4.030   4.023   1.292   0.410   0.623   0.616
   14  3750  1.00 -2.50  2.00  0.00  0.00 -10.255 -10.240 -12.108 -13.305 -13.968   3.852   3.845   1.163   0.464   0.597   0.590
   15  3750  1.50 -2.50  2.00  0.00  0.00 -10.765 -10.749 -12.454 -13.561 -14.110   3.598   3.591   1.049   0.486   0.525   0.519
   16  3750  2.00 -2.50  2.00  0.00  0.00 -11.209 -11.193 -12.718 -13.726 -14.206   3.318   3.312   0.980   0.456   0.444   0.438
   17  3750  2.50 -2.50  2.00  0.00  0.00 -11.515 -11.498 -12.883 -13.806 -14.257   3.094   3.088   0.950   0.402   0.386   0.381
   18  3750  3.00 -2.50  2.00  0.00  0.00 -11.702 -11.685 -12.978 -13.855 -14.288   2.955   2.950   0.933   0.373   0.341   0.336
