
       Teff log g  [M]a Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta     a0      r*
   44  4250  5.00 -1.50  4.00  1.25  0.00   2.455   2.450   0.739   0.324   0.327   0.322   2.457   0.935   0.169
   45  4500  0.00 -1.50  4.00  1.25  0.00   3.109   3.104   0.823   0.381   0.698   0.693   2.561   1.136   0.189
   46  4500  0.50 -1.50  4.00  1.25  0.00   2.900   2.894   0.756   0.369   0.646   0.641   2.556   1.032   0.180
   47  4500  1.00 -1.50  4.00  1.25  0.00   2.694   2.689   0.703   0.355   0.576   0.571   2.550   0.942   0.166
   48  4500  1.50 -1.50  4.00  1.25  0.00   2.516   2.512   0.664   0.342   0.501   0.497   2.545   0.871   0.147
   49  4500  2.00 -1.50  4.00  1.25  0.00   2.380   2.376   0.637   0.336   0.433   0.429   2.539   0.820   0.132
   50  4500  2.50 -1.50  4.00  1.25  0.00   2.285   2.281   0.618   0.334   0.377   0.374   2.532   0.783   0.121
   51  4500  3.00 -1.50  4.00  1.25  0.00   2.231   2.228   0.607   0.339   0.338   0.335   2.524   0.763   0.116
   52  4500  3.50 -1.50  4.00  1.25  0.00   2.213   2.210   0.600   0.349   0.313   0.310   2.514   0.753   0.118
   53  4500  4.00 -1.50  4.00  1.25  0.00   2.222   2.218   0.599   0.360   0.301   0.298   2.501   0.753   0.126
   54  4500  4.50 -1.50  4.00  1.25  0.00   2.234   2.230   0.610   0.355   0.301   0.298   2.489   0.766   0.138
   55  4500  5.00 -1.50  4.00  1.25  0.00   2.217   2.214   0.632   0.321   0.308   0.305   2.481   0.785   0.147
   56  4750  0.00 -1.50  4.00  1.25  0.00   2.769   2.764   0.708   0.299   0.753   0.748   2.562   0.960   0.215
   57  4750  0.50 -1.50  4.00  1.25  0.00   2.580   2.576   0.661   0.289   0.679   0.675   2.557   0.880   0.198
   58  4750  1.00 -1.50  4.00  1.25  0.00   2.399   2.395   0.622   0.278   0.597   0.593   2.551   0.808   0.178
   59  4750  1.50 -1.50  4.00  1.25  0.00   2.242   2.238   0.593   0.269   0.516   0.512   2.547   0.751   0.156
   60  4750  2.00 -1.50  4.00  1.25  0.00   2.117   2.114   0.572   0.264   0.442   0.439   2.543   0.707   0.136
   61  4750  2.50 -1.50  4.00  1.25  0.00   2.028   2.024   0.558   0.263   0.382   0.379   2.539   0.677   0.120
   62  4750  3.00 -1.50  4.00  1.25  0.00   1.974   1.971   0.549   0.267   0.338   0.335   2.535   0.658   0.109
   63  4750  3.50 -1.50  4.00  1.25  0.00   1.950   1.947   0.544   0.275   0.309   0.307   2.530   0.649   0.104
   64  4750  4.00 -1.50  4.00  1.25  0.00   1.951   1.948   0.542   0.285   0.295   0.292   2.523   0.647   0.106
   65  4750  4.50 -1.50  4.00  1.25  0.00   1.966   1.964   0.544   0.293   0.290   0.287   2.515   0.652   0.112
   66  4750  5.00 -1.50  4.00  1.25  0.00   1.974   1.971   0.553   0.288   0.291   0.289   2.506   0.663   0.121
   67  5000  0.00 -1.50  4.00  1.25  0.00   2.514   2.511   0.602   0.229   0.850   0.847   2.569   0.809   0.250
   68  5000  0.50 -1.50  4.00  1.25  0.00   2.335   2.331   0.572   0.218   0.753   0.750   2.563   0.747   0.224
   69  5000  1.00 -1.50  4.00  1.25  0.00   2.167   2.164   0.547   0.210   0.652   0.648   2.557   0.691   0.197
   70  5000  1.50 -1.50  4.00  1.25  0.00   2.021   2.018   0.528   0.205   0.554   0.551   2.552   0.646   0.169
   71  5000  2.00 -1.50  4.00  1.25  0.00   1.903   1.900   0.514   0.203   0.467   0.464   2.548   0.611   0.143
   72  5000  2.50 -1.50  4.00  1.25  0.00   1.814   1.812   0.505   0.204   0.393   0.391   2.545   0.586   0.122
   73  5000  3.00 -1.50  4.00  1.25  0.00   1.756   1.754   0.499   0.209   0.336   0.334   2.543   0.569   0.104
   74  5000  3.50 -1.50  4.00  1.25  0.00   1.727   1.724   0.497   0.217   0.297   0.295   2.539   0.562   0.094
   75  5000  4.00 -1.50  4.00  1.25  0.00   1.722   1.719   0.496   0.227   0.274   0.271   2.536   0.560   0.089
   76  5000  4.50 -1.50  4.00  1.25  0.00   1.732   1.730   0.497   0.236   0.263   0.261   2.532   0.563   0.090
   77  5000  5.00 -1.50  4.00  1.25  0.00   1.744   1.742   0.501   0.239   0.263   0.261   2.527   0.570   0.094
   78  5250  0.00 -1.50  4.00  1.25  0.00   2.358   2.355   0.508   0.180   0.979   0.976   2.581   0.687   0.290
   79  5250  0.50 -1.50  4.00  1.25  0.00   2.183   2.180   0.491   0.168   0.863   0.860   2.574   0.638   0.258
   80  5250  1.00 -1.50  4.00  1.25  0.00   2.017   2.015   0.477   0.159   0.743   0.740   2.568   0.594   0.223
   81  5250  1.50 -1.50  4.00  1.25  0.00   1.871   1.868   0.467   0.154   0.627   0.625   2.562   0.558   0.189
   82  5250  2.00 -1.50  4.00  1.25  0.00   1.748   1.746   0.460   0.152   0.521   0.519   2.558   0.529   0.156
   83  5250  2.50 -1.50  4.00  1.25  0.00   1.652   1.650   0.456   0.155   0.428   0.426   2.554   0.508   0.128
   84  5250  3.00 -1.50  4.00  1.25  0.00   1.583   1.581   0.454   0.161   0.352   0.350   2.551   0.494   0.105
   85  5250  3.50 -1.50  4.00  1.25  0.00   1.542   1.540   0.454   0.169   0.295   0.293   2.549   0.486   0.087
   86  5250  4.00 -1.50  4.00  1.25  0.00   1.527   1.525   0.455   0.179   0.257   0.255   2.546   0.484   0.076
   87  5250  4.50 -1.50  4.00  1.25  0.00   1.530   1.528   0.458   0.189   0.235   0.233   2.544   0.488   0.070
   88  5250  5.00 -1.50  4.00  1.25  0.00   1.541   1.539   0.461   0.195   0.227   0.225   2.541   0.493   0.070
   89  5500  0.00 -1.50  4.00  1.25  0.00   2.280   2.278   0.428   0.147   1.129   1.127   2.597   0.593   0.332
   90  5500  0.50 -1.50  4.00  1.25  0.00   2.112   2.110   0.420   0.136   0.999   0.997   2.591   0.555   0.294
   91  5500  1.00 -1.50  4.00  1.25  0.00   1.948   1.946   0.414   0.127   0.863   0.861   2.584   0.519   0.253
   92  5500  1.50 -1.50  4.00  1.25  0.00   1.797   1.795   0.411   0.122   0.730   0.728   2.578   0.489   0.213
   93  5500  2.00 -1.50  4.00  1.25  0.00   1.664   1.663   0.410   0.119   0.605   0.603   2.572   0.464   0.175
   94  5500  2.50 -1.50  4.00  1.25  0.00   1.553   1.552   0.410   0.120   0.492   0.490   2.567   0.444   0.141
   95  5500  3.00 -1.50  4.00  1.25  0.00   1.465   1.464   0.411   0.124   0.393   0.392   2.563   0.429   0.110
   96  5500  3.50 -1.50  4.00  1.25  0.00   1.405   1.403   0.413   0.131   0.314   0.313   2.560   0.420   0.086
   97  5500  4.00 -1.50  4.00  1.25  0.00   1.371   1.369   0.417   0.139   0.257   0.255   2.558   0.418   0.067
   98  5500  4.50 -1.50  4.00  1.25  0.00   1.361   1.359   0.421   0.149   0.219   0.217   2.555   0.420   0.056
   99  5500  5.00 -1.50  4.00  1.25  0.00   1.366   1.364   0.425   0.157   0.198   0.196   2.553   0.425   0.051
  100  5750  0.00 -1.50  4.00  1.25  0.00   2.253   2.251   0.357   0.123   1.292   1.290   2.616   0.517   0.376
