
       Teff log g  [M]a Vturb  l/H   small     big    beta
    1  3500  0.00 -1.50  4.00  1.25 -12.444 -12.435   2.498
    2  3500  0.50 -1.50  4.00  1.25 -12.596 -12.567   2.470
    3  3500  1.00 -1.50  4.00  1.25 -12.694 -12.645   2.444
    4  3500  1.50 -1.50  4.00  1.25 -12.756 -12.691   2.422
    5  3500  2.00 -1.50  4.00  1.25 -12.844 -12.774   2.414
    6  3500  2.50 -1.50  4.00  1.25 -13.004 -12.937   2.419
    7  3500  3.00 -1.50  4.00  1.25 -13.116 -13.050   2.420
    8  3500  3.50 -1.50  4.00  1.25 -13.148 -13.076   2.412
    9  3500  4.00 -1.50  4.00  1.25 -13.146 -13.062   2.395
   10  3500  4.50 -1.50  4.00  1.25 -13.126 -13.023   2.371
   11  3500  5.00 -1.50  4.00  1.25 -13.088 -12.961   2.337
   12  3750  0.00 -1.50  4.00  1.25 -13.385 -13.409   2.542
   13  3750  0.50 -1.50  4.00  1.25 -13.538 -13.544   2.519
   14  3750  1.00 -1.50  4.00  1.25 -13.642 -13.629   2.492
   15  3750  1.50 -1.50  4.00  1.25 -13.707 -13.672   2.462
   16  3750  2.00 -1.50  4.00  1.25 -13.745 -13.687   2.431
   17  3750  2.50 -1.50  4.00  1.25 -13.766 -13.696   2.415
   18  3750  3.00 -1.50  4.00  1.25 -13.801 -13.735   2.420
   19  3750  3.50 -1.50  4.00  1.25 -13.854 -13.793   2.427
   20  3750  4.00 -1.50  4.00  1.25 -13.879 -13.815   2.423
   21  3750  4.50 -1.50  4.00  1.25 -13.877 -13.803   2.410
   22  3750  5.00 -1.50  4.00  1.25 -13.859 -13.769   2.389
   23  4000  0.00 -1.50  4.00  1.25 -14.111 -14.149   2.562
   24  4000  0.50 -1.50  4.00  1.25 -14.247 -14.277   2.550
   25  4000  1.00 -1.50  4.00  1.25 -14.343 -14.362   2.536
   26  4000  1.50 -1.50  4.00  1.25 -14.407 -14.413   2.518
   27  4000  2.00 -1.50  4.00  1.25 -14.448 -14.439   2.497
   28  4000  2.50 -1.50  4.00  1.25 -14.472 -14.445   2.473
   29  4000  3.00 -1.50  4.00  1.25 -14.482 -14.437   2.449
   30  4000  3.50 -1.50  4.00  1.25 -14.479 -14.429   2.443
   31  4000  4.00 -1.50  4.00  1.25 -14.486 -14.437   2.444
   32  4000  4.50 -1.50  4.00  1.25 -14.496 -14.445   2.441
