
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -1.50  2.00  1.25  0.00  -8.401  -8.388 -10.715 -12.217 -13.082   4.618   4.609   1.365   0.566   0.755   0.746
    2  3500  0.50 -1.50  2.00  1.25  0.00  -8.792  -8.780 -11.045 -12.408 -13.157   4.418   4.409   1.249   0.544   0.831   0.821
    3  3500  1.00 -1.50  2.00  1.25  0.00  -9.183  -9.170 -11.332 -12.545 -13.198   4.164   4.154   1.154   0.488   0.878   0.868
    4  3500  1.50 -1.50  2.00  1.25  0.00  -9.538  -9.526 -11.553 -12.636 -13.222   3.899   3.890   1.086   0.426   0.873   0.863
    5  3500  2.00 -1.50  2.00  1.25  0.00  -9.861  -9.848 -11.710 -12.722 -13.289   3.664   3.655   1.066   0.375   0.780   0.771
    6  3500  2.50 -1.50  2.00  1.25  0.00 -10.192 -10.178 -11.884 -12.863 -13.430   3.473   3.464   1.067   0.340   0.656   0.648
    7  3500  3.00 -1.50  2.00  1.25  0.00 -10.434 -10.420 -12.015 -12.964 -13.525   3.332   3.325   1.060   0.318   0.573   0.565
    8  3500  3.50 -1.50  2.00  1.25  0.00 -10.539 -10.524 -12.049 -12.990 -13.549   3.254   3.247   1.058   0.312   0.512   0.505
    9  3500  4.00 -1.50  2.00  1.25  0.00 -10.576 -10.560 -12.030 -12.984 -13.544   3.210   3.204   1.061   0.322   0.442   0.435
   10  3500  4.50 -1.50  2.00  1.25  0.00 -10.601 -10.584 -11.986 -12.960 -13.527   3.162   3.157   1.067   0.337   0.352   0.347
   11  3500  5.00 -1.50  2.00  1.25  0.00 -10.651 -10.633 -11.939 -12.924 -13.498   3.074   3.070   1.075   0.338   0.246   0.242
   12  3750  0.00 -1.50  2.00  1.25  0.00  -9.805  -9.791 -11.874 -13.212 -13.900   4.209   4.200   1.188   0.578   0.674   0.665
   13  3750  0.50 -1.50  2.00  1.25  0.00 -10.196 -10.183 -12.152 -13.390 -13.974   3.996   3.987   1.084   0.583   0.659   0.650
   14  3750  1.00 -1.50  2.00  1.25  0.00 -10.549 -10.536 -12.373 -13.512 -14.018   3.765   3.756   1.005   0.563   0.627   0.618
   15  3750  1.50 -1.50  2.00  1.25  0.00 -10.837 -10.823 -12.538 -13.589 -14.039   3.554   3.545   0.950   0.529   0.592   0.584
   16  3750  2.00 -1.50  2.00  1.25  0.00 -11.050 -11.037 -12.653 -13.633 -14.047   3.384   3.376   0.914   0.495   0.564   0.556
   17  3750  2.50 -1.50  2.00  1.25  0.00 -11.208 -11.194 -12.722 -13.653 -14.058   3.247   3.239   0.905   0.455   0.524   0.517
   18  3750  3.00 -1.50  2.00  1.25  0.00 -11.339 -11.325 -12.776 -13.675 -14.102   3.138   3.131   0.927   0.401   0.480   0.472
