
       Teff log g  [M]  Vturb  l/H   small     big    beta
   75  5000  4.00 -1.50  1.00  1.25 -16.235 -16.255   2.537
   76  5000  4.50 -1.50  1.00  1.25 -16.240 -16.257   2.533
   77  5000  5.00 -1.50  1.00  1.25 -16.242 -16.255   2.528
   78  5250  0.00 -1.50  1.00  1.25 -16.524 -16.574   2.579
   79  5250  0.50 -1.50  1.00  1.25 -16.530 -16.576   2.573
   80  5250  1.00 -1.50  1.00  1.25 -16.532 -16.574   2.567
   81  5250  1.50 -1.50  1.00  1.25 -16.531 -16.569   2.563
   82  5250  2.00 -1.50  1.00  1.25 -16.527 -16.563   2.559
   83  5250  2.50 -1.50  1.00  1.25 -16.523 -16.557   2.556
   84  5250  3.00 -1.50  1.00  1.25 -16.521 -16.553   2.553
   85  5250  3.50 -1.50  1.00  1.25 -16.522 -16.552   2.550
   86  5250  4.00 -1.50  1.00  1.25 -16.526 -16.553   2.547
   87  5250  4.50 -1.50  1.00  1.25 -16.530 -16.556   2.545
   88  5250  5.00 -1.50  1.00  1.25 -16.533 -16.557   2.542
   89  5500  0.00 -1.50  1.00  1.25 -16.838 -16.900   2.595
   90  5500  0.50 -1.50  1.00  1.25 -16.832 -16.890   2.589
   91  5500  1.00 -1.50  1.00  1.25 -16.824 -16.877   2.583
   92  5500  1.50 -1.50  1.00  1.25 -16.814 -16.864   2.577
   93  5500  2.00 -1.50  1.00  1.25 -16.803 -16.849   2.572
   94  5500  2.50 -1.50  1.00  1.25 -16.793 -16.836   2.568
   95  5500  3.00 -1.50  1.00  1.25 -16.786 -16.826   2.565
   96  5500  3.50 -1.50  1.00  1.25 -16.782 -16.820   2.561
   97  5500  4.00 -1.50  1.00  1.25 -16.783 -16.819   2.558
   98  5500  4.50 -1.50  1.00  1.25 -16.787 -16.820   2.556
   99  5500  5.00 -1.50  1.00  1.25 -16.790 -16.823   2.554
  100  5750  0.00 -1.50  1.00  1.25 -17.117 -17.194   2.614
  101  5750  0.50 -1.50  1.00  1.25 -17.102 -17.175   2.609
  102  5750  1.00 -1.50  1.00  1.25 -17.087 -17.156   2.603
  103  5750  1.50 -1.50  1.00  1.25 -17.071 -17.135   2.597
  104  5750  2.00 -1.50  1.00  1.25 -17.054 -17.114   2.591
  105  5750  2.50 -1.50  1.00  1.25 -17.038 -17.094   2.586
