 3.68497014E+01   2617.9 3.683E+01 4.767E+07 6.822E-06 3.824E-05 4.000E+05 0.000E+00 0.000E+00
 4.51022032E+01   2639.1 4.508E+01 5.923E+07 7.544E-06 3.698E-05 4.000E+05 0.000E+00 0.000E+00
 5.50363499E+01   2660.6 5.501E+01 7.346E+07 8.371E-06 3.593E-05 4.000E+05 0.000E+00 0.000E+00
 6.69555715E+01   2682.2 6.693E+01 9.090E+07 9.318E-06 3.502E-05 4.000E+05 0.000E+00 0.000E+00
 8.12110767E+01   2704.1 8.119E+01 1.123E+08 1.041E-05 3.425E-05 4.000E+05 0.000E+00 0.000E+00
 9.82030895E+01   2726.1 9.818E+01 1.383E+08 1.166E-05 3.363E-05 4.000E+05 0.000E+00 0.000E+00
 1.18389880E+02   2748.0 1.184E+02 1.700E+08 1.311E-05 3.322E-05 4.000E+05 0.000E+00 0.000E+00
 1.42264480E+02   2770.4 1.422E+02 2.085E+08 1.482E-05 3.326E-05 4.000E+05 0.000E+00 0.000E+00
 1.70381852E+02   2792.8 1.704E+02 2.551E+08 1.681E-05 3.357E-05 4.000E+05 0.000E+00 0.000E+00
 2.03394361E+02   2815.1 2.034E+02 3.110E+08 1.912E-05 3.414E-05 4.000E+05 0.000E+00 0.000E+00
 2.42047215E+02   2837.2 2.420E+02 3.781E+08 2.181E-05 3.498E-05 4.000E+05 0.000E+00 0.000E+00
 2.87173894E+02   2859.5 2.871E+02 4.583E+08 2.494E-05 3.613E-05 4.000E+05 0.000E+00 0.000E+00
 3.39695330E+02   2881.8 3.397E+02 5.544E+08 2.863E-05 3.766E-05 4.000E+05 0.000E+00 0.000E+00
 4.00553602E+02   2905.0 4.005E+02 6.704E+08 3.304E-05 3.988E-05 4.000E+05 0.000E+00 0.000E+00
 4.70668668E+02   2929.2 4.706E+02 8.110E+08 3.835E-05 4.259E-05 4.000E+05 0.000E+00 0.000E+00
 5.50984550E+02   2955.0 5.509E+02 9.830E+08 4.478E-05 4.586E-05 4.000E+05 0.000E+00 0.000E+00
 6.42332745E+02   2982.9 6.423E+02 1.196E+09 5.272E-05 4.983E-05 4.000E+05 0.000E+00 0.000E+00
 7.45350388E+02   3013.5 7.453E+02 1.462E+09 6.264E-05 5.472E-05 4.000E+05 0.000E+00 0.000E+00
 8.60176402E+02   3048.2 8.601E+02 1.803E+09 7.547E-05 6.115E-05 4.000E+05 0.000E+00 0.000E+00
 9.86421116E+02   3087.3 9.863E+02 2.244E+09 9.213E-05 6.920E-05 4.000E+05 0.000E+00 0.000E+00
 1.12332085E+03   3131.7 1.123E+03 2.821E+09 1.141E-04 7.935E-05 4.000E+05 0.000E+00 0.000E+00
 1.26964211E+03   3182.0 1.269E+03 3.584E+09 1.434E-04 9.220E-05 4.000E+05 0.000E+00 0.000E+00
 1.42392748E+03   3238.9 1.424E+03 4.595E+09 1.824E-04 1.083E-04 4.000E+05 0.000E+00 0.000E+00
 1.58489381E+03   3302.9 1.585E+03 5.931E+09 2.340E-04 1.281E-04 4.000E+05 0.000E+00 0.000E+00
 1.75181407E+03   3374.6 1.752E+03 7.671E+09 3.013E-04 1.517E-04 4.000E+05 0.000E+00 0.000E+00
 1.92483583E+03   3454.7 1.925E+03 9.892E+09 3.868E-04 1.792E-04 4.000E+05 0.000E+00 0.000E+00
 2.10545236E+03   3543.8 2.105E+03 1.264E+10 4.912E-04 2.095E-04 4.000E+05 0.000E+00 0.000E+00
 2.29650967E+03   3642.9 2.296E+03 1.594E+10 6.141E-04 2.419E-04 4.000E+05 1.165E-13 2.190E+01
 2.50234324E+03   3753.1 2.502E+03 1.982E+10 7.525E-04 2.751E-04 4.000E+05 2.898E-12 6.405E+01
 2.72879297E+03   3876.0 2.728E+03 2.432E+10 9.037E-04 3.088E-04 4.000E+05 1.393E-11 1.078E+02
 2.98262316E+03   4013.2 2.982E+03 2.959E+10 1.067E-03 3.439E-04 4.000E+05 6.749E-11 1.811E+02
 3.26919547E+03   4167.2 3.269E+03 3.652E+10 1.265E-03 3.876E-04 4.000E+05 6.630E-10 3.837E+02
 3.58141461E+03   4339.4 3.581E+03 4.928E+10 1.622E-03 4.759E-04 4.000E+05 2.201E-08 1.218E+03
 3.88201984E+03   4533.0 3.881E+03 7.961E+10 2.444E-03 6.915E-04 4.000E+05 1.217E-06 4.596E+03
 4.12805353E+03   4750.5 4.127E+03 1.529E+11 4.260E-03 1.180E-03 4.000E+05 6.393E-05 1.714E+04
 4.30673250E+03   4998.8 4.305E+03 3.302E+11 8.131E-03 2.235E-03 4.000E+05 1.540E-03 4.958E+04
 4.42832378E+03   5280.2 4.426E+03 7.570E+11 1.622E-02 4.433E-03 4.000E+05 1.136E-02 9.696E+04
 4.50842912E+03   5594.6 4.506E+03 1.765E+12 3.295E-02 8.421E-03 4.000E+05 4.081E-02 1.470E+05
 4.56278470E+03   5900.4 4.560E+03 3.712E+12 6.224E-02 1.266E-02 4.000E+05 2.625E-01 2.756E+05
 4.60384065E+03   6156.0 4.600E+03 6.546E+12 1.027E-01 1.415E-02 4.000E+05 5.289E-01 3.515E+05
 4.63941168E+03   6353.4 4.635E+03 9.846E+12 1.490E-01 1.370E-02 4.000E+05 6.791E-01 3.742E+05
 4.67331918E+03   6519.9 4.669E+03 1.364E+13 2.023E-01 1.308E-02 4.000E+05 7.732E-01 3.842E+05
 4.70727407E+03   6669.8 4.702E+03 1.804E+13 2.650E-01 1.258E-02 4.000E+05 8.344E-01 3.884E+05
 4.74226046E+03   6808.6 4.737E+03 2.314E+13 3.392E-01 1.193E-02 4.000E+05 8.748E-01 3.850E+05
 4.77912574E+03   6937.6 4.773E+03 2.891E+13 4.254E-01 1.149E-02 4.000E+05 9.063E-01 3.860E+05
 4.81826580E+03   7068.2 4.812E+03 3.592E+13 5.336E-01 1.095E-02 4.000E+05 9.270E-01 3.781E+05
 4.86039817E+03   7185.5 4.854E+03 4.339E+13 6.533E-01 1.120E-02 4.000E+05 9.398E-01 3.743E+05
PRADK 1.9895E-01
BEGIN                    ITERATION  15 COMPLETED
