
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -1.50  4.00  1.25  0.00  -8.191  -8.178 -10.540 -12.162 -13.064   4.773   4.764   1.402   0.649   0.670   0.661
    2  3500  0.50 -1.50  4.00  1.25  0.00  -8.565  -8.553 -10.863 -12.354 -13.139   4.591   4.582   1.285   0.636   0.748   0.739
    3  3500  1.00 -1.50  4.00  1.25  0.00  -8.936  -8.924 -11.150 -12.491 -13.178   4.357   4.347   1.187   0.583   0.815   0.805
    4  3500  1.50 -1.50  4.00  1.25  0.00  -9.288  -9.276 -11.384 -12.585 -13.201   4.100   4.089   1.116   0.515   0.837   0.827
    5  3500  2.00 -1.50  4.00  1.25  0.00  -9.637  -9.625 -11.570 -12.678 -13.268   3.843   3.833   1.090   0.447   0.766   0.756
    6  3500  2.50 -1.50  4.00  1.25  0.00 -10.009  -9.996 -11.774 -12.826 -13.412   3.619   3.610   1.086   0.396   0.654   0.645
    7  3500  3.00 -1.50  4.00  1.25  0.00 -10.288 -10.275 -11.929 -12.937 -13.512   3.451   3.442   1.075   0.362   0.574   0.566
    8  3500  3.50 -1.50  4.00  1.25  0.00 -10.424 -10.410 -11.979 -12.968 -13.538   3.346   3.339   1.070   0.348   0.509   0.501
    9  3500  4.00 -1.50  4.00  1.25  0.00 -10.485 -10.470 -11.969 -12.964 -13.534   3.280   3.274   1.070   0.354   0.430   0.424
   10  3500  4.50 -1.50  4.00  1.25  0.00 -10.526 -10.510 -11.928 -12.941 -13.515   3.217   3.211   1.074   0.367   0.331   0.326
   11  3500  5.00 -1.50  4.00  1.25  0.00 -10.585 -10.568 -11.881 -12.902 -13.484   3.119   3.114   1.082   0.369   0.216   0.211
   12  3750  0.00 -1.50  4.00  1.25  0.00  -9.540  -9.527 -11.696 -13.164 -13.886   4.426   4.417   1.222   0.674   0.631   0.622
   13  3750  0.50 -1.50  4.00  1.25  0.00  -9.922  -9.909 -11.970 -13.344 -13.960   4.224   4.215   1.117   0.686   0.617   0.607
   14  3750  1.00 -1.50  4.00  1.25  0.00 -10.270 -10.257 -12.194 -13.468 -14.005   4.001   3.991   1.036   0.667   0.592   0.582
   15  3750  1.50 -1.50  4.00  1.25  0.00 -10.560 -10.548 -12.367 -13.548 -14.027   3.790   3.780   0.979   0.631   0.567   0.557
   16  3750  2.00 -1.50  4.00  1.25  0.00 -10.789 -10.776 -12.495 -13.596 -14.036   3.609   3.600   0.940   0.589   0.548   0.539
   17  3750  2.50 -1.50  4.00  1.25  0.00 -10.982 -10.969 -12.588 -13.621 -14.047   3.441   3.432   0.927   0.535   0.516   0.507
   18  3750  3.00 -1.50  4.00  1.25  0.00 -11.164 -11.150 -12.673 -13.650 -14.092   3.288   3.280   0.943   0.463   0.476   0.468
   19  3750  3.50 -1.50  4.00  1.25  0.00 -11.346 -11.332 -12.773 -13.699 -14.151   3.155   3.148   0.952   0.404   0.442   0.435
   20  3750  4.00 -1.50  4.00  1.25  0.00 -11.465 -11.449 -12.829 -13.724 -14.178   3.061   3.054   0.954   0.369   0.412   0.405
   21  3750  4.50 -1.50  4.00  1.25  0.00 -11.536 -11.520 -12.841 -13.721 -14.179   2.987   2.981   0.958   0.351   0.366   0.360
   22  3750  5.00 -1.50  4.00  1.25  0.00 -11.606 -11.589 -12.828 -13.703 -14.167   2.899   2.894   0.964   0.340   0.289   0.284
   23  4000  0.00 -1.50  4.00  1.25  0.00 -10.827 -10.812 -12.744 -13.950 -14.523   3.925   3.918   1.073   0.563   0.652   0.644
   24  4000  0.50 -1.50  4.00  1.25  0.00 -11.223 -11.208 -13.002 -14.114 -14.588   3.694   3.687   0.974   0.568   0.609   0.602
   25  4000  1.00 -1.50  4.00  1.25  0.00 -11.575 -11.560 -13.201 -14.230 -14.628   3.457   3.450   0.898   0.560   0.540   0.533
   26  4000  1.50 -1.50  4.00  1.25  0.00 -11.856 -11.841 -13.343 -14.306 -14.650   3.252   3.245   0.844   0.548   0.466   0.459
   27  4000  2.00 -1.50  4.00  1.25  0.00 -12.055 -12.039 -13.436 -14.353 -14.662   3.100   3.094   0.809   0.537   0.407   0.401
   28  4000  2.50 -1.50  4.00  1.25  0.00 -12.176 -12.160 -13.491 -14.378 -14.666   3.005   2.998   0.788   0.528   0.371   0.364
   29  4000  3.00 -1.50  4.00  1.25  0.00 -12.238 -12.222 -13.518 -14.386 -14.667   2.950   2.944   0.781   0.515   0.355   0.348
   30  4000  3.50 -1.50  4.00  1.25  0.00 -12.282 -12.266 -13.536 -14.375 -14.675   2.895   2.889   0.801   0.467   0.357   0.351
   31  4000  4.00 -1.50  4.00  1.25  0.00 -12.345 -12.329 -13.569 -14.372 -14.697   2.829   2.823   0.826   0.406   0.363   0.358
   32  4000  4.50 -1.50  4.00  1.25  0.00 -12.425 -12.408 -13.607 -14.377 -14.717   2.754   2.749   0.840   0.358   0.356   0.350
   33  4000  5.00 -1.50  4.00  1.25  0.00 -12.494 -12.477 -13.626 -14.372 -14.722   2.680   2.675   0.851   0.324   0.328   0.323
