
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -1.50  1.00  1.25  0.00  -8.525  -8.512 -10.820 -12.248 -13.091   4.525   4.517   1.343   0.515   0.808   0.800
    2  3500  0.50 -1.50  1.00  1.25  0.00  -8.929  -8.917 -11.153 -12.440 -13.168   4.313   4.304   1.227   0.489   0.878   0.869
    3  3500  1.00 -1.50  1.00  1.25  0.00  -9.330  -9.318 -11.438 -12.576 -13.210   4.048   4.038   1.134   0.433   0.912   0.902
    4  3500  1.50 -1.50  1.00  1.25  0.00  -9.684  -9.671 -11.649 -12.666 -13.235   3.783   3.774   1.070   0.376   0.891   0.882
    5  3500  2.00 -1.50  1.00  1.25  0.00  -9.984  -9.971 -11.789 -12.748 -13.302   3.565   3.557   1.054   0.334   0.787   0.778
    6  3500  2.50 -1.50  1.00  1.25  0.00 -10.289 -10.275 -11.945 -12.883 -13.440   3.396   3.388   1.058   0.309   0.660   0.652
    7  3500  3.00 -1.50  1.00  1.25  0.00 -10.508 -10.493 -12.060 -12.979 -13.532   3.273   3.266   1.053   0.294   0.576   0.569
    8  3500  3.50 -1.50  1.00  1.25  0.00 -10.594 -10.579 -12.085 -13.002 -13.555   3.210   3.203   1.053   0.293   0.516   0.509
    9  3500  4.00 -1.50  1.00  1.25  0.00 -10.618 -10.602 -12.060 -12.994 -13.550   3.178   3.172   1.056   0.307   0.449   0.443
   10  3500  4.50 -1.50  1.00  1.25  0.00 -10.634 -10.617 -12.013 -12.971 -13.534   3.139   3.134   1.063   0.323   0.364   0.359
   11  3500  5.00 -1.50  1.00  1.25  0.00 -10.680 -10.662 -11.967 -12.935 -13.506   3.057   3.053   1.071   0.325   0.262   0.258
   12  3750  0.00 -1.50  1.00  1.25  0.00  -9.950  -9.936 -11.977 -13.240 -13.908   4.091   4.083   1.168   0.524   0.705   0.697
   13  3750  0.50 -1.50  1.00  1.25  0.00 -10.347 -10.333 -12.256 -13.416 -13.981   3.871   3.863   1.065   0.525   0.690   0.682
   14  3750  1.00 -1.50  1.00  1.25  0.00 -10.703 -10.690 -12.476 -13.536 -14.024   3.635   3.627   0.987   0.503   0.653   0.645
   15  3750  1.50 -1.50  1.00  1.25  0.00 -10.988 -10.973 -12.635 -13.611 -14.045   3.426   3.418   0.934   0.472   0.613   0.605
   16  3750  2.00 -1.50  1.00  1.25  0.00 -11.191 -11.176 -12.740 -13.654 -14.053   3.265   3.257   0.899   0.444   0.578   0.570
   17  3750  2.50 -1.50  1.00  1.25  0.00 -11.325 -11.310 -12.793 -13.671 -14.064   3.148   3.141   0.893   0.413   0.533   0.525
   18  3750  3.00 -1.50  1.00  1.25  0.00 -11.427 -11.411 -12.829 -13.689 -14.108   3.064   3.058   0.919   0.370   0.485   0.478
   19  3750  3.50 -1.50  1.00  1.25  0.00 -11.546 -11.531 -12.892 -13.730 -14.164   2.985   2.979   0.934   0.333   0.450   0.443
   20  3750  4.00 -1.50  1.00  1.25  0.00 -11.618 -11.602 -12.923 -13.747 -14.188   2.931   2.925   0.941   0.312   0.423   0.417
   21  3750  4.50 -1.50  1.00  1.25  0.00 -11.658 -11.641 -12.922 -13.742 -14.189   2.886   2.881   0.947   0.301   0.387   0.381
   22  3750  5.00 -1.50  1.00  1.25  0.00 -11.708 -11.691 -12.905 -13.724 -14.178   2.818   2.813   0.954   0.293   0.320   0.316
   23  4000  0.00 -1.50  1.00  1.25  0.00 -11.208 -11.192 -12.966 -14.007 -14.540   3.601   3.594   1.034   0.436   0.660   0.653
   24  4000  0.50 -1.50  1.00  1.25  0.00 -11.615 -11.599 -13.226 -14.168 -14.603   3.355   3.349   0.935   0.435   0.612   0.606
   25  4000  1.00 -1.50  1.00  1.25  0.00 -11.970 -11.953 -13.423 -14.279 -14.640   3.111   3.105   0.861   0.423   0.540   0.534
   26  4000  1.50 -1.50  1.00  1.25  0.00 -12.242 -12.225 -13.558 -14.350 -14.661   2.910   2.905   0.810   0.410   0.467   0.461
   27  4000  2.00 -1.50  1.00  1.25  0.00 -12.420 -12.404 -13.641 -14.392 -14.670   2.773   2.768   0.778   0.402   0.411   0.406
   28  4000  2.50 -1.50  1.00  1.25  0.00 -12.510 -12.493 -13.680 -14.413 -14.674   2.705   2.700   0.760   0.402   0.378   0.374
   29  4000  3.00 -1.50  1.00  1.25  0.00 -12.526 -12.509 -13.683 -14.416 -14.674   2.692   2.687   0.758   0.405   0.365   0.360
   30  4000  3.50 -1.50  1.00  1.25  0.00 -12.508 -12.491 -13.665 -14.398 -14.682   2.693   2.688   0.784   0.379   0.366   0.361
   31  4000  4.00 -1.50  1.00  1.25  0.00 -12.517 -12.500 -13.668 -14.390 -14.704   2.675   2.670   0.814   0.337   0.372   0.367
   32  4000  4.50 -1.50  1.00  1.25  0.00 -12.557 -12.540 -13.687 -14.391 -14.722   2.636   2.631   0.831   0.302   0.367   0.362
   33  4000  5.00 -1.50  1.00  1.25  0.00 -12.601 -12.584 -13.694 -14.384 -14.727   2.585   2.581   0.843   0.276   0.345   0.340
   34  4250  0.50 -1.50  1.00  1.25  0.00 -12.616 -12.599 -14.025 -14.779 -15.114   2.966   2.960   0.835   0.348   0.597   0.592
   35  4250  0.50 -1.50  1.00  1.25  0.00 -12.616 -12.599 -14.025 -14.779 -15.114   2.966   2.960   0.835   0.348   0.597   0.592
   36  4250  1.00 -1.50  1.00  1.25  0.00 -12.943 -12.926 -14.196 -14.873 -15.142   2.732   2.727   0.769   0.337   0.517   0.512
   37  4250  1.50 -1.50  1.00  1.25  0.00 -13.199 -13.182 -14.314 -14.935 -15.157   2.537   2.533   0.723   0.327   0.436   0.432
   38  4250  2.00 -1.50  1.00  1.25  0.00 -13.376 -13.358 -14.388 -14.973 -15.165   2.399   2.395   0.691   0.323   0.369   0.365
   39  4250  2.50 -1.50  1.00  1.25  0.00 -13.479 -13.460 -14.428 -14.997 -15.168   2.320   2.317   0.671   0.327   0.322   0.319
   40  4250  3.00 -1.50  1.00  1.25  0.00 -13.513 -13.494 -14.439 -15.010 -15.171   2.299   2.296   0.661   0.339   0.297   0.293
   41  4250  3.50 -1.50  1.00  1.25  0.00 -13.489 -13.470 -14.425 -15.013 -15.172   2.326   2.323   0.660   0.357   0.291   0.287
   42  4250  4.00 -1.50  1.00  1.25  0.00 -13.427 -13.409 -14.392 -14.993 -15.173   2.368   2.365   0.679   0.351   0.305   0.302
   43  4250  4.50 -1.50  1.00  1.25  0.00 -13.395 -13.377 -14.373 -14.969 -15.178   2.376   2.372   0.709   0.315   0.325   0.321
   44  4250  5.00 -1.50  1.00  1.25  0.00 -13.405 -13.387 -14.372 -14.953 -15.186   2.350   2.346   0.734   0.275   0.329   0.326
   45  4500  0.00 -1.50  1.00  1.25  0.00 -13.147 -13.130 -14.540 -15.207 -15.517   2.862   2.857   0.811   0.285   0.668   0.663
