
       Teff log g  [M]a Vturb  l/H  E(B-V)   u-b    u0-b     b-y      m1      c1     c10    beta     a0      r*
    1  3500  0.00 -1.50  2.00  1.25  0.00   4.618   4.609   1.365   0.566   0.755   0.746   2.496   1.950   0.235
    2  3500  0.50 -1.50  2.00  1.25  0.00   4.418   4.409   1.249   0.544   0.831   0.821   2.472   1.797   0.293
    3  3500  1.00 -1.50  2.00  1.25  0.00   4.164   4.154   1.154   0.488   0.878   0.868   2.450   1.657   0.338
    4  3500  1.50 -1.50  2.00  1.25  0.00   3.899   3.890   1.086   0.426   0.873   0.863   2.432   1.541   0.359
    5  3500  2.00 -1.50  2.00  1.25  0.00   3.664   3.655   1.066   0.375   0.780   0.771   2.424   1.479   0.336
    6  3500  2.50 -1.50  2.00  1.25  0.00   3.473   3.464   1.067   0.340   0.656   0.648   2.426   1.445   0.291
    7  3500  3.00 -1.50  2.00  1.25  0.00   3.332   3.325   1.060   0.318   0.573   0.565   2.425   1.413   0.264
    8  3500  3.50 -1.50  2.00  1.25  0.00   3.254   3.247   1.058   0.312   0.512   0.505   2.417   1.397   0.251
    9  3500  4.00 -1.50  2.00  1.25  0.00   3.210   3.204   1.061   0.322   0.442   0.435   2.402   1.392   0.241
   10  3500  4.50 -1.50  2.00  1.25  0.00   3.162   3.157   1.067   0.337   0.352   0.347   2.379   1.390   0.233
   11  3500  5.00 -1.50  2.00  1.25  0.00   3.074   3.070   1.075   0.338   0.246   0.242   2.348   1.382   0.226
   12  3750  0.00 -1.50  2.00  1.25  0.00   4.209   4.200   1.188   0.578   0.674   0.665   2.536   1.699   0.179
   13  3750  0.50 -1.50  2.00  1.25  0.00   3.996   3.987   1.084   0.583   0.659   0.650   2.514   1.556   0.203
   14  3750  1.00 -1.50  2.00  1.25  0.00   3.765   3.756   1.005   0.563   0.627   0.618   2.489   1.436   0.222
   15  3750  1.50 -1.50  2.00  1.25  0.00   3.554   3.545   0.950   0.529   0.592   0.584   2.462   1.343   0.241
