
       Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B    B-V(J)  B-V(H) 
   50  4500  2.50 -1.50  4.00  1.25  0.00 -14.269 -15.176 -15.562 -23.168  -0.632   0.529   0.990   0.974
   51  4500  3.00 -1.50  4.00  1.25  0.00 -14.320 -15.192 -15.558 -23.168  -0.636   0.494   0.969   0.953
   52  4500  3.50 -1.50  4.00  1.25  0.00 -14.339 -15.199 -15.553 -23.168  -0.641   0.481   0.957   0.941
   53  4500  4.00 -1.50  4.00  1.25  0.00 -14.331 -15.196 -15.546 -23.168  -0.648   0.486   0.953   0.937
   54  4500  4.50 -1.50  4.00  1.25  0.00 -14.311 -15.184 -15.540 -23.168  -0.654   0.494   0.960   0.944
   55  4500  5.00 -1.50  4.00  1.25  0.00 -14.309 -15.172 -15.539 -23.168  -0.655   0.483   0.970   0.954
   56  4750  0.00 -1.50  4.00  1.25  0.00 -14.223 -15.410 -15.900 -23.403  -0.529   0.814   1.094   1.078
   57  4750  0.50 -1.50  4.00  1.25  0.00 -14.421 -15.488 -15.917 -23.403  -0.512   0.692   1.032   1.016
   58  4750  1.00 -1.50  4.00  1.25  0.00 -14.594 -15.551 -15.927 -23.403  -0.502   0.579   0.979   0.963
   59  4750  1.50 -1.50  4.00  1.25  0.00 -14.733 -15.597 -15.931 -23.403  -0.498   0.483   0.938   0.922
   60  4750  2.00 -1.50  4.00  1.25  0.00 -14.837 -15.627 -15.931 -23.403  -0.498   0.409   0.908   0.892
   61  4750  2.50 -1.50  4.00  1.25  0.00 -14.907 -15.647 -15.929 -23.403  -0.499   0.357   0.886   0.870
   62  4750  3.00 -1.50  4.00  1.25  0.00 -14.948 -15.658 -15.927 -23.403  -0.502   0.327   0.872   0.856
   63  4750  3.50 -1.50  4.00  1.25  0.00 -14.964 -15.664 -15.925 -23.403  -0.504   0.316   0.864   0.848
   64  4750  4.00 -1.50  4.00  1.25  0.00 -14.960 -15.665 -15.922 -23.403  -0.507   0.321   0.860   0.844
   65  4750  4.50 -1.50  4.00  1.25  0.00 -14.944 -15.662 -15.917 -23.403  -0.512   0.334   0.859   0.843
   66  4750  5.00 -1.50  4.00  1.25  0.00 -14.934 -15.654 -15.912 -23.403  -0.517   0.337   0.861   0.845
   67  5000  0.00 -1.50  4.00  1.25  0.00 -14.959 -15.945 -16.255 -23.626  -0.397   0.605   0.914   0.898
   68  5000  0.50 -1.50  4.00  1.25  0.00 -15.104 -15.989 -16.257 -23.626  -0.394   0.502   0.872   0.856
   69  5000  1.00 -1.50  4.00  1.25  0.00 -15.232 -16.023 -16.257 -23.626  -0.395   0.406   0.838   0.822
   70  5000  1.50 -1.50  4.00  1.25  0.00 -15.335 -16.046 -16.255 -23.626  -0.397   0.324   0.812   0.796
   71  5000  2.00 -1.50  4.00  1.25  0.00 -15.414 -16.060 -16.251 -23.626  -0.401   0.259   0.794   0.778
