
       Teff log g  [M]a Vturb  l/H   small     big    beta
    1  3500  0.00 -1.50  2.00  1.25 -12.486 -12.476   2.496
    2  3500  0.50 -1.50  2.00  1.25 -12.636 -12.608   2.472
    3  3500  1.00 -1.50  2.00  1.25 -12.732 -12.689   2.450
    4  3500  1.50 -1.50  2.00  1.25 -12.793 -12.736   2.432
    5  3500  2.00 -1.50  2.00  1.25 -12.878 -12.815   2.424
    6  3500  2.50 -1.50  2.00  1.25 -13.032 -12.970   2.426
    7  3500  3.00 -1.50  2.00  1.25 -13.138 -13.075   2.425
    8  3500  3.50 -1.50  2.00  1.25 -13.166 -13.098   2.417
    9  3500  4.00 -1.50  2.00  1.25 -13.163 -13.084   2.402
   10  3500  4.50 -1.50  2.00  1.25 -13.144 -13.048   2.379
   11  3500  5.00 -1.50  2.00  1.25 -13.109 -12.990   2.348
   12  3750  0.00 -1.50  2.00  1.25 -13.426 -13.445   2.536
   13  3750  0.50 -1.50  2.00  1.25 -13.575 -13.578   2.514
   14  3750  1.00 -1.50  2.00  1.25 -13.676 -13.661   2.489
   15  3750  1.50 -1.50  2.00  1.25 -13.738 -13.702   2.462
   16  3750  2.00 -1.50  2.00  1.25 -13.772 -13.716   2.434
   17  3750  2.50 -1.50  2.00  1.25 -13.789 -13.723   2.420
   18  3750  3.00 -1.50  2.00  1.25 -13.820 -13.757   2.424
   19  3750  3.50 -1.50  2.00  1.25 -13.870 -13.811   2.430
   20  3750  4.00 -1.50  2.00  1.25 -13.892 -13.830   2.427
   21  3750  4.50 -1.50  2.00  1.25 -13.889 -13.819   2.414
   22  3750  5.00 -1.50  2.00  1.25 -13.871 -13.787   2.395
   23  4000  0.00 -1.50  2.00  1.25 -14.143 -14.177   2.556
   24  4000  0.50 -1.50  2.00  1.25 -14.277 -14.303   2.545
   25  4000  1.00 -1.50  2.00  1.25 -14.370 -14.386   2.531
   26  4000  1.50 -1.50  2.00  1.25 -14.431 -14.434   2.515
   27  4000  2.00 -1.50  2.00  1.25 -14.468 -14.457   2.495
   28  4000  2.50 -1.50  2.00  1.25 -14.489 -14.461   2.472
   29  4000  3.00 -1.50  2.00  1.25 -14.496 -14.451   2.449
   30  4000  3.50 -1.50  2.00  1.25 -14.490 -14.442   2.444
   31  4000  4.00 -1.50  2.00  1.25 -14.495 -14.447   2.446
   32  4000  4.50 -1.50  2.00  1.25 -14.503 -14.453   2.443
   33  4000  5.00 -1.50  2.00  1.25 -14.499 -14.443   2.433
   34  4250  0.00 -1.50  2.00  1.25 -14.746 -14.783   2.561
   35  4250  0.50 -1.50  2.00  1.25 -14.855 -14.887   2.554
   36  4250  1.00 -1.50  2.00  1.25 -14.931 -14.958   2.546
   37  4250  1.50 -1.50  2.00  1.25 -14.982 -15.002   2.537
   38  4250  2.00 -1.50  2.00  1.25 -15.015 -15.027   2.527
   39  4250  2.50 -1.50  2.00  1.25 -15.037 -15.040   2.514
   40  4250  3.00 -1.50  2.00  1.25 -15.052 -15.043   2.499
   41  4250  3.50 -1.50  2.00  1.25 -15.059 -15.037   2.480
   42  4250  4.00 -1.50  2.00  1.25 -15.050 -15.019   2.468
   43  4250  4.50 -1.50  2.00  1.25 -15.038 -15.004   2.464
   44  4250  5.00 -1.50  2.00  1.25 -15.032 -14.995   2.460
   45  4500  0.00 -1.50  2.00  1.25 -15.277 -15.314   2.560
   46  4500  0.50 -1.50  2.00  1.25 -15.356 -15.390   2.555
   47  4500  1.00 -1.50  2.00  1.25 -15.412 -15.442   2.550
