
       Teff log g  [M]a Vturb  l/H   small     big    beta
    1  3500  0.00 -1.00  1.00  1.25 -12.615 -12.608   2.500
    2  3500  0.50 -1.00  1.00  1.25 -12.693 -12.679   2.491
    3  3500  1.00 -1.00  1.00  1.25 -12.725 -12.708   2.487
    4  3500  1.50 -1.00  1.00  1.25 -12.725 -12.708   2.486
    5  3500  2.00 -1.00  1.00  1.25 -12.714 -12.695   2.485
    6  3500  2.50 -1.00  1.00  1.25 -12.778 -12.751   2.473
    7  3500  3.00 -1.00  1.00  1.25 -12.956 -12.916   2.456
    8  3500  3.50 -1.00  1.00  1.25 -13.062 -13.013   2.444
    9  3500  4.00 -1.00  1.00  1.25 -13.093 -13.035   2.431
   10  3500  4.50 -1.00  1.00  1.25 -13.094 -13.022   2.412
   11  3500  5.00 -1.00  1.00  1.25 -13.076 -12.984   2.385
   12  3750  0.00 -1.00  1.00  1.25 -13.564 -13.571   2.520
   13  3750  0.50 -1.00  1.00  1.25 -13.661 -13.653   2.499
   14  3750  1.00 -1.00  1.00  1.25 -13.720 -13.695   2.476
   15  3750  1.50 -1.00  1.00  1.25 -13.748 -13.708   2.455
   16  3750  2.00 -1.00  1.00  1.25 -13.756 -13.700   2.435
   17  3750  2.50 -1.00  1.00  1.25 -13.749 -13.681   2.417
   18  3750  3.00 -1.00  1.00  1.25 -13.752 -13.678   2.409
   19  3750  3.50 -1.00  1.00  1.25 -13.796 -13.725   2.413
   20  3750  4.00 -1.00  1.00  1.25 -13.843 -13.774   2.417
   21  3750  4.50 -1.00  1.00  1.25 -13.857 -13.785   2.412
   22  3750  5.00 -1.00  1.00  1.25 -13.849 -13.768   2.400
   23  4000  0.00 -1.00  1.00  1.25 -14.264 -14.292   2.548
   24  4000  0.50 -1.00  1.00  1.25 -14.357 -14.376   2.535
   25  4000  1.00 -1.00  1.00  1.25 -14.418 -14.425   2.520
   26  4000  1.50 -1.00  1.00  1.25 -14.454 -14.447   2.501
   27  4000  2.00 -1.00  1.00  1.25 -14.473 -14.451   2.480
   28  4000  2.50 -1.00  1.00  1.25 -14.480 -14.441   2.457
   29  4000  3.00 -1.00  1.00  1.25 -14.477 -14.419   2.432
   30  4000  3.50 -1.00  1.00  1.25 -14.465 -14.395   2.415
   31  4000  4.00 -1.00  1.00  1.25 -14.460 -14.391   2.416
   32  4000  4.50 -1.00  1.00  1.25 -14.471 -14.405   2.421
   33  4000  5.00 -1.00  1.00  1.25 -14.476 -14.409   2.418
   34  4250  0.00 -1.00  1.00  1.25 -14.838 -14.875   2.560
   35  4250  0.50 -1.00  1.00  1.25 -14.918 -14.949   2.552
   36  4250  1.00 -1.00  1.00  1.25 -14.971 -14.996   2.543
   37  4250  1.50 -1.00  1.00  1.25 -15.005 -15.021   2.533
   38  4250  2.00 -1.00  1.00  1.25 -15.026 -15.033   2.520
   39  4250  2.50 -1.00  1.00  1.25 -15.039 -15.035   2.505
   40  4250  3.00 -1.00  1.00  1.25 -15.046 -15.028   2.486
   41  4250  3.50 -1.00  1.00  1.25 -15.048 -15.013   2.464
