
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -1.00  1.00  1.25  0.00  -8.640  -8.627 -11.056 -12.410 -13.146   4.572   4.563   1.235   0.548   1.003   0.994
    2  3500  0.50 -1.00  1.00  1.25  0.00  -9.013  -9.000 -11.356 -12.535 -13.176   4.324   4.315   1.141   0.468   1.105   1.096
    3  3500  1.00 -1.00  1.00  1.25  0.00  -9.373  -9.360 -11.606 -12.611 -13.180   4.040   4.031   1.069   0.365   1.171   1.161
    4  3500  1.50 -1.00  1.00  1.25  0.00  -9.689  -9.676 -11.803 -12.649 -13.166   3.763   3.753   1.016   0.259   1.210   1.200
    5  3500  2.00 -1.00  1.00  1.25  0.00  -9.935  -9.923 -11.939 -12.666 -13.149   3.533   3.524   0.983   0.173   1.219   1.210
    6  3500  2.50 -1.00  1.00  1.25  0.00 -10.134 -10.121 -12.013 -12.720 -13.208   3.389   3.380   0.987   0.149   1.113   1.105
    7  3500  3.00 -1.00  1.00  1.25  0.00 -10.373 -10.359 -12.112 -12.862 -13.369   3.291   3.283   1.007   0.171   0.932   0.924
    8  3500  3.50 -1.00  1.00  1.25  0.00 -10.542 -10.528 -12.181 -12.948 -13.463   3.208   3.200   1.015   0.181   0.814   0.806
    9  3500  4.00 -1.00  1.00  1.25  0.00 -10.606 -10.591 -12.182 -12.968 -13.489   3.164   3.157   1.022   0.193   0.733   0.726
   10  3500  4.50 -1.00  1.00  1.25  0.00 -10.614 -10.598 -12.144 -12.959 -13.488   3.146   3.140   1.029   0.215   0.656   0.651
   11  3500  5.00 -1.00  1.00  1.25  0.00 -10.618 -10.601 -12.095 -12.934 -13.472   3.118   3.113   1.038   0.230   0.579   0.574
   12  3750  0.00 -1.00  1.00  1.25  0.00  -9.896  -9.883 -12.082 -13.375 -13.970   4.281   4.272   1.095   0.627   0.835   0.827
   13  3750  0.50 -1.00  1.00  1.25  0.00 -10.243 -10.230 -12.318 -13.497 -14.012   4.056   4.047   1.015   0.593   0.838   0.829
   14  3750  1.00 -1.00  1.00  1.25  0.00 -10.548 -10.535 -12.504 -13.575 -14.032   3.828   3.819   0.957   0.543   0.826   0.817
   15  3750  1.50 -1.00  1.00  1.25  0.00 -10.798 -10.785 -12.645 -13.620 -14.036   3.624   3.615   0.916   0.487   0.815   0.806
   16  3750  2.00 -1.00  1.00  1.25  0.00 -10.989 -10.976 -12.749 -13.642 -14.029   3.455   3.446   0.887   0.434   0.810   0.801
   17  3750  2.50 -1.00  1.00  1.25  0.00 -11.122 -11.108 -12.817 -13.647 -14.017   3.328   3.320   0.869   0.390   0.807   0.799
   18  3750  3.00 -1.00  1.00  1.25  0.00 -11.211 -11.196 -12.837 -13.646 -14.027   3.237   3.229   0.881   0.357   0.759   0.751
   19  3750  3.50 -1.00  1.00  1.25  0.00 -11.327 -11.312 -12.865 -13.671 -14.086   3.146   3.139   0.915   0.320   0.674   0.667
   20  3750  4.00 -1.00  1.00  1.25  0.00 -11.456 -11.441 -12.917 -13.709 -14.139   3.055   3.048   0.931   0.289   0.612   0.605
   21  3750  4.50 -1.00  1.00  1.25  0.00 -11.530 -11.514 -12.940 -13.718 -14.156   2.991   2.984   0.938   0.270   0.573   0.567
   22  3750  5.00 -1.00  1.00  1.25  0.00 -11.581 -11.564 -12.940 -13.710 -14.153   2.931   2.926   0.943   0.256   0.531   0.525
   23  4000  0.00 -1.00  1.00  1.25  0.00 -11.216 -11.201 -13.045 -14.123 -14.595   3.709   3.703   0.972   0.535   0.693   0.686
   24  4000  0.50 -1.00  1.00  1.25  0.00 -11.568 -11.552 -13.257 -14.239 -14.634   3.474   3.467   0.894   0.517   0.650   0.643
   25  4000  1.00 -1.00  1.00  1.25  0.00 -11.855 -11.839 -13.412 -14.315 -14.655   3.262   3.256   0.840   0.492   0.597   0.591
   26  4000  1.50 -1.00  1.00  1.25  0.00 -12.063 -12.047 -13.518 -14.360 -14.663   3.099   3.093   0.804   0.467   0.555   0.549
   27  4000  2.00 -1.00  1.00  1.25  0.00 -12.195 -12.179 -13.585 -14.384 -14.665   2.990   2.984   0.781   0.447   0.532   0.526
   28  4000  2.50 -1.00  1.00  1.25  0.00 -12.265 -12.249 -13.621 -14.392 -14.660   2.929   2.923   0.768   0.432   0.528   0.522
   29  4000  3.00 -1.00  1.00  1.25  0.00 -12.282 -12.266 -13.633 -14.389 -14.651   2.909   2.903   0.762   0.423   0.536   0.530
   30  4000  3.50 -1.00  1.00  1.25  0.00 -12.275 -12.259 -13.620 -14.373 -14.646   2.899   2.893   0.774   0.408   0.533   0.527
   31  4000  4.00 -1.00  1.00  1.25  0.00 -12.288 -12.272 -13.607 -14.354 -14.662   2.868   2.862   0.808   0.369   0.514   0.508
   32  4000  4.50 -1.00  1.00  1.25  0.00 -12.353 -12.336 -13.629 -14.356 -14.689   2.805   2.799   0.833   0.323   0.491   0.485
   33  4000  5.00 -1.00  1.00  1.25  0.00 -12.422 -12.405 -13.655 -14.357 -14.703   2.737   2.732   0.846   0.285   0.472   0.467
   34  4250  0.00 -1.00  1.00  1.25  0.00 -12.281 -12.264 -13.854 -14.738 -15.110   3.259   3.254   0.873   0.440   0.632   0.627
   35  4250  0.50 -1.00  1.00  1.25  0.00 -12.614 -12.597 -14.044 -14.839 -15.141   3.027   3.022   0.802   0.423   0.576   0.571
   36  4250  1.00 -1.00  1.00  1.25  0.00 -12.892 -12.875 -14.184 -14.907 -15.157   2.817   2.812   0.750   0.402   0.511   0.506
   37  4250  1.50 -1.00  1.00  1.25  0.00 -13.099 -13.081 -14.278 -14.949 -15.164   2.652   2.648   0.715   0.386   0.449   0.445
   38  4250  2.00 -1.00  1.00  1.25  0.00 -13.239 -13.220 -14.338 -14.975 -15.167   2.539   2.535   0.691   0.375   0.403   0.400
   39  4250  2.50 -1.00  1.00  1.25  0.00 -13.316 -13.297 -14.370 -14.990 -15.166   2.476   2.472   0.676   0.373   0.376   0.372
   40  4250  3.00 -1.00  1.00  1.25  0.00 -13.335 -13.317 -14.378 -14.995 -15.164   2.462   2.459   0.669   0.378   0.367   0.363
   41  4250  3.50 -1.00  1.00  1.25  0.00 -13.304 -13.286 -14.364 -14.994 -15.160   2.492   2.488   0.666   0.393   0.372   0.368
   42  4250  4.00 -1.00  1.00  1.25  0.00 -13.241 -13.223 -14.334 -14.980 -15.155   2.541   2.537   0.675   0.400   0.389   0.385
   43  4250  4.50 -1.00  1.00  1.25  0.00 -13.198 -13.180 -14.305 -14.951 -15.155   2.555   2.551   0.704   0.371   0.403   0.399
   44  4250  5.00 -1.00  1.00  1.25  0.00 -13.212 -13.194 -14.303 -14.929 -15.165   2.519   2.515   0.735   0.320   0.406   0.402
   45  4500  0.00 -1.00  1.00  1.25  0.00 -13.160 -13.143 -14.560 -15.271 -15.551   2.913   2.908   0.780   0.359   0.632   0.627
   46  4500  0.50 -1.00  1.00  1.25  0.00 -13.456 -13.438 -14.718 -15.352 -15.573   2.699   2.694   0.721   0.343   0.569   0.565
   47  4500  1.00 -1.00  1.00  1.25  0.00 -13.704 -13.686 -14.834 -15.407 -15.583   2.505   2.501   0.676   0.326   0.498   0.494
   48  4500  1.50 -1.00  1.00  1.25  0.00 -13.895 -13.876 -14.912 -15.441 -15.587   2.348   2.345   0.645   0.312   0.431   0.427
   49  4500  2.00 -1.00  1.00  1.25  0.00 -14.032 -14.013 -14.964 -15.463 -15.587   2.234   2.231   0.624   0.305   0.375   0.372
   50  4500  2.50 -1.00  1.00  1.25  0.00 -14.117 -14.098 -14.994 -15.477 -15.586   2.162   2.159   0.609   0.303   0.335   0.333
   51  4500  3.00 -1.00  1.00  1.25  0.00 -14.158 -14.138 -15.006 -15.486 -15.585   2.130   2.128   0.599   0.310   0.310   0.308
   52  4500  3.50 -1.00  1.00  1.25  0.00 -14.156 -14.136 -15.002 -15.492 -15.585   2.138   2.136   0.593   0.326   0.299   0.297
   53  4500  4.00 -1.00  1.00  1.25  0.00 -14.116 -14.096 -14.985 -15.493 -15.584   2.180   2.177   0.591   0.347   0.302   0.300
   54  4500  4.50 -1.00  1.00  1.25  0.00 -14.049 -14.029 -14.955 -15.486 -15.583   2.240   2.237   0.596   0.364   0.318   0.315
   55  4500  5.00 -1.00  1.00  1.25  0.00 -14.003 -13.984 -14.929 -15.461 -15.581   2.260   2.258   0.620   0.342   0.336   0.333
   56  4750  0.00 -1.00  1.00  1.25  0.00 -13.907 -13.889 -15.196 -15.748 -15.937   2.643   2.639   0.689   0.292   0.678   0.674
   57  4750  0.50 -1.00  1.00  1.25  0.00 -14.162 -14.144 -15.314 -15.806 -15.949   2.446   2.442   0.643   0.278   0.602   0.598
   58  4750  1.00 -1.00  1.00  1.25  0.00 -14.379 -14.360 -15.402 -15.845 -15.953   2.268   2.264   0.609   0.263   0.523   0.519
