
       Teff log g  [M]  Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00  0.00  2.00  0.00  0.00  -8.543  -8.530 -10.998 -11.889 -12.660   4.148   4.139   1.271   0.049   1.506   1.497
    2  3500  0.50  0.00  2.00  0.00  0.00  -8.844  -8.831 -11.228 -11.820 -12.547   3.778   3.768   1.227  -0.206   1.733   1.724
    3  3500  1.00  0.00  2.00  0.00  0.00  -9.161  -9.149 -11.458 -11.759 -12.449   3.400   3.391   1.189  -0.459   1.938   1.929
    4  3500  1.50  0.00  2.00  0.00  0.00  -9.496  -9.483 -11.692 -11.725 -12.382   3.032   3.022   1.157  -0.694   2.104   2.095
    5  3500  2.00  0.00  2.00  0.00  0.00  -9.848  -9.835 -11.932 -11.732 -12.357   2.686   2.677   1.125  -0.895   2.225   2.216
    6  3500  2.50  0.00  2.00  0.00  0.00 -10.204 -10.191 -12.164 -11.789 -12.381   2.387   2.377   1.093  -1.039   2.277   2.267
    7  3500  3.00  0.00  2.00  0.00  0.00 -10.540 -10.528 -12.385 -11.914 -12.472   2.176   2.167   1.058  -1.099   2.256   2.247
    8  3500  3.50  0.00  2.00  0.00  0.00 -10.847 -10.834 -12.590 -12.110 -12.631   2.065   2.056   1.021  -1.072   2.164   2.155
    9  3500  4.00  0.00  2.00  0.00  0.00 -11.111 -11.098 -12.761 -12.362 -12.856   2.052   2.044   0.994  -0.965   1.992   1.984
   10  3500  4.50  0.00  2.00  0.00  0.00 -11.340 -11.326 -12.896 -12.617 -13.094   2.078   2.071   0.978  -0.827   1.776   1.768
   11  3500  5.00  0.00  2.00  0.00  0.00 -11.478 -11.463 -12.951 -12.823 -13.294   2.146   2.139   0.971  -0.671   1.544   1.537
   12  3750  0.00  0.00  2.00  0.00  0.00  -9.331  -9.318 -11.744 -13.205 -13.876   4.676   4.667   1.171   0.719   0.894   0.885
   13  3750  0.50  0.00  2.00  0.00  0.00  -9.598  -9.584 -11.939 -13.213 -13.840   4.417   4.409   1.127   0.575   1.010   1.001
   14  3750  1.00  0.00  2.00  0.00  0.00  -9.869  -9.856 -12.138 -13.216 -13.799   4.149   4.140   1.083   0.424   1.133   1.124
   15  3750  1.50  0.00  2.00  0.00  0.00 -10.154 -10.141 -12.337 -13.214 -13.756   3.863   3.853   1.041   0.265   1.248   1.239
   16  3750  2.00  0.00  2.00  0.00  0.00 -10.455 -10.442 -12.539 -13.216 -13.715   3.563   3.554   0.999   0.107   1.350   1.340
   17  3750  2.50  0.00  2.00  0.00  0.00 -10.762 -10.749 -12.729 -13.213 -13.676   3.253   3.244   0.963  -0.050   1.425   1.416
   18  3750  3.00  0.00  2.00  0.00  0.00 -11.047 -11.035 -12.897 -13.216 -13.650   2.970   2.961   0.934  -0.187   1.474   1.465
   19  3750  3.50  0.00  2.00  0.00  0.00 -11.297 -11.284 -13.044 -13.235 -13.646   2.740   2.731   0.912  -0.292   1.498   1.489
   20  3750  4.00  0.00  2.00  0.00  0.00 -11.520 -11.507 -13.170 -13.286 -13.683   2.568   2.560   0.896  -0.351   1.475   1.467
   21  3750  4.50  0.00  2.00  0.00  0.00 -11.719 -11.705 -13.268 -13.385 -13.776   2.467   2.460   0.892  -0.346   1.374   1.366
   22  3750  5.00  0.00  2.00  0.00  0.00 -11.878 -11.863 -13.338 -13.507 -13.898   2.431   2.424   0.891  -0.293   1.232   1.225
   23  4000  0.00  0.00  2.00  0.00  0.00 -10.363 -10.349 -12.579 -14.054 -14.602   4.493   4.484   1.048   0.856   0.683   0.675
   24  4000  0.50  0.00  2.00  0.00  0.00 -10.590 -10.576 -12.730 -14.082 -14.594   4.295   4.286   1.012   0.770   0.729   0.720
   25  4000  1.00  0.00  2.00  0.00  0.00 -10.814 -10.800 -12.874 -14.107 -14.585   4.095   4.086   0.978   0.684   0.769   0.761
   26  4000  1.50  0.00  2.00  0.00  0.00 -11.058 -11.044 -13.027 -14.134 -14.574   3.878   3.869   0.940   0.595   0.805   0.797
   27  4000  2.00  0.00  2.00  0.00  0.00 -11.299 -11.286 -13.178 -14.160 -14.563   3.663   3.654   0.902   0.509   0.838   0.830
   28  4000  2.50  0.00  2.00  0.00  0.00 -11.536 -11.522 -13.324 -14.179 -14.546   3.445   3.437   0.867   0.418   0.874   0.866
   29  4000  3.00  0.00  2.00  0.00  0.00 -11.737 -11.723 -13.443 -14.182 -14.523   3.247   3.238   0.841   0.327   0.910   0.902
   30  4000  3.50  0.00  2.00  0.00  0.00 -11.909 -11.895 -13.547 -14.179 -14.500   3.072   3.064   0.821   0.240   0.948   0.940
   31  4000  4.00  0.00  2.00  0.00  0.00 -12.051 -12.036 -13.630 -14.173 -14.481   2.924   2.917   0.808   0.163   0.979   0.972
   32  4000  4.50  0.00  2.00  0.00  0.00 -12.181 -12.167 -13.693 -14.179 -14.486   2.800   2.793   0.807   0.107   0.969   0.961
   33  4000  5.00  0.00  2.00  0.00  0.00 -12.301 -12.285 -13.731 -14.206 -14.524   2.707   2.700   0.818   0.085   0.898   0.891
   34  4250  0.00  0.00  2.00  0.00  0.00 -11.607 -11.591 -13.418 -14.716 -15.145   3.912   3.905   0.928   0.799   0.456   0.449
   35  4250  0.50  0.00  2.00  0.00  0.00 -11.796 -11.781 -13.547 -14.746 -15.142   3.752   3.745   0.896   0.733   0.493   0.486
   36  4250  1.00  0.00  2.00  0.00  0.00 -11.976 -11.961 -13.657 -14.767 -15.136   3.593   3.586   0.869   0.670   0.513   0.507
   37  4250  1.50  0.00  2.00  0.00  0.00 -12.169 -12.154 -13.773 -14.796 -15.133   3.429   3.422   0.837   0.614   0.524   0.517
   38  4250  2.00  0.00  2.00  0.00  0.00 -12.356 -12.341 -13.882 -14.827 -15.132   3.273   3.266   0.805   0.568   0.523   0.517
   39  4250  2.50  0.00  2.00  0.00  0.00 -12.512 -12.497 -13.981 -14.857 -15.132   3.147   3.141   0.775   0.530   0.535   0.529
   40  4250  3.00  0.00  2.00  0.00  0.00 -12.629 -12.614 -14.058 -14.873 -15.126   3.045   3.039   0.753   0.491   0.555   0.549
   41  4250  3.50  0.00  2.00  0.00  0.00 -12.707 -12.691 -14.115 -14.878 -15.116   2.973   2.966   0.738   0.454   0.587   0.581
   42  4250  4.00  0.00  2.00  0.00  0.00 -12.759 -12.743 -14.155 -14.872 -15.101   2.915   2.909   0.729   0.416   0.623   0.616
   43  4250  4.50  0.00  2.00  0.00  0.00 -12.799 -12.784 -14.185 -14.859 -15.085   2.861   2.855   0.726   0.377   0.654   0.648
   44  4250  5.00  0.00  2.00  0.00  0.00 -12.851 -12.835 -14.200 -14.846 -15.081   2.798   2.792   0.734   0.341   0.644   0.639
   45  4500  0.00  0.00  2.00  0.00  0.00 -12.612 -12.595 -14.145 -15.265 -15.593   3.456   3.450   0.828   0.721   0.355   0.350
   46  4500  0.50  0.00  2.00  0.00  0.00 -12.776 -12.759 -14.259 -15.292 -15.590   3.318   3.313   0.798   0.665   0.391   0.386
   47  4500  1.00  0.00  2.00  0.00  0.00 -12.928 -12.911 -14.352 -15.309 -15.584   3.182   3.178   0.775   0.610   0.409   0.404
   48  4500  1.50  0.00  2.00  0.00  0.00 -13.084 -13.066 -14.441 -15.327 -15.579   3.045   3.040   0.752   0.563   0.413   0.409
   49  4500  2.00  0.00  2.00  0.00  0.00 -13.244 -13.227 -14.530 -15.351 -15.577   2.909   2.904   0.725   0.525   0.407   0.402
   50  4500  2.50  0.00  2.00  0.00  0.00 -13.377 -13.360 -14.609 -15.379 -15.578   2.804   2.799   0.699   0.500   0.403   0.399
   51  4500  3.00  0.00  2.00  0.00  0.00 -13.469 -13.452 -14.669 -15.401 -15.579   2.734   2.730   0.677   0.484   0.410   0.405
   52  4500  3.50  0.00  2.00  0.00  0.00 -13.514 -13.496 -14.705 -15.413 -15.576   2.701   2.697   0.663   0.474   0.425   0.420
   53  4500  4.00  0.00  2.00  0.00  0.00 -13.524 -13.507 -14.724 -15.418 -15.572   2.696   2.691   0.654   0.470   0.447   0.442
   54  4500  4.50  0.00  2.00  0.00  0.00 -13.511 -13.494 -14.727 -15.413 -15.563   2.704   2.699   0.650   0.465   0.472   0.467
   55  4500  5.00  0.00  2.00  0.00  0.00 -13.492 -13.475 -14.721 -15.402 -15.552   2.712   2.707   0.650   0.460   0.490   0.485
   56  4750  0.00  0.00  2.00  0.00  0.00 -13.417 -13.400 -14.802 -15.744 -15.979   3.129   3.125   0.735   0.637   0.384   0.380
   57  4750  0.50  0.00  2.00  0.00  0.00 -13.579 -13.561 -14.904 -15.769 -15.977   2.992   2.988   0.708   0.587   0.402   0.397
   58  4750  1.00  0.00  2.00  0.00  0.00 -13.720 -13.702 -14.983 -15.782 -15.971   2.865   2.860   0.688   0.540   0.405   0.401
   59  4750  1.50  0.00  2.00  0.00  0.00 -13.854 -13.836 -15.051 -15.793 -15.964   2.741   2.737   0.672   0.499   0.397   0.394
   60  4750  2.00  0.00  2.00  0.00  0.00 -13.990 -13.972 -15.118 -15.807 -15.959   2.619   2.615   0.652   0.466   0.381   0.377
   61  4750  2.50  0.00  2.00  0.00  0.00 -14.112 -14.094 -15.179 -15.826 -15.957   2.516   2.512   0.632   0.444   0.361   0.358
   62  4750  3.00  0.00  2.00  0.00  0.00 -14.204 -14.185 -15.228 -15.845 -15.958   2.443   2.440   0.613   0.433   0.350   0.347
   63  4750  3.50  0.00  2.00  0.00  0.00 -14.258 -14.239 -15.261 -15.859 -15.957   2.403   2.400   0.598   0.429   0.346   0.343
   64  4750  4.00  0.00  2.00  0.00  0.00 -14.274 -14.255 -15.276 -15.869 -15.957   2.397   2.394   0.588   0.435   0.350   0.347
   65  4750  4.50  0.00  2.00  0.00  0.00 -14.257 -14.239 -15.275 -15.874 -15.955   2.419   2.416   0.581   0.448   0.360   0.357
   66  4750  5.00  0.00  2.00  0.00  0.00 -14.217 -14.198 -15.260 -15.874 -15.951   2.459   2.455   0.577   0.465   0.373   0.369
   67  5000  0.00  0.00  2.00  0.00  0.00 -14.083 -14.066 -15.405 -16.176 -16.321   2.895   2.890   0.645   0.555   0.493   0.488
   68  5000  0.50  0.00  2.00  0.00  0.00 -14.249 -14.232 -15.493 -16.195 -16.316   2.747   2.743   0.622   0.509   0.484   0.480
   69  5000  1.00  0.00  2.00  0.00  0.00 -14.394 -14.376 -15.560 -16.204 -16.310   2.612   2.608   0.606   0.467   0.465   0.461
   70  5000  1.50  0.00  2.00  0.00  0.00 -14.523 -14.504 -15.614 -16.209 -16.303   2.488   2.485   0.593   0.431   0.438   0.434
   71  5000  2.00  0.00  2.00  0.00  0.00 -14.643 -14.624 -15.661 -16.215 -16.296   2.374   2.371   0.581   0.402   0.405   0.402
   72  5000  2.50  0.00  2.00  0.00  0.00 -14.751 -14.732 -15.701 -16.223 -16.291   2.275   2.272   0.568   0.384   0.370   0.368
