
       Teff log g  [M]a  Vturb l/H  E(B-V)   V       I       R       V-R     V-I     R-I
  260 10000  5.00  0.00  2.00  0.00  0.00 -19.301 -18.734 -18.009  -0.016  -0.021  -0.006
  261 10250  2.00  0.00  2.00  0.00  0.00 -19.329 -18.777 -18.061  -0.002   0.003   0.004
  262 10250  2.50  0.00  2.00  0.00  0.00 -19.342 -18.776 -18.051  -0.015  -0.020  -0.007
  263 10250  3.00  0.00  2.00  0.00  0.00 -19.346 -18.774 -18.042  -0.022  -0.033  -0.013
  264 10250  3.50  0.00  2.00  0.00  0.00 -19.348 -18.772 -18.037  -0.025  -0.040  -0.016
  265 10250  4.00  0.00  2.00  0.00  0.00 -19.350 -18.773 -18.037  -0.026  -0.042  -0.017
  266 10250  4.50  0.00  2.00  0.00  0.00 -19.353 -18.777 -18.042  -0.025  -0.040  -0.016
  267 10250  5.00  0.00  2.00  0.00  0.00 -19.357 -18.783 -18.051  -0.023  -0.035  -0.013
  268 10500  2.00  0.00  2.00  0.00  0.00 -19.384 -18.830 -18.111  -0.003  -0.002   0.000
  269 10500  2.50  0.00  2.00  0.00  0.00 -19.398 -18.830 -18.100  -0.017  -0.027  -0.011
  270 10500  3.00  0.00  2.00  0.00  0.00 -19.402 -18.826 -18.090  -0.024  -0.040  -0.017
  271 10500  3.50  0.00  2.00  0.00  0.00 -19.403 -18.824 -18.084  -0.028  -0.048  -0.021
  272 10500  4.00  0.00  2.00  0.00  0.00 -19.404 -18.823 -18.082  -0.030  -0.051  -0.022
  273 10500  4.50  0.00  2.00  0.00  0.00 -19.406 -18.826 -18.085  -0.030  -0.050  -0.022
  274 10500  5.00  0.00  2.00  0.00  0.00 -19.410 -18.831 -18.092  -0.028  -0.047  -0.020
  275 10750  2.00  0.00  2.00  0.00  0.00 -19.436 -18.880 -18.157  -0.005  -0.008  -0.004
  276 10750  2.50  0.00  2.00  0.00  0.00 -19.451 -18.881 -18.148  -0.019  -0.032  -0.015
  277 10750  3.00  0.00  2.00  0.00  0.00 -19.455 -18.877 -18.137  -0.026  -0.047  -0.021
  278 10750  3.50  0.00  2.00  0.00  0.00 -19.455 -18.873 -18.129  -0.031  -0.055  -0.025
  279 10750  4.00  0.00  2.00  0.00  0.00 -19.455 -18.871 -18.125  -0.033  -0.059  -0.027
  280 10750  4.50  0.00  2.00  0.00  0.00 -19.457 -18.872 -18.126  -0.034  -0.060  -0.027
  281 10750  5.00  0.00  2.00  0.00  0.00 -19.460 -18.876 -18.132  -0.033  -0.058  -0.025
  282 11000  2.00  0.00  2.00  0.00  0.00 -19.486 -18.928 -18.202  -0.007  -0.013  -0.007
  283 11000  2.50  0.00  2.00  0.00  0.00 -19.502 -18.930 -18.193  -0.021  -0.038  -0.018
  284 11000  3.00  0.00  2.00  0.00  0.00 -19.506 -18.926 -18.182  -0.029  -0.053  -0.025
  285 11000  3.50  0.00  2.00  0.00  0.00 -19.506 -18.922 -18.173  -0.033  -0.061  -0.029
  286 11000  4.00  0.00  2.00  0.00  0.00 -19.505 -18.918 -18.168  -0.036  -0.066  -0.032
  287 11000  4.50  0.00  2.00  0.00  0.00 -19.506 -18.918 -18.167  -0.037  -0.068  -0.032
  288 11000  5.00  0.00  2.00  0.00  0.00 -19.508 -18.920 -18.171  -0.037  -0.067  -0.031
  289 11250  2.00  0.00  2.00  0.00  0.00 -19.534 -18.974 -18.244  -0.009  -0.019  -0.010
  290 11250  2.50  0.00  2.00  0.00  0.00 -19.551 -18.977 -18.236  -0.023  -0.043  -0.022
  291 11250  3.00  0.00  2.00  0.00  0.00 -19.555 -18.973 -18.226  -0.030  -0.058  -0.029
  292 11250  3.50  0.00  2.00  0.00  0.00 -19.555 -18.968 -18.216  -0.035  -0.067  -0.033
  293 11250  4.00  0.00  2.00  0.00  0.00 -19.553 -18.964 -18.209  -0.038  -0.073  -0.035
  294 11250  4.50  0.00  2.00  0.00  0.00 -19.553 -18.962 -18.207  -0.040  -0.075  -0.036
  295 11250  5.00  0.00  2.00  0.00  0.00 -19.555 -18.963 -18.209  -0.041  -0.075  -0.035
  296 11500  2.00  0.00  2.00  0.00  0.00 -19.580 -19.017 -18.284  -0.011  -0.024  -0.014
  297 11500  2.50  0.00  2.00  0.00  0.00 -19.597 -19.022 -18.278  -0.025  -0.049  -0.025
  298 11500  3.00  0.00  2.00  0.00  0.00 -19.602 -19.018 -18.267  -0.032  -0.063  -0.032
  299 11500  3.50  0.00  2.00  0.00  0.00 -19.601 -19.013 -18.258  -0.037  -0.073  -0.037
  300 11500  4.00  0.00  2.00  0.00  0.00 -19.600 -19.008 -18.250  -0.040  -0.079  -0.039
  301 11500  4.50  0.00  2.00  0.00  0.00 -19.599 -19.005 -18.246  -0.042  -0.081  -0.040
  302 11500  5.00  0.00  2.00  0.00  0.00 -19.599 -19.005 -18.247  -0.044  -0.082  -0.039
  303 11750  2.00  0.00  2.00  0.00  0.00 -19.624 -19.059 -18.323  -0.014  -0.030  -0.017
  304 11750  2.50  0.00  2.00  0.00  0.00 -19.642 -19.064 -18.317  -0.027  -0.054  -0.028
  305 11750  3.00  0.00  2.00  0.00  0.00 -19.647 -19.062 -18.307  -0.034  -0.068  -0.035
  306 11750  3.50  0.00  2.00  0.00  0.00 -19.646 -19.056 -18.298  -0.039  -0.078  -0.040
  307 11750  4.00  0.00  2.00  0.00  0.00 -19.644 -19.051 -18.289  -0.042  -0.084  -0.043
  308 11750  4.50  0.00  2.00  0.00  0.00 -19.643 -19.047 -18.284  -0.045  -0.087  -0.044
  309 11750  5.00  0.00  2.00  0.00  0.00 -19.643 -19.046 -18.283  -0.046  -0.088  -0.043
  310 12000  2.50  0.00  2.00  0.00  0.00 -19.685 -19.105 -18.355  -0.029  -0.059  -0.032
  311 12000  3.00  0.00  2.00  0.00  0.00 -19.690 -19.103 -18.346  -0.036  -0.073  -0.038
  312 12000  3.50  0.00  2.00  0.00  0.00 -19.690 -19.098 -18.336  -0.041  -0.083  -0.043
  313 12000  4.00  0.00  2.00  0.00  0.00 -19.688 -19.092 -18.328  -0.044  -0.089  -0.046
  314 12000  4.50  0.00  2.00  0.00  0.00 -19.685 -19.088 -18.322  -0.047  -0.093  -0.047
  315 12000  5.00  0.00  2.00  0.00  0.00 -19.685 -19.085 -18.320  -0.049  -0.094  -0.047
  316 12250  2.50  0.00  2.00  0.00  0.00 -19.726 -19.145 -18.391  -0.031  -0.065  -0.035
  317 12250  3.00  0.00  2.00  0.00  0.00 -19.732 -19.143 -18.382  -0.038  -0.078  -0.041
  318 12250  3.50  0.00  2.00  0.00  0.00 -19.732 -19.138 -18.373  -0.043  -0.088  -0.046
  319 12250  4.00  0.00  2.00  0.00  0.00 -19.729 -19.132 -18.364  -0.046  -0.094  -0.049
  320 12250  4.50  0.00  2.00  0.00  0.00 -19.727 -19.127 -18.358  -0.049  -0.098  -0.050
  321 12250  5.00  0.00  2.00  0.00  0.00 -19.726 -19.124 -18.355  -0.051  -0.100  -0.050
  322 12500  2.50  0.00  2.00  0.00  0.00 -19.767 -19.183 -18.426  -0.033  -0.070  -0.038
  323 12500  3.00  0.00  2.00  0.00  0.00 -19.772 -19.181 -18.418  -0.040  -0.083  -0.044
  324 12500  3.50  0.00  2.00  0.00  0.00 -19.772 -19.176 -18.409  -0.045  -0.092  -0.049
  325 12500  4.00  0.00  2.00  0.00  0.00 -19.770 -19.171 -18.400  -0.048  -0.098  -0.052
  326 12500  4.50  0.00  2.00  0.00  0.00 -19.767 -19.165 -18.393  -0.051  -0.103  -0.053
  327 12500  5.00  0.00  2.00  0.00  0.00 -19.765 -19.162 -18.389  -0.053  -0.105  -0.053
  328 12750  2.50  0.00  2.00  0.00  0.00 -19.805 -19.219 -18.459  -0.035  -0.075  -0.041
  329 12750  3.00  0.00  2.00  0.00  0.00 -19.811 -19.218 -18.451  -0.042  -0.088  -0.047
  330 12750  3.50  0.00  2.00  0.00  0.00 -19.811 -19.213 -18.443  -0.046  -0.097  -0.051
  331 12750  4.00  0.00  2.00  0.00  0.00 -19.808 -19.208 -18.434  -0.050  -0.103  -0.054
  332 12750  4.50  0.00  2.00  0.00  0.00 -19.806 -19.202 -18.428  -0.052  -0.107  -0.056
  333 12750  5.00  0.00  2.00  0.00  0.00 -19.804 -19.198 -18.423  -0.055  -0.110  -0.056
  334 13000  2.50  0.00  2.00  0.00  0.00 -19.843 -19.255 -18.492  -0.037  -0.080  -0.044
  335 13000  3.00  0.00  2.00  0.00  0.00 -19.848 -19.253 -18.484  -0.044  -0.093  -0.050
  336 13000  3.50  0.00  2.00  0.00  0.00 -19.848 -19.249 -18.476  -0.048  -0.101  -0.054
  337 13000  4.00  0.00  2.00  0.00  0.00 -19.846 -19.244 -18.468  -0.051  -0.107  -0.057
  338 13000  4.50  0.00  2.00  0.00  0.00 -19.843 -19.238 -18.461  -0.054  -0.112  -0.059
  339 13000  5.00  0.00  2.00  0.00  0.00 -19.841 -19.234 -18.456  -0.056  -0.114  -0.059
  340 14000  2.00  0.00  2.00  0.00  0.00 -19.967 -19.384 -18.621  -0.032  -0.075  -0.044
  341 14000  2.50  0.00  2.00  0.00  0.00 -19.985 -19.388 -18.614  -0.046  -0.100  -0.055
  342 14000  3.00  0.00  2.00  0.00  0.00 -19.988 -19.385 -18.605  -0.052  -0.112  -0.061
  343 14000  3.50  0.00  2.00  0.00  0.00 -19.987 -19.380 -18.597  -0.056  -0.119  -0.064
  344 14000  4.00  0.00  2.00  0.00  0.00 -19.985 -19.375 -18.590  -0.058  -0.124  -0.067
  345 14000  4.50  0.00  2.00  0.00  0.00 -19.982 -19.371 -18.583  -0.060  -0.128  -0.068
  346 14000  5.00  0.00  2.00  0.00  0.00 -19.980 -19.366 -18.578  -0.063  -0.131  -0.069
  347 15000  2.50  0.00  2.00  0.00  0.00 -20.116 -19.511 -18.726  -0.053  -0.118  -0.066
  348 15000  3.00  0.00  2.00  0.00  0.00 -20.115 -19.505 -18.715  -0.059  -0.130  -0.071
  349 15000  3.50  0.00  2.00  0.00  0.00 -20.113 -19.499 -18.705  -0.063  -0.136  -0.074
  350 15000  4.00  0.00  2.00  0.00  0.00 -20.109 -19.493 -18.698  -0.065  -0.140  -0.076
  351 15000  4.50  0.00  2.00  0.00  0.00 -20.106 -19.488 -18.692  -0.067  -0.143  -0.077
  352 15000  5.00  0.00  2.00  0.00  0.00 -20.104 -19.484 -18.687  -0.069  -0.146  -0.078
  353 16000  2.50  0.00  2.00  0.00  0.00 -20.240 -19.628 -18.833  -0.061  -0.136  -0.076
  354 16000  3.00  0.00  2.00  0.00  0.00 -20.234 -19.616 -18.816  -0.067  -0.146  -0.081
  355 16000  3.50  0.00  2.00  0.00  0.00 -20.228 -19.607 -18.805  -0.070  -0.152  -0.083
  356 16000  4.00  0.00  2.00  0.00  0.00 -20.224 -19.601 -18.797  -0.072  -0.156  -0.085
  357 16000  4.50  0.00  2.00  0.00  0.00 -20.219 -19.595 -18.790  -0.073  -0.158  -0.086
  358 16000  5.00  0.00  2.00  0.00  0.00 -20.217 -19.591 -18.786  -0.075  -0.160  -0.086
  359 17000  2.50  0.00  2.00  0.00  0.00 -20.359 -19.741 -18.937  -0.067  -0.151  -0.085
  360 17000  3.00  0.00  2.00  0.00  0.00 -20.347 -19.722 -18.913  -0.074  -0.162  -0.090
  361 17000  3.50  0.00  2.00  0.00  0.00 -20.337 -19.710 -18.899  -0.077  -0.167  -0.092
  362 17000  4.00  0.00  2.00  0.00  0.00 -20.331 -19.701 -18.889  -0.078  -0.171  -0.093
  363 17000  4.50  0.00  2.00  0.00  0.00 -20.324 -19.694 -18.881  -0.079  -0.172  -0.094
  364 17000  5.00  0.00  2.00  0.00  0.00 -20.320 -19.689 -18.877  -0.080  -0.173  -0.094
  365 18000  2.50  0.00  2.00  0.00  0.00 -20.474 -19.851 -19.039  -0.072  -0.164  -0.093
  366 18000  3.00  0.00  2.00  0.00  0.00 -20.456 -19.825 -19.007  -0.080  -0.178  -0.098
  367 18000  3.50  0.00  2.00  0.00  0.00 -20.441 -19.807 -18.988  -0.083  -0.182  -0.100
  368 18000  4.00  0.00  2.00  0.00  0.00 -20.432 -19.796 -18.976  -0.085  -0.185  -0.101
  369 18000  4.50  0.00  2.00  0.00  0.00 -20.424 -19.787 -18.967  -0.085  -0.186  -0.101
  370 18000  5.00  0.00  2.00  0.00  0.00 -20.418 -19.781 -18.961  -0.086  -0.186  -0.101
  371 19000  2.50  0.00  2.00  0.00  0.00 -20.585 -19.959 -19.142  -0.075  -0.172  -0.098
  372 19000  3.00  0.00  2.00  0.00  0.00 -20.562 -19.925 -19.099  -0.086  -0.191  -0.107
  373 19000  3.50  0.00  2.00  0.00  0.00 -20.541 -19.901 -19.074  -0.089  -0.196  -0.108
  374 19000  4.00  0.00  2.00  0.00  0.00 -20.529 -19.888 -19.060  -0.091  -0.198  -0.109
  375 19000  4.50  0.00  2.00  0.00  0.00 -20.519 -19.877 -19.049  -0.091  -0.199  -0.108
  376 19000  5.00  0.00  2.00  0.00  0.00 -20.511 -19.868 -19.041  -0.091  -0.198  -0.108
  377 20000  3.00  0.00  2.00  0.00  0.00 -20.665 -20.024 -19.191  -0.091  -0.203  -0.113
  378 20000  3.50  0.00  2.00  0.00  0.00 -20.638 -19.993 -19.159  -0.094  -0.209  -0.115
  379 20000  4.00  0.00  2.00  0.00  0.00 -20.623 -19.976 -19.141  -0.096  -0.211  -0.116
  380 20000  4.50  0.00  2.00  0.00  0.00 -20.611 -19.963 -19.128  -0.097  -0.211  -0.116
  381 20000  5.00  0.00  2.00  0.00  0.00 -20.600 -19.952 -19.119  -0.097  -0.210  -0.114
  382 21000  3.00  0.00  2.00  0.00  0.00 -20.766 -20.121 -19.283  -0.094  -0.212  -0.119
  383 21000  3.50  0.00  2.00  0.00  0.00 -20.733 -20.083 -19.242  -0.099  -0.220  -0.122
  384 21000  4.00  0.00  2.00  0.00  0.00 -20.713 -20.061 -19.219  -0.101  -0.223  -0.123
  385 21000  4.50  0.00  2.00  0.00  0.00 -20.700 -20.047 -19.205  -0.102  -0.223  -0.123
  386 21000  5.00  0.00  2.00  0.00  0.00 -20.687 -20.034 -19.194  -0.102  -0.222  -0.121
  387 22000  3.00  0.00  2.00  0.00  0.00 -20.861 -20.213 -19.371  -0.097  -0.219  -0.123
  388 22000  3.50  0.00  2.00  0.00  0.00 -20.826 -20.172 -19.325  -0.103  -0.230  -0.128
  389 22000  4.00  0.00  2.00  0.00  0.00 -20.801 -20.145 -19.297  -0.105  -0.233  -0.129
  390 22000  4.50  0.00  2.00  0.00  0.00 -20.786 -20.129 -19.281  -0.106  -0.234  -0.129
  391 22000  5.00  0.00  2.00  0.00  0.00 -20.772 -20.114 -19.267  -0.107  -0.233  -0.127
  392 23000  3.00  0.00  2.00  0.00  0.00 -20.951 -20.300 -19.454  -0.100  -0.226  -0.127
  393 23000  3.50  0.00  2.00  0.00  0.00 -20.916 -20.258 -19.407  -0.106  -0.238  -0.132
  394 23000  4.00  0.00  2.00  0.00  0.00 -20.887 -20.227 -19.373  -0.109  -0.243  -0.134
  395 23000  4.50  0.00  2.00  0.00  0.00 -20.869 -20.208 -19.354  -0.110  -0.244  -0.135
  396 23000  5.00  0.00  2.00  0.00  0.00 -20.854 -20.192 -19.340  -0.111  -0.243  -0.133
  397 24000  3.00  0.00  2.00  0.00  0.00 -21.039 -20.384 -19.534  -0.104  -0.234  -0.131
  398 24000  3.50  0.00  2.00  0.00  0.00 -21.001 -20.340 -19.484  -0.110  -0.246  -0.137
  399 24000  4.00  0.00  2.00  0.00  0.00 -20.970 -20.306 -19.448  -0.113  -0.251  -0.139
  400 24000  4.50  0.00  2.00  0.00  0.00 -20.950 -20.285 -19.426  -0.114  -0.252  -0.139
  401 24000  5.00  0.00  2.00  0.00  0.00 -20.935 -20.269 -19.412  -0.115  -0.252  -0.139
  402 25000  3.00  0.00  2.00  0.00  0.00 -21.127 -20.469 -19.614  -0.107  -0.242  -0.136
  403 25000  3.50  0.00  2.00  0.00  0.00 -21.083 -20.418 -19.558  -0.114  -0.254  -0.141
  404 25000  4.00  0.00  2.00  0.00  0.00 -21.050 -20.383 -19.521  -0.116  -0.258  -0.143
  405 25000  4.50  0.00  2.00  0.00  0.00 -21.028 -20.360 -19.497  -0.117  -0.260  -0.144
  406 25000  5.00  0.00  2.00  0.00  0.00 -21.013 -20.344 -19.481  -0.118  -0.260  -0.143
  407 26000  3.00  0.00  2.00  0.00  0.00 -21.214 -20.556 -19.699  -0.107  -0.244  -0.138
  408 26000  3.50  0.00  2.00  0.00  0.00 -21.164 -20.495 -19.630  -0.118  -0.263  -0.146
  409 26000  4.00  0.00  2.00  0.00  0.00 -21.128 -20.457 -19.591  -0.119  -0.266  -0.148
  410 26000  4.50  0.00  2.00  0.00  0.00 -21.104 -20.432 -19.565  -0.121  -0.268  -0.148
  411 26000  5.00  0.00  2.00  0.00  0.00 -21.088 -20.415 -19.549  -0.121  -0.268  -0.148
  412 27000  3.50  0.00  2.00  0.00  0.00 -21.245 -20.572 -19.702  -0.122  -0.272  -0.151
  413 27000  4.00  0.00  2.00  0.00  0.00 -21.204 -20.530 -19.658  -0.123  -0.274  -0.152
  414 27000  4.50  0.00  2.00  0.00  0.00 -21.177 -20.502 -19.631  -0.124  -0.275  -0.152
  415 27000  5.00  0.00  2.00  0.00  0.00 -21.160 -20.484 -19.614  -0.125  -0.275  -0.152
  416 28000  3.50  0.00  2.00  0.00  0.00 -21.327 -20.651 -19.777  -0.125  -0.279  -0.155
  417 28000  4.00  0.00  2.00  0.00  0.00 -21.280 -20.602 -19.726  -0.127  -0.283  -0.157
  418 28000  4.50  0.00  2.00  0.00  0.00 -21.250 -20.572 -19.696  -0.128  -0.283  -0.157
  419 28000  5.00  0.00  2.00  0.00  0.00 -21.231 -20.552 -19.677  -0.128  -0.283  -0.156
  420 29000  3.50  0.00  2.00  0.00  0.00 -21.407 -20.729 -19.853  -0.126  -0.283  -0.158
  421 29000  4.00  0.00  2.00  0.00  0.00 -21.357 -20.675 -19.794  -0.131  -0.291  -0.162
  422 29000  4.50  0.00  2.00  0.00  0.00 -21.323 -20.641 -19.761  -0.131  -0.292  -0.161
  423 29000  5.00  0.00  2.00  0.00  0.00 -21.302 -20.619 -19.740  -0.131  -0.291  -0.160
  424 30000  3.50  0.00  2.00  0.00  0.00 -21.481 -20.803 -19.926  -0.127  -0.284  -0.158
  425 30000  4.00  0.00  2.00  0.00  0.00 -21.433 -20.748 -19.864  -0.134  -0.298  -0.165
  426 30000  4.50  0.00  2.00  0.00  0.00 -21.396 -20.710 -19.826  -0.135  -0.299  -0.165
  427 30000  5.00  0.00  2.00  0.00  0.00 -21.373 -20.687 -19.803  -0.135  -0.299  -0.165
  428 31000  3.50  0.00  2.00  0.00  0.00 -21.545 -20.868 -19.992  -0.126  -0.282  -0.157
  429 31000  4.00  0.00  2.00  0.00  0.00 -21.507 -20.820 -19.933  -0.136  -0.302  -0.167
  430 31000  4.50  0.00  2.00  0.00  0.00 -21.469 -20.780 -19.892  -0.138  -0.306  -0.169
  431 31000  5.00  0.00  2.00  0.00  0.00 -21.444 -20.755 -19.867  -0.138  -0.306  -0.169
  432 32000  4.00  0.00  2.00  0.00  0.00 -21.576 -20.887 -20.000  -0.138  -0.305  -0.168
  433 32000  4.50  0.00  2.00  0.00  0.00 -21.540 -20.849 -19.958  -0.140  -0.311  -0.172
  434 32000  5.00  0.00  2.00  0.00  0.00 -21.513 -20.821 -19.931  -0.141  -0.311  -0.172
  435 33000  4.00  0.00  2.00  0.00  0.00 -21.638 -20.949 -20.061  -0.138  -0.306  -0.169
  436 33000  4.50  0.00  2.00  0.00  0.00 -21.607 -20.914 -20.022  -0.142  -0.315  -0.173
  437 33000  5.00  0.00  2.00  0.00  0.00 -21.581 -20.887 -19.994  -0.143  -0.316  -0.174
  438 34000  4.00  0.00  2.00  0.00  0.00 -21.693 -21.003 -20.116  -0.138  -0.305  -0.168
  439 34000  4.50  0.00  2.00  0.00  0.00 -21.669 -20.974 -20.081  -0.144  -0.317  -0.174
  440 34000  5.00  0.00  2.00  0.00  0.00 -21.646 -20.949 -20.055  -0.145  -0.320  -0.176
  441 35000  4.00  0.00  2.00  0.00  0.00 -21.741 -21.052 -20.166  -0.138  -0.304  -0.167
  442 35000  4.50  0.00  2.00  0.00  0.00 -21.725 -21.029 -20.136  -0.145  -0.317  -0.174
  443 35000  5.00  0.00  2.00  0.00  0.00 -21.705 -21.007 -20.112  -0.147  -0.322  -0.177
  444 36000  4.00  0.00  2.00  0.00  0.00 -21.783 -21.094 -20.208  -0.138  -0.304  -0.166
  445 36000  4.50  0.00  2.00  0.00  0.00 -21.775 -21.079 -20.186  -0.145  -0.317  -0.173
  446 36000  5.00  0.00  2.00  0.00  0.00 -21.759 -21.060 -20.165  -0.148  -0.324  -0.177
  447 37000  4.00  0.00  2.00  0.00  0.00 -21.821 -21.131 -20.246  -0.139  -0.304  -0.166
  448 37000  4.50  0.00  2.00  0.00  0.00 -21.819 -21.123 -20.231  -0.145  -0.317  -0.173
  449 37000  5.00  0.00  2.00  0.00  0.00 -21.808 -21.109 -20.213  -0.149  -0.324  -0.176
  450 38000  4.00  0.00  2.00  0.00  0.00 -21.856 -21.165 -20.280  -0.139  -0.305  -0.167
  451 38000  4.50  0.00  2.00  0.00  0.00 -21.858 -21.161 -20.270  -0.146  -0.317  -0.172
  452 38000  5.00  0.00  2.00  0.00  0.00 -21.852 -21.152 -20.257  -0.149  -0.324  -0.176
  453 39000  4.00  0.00  2.00  0.00  0.00 -21.889 -21.198 -20.311  -0.140  -0.306  -0.168
  454 39000  4.50  0.00  2.00  0.00  0.00 -21.893 -21.196 -20.305  -0.147  -0.318  -0.172
  455 39000  5.00  0.00  2.00  0.00  0.00 -21.891 -21.190 -20.296  -0.150  -0.324  -0.175
  456 40000  4.50  0.00  2.00  0.00  0.00 -21.926 -21.228 -20.336  -0.147  -0.319  -0.173
  457 40000  5.00  0.00  2.00  0.00  0.00 -21.926 -21.225 -20.331  -0.151  -0.325  -0.175
  458 41000  4.50  0.00  2.00  0.00  0.00 -21.957 -21.258 -20.366  -0.148  -0.320  -0.173
  459 41000  5.00  0.00  2.00  0.00  0.00 -21.958 -21.256 -20.362  -0.151  -0.325  -0.175
  460 42000  4.50  0.00  2.00  0.00  0.00 -21.987 -21.288 -20.394  -0.149  -0.322  -0.174
  461 42000  5.00  0.00  2.00  0.00  0.00 -21.988 -21.285 -20.391  -0.152  -0.327  -0.175
  462 43000  4.50  0.00  2.00  0.00  0.00 -22.017 -21.316 -20.422  -0.149  -0.323  -0.175
  463 43000  5.00  0.00  2.00  0.00  0.00 -22.017 -21.313 -20.418  -0.153  -0.328  -0.176
  464 44000  4.50  0.00  2.00  0.00  0.00 -22.045 -21.344 -20.450  -0.150  -0.325  -0.176
  465 44000  5.00  0.00  2.00  0.00  0.00 -22.045 -21.340 -20.445  -0.154  -0.329  -0.177
  466 45000  4.50  0.00  2.00  0.00  0.00 -22.073 -21.372 -20.476  -0.150  -0.326  -0.177
  467 45000  5.00  0.00  2.00  0.00  0.00 -22.072 -21.367 -20.471  -0.154  -0.331  -0.177
  468 46000  4.50  0.00  2.00  0.00  0.00 -22.100 -21.399 -20.503  -0.151  -0.327  -0.177
  469 46000  5.00  0.00  2.00  0.00  0.00 -22.099 -21.393 -20.496  -0.155  -0.332  -0.178
  470 47000  4.50  0.00  2.00  0.00  0.00 -22.127 -21.425 -20.528  -0.151  -0.328  -0.178
  471 47000  5.00  0.00  2.00  0.00  0.00 -22.125 -21.418 -20.520  -0.155  -0.333  -0.179
  472 48000  4.50  0.00  2.00  0.00  0.00 -22.153 -21.450 -20.552  -0.151  -0.329  -0.179
  473 48000  5.00  0.00  2.00  0.00  0.00 -22.150 -21.443 -20.545  -0.156  -0.334  -0.180
  474 49000  4.50  0.00  2.00  0.00  0.00 -22.178 -21.475 -20.576  -0.152  -0.330  -0.180
  475 49000  5.00  0.00  2.00  0.00  0.00 -22.174 -21.467 -20.568  -0.156  -0.336  -0.180
  476 50000  5.00  0.00  2.00  0.00  0.00 -22.198 -21.491 -20.591  -0.156  -0.337  -0.181
