
       Teff log g  [M]a  Vturb l/H  E(B-V)   V       I       R       V-R     V-I     R-I
   60  4750  2.00  0.00  2.00  0.00  0.00 -15.937 -15.950 -15.751   0.564   1.084   0.519
   61  4750  2.50  0.00  2.00  0.00  0.00 -15.931 -15.943 -15.743   0.563   1.084   0.520
   62  4750  3.00  0.00  2.00  0.00  0.00 -15.924 -15.937 -15.737   0.564   1.084   0.519
   63  4750  3.50  0.00  2.00  0.00  0.00 -15.914 -15.933 -15.732   0.570   1.089   0.518
   64  4750  4.00  0.00  2.00  0.00  0.00 -15.903 -15.933 -15.731   0.581   1.100   0.518
   65  4750  4.50  0.00  2.00  0.00  0.00 -15.890 -15.934 -15.733   0.596   1.115   0.518
   66  4750  5.00  0.00  2.00  0.00  0.00 -15.875 -15.938 -15.738   0.614   1.135   0.520
   67  5000  0.00  0.00  2.00  0.00  0.00 -16.305 -16.273 -16.009   0.519   0.975   0.455
   68  5000  0.50  0.00  2.00  0.00  0.00 -16.300 -16.261 -15.999   0.512   0.970   0.457
   69  5000  1.00  0.00  2.00  0.00  0.00 -16.294 -16.250 -15.992   0.508   0.969   0.460
   70  5000  1.50  0.00  2.00  0.00  0.00 -16.286 -16.240 -15.986   0.506   0.971   0.464
   71  5000  2.00  0.00  2.00  0.00  0.00 -16.278 -16.231 -15.980   0.504   0.973   0.468
   72  5000  2.50  0.00  2.00  0.00  0.00 -16.271 -16.222 -15.973   0.503   0.973   0.470
   73  5000  3.00  0.00  2.00  0.00  0.00 -16.264 -16.216 -15.966   0.502   0.973   0.470
   74  5000  3.50  0.00  2.00  0.00  0.00 -16.257 -16.211 -15.961   0.505   0.975   0.469
   75  5000  4.00  0.00  2.00  0.00  0.00 -16.249 -16.209 -15.959   0.512   0.981   0.469
   76  5000  4.50  0.00  2.00  0.00  0.00 -16.239 -16.211 -15.959   0.523   0.991   0.468
   77  5000  5.00  0.00  2.00  0.00  0.00 -16.228 -16.214 -15.962   0.537   1.005   0.467
   78  5250  0.00  0.00  2.00  0.00  0.00 -16.614 -16.522 -16.212   0.459   0.869   0.409
   79  5250  0.50  0.00  2.00  0.00  0.00 -16.606 -16.510 -16.202   0.455   0.868   0.412
   80  5250  1.00  0.00  2.00  0.00  0.00 -16.597 -16.498 -16.194   0.452   0.869   0.415
   81  5250  1.50  0.00  2.00  0.00  0.00 -16.588 -16.488 -16.188   0.451   0.871   0.419
   82  5250  2.00  0.00  2.00  0.00  0.00 -16.579 -16.478 -16.182   0.451   0.874   0.423
   83  5250  2.50  0.00  2.00  0.00  0.00 -16.570 -16.470 -16.176   0.450   0.877   0.425
   84  5250  3.00  0.00  2.00  0.00  0.00 -16.564 -16.463 -16.170   0.450   0.878   0.426
   85  5250  3.50  0.00  2.00  0.00  0.00 -16.557 -16.458 -16.166   0.452   0.879   0.427
   86  5250  4.00  0.00  2.00  0.00  0.00 -16.551 -16.455 -16.163   0.455   0.883   0.427
   87  5250  4.50  0.00  2.00  0.00  0.00 -16.544 -16.456 -16.163   0.463   0.890   0.426
   88  5250  5.00  0.00  2.00  0.00  0.00 -16.536 -16.459 -16.165   0.473   0.899   0.425
   89  5500  0.00  0.00  2.00  0.00  0.00 -16.896 -16.745 -16.389   0.400   0.764   0.363
   90  5500  0.50  0.00  2.00  0.00  0.00 -16.884 -16.733 -16.382   0.400   0.769   0.368
   91  5500  1.00  0.00  2.00  0.00  0.00 -16.872 -16.721 -16.375   0.400   0.774   0.373
   92  5500  1.50  0.00  2.00  0.00  0.00 -16.861 -16.711 -16.369   0.401   0.779   0.377
   93  5500  2.00  0.00  2.00  0.00  0.00 -16.850 -16.701 -16.363   0.401   0.784   0.381
   94  5500  2.50  0.00  2.00  0.00  0.00 -16.840 -16.692 -16.357   0.403   0.788   0.385
   95  5500  3.00  0.00  2.00  0.00  0.00 -16.831 -16.684 -16.352   0.404   0.792   0.387
