
       Teff log g  [M]a Vturb  l/H  E(B-V)    U       B       V      BOL     BC      U-B     B-V(J)  B-V(H) 
    1  3500  0.00  0.20  2.00  1.25  0.00  -9.261 -11.417 -12.381 -22.077  -2.724   1.798   1.567   1.551
    2  3500  0.50  0.20  2.00  1.25  0.00  -9.567 -11.431 -12.252 -22.077  -2.853   1.497   1.424   1.408
    3  3500  1.00  0.20  2.00  1.25  0.00  -9.882 -11.473 -12.152 -22.077  -2.953   1.214   1.283   1.267
    4  3500  1.50  0.20  2.00  1.25  0.00 -10.205 -11.541 -12.079 -22.077  -3.026   0.948   1.142   1.126
    5  3500  2.00  0.20  2.00  1.25  0.00 -10.535 -11.646 -12.045 -22.077  -3.060   0.714   1.002   0.986
    6  3500  2.50  0.20  2.00  1.25  0.00 -10.864 -11.790 -12.059 -22.077  -3.046   0.520   0.873   0.857
    7  3500  3.00  0.20  2.00  1.25  0.00 -11.169 -11.969 -12.137 -22.077  -2.968   0.390   0.771   0.755
    8  3500  3.50  0.20  2.00  1.25  0.00 -11.435 -12.178 -12.287 -22.077  -2.818   0.331   0.712   0.696
    9  3500  4.00  0.20  2.00  1.25  0.00 -11.657 -12.400 -12.506 -22.077  -2.599   0.333   0.709   0.693
   10  3500  4.50  0.20  2.00  1.25  0.00 -11.843 -12.616 -12.762 -22.077  -2.343   0.366   0.750   0.734
   11  3500  5.00  0.20  2.00  1.25  0.00 -11.962 -12.780 -12.988 -22.077  -2.117   0.416   0.811   0.795
   12  3750  0.00  0.20  2.00  1.25  0.00  -9.931 -12.579 -13.733 -22.376  -1.671   2.304   1.757   1.741
   13  3750  0.50  0.20  2.00  1.25  0.00 -10.209 -12.621 -13.676 -22.376  -1.729   2.063   1.658   1.642
   14  3750  1.00  0.20  2.00  1.25  0.00 -10.489 -12.673 -13.619 -22.376  -1.786   1.828   1.550   1.534
   15  3750  1.50  0.20  2.00  1.25  0.00 -10.781 -12.738 -13.563 -22.376  -1.841   1.595   1.429   1.413
   16  3750  2.00  0.20  2.00  1.25  0.00 -11.074 -12.806 -13.509 -22.376  -1.895   1.363   1.307   1.291
   17  3750  2.50  0.20  2.00  1.25  0.00 -11.363 -12.878 -13.457 -22.376  -1.948   1.139   1.182   1.166
   18  3750  3.00  0.20  2.00  1.25  0.00 -11.620 -12.939 -13.407 -22.376  -1.997   0.936   1.071   1.055
   19  3750  3.50  0.20  2.00  1.25  0.00 -11.838 -13.004 -13.379 -22.376  -2.025   0.778   0.979   0.963
   20  3750  4.00  0.20  2.00  1.25  0.00 -12.024 -13.083 -13.394 -22.376  -2.011   0.667   0.914   0.898
   21  3750  4.50  0.20  2.00  1.25  0.00 -12.180 -13.184 -13.475 -22.376  -1.929   0.611   0.894   0.878
   22  3750  5.00  0.20  2.00  1.25  0.00 -12.307 -13.296 -13.612 -22.376  -1.792   0.597   0.920   0.904
   23  4000  0.00  0.20  2.00  1.25  0.00 -10.724 -13.427 -14.522 -22.656  -1.162   2.361   1.699   1.683
   24  4000  0.50  0.20  2.00  1.25  0.00 -10.971 -13.467 -14.502 -22.656  -1.183   2.151   1.638   1.622
   25  4000  1.00  0.20  2.00  1.25  0.00 -11.219 -13.514 -14.481 -22.656  -1.204   1.945   1.570   1.554
   26  4000  1.50  0.20  2.00  1.25  0.00 -11.481 -13.582 -14.464 -22.656  -1.221   1.747   1.486   1.470
   27  4000  2.00  0.20  2.00  1.25  0.00 -11.737 -13.649 -14.443 -22.656  -1.241   1.553   1.398   1.382
   28  4000  2.50  0.20  2.00  1.25  0.00 -11.976 -13.714 -14.418 -22.656  -1.267   1.373   1.307   1.291
   29  4000  3.00  0.20  2.00  1.25  0.00 -12.182 -13.760 -14.380 -22.656  -1.304   1.208   1.224   1.208
   30  4000  3.50  0.20  2.00  1.25  0.00 -12.347 -13.791 -14.337 -22.656  -1.348   1.069   1.150   1.134
   31  4000  4.00  0.20  2.00  1.25  0.00 -12.480 -13.814 -14.298 -22.656  -1.387   0.956   1.087   1.071
   32  4000  4.50  0.20  2.00  1.25  0.00 -12.591 -13.839 -14.280 -22.656  -1.405   0.867   1.044   1.028
   33  4000  5.00  0.20  2.00  1.25  0.00 -12.688 -13.874 -14.308 -22.656  -1.376   0.804   1.038   1.022
   34  4250  0.00  0.20  2.00  1.25  0.00 -11.728 -14.139 -15.094 -22.920  -0.854   2.066   1.559   1.543
   35  4250  0.50  0.20  2.00  1.25  0.00 -11.925 -14.173 -15.082 -22.920  -0.866   1.901   1.512   1.496
   36  4250  1.00  0.20  2.00  1.25  0.00 -12.128 -14.212 -15.069 -22.920  -0.878   1.732   1.461   1.445
   37  4250  1.50  0.20  2.00  1.25  0.00 -12.340 -14.266 -15.063 -22.920  -0.885   1.571   1.400   1.384
   38  4250  2.00  0.20  2.00  1.25  0.00 -12.552 -14.328 -15.058 -22.920  -0.890   1.416   1.333   1.317
   39  4250  2.50  0.20  2.00  1.25  0.00 -12.728 -14.381 -15.050 -22.920  -0.898   1.290   1.273   1.257
