
       Teff log g  [M]a Vturb  l/H  E(B-V)   V       I       R       V-R     V-I     R-I
  259 10000  4.50  0.20  2.00  0.00  0.00 -19.320 -18.749 -18.018  -0.020  -0.031  -0.012
  260 10000  5.00  0.20  2.00  0.00  0.00 -19.325 -18.757 -18.029  -0.017  -0.025  -0.009
  261 10250  2.00  0.20  2.00  0.00  0.00 -19.346 -18.794 -18.077  -0.001   0.002   0.002
  262 10250  2.50  0.20  2.00  0.00  0.00 -19.361 -18.795 -18.067  -0.014  -0.022  -0.009
  263 10250  3.00  0.20  2.00  0.00  0.00 -19.365 -18.793 -18.059  -0.022  -0.036  -0.015
  264 10250  3.50  0.20  2.00  0.00  0.00 -19.368 -18.792 -18.055  -0.025  -0.042  -0.018
  265 10250  4.00  0.20  2.00  0.00  0.00 -19.371 -18.794 -18.056  -0.026  -0.044  -0.019
  266 10250  4.50  0.20  2.00  0.00  0.00 -19.375 -18.799 -18.061  -0.025  -0.043  -0.019
  267 10250  5.00  0.20  2.00  0.00  0.00 -19.381 -18.806 -18.071  -0.023  -0.038  -0.016
  268 10500  2.00  0.20  2.00  0.00  0.00 -19.401 -18.848 -18.126  -0.003  -0.004  -0.002
  269 10500  2.50  0.20  2.00  0.00  0.00 -19.416 -18.849 -18.117  -0.016  -0.029  -0.013
  270 10500  3.00  0.20  2.00  0.00  0.00 -19.421 -18.846 -18.107  -0.024  -0.043  -0.020
  271 10500  3.50  0.20  2.00  0.00  0.00 -19.423 -18.843 -18.101  -0.028  -0.050  -0.023
  272 10500  4.00  0.20  2.00  0.00  0.00 -19.424 -18.843 -18.100  -0.030  -0.053  -0.025
  273 10500  4.50  0.20  2.00  0.00  0.00 -19.427 -18.847 -18.103  -0.030  -0.053  -0.024
  274 10500  5.00  0.20  2.00  0.00  0.00 -19.433 -18.853 -18.112  -0.029  -0.050  -0.022
  275 10750  2.00  0.20  2.00  0.00  0.00 -19.454 -18.898 -18.173  -0.005  -0.010  -0.006
  276 10750  2.50  0.20  2.00  0.00  0.00 -19.470 -18.900 -18.164  -0.018  -0.034  -0.017
  277 10750  3.00  0.20  2.00  0.00  0.00 -19.474 -18.897 -18.154  -0.026  -0.049  -0.024
  278 10750  3.50  0.20  2.00  0.00  0.00 -19.475 -18.893 -18.146  -0.031  -0.058  -0.028
  279 10750  4.00  0.20  2.00  0.00  0.00 -19.476 -18.891 -18.143  -0.033  -0.062  -0.030
  280 10750  4.50  0.20  2.00  0.00  0.00 -19.478 -18.893 -18.144  -0.034  -0.062  -0.030
  281 10750  5.00  0.20  2.00  0.00  0.00 -19.482 -18.898 -18.151  -0.033  -0.060  -0.028
  282 11000  2.00  0.20  2.00  0.00  0.00 -19.504 -18.946 -18.218  -0.007  -0.015  -0.009
  283 11000  2.50  0.20  2.00  0.00  0.00 -19.521 -18.949 -18.209  -0.020  -0.040  -0.021
  284 11000  3.00  0.20  2.00  0.00  0.00 -19.525 -18.946 -18.199  -0.028  -0.055  -0.028
  285 11000  3.50  0.20  2.00  0.00  0.00 -19.526 -18.941 -18.190  -0.033  -0.064  -0.032
  286 11000  4.00  0.20  2.00  0.00  0.00 -19.525 -18.938 -18.185  -0.036  -0.069  -0.034
  287 11000  4.50  0.20  2.00  0.00  0.00 -19.526 -18.938 -18.185  -0.037  -0.070  -0.034
  288 11000  5.00  0.20  2.00  0.00  0.00 -19.529 -18.941 -18.189  -0.037  -0.069  -0.033
  289 11250  2.00  0.20  2.00  0.00  0.00 -19.552 -18.991 -18.260  -0.009  -0.021  -0.013
  290 11250  2.50  0.20  2.00  0.00  0.00 -19.569 -18.996 -18.253  -0.022  -0.046  -0.024
  291 11250  3.00  0.20  2.00  0.00  0.00 -19.574 -18.993 -18.243  -0.030  -0.061  -0.031
  292 11250  3.50  0.20  2.00  0.00  0.00 -19.574 -18.988 -18.233  -0.035  -0.070  -0.036
  293 11250  4.00  0.20  2.00  0.00  0.00 -19.573 -18.984 -18.227  -0.039  -0.076  -0.038
  294 11250  4.50  0.20  2.00  0.00  0.00 -19.573 -18.982 -18.224  -0.040  -0.078  -0.039
  295 11250  5.00  0.20  2.00  0.00  0.00 -19.575 -18.983 -18.227  -0.041  -0.077  -0.037
  296 11500  2.00  0.20  2.00  0.00  0.00 -19.598 -19.035 -18.300  -0.011  -0.027  -0.016
  297 11500  2.50  0.20  2.00  0.00  0.00 -19.616 -19.041 -18.294  -0.025  -0.051  -0.028
  298 11500  3.00  0.20  2.00  0.00  0.00 -19.621 -19.038 -18.284  -0.032  -0.066  -0.035
  299 11500  3.50  0.20  2.00  0.00  0.00 -19.621 -19.033 -18.275  -0.037  -0.076  -0.039
  300 11500  4.00  0.20  2.00  0.00  0.00 -19.620 -19.028 -18.267  -0.041  -0.082  -0.042
  301 11500  4.50  0.20  2.00  0.00  0.00 -19.619 -19.025 -18.263  -0.043  -0.084  -0.042
  302 11500  5.00  0.20  2.00  0.00  0.00 -19.620 -19.025 -18.264  -0.044  -0.085  -0.042
  303 11750  2.00  0.20  2.00  0.00  0.00 -19.642 -19.077 -18.338  -0.014  -0.032  -0.019
  304 11750  2.50  0.20  2.00  0.00  0.00 -19.661 -19.083 -18.334  -0.027  -0.057  -0.031
  305 11750  3.00  0.20  2.00  0.00  0.00 -19.666 -19.081 -18.324  -0.034  -0.071  -0.038
  306 11750  3.50  0.20  2.00  0.00  0.00 -19.666 -19.076 -18.315  -0.039  -0.081  -0.042
  307 11750  4.00  0.20  2.00  0.00  0.00 -19.665 -19.071 -18.306  -0.043  -0.087  -0.045
  308 11750  4.50  0.20  2.00  0.00  0.00 -19.663 -19.067 -18.301  -0.045  -0.090  -0.046
  309 11750  5.00  0.20  2.00  0.00  0.00 -19.663 -19.065 -18.301  -0.047  -0.091  -0.046
  310 12000  2.50  0.20  2.00  0.00  0.00 -19.704 -19.124 -18.371  -0.029  -0.062  -0.034
  311 12000  3.00  0.20  2.00  0.00  0.00 -19.710 -19.123 -18.363  -0.036  -0.076  -0.041
  312 12000  3.50  0.20  2.00  0.00  0.00 -19.710 -19.118 -18.353  -0.041  -0.086  -0.046
  313 12000  4.00  0.20  2.00  0.00  0.00 -19.708 -19.112 -18.345  -0.045  -0.092  -0.048
  314 12000  4.50  0.20  2.00  0.00  0.00 -19.705 -19.107 -18.339  -0.047  -0.096  -0.050
  315 12000  5.00  0.20  2.00  0.00  0.00 -19.705 -19.105 -18.337  -0.049  -0.097  -0.049
  316 12250  2.50  0.20  2.00  0.00  0.00 -19.746 -19.164 -18.408  -0.031  -0.067  -0.037
  317 12250  3.00  0.20  2.00  0.00  0.00 -19.752 -19.162 -18.399  -0.038  -0.081  -0.044
  318 12250  3.50  0.20  2.00  0.00  0.00 -19.752 -19.158 -18.390  -0.043  -0.091  -0.049
  319 12250  4.00  0.20  2.00  0.00  0.00 -19.750 -19.152 -18.382  -0.047  -0.097  -0.051
  320 12250  4.50  0.20  2.00  0.00  0.00 -19.747 -19.147 -18.375  -0.049  -0.101  -0.053
  321 12250  5.00  0.20  2.00  0.00  0.00 -19.746 -19.143 -18.372  -0.051  -0.103  -0.053
  322 12500  2.50  0.20  2.00  0.00  0.00 -19.786 -19.202 -18.443  -0.033  -0.073  -0.040
  323 12500  3.00  0.20  2.00  0.00  0.00 -19.792 -19.201 -18.435  -0.041  -0.086  -0.047
  324 12500  3.50  0.20  2.00  0.00  0.00 -19.793 -19.196 -18.426  -0.045  -0.096  -0.051
  325 12500  4.00  0.20  2.00  0.00  0.00 -19.790 -19.191 -18.418  -0.049  -0.102  -0.054
  326 12500  4.50  0.20  2.00  0.00  0.00 -19.787 -19.185 -18.411  -0.051  -0.106  -0.056
  327 12500  5.00  0.20  2.00  0.00  0.00 -19.785 -19.181 -18.406  -0.053  -0.108  -0.056
  328 12750  2.50  0.20  2.00  0.00  0.00 -19.825 -19.239 -18.476  -0.036  -0.078  -0.043
  329 12750  3.00  0.20  2.00  0.00  0.00 -19.831 -19.238 -18.469  -0.043  -0.091  -0.050
  330 12750  3.50  0.20  2.00  0.00  0.00 -19.832 -19.234 -18.460  -0.047  -0.100  -0.054
  331 12750  4.00  0.20  2.00  0.00  0.00 -19.830 -19.228 -18.452  -0.050  -0.107  -0.057
  332 12750  4.50  0.20  2.00  0.00  0.00 -19.826 -19.223 -18.445  -0.053  -0.110  -0.059
  333 12750  5.00  0.20  2.00  0.00  0.00 -19.824 -19.218 -18.440  -0.055  -0.113  -0.059
  334 13000  2.50  0.20  2.00  0.00  0.00 -19.863 -19.275 -18.509  -0.038  -0.083  -0.046
  335 13000  3.00  0.20  2.00  0.00  0.00 -19.869 -19.274 -18.502  -0.045  -0.096  -0.053
  336 13000  3.50  0.20  2.00  0.00  0.00 -19.870 -19.270 -18.494  -0.049  -0.105  -0.057
  337 13000  4.00  0.20  2.00  0.00  0.00 -19.868 -19.264 -18.486  -0.052  -0.111  -0.060
  338 13000  4.50  0.20  2.00  0.00  0.00 -19.864 -19.259 -18.478  -0.055  -0.115  -0.061
  339 13000  5.00  0.20  2.00  0.00  0.00 -19.861 -19.254 -18.473  -0.057  -0.117  -0.061
  340 14000  2.00  0.20  2.00  0.00  0.00 -19.987 -19.403 -18.638  -0.032  -0.078  -0.046
  341 14000  2.50  0.20  2.00  0.00  0.00 -20.006 -19.409 -18.632  -0.046  -0.103  -0.058
  342 14000  3.00  0.20  2.00  0.00  0.00 -20.011 -19.407 -18.624  -0.053  -0.116  -0.064
  343 14000  3.50  0.20  2.00  0.00  0.00 -20.011 -19.403 -18.616  -0.057  -0.124  -0.068
  344 14000  4.00  0.20  2.00  0.00  0.00 -20.009 -19.398 -18.609  -0.060  -0.129  -0.070
  345 14000  4.50  0.20  2.00  0.00  0.00 -20.005 -19.392 -18.602  -0.061  -0.132  -0.071
  346 14000  5.00  0.20  2.00  0.00  0.00 -20.001 -19.387 -18.596  -0.063  -0.134  -0.071
  347 15000  2.50  0.20  2.00  0.00  0.00 -20.138 -19.533 -18.745  -0.054  -0.122  -0.068
  348 15000  3.00  0.20  2.00  0.00  0.00 -20.139 -19.527 -18.734  -0.061  -0.134  -0.074
  349 15000  3.50  0.20  2.00  0.00  0.00 -20.138 -19.522 -18.726  -0.065  -0.141  -0.077
  350 15000  4.00  0.20  2.00  0.00  0.00 -20.136 -19.518 -18.719  -0.067  -0.146  -0.080
  351 15000  4.50  0.20  2.00  0.00  0.00 -20.132 -19.512 -18.713  -0.068  -0.148  -0.080
  352 15000  5.00  0.20  2.00  0.00  0.00 -20.127 -19.506 -18.707  -0.069  -0.149  -0.080
  353 16000  2.50  0.20  2.00  0.00  0.00 -20.263 -19.650 -18.853  -0.062  -0.139  -0.078
  354 16000  3.00  0.20  2.00  0.00  0.00 -20.259 -19.640 -18.837  -0.068  -0.151  -0.083
  355 16000  3.50  0.20  2.00  0.00  0.00 -20.256 -19.633 -18.827  -0.072  -0.158  -0.087
  356 16000  4.00  0.20  2.00  0.00  0.00 -20.253 -19.628 -18.820  -0.075  -0.162  -0.089
  357 16000  4.50  0.20  2.00  0.00  0.00 -20.248 -19.622 -18.813  -0.076  -0.164  -0.089
  358 16000  5.00  0.20  2.00  0.00  0.00 -20.241 -19.614 -18.807  -0.076  -0.163  -0.089
  359 17000  2.50  0.20  2.00  0.00  0.00 -20.383 -19.764 -18.957  -0.068  -0.155  -0.088
  360 17000  3.00  0.20  2.00  0.00  0.00 -20.372 -19.746 -18.935  -0.075  -0.166  -0.092
  361 17000  3.50  0.20  2.00  0.00  0.00 -20.366 -19.736 -18.922  -0.079  -0.173  -0.095
  362 17000  4.00  0.20  2.00  0.00  0.00 -20.362 -19.730 -18.914  -0.081  -0.178  -0.097
  363 17000  4.50  0.20  2.00  0.00  0.00 -20.357 -19.724 -18.907  -0.082  -0.179  -0.098
  364 17000  5.00  0.20  2.00  0.00  0.00 -20.348 -19.715 -18.899  -0.082  -0.178  -0.097
  365 18000  2.50  0.20  2.00  0.00  0.00 -20.499 -19.875 -19.061  -0.073  -0.167  -0.095
  366 18000  3.00  0.20  2.00  0.00  0.00 -20.481 -19.849 -19.029  -0.082  -0.182  -0.101
  367 18000  3.50  0.20  2.00  0.00  0.00 -20.470 -19.834 -19.012  -0.085  -0.187  -0.103
  368 18000  4.00  0.20  2.00  0.00  0.00 -20.465 -19.827 -19.003  -0.087  -0.192  -0.105
  369 18000  4.50  0.20  2.00  0.00  0.00 -20.461 -19.821 -18.996  -0.089  -0.194  -0.106
  370 18000  5.00  0.20  2.00  0.00  0.00 -20.449 -19.810 -18.986  -0.089  -0.192  -0.105
  371 19000  2.50  0.20  2.00  0.00  0.00 -20.610 -19.984 -19.166  -0.075  -0.174  -0.100
  372 19000  3.00  0.20  2.00  0.00  0.00 -20.588 -19.949 -19.121  -0.087  -0.195  -0.109
  373 19000  3.50  0.20  2.00  0.00  0.00 -20.570 -19.928 -19.098  -0.091  -0.201  -0.111
  374 19000  4.00  0.20  2.00  0.00  0.00 -20.563 -19.919 -19.087  -0.093  -0.205  -0.113
  375 19000  4.50  0.20  2.00  0.00  0.00 -20.558 -19.913 -19.080  -0.094  -0.207  -0.114
  376 19000  5.00  0.20  2.00  0.00  0.00 -20.547 -19.902 -19.070  -0.095  -0.206  -0.112
  377 20000  3.00  0.20  2.00  0.00  0.00 -20.691 -20.049 -19.214  -0.092  -0.206  -0.116
  378 20000  3.50  0.20  2.00  0.00  0.00 -20.667 -20.020 -19.183  -0.096  -0.213  -0.118
  379 20000  4.00  0.20  2.00  0.00  0.00 -20.656 -20.007 -19.169  -0.098  -0.216  -0.119
  380 20000  4.50  0.20  2.00  0.00  0.00 -20.651 -20.000 -19.161  -0.099  -0.219  -0.120
  381 20000  5.00  0.20  2.00  0.00  0.00 -20.641 -19.990 -19.152  -0.100  -0.218  -0.119
  382 21000  3.00  0.20  2.00  0.00  0.00 -20.792 -20.146 -19.306  -0.095  -0.215  -0.121
  383 21000  3.50  0.20  2.00  0.00  0.00 -20.761 -20.110 -19.266  -0.100  -0.224  -0.125
  384 21000  4.00  0.20  2.00  0.00  0.00 -20.745 -20.092 -19.247  -0.102  -0.227  -0.126
  385 21000  4.50  0.20  2.00  0.00  0.00 -20.739 -20.084 -19.239  -0.104  -0.229  -0.126
  386 21000  5.00  0.20  2.00  0.00  0.00 -20.730 -20.075 -19.231  -0.104  -0.229  -0.125
  387 22000  3.00  0.20  2.00  0.00  0.00 -20.887 -20.238 -19.395  -0.098  -0.221  -0.124
  388 22000  3.50  0.20  2.00  0.00  0.00 -20.853 -20.198 -19.349  -0.104  -0.233  -0.130
  389 22000  4.00  0.20  2.00  0.00  0.00 -20.831 -20.174 -19.324  -0.107  -0.237  -0.131
  390 22000  4.50  0.20  2.00  0.00  0.00 -20.822 -20.164 -19.313  -0.108  -0.238  -0.131
  391 22000  5.00  0.20  2.00  0.00  0.00 -20.815 -20.156 -19.306  -0.108  -0.238  -0.131
  392 23000  3.00  0.20  2.00  0.00  0.00 -20.977 -20.325 -19.478  -0.101  -0.228  -0.128
  393 23000  3.50  0.20  2.00  0.00  0.00 -20.942 -20.283 -19.430  -0.108  -0.241  -0.134
  394 23000  4.00  0.20  2.00  0.00  0.00 -20.915 -20.254 -19.399  -0.110  -0.246  -0.136
  395 23000  4.50  0.20  2.00  0.00  0.00 -20.902 -20.240 -19.385  -0.111  -0.247  -0.136
  396 23000  5.00  0.20  2.00  0.00  0.00 -20.895 -20.232 -19.377  -0.112  -0.247  -0.136
  397 24000  3.00  0.20  2.00  0.00  0.00 -21.064 -20.408 -19.556  -0.105  -0.237  -0.133
  398 24000  3.50  0.20  2.00  0.00  0.00 -21.027 -20.365 -19.508  -0.111  -0.248  -0.138
  399 24000  4.00  0.20  2.00  0.00  0.00 -20.997 -20.332 -19.473  -0.114  -0.254  -0.141
  400 24000  4.50  0.20  2.00  0.00  0.00 -20.980 -20.314 -19.454  -0.115  -0.255  -0.141
  401 24000  5.00  0.20  2.00  0.00  0.00 -20.971 -20.305 -19.445  -0.115  -0.255  -0.140
  402 25000  3.00  0.20  2.00  0.00  0.00 -21.150 -20.492 -19.636  -0.108  -0.243  -0.137
  403 25000  3.50  0.20  2.00  0.00  0.00 -21.109 -20.443 -19.581  -0.115  -0.257  -0.143
  404 25000  4.00  0.20  2.00  0.00  0.00 -21.077 -20.408 -19.544  -0.117  -0.261  -0.145
  405 25000  4.50  0.20  2.00  0.00  0.00 -21.056 -20.386 -19.522  -0.118  -0.263  -0.146
  406 25000  5.00  0.20  2.00  0.00  0.00 -21.045 -20.375 -19.511  -0.119  -0.263  -0.145
  407 26000  3.00  0.20  2.00  0.00  0.00 -21.235 -20.576 -19.719  -0.108  -0.245  -0.138
  408 26000  3.50  0.20  2.00  0.00  0.00 -21.189 -20.519 -19.652  -0.119  -0.266  -0.148
  409 26000  4.00  0.20  2.00  0.00  0.00 -21.154 -20.482 -19.614  -0.121  -0.269  -0.149
  410 26000  4.50  0.20  2.00  0.00  0.00 -21.130 -20.457 -19.589  -0.122  -0.271  -0.150
  411 26000  5.00  0.20  2.00  0.00  0.00 -21.116 -20.443 -19.575  -0.122  -0.271  -0.149
  412 27000  3.50  0.20  2.00  0.00  0.00 -21.270 -20.596 -19.724  -0.123  -0.275  -0.153
  413 27000  4.00  0.20  2.00  0.00  0.00 -21.229 -20.554 -19.681  -0.125  -0.278  -0.154
  414 27000  4.50  0.20  2.00  0.00  0.00 -21.203 -20.527 -19.654  -0.125  -0.278  -0.154
  415 27000  5.00  0.20  2.00  0.00  0.00 -21.187 -20.510 -19.638  -0.126  -0.278  -0.153
  416 28000  3.50  0.20  2.00  0.00  0.00 -21.351 -20.674 -19.798  -0.126  -0.282  -0.157
  417 28000  4.00  0.20  2.00  0.00  0.00 -21.305 -20.625 -19.747  -0.129  -0.286  -0.159
  418 28000  4.50  0.20  2.00  0.00  0.00 -21.275 -20.595 -19.718  -0.129  -0.286  -0.158
  419 28000  5.00  0.20  2.00  0.00  0.00 -21.257 -20.577 -19.700  -0.129  -0.286  -0.158
  420 29000  3.50  0.20  2.00  0.00  0.00 -21.428 -20.750 -19.872  -0.128  -0.285  -0.159
  421 29000  4.00  0.20  2.00  0.00  0.00 -21.381 -20.697 -19.815  -0.132  -0.294  -0.163
  422 29000  4.50  0.20  2.00  0.00  0.00 -21.347 -20.664 -19.782  -0.133  -0.294  -0.163
  423 29000  5.00  0.20  2.00  0.00  0.00 -21.326 -20.643 -19.762  -0.132  -0.293  -0.162
  424 30000  3.50  0.20  2.00  0.00  0.00 -21.499 -20.821 -19.943  -0.128  -0.286  -0.159
  425 30000  4.00  0.20  2.00  0.00  0.00 -21.456 -20.770 -19.884  -0.135  -0.301  -0.166
  426 30000  4.50  0.20  2.00  0.00  0.00 -21.420 -20.732 -19.847  -0.136  -0.302  -0.167
  427 30000  5.00  0.20  2.00  0.00  0.00 -21.396 -20.709 -19.824  -0.136  -0.301  -0.166
  428 31000  3.50  0.20  2.00  0.00  0.00 -21.561 -20.883 -20.006  -0.127  -0.284  -0.158
  429 31000  4.00  0.20  2.00  0.00  0.00 -21.528 -20.840 -19.952  -0.137  -0.305  -0.169
  430 31000  4.50  0.20  2.00  0.00  0.00 -21.491 -20.801 -19.912  -0.139  -0.308  -0.170
  431 31000  5.00  0.20  2.00  0.00  0.00 -21.465 -20.775 -19.886  -0.139  -0.308  -0.170
  432 32000  4.00  0.20  2.00  0.00  0.00 -21.595 -20.905 -20.016  -0.139  -0.307  -0.170
  433 32000  4.50  0.20  2.00  0.00  0.00 -21.561 -20.868 -19.976  -0.142  -0.313  -0.173
  434 32000  5.00  0.20  2.00  0.00  0.00 -21.534 -20.841 -19.949  -0.142  -0.314  -0.173
  435 33000  4.00  0.20  2.00  0.00  0.00 -21.655 -20.964 -20.076  -0.139  -0.308  -0.170
  436 33000  4.50  0.20  2.00  0.00  0.00 -21.626 -20.932 -20.038  -0.144  -0.317  -0.174
  437 33000  5.00  0.20  2.00  0.00  0.00 -21.600 -20.905 -20.011  -0.144  -0.319  -0.175
  438 34000  4.00  0.20  2.00  0.00  0.00 -21.708 -21.017 -20.129  -0.139  -0.307  -0.169
  439 34000  4.50  0.20  2.00  0.00  0.00 -21.686 -20.990 -20.096  -0.145  -0.319  -0.175
  440 34000  5.00  0.20  2.00  0.00  0.00 -21.663 -20.965 -20.070  -0.146  -0.322  -0.177
  441 35000  4.00  0.20  2.00  0.00  0.00 -21.754 -21.064 -20.176  -0.140  -0.307  -0.168
  442 35000  4.50  0.20  2.00  0.00  0.00 -21.740 -21.043 -20.149  -0.146  -0.320  -0.175
  443 35000  5.00  0.20  2.00  0.00  0.00 -21.720 -21.022 -20.125  -0.148  -0.324  -0.178
  444 36000  4.00  0.20  2.00  0.00  0.00 -21.795 -21.104 -20.218  -0.140  -0.306  -0.168
  445 36000  4.50  0.20  2.00  0.00  0.00 -21.788 -21.091 -20.198  -0.146  -0.320  -0.174
  446 36000  5.00  0.20  2.00  0.00  0.00 -21.773 -21.073 -20.177  -0.149  -0.326  -0.178
  447 37000  4.00  0.20  2.00  0.00  0.00 -21.832 -21.141 -20.254  -0.140  -0.307  -0.168
  448 37000  4.50  0.20  2.00  0.00  0.00 -21.831 -21.133 -20.240  -0.147  -0.319  -0.174
  449 37000  5.00  0.20  2.00  0.00  0.00 -21.821 -21.120 -20.224  -0.150  -0.326  -0.177
  450 38000  4.00  0.20  2.00  0.00  0.00 -21.867 -21.175 -20.288  -0.141  -0.308  -0.168
  451 38000  4.50  0.20  2.00  0.00  0.00 -21.869 -21.171 -20.278  -0.147  -0.320  -0.173
  452 38000  5.00  0.20  2.00  0.00  0.00 -21.863 -21.162 -20.266  -0.150  -0.326  -0.177
  453 39000  4.00  0.20  2.00  0.00  0.00 -21.900 -21.207 -20.319  -0.141  -0.309  -0.169
  454 39000  4.50  0.20  2.00  0.00  0.00 -21.904 -21.205 -20.312  -0.148  -0.321  -0.174
  455 39000  5.00  0.20  2.00  0.00  0.00 -21.901 -21.199 -20.304  -0.151  -0.326  -0.176
  456 40000  4.50  0.20  2.00  0.00  0.00 -21.937 -21.237 -20.343  -0.149  -0.322  -0.174
  457 40000  5.00  0.20  2.00  0.00  0.00 -21.936 -21.233 -20.338  -0.152  -0.327  -0.176
  458 41000  4.50  0.20  2.00  0.00  0.00 -21.968 -21.267 -20.373  -0.150  -0.324  -0.175
  459 41000  5.00  0.20  2.00  0.00  0.00 -21.968 -21.264 -20.368  -0.153  -0.328  -0.176
  460 42000  4.50  0.20  2.00  0.00  0.00 -21.998 -21.296 -20.402  -0.151  -0.325  -0.176
  461 42000  5.00  0.20  2.00  0.00  0.00 -21.998 -21.293 -20.397  -0.154  -0.330  -0.177
  462 43000  4.50  0.20  2.00  0.00  0.00 -22.028 -21.326 -20.430  -0.151  -0.327  -0.177
  463 43000  5.00  0.20  2.00  0.00  0.00 -22.027 -21.321 -20.424  -0.155  -0.331  -0.178
  464 44000  4.50  0.20  2.00  0.00  0.00 -22.057 -21.354 -20.458  -0.152  -0.328  -0.177
  465 44000  5.00  0.20  2.00  0.00  0.00 -22.055 -21.348 -20.451  -0.155  -0.333  -0.178
  466 45000  4.50  0.20  2.00  0.00  0.00 -22.085 -21.382 -20.485  -0.152  -0.329  -0.178
  467 45000  5.00  0.20  2.00  0.00  0.00 -22.082 -21.375 -20.477  -0.156  -0.334  -0.179
  468 46000  4.50  0.20  2.00  0.00  0.00 -22.113 -21.409 -20.511  -0.152  -0.330  -0.179
  469 46000  5.00  0.20  2.00  0.00  0.00 -22.109 -21.402 -20.503  -0.157  -0.335  -0.180
  470 47000  4.50  0.20  2.00  0.00  0.00 -22.139 -21.436 -20.537  -0.153  -0.332  -0.180
  471 47000  5.00  0.20  2.00  0.00  0.00 -22.136 -21.428 -20.528  -0.157  -0.337  -0.181
  472 48000  4.50  0.20  2.00  0.00  0.00 -22.165 -21.461 -20.562  -0.153  -0.333  -0.181
  473 48000  5.00  0.20  2.00  0.00  0.00 -22.161 -21.453 -20.553  -0.157  -0.338  -0.181
  474 49000  4.50  0.20  2.00  0.00  0.00 -22.191 -21.487 -20.586  -0.153  -0.334  -0.182
  475 49000  5.00  0.20  2.00  0.00  0.00 -22.186 -21.478 -20.576  -0.158  -0.339  -0.182
  476 50000  5.00  0.20  2.00  0.00  0.00 -22.211 -21.502 -20.600  -0.158  -0.340  -0.183
