
       Teff log g  [M]a Vturb  l/H  E(B-V)   V       I       R       V-R     V-I     R-I
   60  4750  2.00  0.20  2.00  1.25  0.00 -15.924 -15.955 -15.762   0.583   1.109   0.525
   61  4750  2.50  0.20  2.00  1.25  0.00 -15.919 -15.948 -15.754   0.579   1.106   0.525
   62  4750  3.00  0.20  2.00  1.25  0.00 -15.915 -15.943 -15.747   0.579   1.103   0.523
   63  4750  3.50  0.20  2.00  1.25  0.00 -15.908 -15.940 -15.743   0.584   1.106   0.521
   64  4750  4.00  0.20  2.00  1.25  0.00 -15.896 -15.939 -15.742   0.594   1.117   0.522
   65  4750  4.50  0.20  2.00  1.25  0.00 -15.881 -15.939 -15.744   0.608   1.133   0.524
   66  4750  5.00  0.20  2.00  1.25  0.00 -15.865 -15.940 -15.748   0.626   1.155   0.528
   67  5000  0.00  0.20  2.00  1.25  0.00 -16.302 -16.282 -16.016   0.532   0.985   0.452
   68  5000  0.50  0.20  2.00  1.25  0.00 -16.295 -16.270 -16.008   0.527   0.985   0.457
   69  5000  1.00  0.20  2.00  1.25  0.00 -16.286 -16.260 -16.003   0.524   0.988   0.462
   70  5000  1.50  0.20  2.00  1.25  0.00 -16.278 -16.249 -15.998   0.523   0.992   0.468
   71  5000  2.00  0.20  2.00  1.25  0.00 -16.270 -16.240 -15.992   0.520   0.993   0.472
   72  5000  2.50  0.20  2.00  1.25  0.00 -16.265 -16.231 -15.985   0.517   0.991   0.473
   73  5000  3.00  0.20  2.00  1.25  0.00 -16.260 -16.225 -15.978   0.516   0.989   0.472
   74  5000  3.50  0.20  2.00  1.25  0.00 -16.254 -16.221 -15.973   0.518   0.990   0.471
   75  5000  4.00  0.20  2.00  1.25  0.00 -16.246 -16.219 -15.970   0.524   0.995   0.470
   76  5000  4.50  0.20  2.00  1.25  0.00 -16.236 -16.220 -15.971   0.535   1.006   0.469
   77  5000  5.00  0.20  2.00  1.25  0.00 -16.224 -16.223 -15.973   0.550   1.020   0.469
   78  5250  0.00  0.20  2.00  1.25  0.00 -16.615 -16.534 -16.220   0.470   0.876   0.405
   79  5250  0.50  0.20  2.00  1.25  0.00 -16.605 -16.521 -16.212   0.467   0.879   0.410
   80  5250  1.00  0.20  2.00  1.25  0.00 -16.595 -16.510 -16.207   0.466   0.882   0.415
   81  5250  1.50  0.20  2.00  1.25  0.00 -16.586 -16.500 -16.201   0.465   0.887   0.420
   82  5250  2.00  0.20  2.00  1.25  0.00 -16.577 -16.490 -16.196   0.464   0.890   0.425
   83  5250  2.50  0.20  2.00  1.25  0.00 -16.569 -16.481 -16.190   0.463   0.891   0.427
   84  5250  3.00  0.20  2.00  1.25  0.00 -16.563 -16.475 -16.184   0.462   0.892   0.428
   85  5250  3.50  0.20  2.00  1.25  0.00 -16.558 -16.470 -16.179   0.463   0.892   0.428
   86  5250  4.00  0.20  2.00  1.25  0.00 -16.552 -16.468 -16.176   0.467   0.895   0.428
   87  5250  4.50  0.20  2.00  1.25  0.00 -16.544 -16.467 -16.175   0.474   0.902   0.427
   88  5250  5.00  0.20  2.00  1.25  0.00 -16.536 -16.470 -16.177   0.485   0.912   0.426
   89  5500  0.00  0.20  2.00  1.25  0.00 -16.900 -16.758 -16.399   0.409   0.770   0.360
   90  5500  0.50  0.20  2.00  1.25  0.00 -16.887 -16.746 -16.393   0.410   0.777   0.366
   91  5500  1.00  0.20  2.00  1.25  0.00 -16.875 -16.735 -16.388   0.411   0.784   0.372
   92  5500  1.50  0.20  2.00  1.25  0.00 -16.863 -16.724 -16.383   0.412   0.790   0.377
   93  5500  2.00  0.20  2.00  1.25  0.00 -16.853 -16.715 -16.377   0.413   0.796   0.382
   94  5500  2.50  0.20  2.00  1.25  0.00 -16.843 -16.706 -16.372   0.414   0.800   0.385
   95  5500  3.00  0.20  2.00  1.25  0.00 -16.835 -16.698 -16.367   0.414   0.803   0.388
   96  5500  3.50  0.20  2.00  1.25  0.00 -16.828 -16.693 -16.363   0.416   0.806   0.389
   97  5500  4.00  0.20  2.00  1.25  0.00 -16.822 -16.690 -16.360   0.419   0.809   0.390
   98  5500  4.50  0.20  2.00  1.25  0.00 -16.817 -16.689 -16.360   0.423   0.814   0.389
   99  5500  5.00  0.20  2.00  1.25  0.00 -16.811 -16.691 -16.361   0.431   0.820   0.389
  100  5750  0.00  0.20  2.00  1.25  0.00 -17.160 -16.958 -16.556   0.350   0.667   0.316
  101  5750  0.50  0.20  2.00  1.25  0.00 -17.144 -16.949 -16.553   0.355   0.680   0.323
  102  5750  1.00  0.20  2.00  1.25  0.00 -17.131 -16.939 -16.550   0.359   0.690   0.330
  103  5750  1.50  0.20  2.00  1.25  0.00 -17.117 -16.929 -16.546   0.362   0.700   0.336
  104  5750  2.00  0.20  2.00  1.25  0.00 -17.105 -16.919 -16.542   0.365   0.708   0.342
  105  5750  2.50  0.20  2.00  1.25  0.00 -17.093 -16.910 -16.537   0.368   0.715   0.346
  106  5750  3.00  0.20  2.00  1.25  0.00 -17.082 -16.902 -16.533   0.370   0.721   0.350
  107  5750  3.50  0.20  2.00  1.25  0.00 -17.074 -16.896 -16.529   0.373   0.727   0.353
  108  5750  4.00  0.20  2.00  1.25  0.00 -17.066 -16.892 -16.527   0.376   0.732   0.354
  109  5750  4.50  0.20  2.00  1.25  0.00 -17.061 -16.890 -16.526   0.380   0.737   0.355
  110  5750  5.00  0.20  2.00  1.25  0.00 -17.056 -16.891 -16.527   0.386   0.742   0.355
  111  6000  0.00  0.20  2.00  1.25  0.00 -17.393 -17.135 -16.692   0.293   0.570   0.276
  112  6000  0.50  0.20  2.00  1.25  0.00 -17.379 -17.131 -16.695   0.303   0.586   0.283
  113  6000  1.00  0.20  2.00  1.25  0.00 -17.365 -17.124 -16.695   0.310   0.601   0.290
  114  6000  1.50  0.20  2.00  1.25  0.00 -17.351 -17.115 -16.694   0.316   0.614   0.297
  115  6000  2.00  0.20  2.00  1.25  0.00 -17.337 -17.107 -16.691   0.321   0.626   0.304
  116  6000  2.50  0.20  2.00  1.25  0.00 -17.323 -17.098 -16.688   0.326   0.636   0.309
  117  6000  3.00  0.20  2.00  1.25  0.00 -17.311 -17.089 -16.685   0.330   0.645   0.314
  118  6000  3.50  0.20  2.00  1.25  0.00 -17.300 -17.082 -16.682   0.334   0.653   0.318
  119  6000  4.00  0.20  2.00  1.25  0.00 -17.290 -17.077 -16.680   0.338   0.660   0.321
  120  6000  4.50  0.20  2.00  1.25  0.00 -17.283 -17.074 -16.679   0.342   0.667   0.323
  121  6000  5.00  0.20  2.00  1.25  0.00 -17.278 -17.074 -16.680   0.348   0.673   0.324
  122  6250  0.50  0.20  2.00  1.25  0.00 -17.591 -17.292 -16.819   0.252   0.499   0.246
  123  6250  1.00  0.20  2.00  1.25  0.00 -17.580 -17.292 -16.825   0.262   0.515   0.252
  124  6250  1.50  0.20  2.00  1.25  0.00 -17.566 -17.286 -16.827   0.271   0.532   0.259
  125  6250  2.00  0.20  2.00  1.25  0.00 -17.551 -17.279 -16.827   0.279   0.547   0.267
  126  6250  2.50  0.20  2.00  1.25  0.00 -17.537 -17.271 -16.826   0.286   0.560   0.274
  127  6250  3.00  0.20  2.00  1.25  0.00 -17.523 -17.263 -16.824   0.292   0.573   0.280
  128  6250  3.50  0.20  2.00  1.25  0.00 -17.510 -17.256 -16.822   0.297   0.584   0.285
  129  6250  4.00  0.20  2.00  1.25  0.00 -17.498 -17.249 -16.820   0.302   0.593   0.290
  130  6250  4.50  0.20  2.00  1.25  0.00 -17.488 -17.245 -16.819   0.308   0.602   0.293
