
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -2.00  1.00  1.25  0.00  -8.344  -8.331 -10.553 -12.025 -12.981   4.483   4.474   1.456   0.446   0.678   0.670
    2  3500  0.50 -2.00  1.00  1.25  0.00  -8.754  -8.742 -10.901 -12.278 -13.109   4.326   4.317   1.330   0.476   0.710   0.701
    3  3500  1.00 -2.00  1.00  1.25  0.00  -9.197  -9.184 -11.221 -12.479 -13.199   4.083   4.074   1.220   0.467   0.707   0.698
    4  3500  1.50 -2.00  1.00  1.25  0.00  -9.668  -9.655 -11.498 -12.642 -13.290   3.776   3.768   1.148   0.426   0.627   0.619
    5  3500  2.00 -2.00  1.00  1.25  0.00 -10.112 -10.098 -11.751 -12.810 -13.423   3.500   3.492   1.113   0.375   0.523   0.515
    6  3500  2.50 -2.00  1.00  1.25  0.00 -10.445 -10.431 -11.950 -12.953 -13.539   3.309   3.302   1.086   0.345   0.444   0.437
    7  3500  3.00 -2.00  1.00  1.25  0.00 -10.595 -10.580 -12.021 -13.006 -13.580   3.213   3.206   1.074   0.340   0.382   0.375
    8  3500  3.50 -2.00  1.00  1.25  0.00 -10.645 -10.629 -12.014 -13.012 -13.584   3.169   3.163   1.072   0.354   0.314   0.308
    9  3500  4.00 -2.00  1.00  1.25  0.00 -10.668 -10.651 -11.973 -12.996 -13.572   3.129   3.124   1.077   0.375   0.223   0.218
   10  3500  4.50 -2.00  1.00  1.25  0.00 -10.716 -10.698 -11.924 -12.967 -13.551   3.053   3.049   1.084   0.388   0.107   0.103
   11  3500  5.00 -2.00  1.00  1.25  0.00 -10.794 -10.775 -11.877 -12.927 -13.520   2.935   2.931   1.093   0.386  -0.025  -0.029
   12  3750  0.00 -2.00  1.00  1.25  0.00  -9.840  -9.825 -11.796 -13.049 -13.810   4.012   4.004   1.260   0.422   0.645   0.638
   13  3750  0.50 -2.00  1.00  1.25  0.00 -10.266 -10.252 -12.119 -13.284 -13.923   3.820   3.812   1.138   0.456   0.630   0.622
   14  3750  1.00 -2.00  1.00  1.25  0.00 -10.674 -10.660 -12.387 -13.458 -13.996   3.586   3.578   1.038   0.462   0.584   0.576
   15  3750  1.50 -2.00  1.00  1.25  0.00 -11.020 -11.005 -12.586 -13.576 -14.041   3.359   3.351   0.965   0.454   0.518   0.510
   16  3750  2.00 -2.00  1.00  1.25  0.00 -11.283 -11.268 -12.719 -13.649 -14.071   3.168   3.161   0.922   0.436   0.449   0.442
   17  3750  2.50 -2.00  1.00  1.25  0.00 -11.464 -11.448 -12.804 -13.690 -14.110   3.028   3.021   0.920   0.394   0.396   0.390
   18  3750  3.00 -2.00  1.00  1.25  0.00 -11.606 -11.590 -12.883 -13.734 -14.165   2.930   2.924   0.931   0.350   0.367   0.361
   19  3750  3.50 -2.00  1.00  1.25  0.00 -11.702 -11.686 -12.935 -13.767 -14.202   2.866   2.861   0.935   0.325   0.343   0.338
   20  3750  4.00 -2.00  1.00  1.25  0.00 -11.748 -11.731 -12.943 -13.772 -14.212   2.826   2.821   0.940   0.317   0.309   0.303
   21  3750  4.50 -2.00  1.00  1.25  0.00 -11.785 -11.768 -12.924 -13.760 -14.208   2.776   2.772   0.948   0.316   0.245   0.241
   22  3750  5.00 -2.00  1.00  1.25  0.00 -11.845 -11.827 -12.894 -13.736 -14.193   2.693   2.689   0.958   0.314   0.149   0.145
   23  4000  0.00 -2.00  1.00  1.25  0.00 -11.061 -11.046 -12.817 -13.850 -14.460   3.590   3.584   1.111   0.351   0.665   0.658
   24  4000  0.50 -2.00  1.00  1.25  0.00 -11.492 -11.476 -13.117 -14.054 -14.553   3.365   3.358   0.998   0.368   0.629   0.622
   25  4000  1.00 -2.00  1.00  1.25  0.00 -11.897 -11.881 -13.360 -14.207 -14.613   3.113   3.107   0.906   0.371   0.557   0.551
   26  4000  1.50 -2.00  1.00  1.25  0.00 -12.230 -12.213 -13.536 -14.312 -14.650   2.884   2.879   0.838   0.367   0.472   0.467
   27  4000  2.00 -2.00  1.00  1.25  0.00 -12.466 -12.449 -13.649 -14.380 -14.672   2.716   2.711   0.792   0.367   0.394   0.389
   28  4000  2.50 -2.00  1.00  1.25  0.00 -12.597 -12.580 -13.706 -14.419 -14.686   2.623   2.619   0.767   0.375   0.338   0.333
   29  4000  3.00 -2.00  1.00  1.25  0.00 -12.637 -12.620 -13.718 -14.425 -14.697   2.589   2.585   0.773   0.363   0.316   0.311
   30  4000  3.50 -2.00  1.00  1.25  0.00 -12.645 -12.627 -13.721 -14.418 -14.714   2.575   2.571   0.796   0.330   0.321   0.317
   31  4000  4.00 -2.00  1.00  1.25  0.00 -12.670 -12.652 -13.734 -14.417 -14.732   2.550   2.545   0.815   0.298   0.323   0.319
   32  4000  4.50 -2.00  1.00  1.25  0.00 -12.702 -12.684 -13.741 -14.415 -14.742   2.515   2.510   0.827   0.275   0.307   0.303
   33  4000  5.00 -2.00  1.00  1.25  0.00 -12.741 -12.723 -13.734 -14.404 -14.742   2.465   2.461   0.838   0.261   0.265   0.261
   34  4250  0.00 -2.00  1.00  1.25  0.00 -12.134 -12.118 -13.706 -14.535 -15.008   3.203   3.197   0.973   0.284   0.686   0.680
   35  4250  0.50 -2.00  1.00  1.25  0.00 -12.522 -12.506 -13.953 -14.694 -15.075   2.973   2.968   0.882   0.288   0.632   0.626
   36  4250  1.00 -2.00  1.00  1.25  0.00 -12.882 -12.866 -14.153 -14.814 -15.120   2.734   2.729   0.806   0.285   0.551   0.546
   37  4250  1.50 -2.00  1.00  1.25  0.00 -13.179 -13.162 -14.299 -14.899 -15.146   2.522   2.517   0.748   0.281   0.462   0.457
   38  4250  2.00 -2.00  1.00  1.25  0.00 -13.394 -13.376 -14.395 -14.955 -15.162   2.362   2.358   0.707   0.282   0.383   0.379
   39  4250  2.50 -2.00  1.00  1.25  0.00 -13.524 -13.506 -14.449 -14.990 -15.171   2.268   2.264   0.681   0.289   0.326   0.322
   40  4250  3.00 -2.00  1.00  1.25  0.00 -13.577 -13.558 -14.468 -15.010 -15.179   2.235   2.232   0.669   0.303   0.291   0.288
   41  4250  3.50 -2.00  1.00  1.25  0.00 -13.562 -13.544 -14.456 -15.009 -15.184   2.249   2.246   0.675   0.307   0.283   0.280
   42  4250  4.00 -2.00  1.00  1.25  0.00 -13.528 -13.510 -14.438 -14.993 -15.189   2.267   2.263   0.696   0.288   0.296   0.293
   43  4250  4.50 -2.00  1.00  1.25  0.00 -13.519 -13.500 -14.430 -14.978 -15.195   2.261   2.257   0.717   0.260   0.305   0.302
   44  4250  5.00 -2.00  1.00  1.25  0.00 -13.535 -13.516 -14.428 -14.966 -15.200   2.233   2.230   0.734   0.234   0.297   0.293
   45  4500  0.00 -2.00  1.00  1.25  0.00 -13.134 -13.117 -14.517 -15.147 -15.484   2.815   2.810   0.837   0.221   0.696   0.691
   46  4500  0.50 -2.00  1.00  1.25  0.00 -13.445 -13.428 -14.691 -15.252 -15.524   2.609   2.604   0.772   0.219   0.627   0.622
   47  4500  1.00 -2.00  1.00  1.25  0.00 -13.737 -13.719 -14.836 -15.336 -15.551   2.401   2.397   0.715   0.214   0.541   0.537
   48  4500  1.50 -2.00  1.00  1.25  0.00 -13.982 -13.964 -14.944 -15.396 -15.567   2.216   2.212   0.671   0.210   0.453   0.449
   49  4500  2.00 -2.00  1.00  1.25  0.00 -14.163 -14.144 -15.016 -15.436 -15.575   2.075   2.072   0.639   0.210   0.375   0.371
   50  4500  2.50 -2.00  1.00  1.25  0.00 -14.278 -14.259 -15.057 -15.462 -15.580   1.986   1.983   0.618   0.216   0.316   0.313
   51  4500  3.00 -2.00  1.00  1.25  0.00 -14.333 -14.314 -15.075 -15.479 -15.585   1.948   1.945   0.606   0.227   0.280   0.277
   52  4500  3.50 -2.00  1.00  1.25  0.00 -14.337 -14.318 -15.073 -15.487 -15.590   1.952   1.950   0.602   0.241   0.264   0.262
   53  4500  4.00 -2.00  1.00  1.25  0.00 -14.305 -14.285 -15.057 -15.484 -15.593   1.982   1.979   0.609   0.247   0.267   0.264
   54  4500  4.50 -2.00  1.00  1.25  0.00 -14.270 -14.251 -15.037 -15.470 -15.596   2.002   1.999   0.626   0.236   0.277   0.274
