
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
   42  4250  4.00 -2.00  4.00  1.25  0.00 -13.397 -13.379 -14.377 -14.989 -15.188   2.394   2.390   0.699   0.342   0.309   0.305
   43  4250  4.50 -2.00  4.00  1.25  0.00 -13.414 -13.396 -14.380 -14.975 -15.194   2.362   2.358   0.720   0.304   0.314   0.309
   44  4250  5.00 -2.00  4.00  1.25  0.00 -13.448 -13.430 -14.385 -14.963 -15.199   2.317   2.313   0.735   0.272   0.301   0.297
   45  4500  0.00 -2.00  4.00  1.25  0.00 -12.947 -12.931 -14.445 -15.142 -15.480   2.996   2.991   0.839   0.287   0.744   0.738
   46  4500  0.50 -2.00  4.00  1.25  0.00 -13.251 -13.234 -14.620 -15.249 -15.521   2.800   2.794   0.773   0.285   0.682   0.677
   47  4500  1.00 -2.00  4.00  1.25  0.00 -13.538 -13.521 -14.767 -15.334 -15.549   2.597   2.592   0.716   0.280   0.603   0.598
   48  4500  1.50 -2.00  4.00  1.25  0.00 -13.784 -13.766 -14.877 -15.395 -15.567   2.413   2.409   0.672   0.275   0.518   0.513
   49  4500  2.00 -2.00  4.00  1.25  0.00 -13.969 -13.951 -14.952 -15.436 -15.577   2.269   2.265   0.640   0.273   0.441   0.436
   50  4500  2.50 -2.00  4.00  1.25  0.00 -14.094 -14.076 -14.997 -15.463 -15.583   2.171   2.167   0.619   0.276   0.379   0.375
   51  4500  3.00 -2.00  4.00  1.25  0.00 -14.164 -14.146 -15.019 -15.480 -15.588   2.117   2.114   0.608   0.282   0.336   0.332
   52  4500  3.50 -2.00  4.00  1.25  0.00 -14.190 -14.171 -15.023 -15.488 -15.592   2.100   2.097   0.604   0.289   0.311   0.308
   53  4500  4.00 -2.00  4.00  1.25  0.00 -14.182 -14.164 -15.013 -15.485 -15.595   2.104   2.101   0.610   0.290   0.302   0.299
   54  4500  4.50 -2.00  4.00  1.25  0.00 -14.170 -14.151 -15.001 -15.470 -15.596   2.103   2.099   0.626   0.272   0.304   0.301
   55  4500  5.00 -2.00  4.00  1.25  0.00 -14.171 -14.152 -14.994 -15.454 -15.598   2.085   2.082   0.644   0.246   0.304   0.301
   56  4750  0.00 -2.00  4.00  1.25  0.00 -13.858 -13.840 -15.201 -15.690 -15.898   2.635   2.630   0.708   0.210   0.795   0.791
   57  4750  0.50 -2.00  4.00  1.25  0.00 -14.105 -14.087 -15.311 -15.751 -15.915   2.448   2.444   0.664   0.206   0.707   0.703
   58  4750  1.00 -2.00  4.00  1.25  0.00 -14.333 -14.315 -15.401 -15.800 -15.926   2.269   2.265   0.626   0.202   0.610   0.606
   59  4750  1.50 -2.00  4.00  1.25  0.00 -14.528 -14.509 -15.469 -15.836 -15.932   2.111   2.107   0.596   0.200   0.516   0.512
   60  4750  2.00 -2.00  4.00  1.25  0.00 -14.677 -14.658 -15.514 -15.861 -15.936   1.986   1.983   0.575   0.201   0.433   0.429
   61  4750  2.50 -2.00  4.00  1.25  0.00 -14.780 -14.761 -15.541 -15.877 -15.937   1.899   1.896   0.560   0.205   0.368   0.364
   62  4750  3.00 -2.00  4.00  1.25  0.00 -14.839 -14.820 -15.553 -15.887 -15.940   1.851   1.848   0.552   0.211   0.322   0.319
   63  4750  3.50 -2.00  4.00  1.25  0.00 -14.861 -14.842 -15.553 -15.893 -15.943   1.834   1.831   0.550   0.219   0.295   0.292
   64  4750  4.00 -2.00  4.00  1.25  0.00 -14.858 -14.839 -15.546 -15.894 -15.945   1.838   1.835   0.552   0.225   0.282   0.279
   65  4750  4.50 -2.00  4.00  1.25  0.00 -14.842 -14.823 -15.534 -15.888 -15.947   1.848   1.845   0.559   0.223   0.281   0.278
   66  4750  5.00 -2.00  4.00  1.25  0.00 -14.829 -14.810 -15.522 -15.876 -15.948   1.849   1.847   0.572   0.211   0.281   0.278
   67  5000  0.00 -2.00  4.00  1.25  0.00 -14.568 -14.550 -15.838 -16.163 -16.258   2.396   2.393   0.596   0.158   0.886   0.883
   68  5000  0.50 -2.00  4.00  1.25  0.00 -14.785 -14.766 -15.904 -16.191 -16.258   2.209   2.206   0.567   0.149   0.774   0.771
   69  5000  1.00 -2.00  4.00  1.25  0.00 -14.981 -14.962 -15.955 -16.213 -16.256   2.034   2.031   0.544   0.143   0.658   0.655
   70  5000  1.50 -2.00  4.00  1.25  0.00 -15.147 -15.128 -15.989 -16.227 -16.253   1.882   1.879   0.526   0.140   0.547   0.544
   71  5000  2.00 -2.00  4.00  1.25  0.00 -15.278 -15.258 -16.009 -16.235 -16.249   1.759   1.757   0.514   0.142   0.447   0.444
   72  5000  2.50 -2.00  4.00  1.25  0.00 -15.370 -15.351 -16.017 -16.240 -16.246   1.672   1.669   0.506   0.146   0.366   0.363
   73  5000  3.00 -2.00  4.00  1.25  0.00 -15.424 -15.404 -16.016 -16.244 -16.245   1.622   1.619   0.502   0.154   0.308   0.305
   74  5000  3.50 -2.00  4.00  1.25  0.00 -15.445 -15.425 -16.009 -16.245 -16.247   1.602   1.600   0.502   0.163   0.270   0.267
   75  5000  4.00 -2.00  4.00  1.25  0.00 -15.442 -15.423 -15.998 -16.245 -16.250   1.605   1.602   0.505   0.171   0.250   0.247
   76  5000  4.50 -2.00  4.00  1.25  0.00 -15.428 -15.408 -15.985 -16.242 -16.253   1.617   1.614   0.511   0.175   0.242   0.240
   77  5000  5.00 -2.00  4.00  1.25  0.00 -15.411 -15.391 -15.974 -16.236 -16.255   1.627   1.625   0.519   0.172   0.243   0.240
   78  5250  0.00 -2.00  4.00  1.25  0.00 -15.108 -15.088 -16.372 -16.570 -16.571   2.264   2.261   0.502   0.125   1.008   1.006
   79  5250  0.50 -2.00  4.00  1.25  0.00 -15.298 -15.279 -16.405 -16.576 -16.562   2.080   2.078   0.485   0.115   0.878   0.875
   80  5250  1.00 -2.00  4.00  1.25  0.00 -15.474 -15.454 -16.428 -16.578 -16.551   1.906   1.904   0.472   0.108   0.745   0.743
   81  5250  1.50 -2.00  4.00  1.25  0.00 -15.627 -15.607 -16.439 -16.576 -16.539   1.751   1.749   0.463   0.103   0.617   0.615
   82  5250  2.00 -2.00  4.00  1.25  0.00 -15.753 -15.732 -16.440 -16.571 -16.528   1.620   1.618   0.458   0.102   0.499   0.497
   83  5250  2.50 -2.00  4.00  1.25  0.00 -15.849 -15.829 -16.434 -16.565 -16.520   1.518   1.516   0.455   0.105   0.397   0.395
   84  5250  3.00 -2.00  4.00  1.25  0.00 -15.913 -15.893 -16.423 -16.559 -16.514   1.449   1.447   0.455   0.110   0.316   0.314
   85  5250  3.50 -2.00  4.00  1.25  0.00 -15.946 -15.926 -16.410 -16.557 -16.514   1.413   1.411   0.457   0.119   0.260   0.258
   86  5250  4.00 -2.00  4.00  1.25  0.00 -15.950 -15.930 -16.394 -16.555 -16.517   1.407   1.405   0.462   0.128   0.225   0.223
   87  5250  4.50 -2.00  4.00  1.25  0.00 -15.939 -15.919 -16.378 -16.553 -16.521   1.416   1.414   0.469   0.135   0.207   0.205
   88  5250  5.00 -2.00  4.00  1.25  0.00 -15.922 -15.902 -16.364 -16.549 -16.525   1.429   1.427   0.476   0.137   0.200   0.198
   89  5500  0.00 -2.00  4.00  1.25  0.00 -15.526 -15.506 -16.831 -16.927 -16.850   2.203   2.201   0.423   0.102   1.151   1.149
   90  5500  0.50 -2.00  4.00  1.25  0.00 -15.693 -15.673 -16.839 -16.919 -16.834   2.028   2.026   0.415   0.095   1.007   1.005
   91  5500  1.00 -2.00  4.00  1.25  0.00 -15.853 -15.833 -16.839 -16.908 -16.818   1.857   1.856   0.410   0.088   0.859   0.858
   92  5500  1.50 -2.00  4.00  1.25  0.00 -15.996 -15.976 -16.832 -16.894 -16.801   1.700   1.698   0.407   0.084   0.716   0.714
   93  5500  2.00 -2.00  4.00  1.25  0.00 -16.119 -16.099 -16.818 -16.878 -16.785   1.560   1.559   0.407   0.081   0.582   0.580
   94  5500  2.50 -2.00  4.00  1.25  0.00 -16.221 -16.201 -16.801 -16.862 -16.770   1.442   1.441   0.409   0.081   0.461   0.459
   95  5500  3.00 -2.00  4.00  1.25  0.00 -16.300 -16.280 -16.782 -16.848 -16.759   1.349   1.348   0.411   0.084   0.357   0.356
   96  5500  3.50 -2.00  4.00  1.25  0.00 -16.353 -16.333 -16.763 -16.838 -16.753   1.287   1.285   0.415   0.089   0.277   0.275
   97  5500  4.00 -2.00  4.00  1.25  0.00 -16.377 -16.357 -16.744 -16.832 -16.754   1.257   1.255   0.421   0.096   0.221   0.220
   98  5500  4.50 -2.00  4.00  1.25  0.00 -16.379 -16.358 -16.727 -16.829 -16.758   1.252   1.251   0.429   0.103   0.187   0.186
   99  5500  5.00 -2.00  4.00  1.25  0.00 -16.367 -16.347 -16.710 -16.826 -16.763   1.260   1.259   0.437   0.107   0.170   0.168
  100  5750  0.00 -2.00  4.00  1.25  0.00 -15.860 -15.839 -17.237 -17.248 -17.101   2.190   2.189   0.353   0.087   1.307   1.306
  101  5750  0.50 -2.00  4.00  1.25  0.00 -16.005 -15.985 -17.224 -17.230 -17.083   2.027   2.026   0.353   0.083   1.154   1.153
  102  5750  1.00 -2.00  4.00  1.25  0.00 -16.152 -16.131 -17.208 -17.210 -17.065   1.861   1.860   0.354   0.078   0.995   0.994
  103  5750  1.50 -2.00  4.00  1.25  0.00 -16.288 -16.267 -17.186 -17.188 -17.045   1.702   1.700   0.357   0.074   0.837   0.836
  104  5750  2.00 -2.00  4.00  1.25  0.00 -16.410 -16.389 -17.160 -17.163 -17.025   1.555   1.554   0.361   0.071   0.687   0.686
  105  5750  2.50 -2.00  4.00  1.25  0.00 -16.516 -16.495 -17.131 -17.139 -17.005   1.425   1.424   0.366   0.071   0.549   0.548
  106  5750  3.00 -2.00  4.00  1.25  0.00 -16.605 -16.584 -17.103 -17.117 -16.988   1.313   1.312   0.372   0.071   0.426   0.425
  107  5750  3.50 -2.00  4.00  1.25  0.00 -16.675 -16.655 -17.077 -17.099 -16.976   1.225   1.224   0.378   0.073   0.322   0.321
  108  5750  4.00 -2.00  4.00  1.25  0.00 -16.723 -16.702 -17.055 -17.087 -16.970   1.166   1.164   0.384   0.077   0.242   0.241
  109  5750  4.50 -2.00  4.00  1.25  0.00 -16.745 -16.724 -17.036 -17.080 -16.971   1.137   1.136   0.391   0.082   0.188   0.187
  110  5750  5.00 -2.00  4.00  1.25  0.00 -16.748 -16.727 -17.019 -17.076 -16.976   1.130   1.129   0.400   0.086   0.156   0.154
  111  6000  0.00 -2.00  4.00  1.25  0.00 -16.136 -16.115 -17.604 -17.540 -17.331   2.206   2.205   0.290   0.074   1.475   1.474
  112  6000  0.50 -2.00  4.00  1.25  0.00 -16.261 -16.240 -17.573 -17.516 -17.313   2.057   2.056   0.297   0.075   1.311   1.310
  113  6000  1.00 -2.00  4.00  1.25  0.00 -16.395 -16.374 -17.544 -17.491 -17.294   1.898   1.897   0.303   0.073   1.144   1.143
  114  6000  1.50 -2.00  4.00  1.25  0.00 -16.526 -16.505 -17.511 -17.463 -17.273   1.739   1.738   0.310   0.071   0.975   0.974
  115  6000  2.00 -2.00  4.00  1.25  0.00 -16.647 -16.626 -17.474 -17.432 -17.250   1.587   1.586   0.318   0.069   0.810   0.810
  116  6000  2.50 -2.00  4.00  1.25  0.00 -16.757 -16.736 -17.436 -17.401 -17.228   1.446   1.446   0.326   0.068   0.656   0.655
  117  6000  3.00 -2.00  4.00  1.25  0.00 -16.854 -16.832 -17.399 -17.371 -17.206   1.320   1.319   0.335   0.067   0.515   0.514
  118  6000  3.50 -2.00  4.00  1.25  0.00 -16.936 -16.915 -17.365 -17.345 -17.187   1.211   1.210   0.342   0.067   0.391   0.390
  119  6000  4.00 -2.00  4.00  1.25  0.00 -17.002 -16.981 -17.336 -17.325 -17.175   1.126   1.125   0.350   0.069   0.287   0.286
  120  6000  4.50 -2.00  4.00  1.25  0.00 -17.046 -17.025 -17.313 -17.313 -17.170   1.069   1.068   0.358   0.071   0.209   0.208
  121  6000  5.00 -2.00  4.00  1.25  0.00 -17.067 -17.046 -17.294 -17.306 -17.172   1.041   1.040   0.366   0.074   0.158   0.157
  122  6250  0.50 -2.00  4.00  1.25  0.00 -16.480 -16.458 -17.898 -17.782 -17.526   2.104   2.104   0.244   0.069   1.476   1.476
  123  6250  1.00 -2.00  4.00  1.25  0.00 -16.601 -16.579 -17.855 -17.753 -17.508   1.954   1.953   0.255   0.072   1.298   1.297
  124  6250  1.50 -2.00  4.00  1.25  0.00 -16.725 -16.704 -17.812 -17.721 -17.488   1.798   1.797   0.266   0.071   1.120   1.119
  125  6250  2.00 -2.00  4.00  1.25  0.00 -16.846 -16.825 -17.768 -17.687 -17.464   1.643   1.642   0.277   0.071   0.945   0.944
  126  6250  2.50 -2.00  4.00  1.25  0.00 -16.959 -16.938 -17.722 -17.651 -17.439   1.494   1.493   0.288   0.070   0.776   0.775
  127  6250  3.00 -2.00  4.00  1.25  0.00 -17.062 -17.040 -17.676 -17.615 -17.413   1.355   1.354   0.299   0.069   0.618   0.617
  128  6250  3.50 -2.00  4.00  1.25  0.00 -17.153 -17.132 -17.634 -17.581 -17.390   1.230   1.229   0.309   0.068   0.475   0.474
  129  6250  4.00 -2.00  4.00  1.25  0.00 -17.232 -17.211 -17.597 -17.553 -17.371   1.123   1.122   0.318   0.068   0.350   0.349
  130  6250  4.50 -2.00  4.00  1.25  0.00 -17.294 -17.273 -17.567 -17.533 -17.359   1.040   1.040   0.326   0.068   0.249   0.248
  131  6250  5.00 -2.00  4.00  1.25  0.00 -17.336 -17.314 -17.545 -17.520 -17.355   0.987   0.986   0.335   0.070   0.176   0.175
  132  6500  0.50 -2.00  4.00  1.25  0.00 -16.675 -16.654 -18.209 -18.030 -17.718   2.157   2.156   0.188   0.061   1.655   1.655
  133  6500  1.00 -2.00  4.00  1.25  0.00 -16.783 -16.762 -18.149 -17.999 -17.707   2.018   2.017   0.208   0.071   1.457   1.456
  134  6500  1.50 -2.00  4.00  1.25  0.00 -16.900 -16.879 -18.095 -17.965 -17.689   1.867   1.867   0.224   0.075   1.267   1.267
  135  6500  2.00 -2.00  4.00  1.25  0.00 -17.018 -16.997 -18.044 -17.928 -17.666   1.712   1.712   0.238   0.076   1.083   1.083
  136  6500  2.50 -2.00  4.00  1.25  0.00 -17.132 -17.111 -17.991 -17.889 -17.640   1.558   1.558   0.251   0.076   0.903   0.902
  137  6500  3.00 -2.00  4.00  1.25  0.00 -17.240 -17.219 -17.938 -17.848 -17.612   1.410   1.409   0.264   0.075   0.730   0.730
  138  6500  3.50 -2.00  4.00  1.25  0.00 -17.338 -17.317 -17.888 -17.808 -17.584   1.272   1.271   0.276   0.074   0.571   0.570
  139  6500  4.00 -2.00  4.00  1.25  0.00 -17.427 -17.406 -17.843 -17.773 -17.559   1.147   1.146   0.287   0.072   0.427   0.426
  140  6500  4.50 -2.00  4.00  1.25  0.00 -17.503 -17.482 -17.805 -17.744 -17.541   1.043   1.042   0.297   0.071   0.305   0.304
  141  6500  5.00 -2.00  4.00  1.25  0.00 -17.562 -17.541 -17.776 -17.724 -17.530   0.964   0.963   0.306   0.071   0.209   0.208
  142  6750  0.50 -2.00  4.00  1.25  0.00 -16.867 -16.845 -18.477 -18.255 -17.900   2.190   2.190   0.145   0.062   1.775   1.774
  143  6750  1.00 -2.00  4.00  1.25  0.00 -16.954 -16.932 -18.434 -18.231 -17.889   2.079   2.079   0.158   0.068   1.626   1.626
  144  6750  1.50 -2.00  4.00  1.25  0.00 -17.061 -17.040 -18.366 -18.196 -17.877   1.937   1.936   0.181   0.078   1.417   1.417
  145  6750  2.00 -2.00  4.00  1.25  0.00 -17.174 -17.152 -18.305 -18.157 -17.856   1.786   1.785   0.199   0.083   1.220   1.220
  146  6750  2.50 -2.00  4.00  1.25  0.00 -17.287 -17.265 -18.246 -18.115 -17.831   1.631   1.630   0.215   0.084   1.031   1.031
  147  6750  3.00 -2.00  4.00  1.25  0.00 -17.397 -17.375 -18.187 -18.071 -17.801   1.476   1.476   0.230   0.083   0.847   0.847
  148  6750  3.50 -2.00  4.00  1.25  0.00 -17.500 -17.479 -18.129 -18.027 -17.770   1.328   1.328   0.244   0.083   0.673   0.673
  149  6750  4.00 -2.00  4.00  1.25  0.00 -17.597 -17.575 -18.076 -17.984 -17.741   1.190   1.189   0.257   0.081   0.513   0.512
  150  6750  4.50 -2.00  4.00  1.25  0.00 -17.683 -17.662 -18.030 -17.948 -17.717   1.067   1.066   0.269   0.078   0.371   0.371
  151  6750  5.00 -2.00  4.00  1.25  0.00 -17.756 -17.734 -17.994 -17.920 -17.699   0.966   0.966   0.279   0.076   0.254   0.254
  152  7000  0.50 -2.00  4.00  1.25  0.00 -17.067 -17.045 -18.705 -18.456 -18.070   2.191   2.191   0.114   0.066   1.829   1.829
  153  7000  1.00 -2.00  4.00  1.25  0.00 -17.127 -17.105 -18.680 -18.440 -18.059   2.115   2.115   0.119   0.070   1.735   1.735
  154  7000  1.50 -2.00  4.00  1.25  0.00 -17.217 -17.195 -18.629 -18.413 -18.047   1.998   1.998   0.134   0.078   1.571   1.571
  155  7000  2.00 -2.00  4.00  1.25  0.00 -17.321 -17.300 -18.555 -18.374 -18.033   1.855   1.855   0.159   0.089   1.356   1.356
  156  7000  2.50 -2.00  4.00  1.25  0.00 -17.430 -17.408 -18.487 -18.331 -18.010   1.703   1.703   0.179   0.094   1.155   1.155
  157  7000  3.00 -2.00  4.00  1.25  0.00 -17.539 -17.517 -18.422 -18.285 -17.981   1.548   1.547   0.197   0.095   0.963   0.962
  158  7000  3.50 -2.00  4.00  1.25  0.00 -17.645 -17.624 -18.359 -18.237 -17.949   1.393   1.393   0.213   0.094   0.779   0.778
  159  7000  4.00 -2.00  4.00  1.25  0.00 -17.747 -17.725 -18.299 -18.190 -17.917   1.245   1.245   0.227   0.092   0.604   0.604
  160  7000  4.50 -2.00  4.00  1.25  0.00 -17.841 -17.819 -18.245 -18.146 -17.887   1.107   1.107   0.241   0.089   0.446   0.445
  161  7000  5.00 -2.00  4.00  1.25  0.00 -17.924 -17.902 -18.201 -18.110 -17.863   0.989   0.988   0.252   0.086   0.310   0.310
  162  7250  0.50 -2.00  4.00  1.25  0.00 -17.288 -17.265 -18.894 -18.631 -18.227   2.146   2.146   0.096   0.071   1.811   1.811
  163  7250  1.00 -2.00  4.00  1.25  0.00 -17.311 -17.289 -18.891 -18.627 -18.218   2.118   2.118   0.091   0.073   1.786   1.786
  164  7250  1.50 -2.00  4.00  1.25  0.00 -17.378 -17.356 -18.856 -18.609 -18.208   2.032   2.032   0.099   0.082   1.668   1.668
  165  7250  2.00 -2.00  4.00  1.25  0.00 -17.467 -17.445 -18.798 -18.578 -18.194   1.913   1.912   0.116   0.092   1.493   1.493
  166  7250  2.50 -2.00  4.00  1.25  0.00 -17.568 -17.546 -18.719 -18.535 -18.178   1.769   1.768   0.143   0.102   1.276   1.276
  167  7250  3.00 -2.00  4.00  1.25  0.00 -17.673 -17.651 -18.646 -18.488 -18.151   1.617   1.616   0.164   0.106   1.074   1.074
  168  7250  3.50 -2.00  4.00  1.25  0.00 -17.779 -17.757 -18.578 -18.438 -18.120   1.461   1.461   0.182   0.107   0.881   0.881
  169  7250  4.00 -2.00  4.00  1.25  0.00 -17.882 -17.861 -18.512 -18.387 -18.086   1.307   1.306   0.198   0.106   0.697   0.696
  170  7250  4.50 -2.00  4.00  1.25  0.00 -17.982 -17.960 -18.451 -18.338 -18.052   1.158   1.158   0.214   0.102   0.525   0.524
  171  7250  5.00 -2.00  4.00  1.25  0.00 -18.073 -18.051 -18.399 -18.295 -18.022   1.025   1.025   0.227   0.099   0.372   0.372
  172  7500  0.50 -2.00  4.00  1.25  0.00 -17.552 -17.529 -19.019 -18.767 -18.368   2.017   2.017   0.102   0.075   1.661   1.662
  173  7500  1.00 -2.00  4.00  1.25  0.00 -17.512 -17.490 -19.070 -18.790 -18.362   2.079   2.079   0.073   0.076   1.780   1.781
  174  7500  1.50 -2.00  4.00  1.25  0.00 -17.552 -17.529 -19.051 -18.781 -18.355   2.031   2.031   0.074   0.084   1.711   1.712
  175  7500  2.00 -2.00  4.00  1.25  0.00 -17.621 -17.599 -19.008 -18.760 -18.344   1.941   1.941   0.084   0.096   1.578   1.578
  176  7500  2.50 -2.00  4.00  1.25  0.00 -17.707 -17.685 -18.943 -18.725 -18.329   1.820   1.820   0.103   0.108   1.396   1.396
  177  7500  3.00 -2.00  4.00  1.25  0.00 -17.805 -17.783 -18.861 -18.679 -18.310   1.677   1.677   0.130   0.117   1.179   1.179
  178  7500  3.50 -2.00  4.00  1.25  0.00 -17.906 -17.884 -18.786 -18.629 -18.281   1.525   1.525   0.152   0.120   0.978   0.978
  179  7500  4.00 -2.00  4.00  1.25  0.00 -18.009 -17.987 -18.715 -18.577 -18.247   1.369   1.369   0.170   0.120   0.786   0.786
  180  7500  4.50 -2.00  4.00  1.25  0.00 -18.111 -18.089 -18.648 -18.524 -18.211   1.215   1.215   0.187   0.118   0.604   0.603
  181  7500  5.00 -2.00  4.00  1.25  0.00 -18.207 -18.185 -18.589 -18.475 -18.177   1.071   1.070   0.202   0.113   0.438   0.438
  182  7750  1.00 -2.00  4.00  1.25  0.00 -17.737 -17.714 -19.211 -18.924 -18.490   1.989   1.990   0.066   0.076   1.703   1.704
