
       Teff log g  [M]a Vturb  l/H   small     big    beta
    1  3500  0.00 -2.00  4.00  1.25 -12.286 -12.286   2.511
    2  3500  0.50 -2.00  4.00  1.25 -12.505 -12.482   2.478
    3  3500  1.00 -2.00  4.00  1.25 -12.672 -12.625   2.446
    4  3500  1.50 -2.00  4.00  1.25 -12.816 -12.759   2.433
    5  3500  2.00 -2.00  4.00  1.25 -12.980 -12.927   2.439
    6  3500  2.50 -2.00  4.00  1.25 -13.122 -13.072   2.442
    7  3500  3.00 -2.00  4.00  1.25 -13.177 -13.121   2.434
    8  3500  3.50 -2.00  4.00  1.25 -13.187 -13.118   2.417
    9  3500  4.00 -2.00  4.00  1.25 -13.174 -13.089   2.394
   10  3500  4.50 -2.00  4.00  1.25 -13.146 -13.038   2.364
   11  3500  5.00 -2.00  4.00  1.25 -13.103 -12.967   2.326
   12  3750  0.00 -2.00  4.00  1.25 -13.243 -13.273   2.550
   13  3750  0.50 -2.00  4.00  1.25 -13.448 -13.464   2.532
   14  3750  1.00 -2.00  4.00  1.25 -13.598 -13.597   2.509
   15  3750  1.50 -2.00  4.00  1.25 -13.701 -13.680   2.481
   16  3750  2.00 -2.00  4.00  1.25 -13.766 -13.728   2.457
   17  3750  2.50 -2.00  4.00  1.25 -13.812 -13.771   2.454
   18  3750  3.00 -2.00  4.00  1.25 -13.864 -13.825   2.457
   19  3750  3.50 -2.00  4.00  1.25 -13.902 -13.860   2.454
   20  3750  4.00 -2.00  4.00  1.25 -13.912 -13.861   2.441
   21  3750  4.50 -2.00  4.00  1.25 -13.902 -13.836   2.421
   22  3750  5.00 -2.00  4.00  1.25 -13.879 -13.794   2.395
   23  4000  0.00 -2.00  4.00  1.25 -13.999 -14.036   2.560
   24  4000  0.50 -2.00  4.00  1.25 -14.173 -14.203   2.550
   25  4000  1.00 -2.00  4.00  1.25 -14.303 -14.324   2.539
   26  4000  1.50 -2.00  4.00  1.25 -14.393 -14.405   2.526
   27  4000  2.00 -2.00  4.00  1.25 -14.453 -14.453   2.510
   28  4000  2.50 -2.00  4.00  1.25 -14.491 -14.476   2.490
   29  4000  3.00 -2.00  4.00  1.25 -14.504 -14.481   2.478
   30  4000  3.50 -2.00  4.00  1.25 -14.510 -14.484   2.475
   31  4000  4.00 -2.00  4.00  1.25 -14.519 -14.490   2.471
   32  4000  4.50 -2.00  4.00  1.25 -14.522 -14.486   2.461
   33  4000  5.00 -2.00  4.00  1.25 -14.514 -14.466   2.445
   34  4250  0.50 -2.00  4.00  1.25 -14.785 -14.815   2.550
   35  4250  0.50 -2.00  4.00  1.25 -14.785 -14.815   2.550
   36  4250  1.00 -2.00  4.00  1.25 -14.884 -14.910   2.544
   37  4250  1.50 -2.00  4.00  1.25 -14.954 -14.975   2.538
   38  4250  2.00 -2.00  4.00  1.25 -15.002 -15.017   2.530
   39  4250  2.50 -2.00  4.00  1.25 -15.034 -15.042   2.521
   40  4250  3.00 -2.00  4.00  1.25 -15.055 -15.055   2.510
   41  4250  3.50 -2.00  4.00  1.25 -15.061 -15.052   2.499
   42  4250  4.00 -2.00  4.00  1.25 -15.054 -15.041   2.492
   43  4250  4.50 -2.00  4.00  1.25 -15.049 -15.031   2.486
   44  4250  5.00 -2.00  4.00  1.25 -15.044 -15.020   2.478
   45  4500  0.00 -2.00  4.00  1.25 -15.231 -15.263   2.553
   46  4500  0.50 -2.00  4.00  1.25 -15.318 -15.346   2.548
   47  4500  1.00 -2.00  4.00  1.25 -15.386 -15.410   2.544
   48  4500  1.50 -2.00  4.00  1.25 -15.433 -15.455   2.540
   49  4500  2.00 -2.00  4.00  1.25 -15.466 -15.485   2.536
   50  4500  2.50 -2.00  4.00  1.25 -15.488 -15.504   2.532
   51  4500  3.00 -2.00  4.00  1.25 -15.503 -15.515   2.526
   52  4500  3.50 -2.00  4.00  1.25 -15.513 -15.520   2.520
