
       Teff log g  [M]a Vturb  l/H  E(B-V)   u       u0      v       b       y       u-b    u0-b     b-y      m1      c1     c10
    1  3500  0.00 -2.00  2.00  1.25  0.00  -8.241  -8.228 -10.472 -12.005 -12.975   4.566   4.557   1.469   0.493   0.638   0.630
    2  3500  0.50 -2.00  2.00  1.25  0.00  -8.647  -8.634 -10.814 -12.258 -13.102   4.413   4.404   1.344   0.529   0.666   0.657
    3  3500  1.00 -2.00  2.00  1.25  0.00  -9.084  -9.072 -11.134 -12.458 -13.191   4.175   4.166   1.234   0.519   0.669   0.660
    4  3500  1.50 -2.00  2.00  1.25  0.00  -9.562  -9.549 -11.422 -12.623 -13.281   3.863   3.854   1.159   0.471   0.602   0.593
    5  3500  2.00 -2.00  2.00  1.25  0.00 -10.023 -10.009 -11.691 -12.794 -13.416   3.573   3.565   1.121   0.411   0.506   0.498
    6  3500  2.50 -2.00  2.00  1.25  0.00 -10.375 -10.360 -11.903 -12.941 -13.533   3.368   3.360   1.093   0.374   0.432   0.425
    7  3500  3.00 -2.00  2.00  1.25  0.00 -10.541 -10.526 -11.983 -12.996 -13.576   3.258   3.251   1.079   0.363   0.371   0.364
    8  3500  3.50 -2.00  2.00  1.25  0.00 -10.603 -10.587 -11.982 -13.003 -13.580   3.202   3.196   1.077   0.374   0.299   0.293
    9  3500  4.00 -2.00  2.00  1.25  0.00 -10.635 -10.619 -11.942 -12.987 -13.567   3.154   3.148   1.080   0.393   0.204   0.199
   10  3500  4.50 -2.00  2.00  1.25  0.00 -10.688 -10.670 -11.894 -12.957 -13.545   3.071   3.067   1.088   0.405   0.084   0.080
   11  3500  5.00 -2.00  2.00  1.25  0.00 -10.768 -10.750 -11.845 -12.915 -13.512   2.948   2.945   1.098   0.401  -0.051  -0.054
   12  3750  0.00 -2.00  2.00  1.25  0.00  -9.730  -9.716 -11.724 -13.034 -13.805   4.106   4.098   1.271   0.468   0.626   0.618
   13  3750  0.50 -2.00  2.00  1.25  0.00 -10.153 -10.139 -12.043 -13.269 -13.918   3.918   3.910   1.148   0.507   0.605   0.597
   14  3750  1.00 -2.00  2.00  1.25  0.00 -10.559 -10.545 -12.310 -13.444 -13.992   3.687   3.679   1.048   0.515   0.559   0.550
   15  3750  1.50 -2.00  2.00  1.25  0.00 -10.906 -10.892 -12.510 -13.563 -14.038   3.458   3.450   0.975   0.506   0.494   0.486
   16  3750  2.00 -2.00  2.00  1.25  0.00 -11.180 -11.165 -12.652 -13.636 -14.067   3.258   3.251   0.931   0.482   0.430   0.423
   17  3750  2.50 -2.00  2.00  1.25  0.00 -11.382 -11.367 -12.751 -13.680 -14.107   3.100   3.093   0.927   0.431   0.383   0.376
   18  3750  3.00 -2.00  2.00  1.25  0.00 -11.544 -11.528 -12.843 -13.726 -14.162   2.985   2.978   0.935   0.377   0.357   0.351
   19  3750  3.50 -2.00  2.00  1.25  0.00 -11.654 -11.638 -12.903 -13.761 -14.199   2.908   2.902   0.939   0.348   0.334   0.328
   20  3750  4.00 -2.00  2.00  1.25  0.00 -11.711 -11.694 -12.916 -13.767 -14.210   2.858   2.853   0.943   0.337   0.297   0.291
   21  3750  4.50 -2.00  2.00  1.25  0.00 -11.755 -11.738 -12.899 -13.754 -14.205   2.802   2.797   0.951   0.334   0.230   0.225
   22  3750  5.00 -2.00  2.00  1.25  0.00 -11.818 -11.800 -12.868 -13.730 -14.190   2.714   2.710   0.960   0.331   0.129   0.125
   23  4000  0.00 -2.00  2.00  1.25  0.00 -10.965 -10.950 -12.765 -13.839 -14.457   3.676   3.669   1.117   0.386   0.667   0.660
   24  4000  0.50 -2.00  2.00  1.25  0.00 -11.392 -11.377 -13.062 -14.044 -14.550   3.454   3.448   1.005   0.406   0.630   0.624
   25  4000  1.00 -2.00  2.00  1.25  0.00 -11.795 -11.780 -13.304 -14.198 -14.611   3.205   3.198   0.913   0.410   0.557   0.551
   26  4000  1.50 -2.00  2.00  1.25  0.00 -12.130 -12.114 -13.481 -14.304 -14.648   2.976   2.970   0.844   0.408   0.470   0.464
   27  4000  2.00 -2.00  2.00  1.25  0.00 -12.372 -12.356 -13.596 -14.372 -14.671   2.802   2.797   0.798   0.407   0.390   0.385
   28  4000  2.50 -2.00  2.00  1.25  0.00 -12.514 -12.497 -13.658 -14.412 -14.685   2.700   2.695   0.773   0.410   0.331   0.326
   29  4000  3.00 -2.00  2.00  1.25  0.00 -12.570 -12.553 -13.678 -14.419 -14.696   2.651   2.646   0.777   0.393   0.309   0.305
   30  4000  3.50 -2.00  2.00  1.25  0.00 -12.593 -12.576 -13.690 -14.414 -14.713   2.623   2.618   0.799   0.354   0.316   0.311
   31  4000  4.00 -2.00  2.00  1.25  0.00 -12.630 -12.613 -13.710 -14.414 -14.731   2.586   2.582   0.817   0.316   0.318   0.313
   32  4000  4.50 -2.00  2.00  1.25  0.00 -12.671 -12.653 -13.721 -14.412 -14.741   2.544   2.539   0.829   0.292   0.300   0.296
   33  4000  5.00 -2.00  2.00  1.25  0.00 -12.715 -12.697 -13.714 -14.401 -14.741   2.489   2.485   0.839   0.277   0.255   0.250
   34  4250  0.50 -2.00  2.00  1.25  0.00 -12.439 -12.423 -13.916 -14.688 -15.073   3.051   3.045   0.885   0.316   0.646   0.641
   35  4250  0.50 -2.00  2.00  1.25  0.00 -12.439 -12.423 -13.916 -14.688 -15.073   3.051   3.045   0.885   0.316   0.646   0.641
   36  4250  1.00 -2.00  2.00  1.25  0.00 -12.798 -12.781 -14.116 -14.809 -15.118   2.813   2.808   0.809   0.313   0.568   0.562
   37  4250  1.50 -2.00  2.00  1.25  0.00 -13.096 -13.079 -14.263 -14.894 -15.145   2.601   2.596   0.751   0.310   0.478   0.473
   38  4250  2.00 -2.00  2.00  1.25  0.00 -13.314 -13.297 -14.360 -14.951 -15.161   2.439   2.434   0.710   0.309   0.397   0.393
   39  4250  2.50 -2.00  2.00  1.25  0.00 -13.451 -13.433 -14.416 -14.987 -15.172   2.338   2.334   0.685   0.315   0.336   0.332
   40  4250  3.00 -2.00  2.00  1.25  0.00 -13.513 -13.495 -14.438 -15.007 -15.179   2.296   2.292   0.672   0.326   0.298   0.294
   41  4250  3.50 -2.00  2.00  1.25  0.00 -13.511 -13.492 -14.431 -15.007 -15.185   2.299   2.295   0.677   0.328   0.286   0.283
   42  4250  4.00 -2.00  2.00  1.25  0.00 -13.488 -13.470 -14.418 -14.991 -15.189   2.305   2.301   0.698   0.305   0.298   0.294
   43  4250  4.50 -2.00  2.00  1.25  0.00 -13.487 -13.469 -14.413 -14.977 -15.195   2.291   2.288   0.718   0.274   0.305   0.302
   44  4250  5.00 -2.00  2.00  1.25  0.00 -13.509 -13.490 -14.414 -14.965 -15.199   2.258   2.255   0.734   0.246   0.295   0.292
   45  4500  0.00 -2.00  2.00  1.25  0.00 -13.070 -13.054 -14.491 -15.144 -15.483   2.876   2.871   0.838   0.244   0.710   0.704
