
       Teff log g  [M]a Vturb  l/H   small     big    beta
    1  3500  0.00 -2.00  1.00  1.25 -12.339 -12.339   2.511
    2  3500  0.50 -2.00  1.00  1.25 -12.558 -12.538   2.483
    3  3500  1.00 -2.00  1.00  1.25 -12.725 -12.685   2.456
    4  3500  1.50 -2.00  1.00  1.25 -12.864 -12.815   2.444
    5  3500  2.00 -2.00  1.00  1.25 -13.019 -12.973   2.447
    6  3500  2.50 -2.00  1.00  1.25 -13.153 -13.108   2.448
    7  3500  3.00 -2.00  1.00  1.25 -13.204 -13.153   2.441
    8  3500  3.50 -2.00  1.00  1.25 -13.211 -13.149   2.426
    9  3500  4.00 -2.00  1.00  1.25 -13.199 -13.122   2.405
   10  3500  4.50 -2.00  1.00  1.25 -13.175 -13.079   2.379
   11  3500  5.00 -2.00  1.00  1.25 -13.138 -13.017   2.346
   12  3750  0.00 -2.00  1.00  1.25 -13.290 -13.315   2.544
   13  3750  0.50 -2.00  1.00  1.25 -13.493 -13.505   2.527
   14  3750  1.00 -2.00  1.00  1.25 -13.640 -13.637   2.506
   15  3750  1.50 -2.00  1.00  1.25 -13.739 -13.718   2.482
   16  3750  2.00 -2.00  1.00  1.25 -13.800 -13.764   2.461
   17  3750  2.50 -2.00  1.00  1.25 -13.839 -13.801   2.458
   18  3750  3.00 -2.00  1.00  1.25 -13.885 -13.849   2.460
   19  3750  3.50 -2.00  1.00  1.25 -13.919 -13.880   2.457
   20  3750  4.00 -2.00  1.00  1.25 -13.926 -13.880   2.447
   21  3750  4.50 -2.00  1.00  1.25 -13.917 -13.858   2.429
   22  3750  5.00 -2.00  1.00  1.25 -13.897 -13.820   2.406
   23  4000  0.00 -2.00  1.00  1.25 -14.033 -14.066   2.556
   24  4000  0.50 -2.00  1.00  1.25 -14.206 -14.233   2.547
   25  4000  1.00 -2.00  1.00  1.25 -14.333 -14.353   2.536
   26  4000  1.50 -2.00  1.00  1.25 -14.420 -14.430   2.523
   27  4000  2.00 -2.00  1.00  1.25 -14.476 -14.475   2.509
   28  4000  2.50 -2.00  1.00  1.25 -14.511 -14.497   2.491
   29  4000  3.00 -2.00  1.00  1.25 -14.520 -14.498   2.480
   30  4000  3.50 -2.00  1.00  1.25 -14.521 -14.497   2.477
   31  4000  4.00 -2.00  1.00  1.25 -14.527 -14.501   2.474
   32  4000  4.50 -2.00  1.00  1.25 -14.529 -14.496   2.466
   33  4000  5.00 -2.00  1.00  1.25 -14.521 -14.478   2.451
   34  4250  0.50 -2.00  1.00  1.25 -14.803 -14.833   2.551
   35  4250  0.50 -2.00  1.00  1.25 -14.803 -14.833   2.551
   36  4250  1.00 -2.00  1.00  1.25 -14.901 -14.927   2.545
   37  4250  1.50 -2.00  1.00  1.25 -14.970 -14.990   2.538
   38  4250  2.00 -2.00  1.00  1.25 -15.015 -15.030   2.531
   39  4250  2.50 -2.00  1.00  1.25 -15.045 -15.054   2.522
   40  4250  3.00 -2.00  1.00  1.25 -15.064 -15.064   2.511
   41  4250  3.50 -2.00  1.00  1.25 -15.067 -15.060   2.500
   42  4250  4.00 -2.00  1.00  1.25 -15.059 -15.048   2.494
   43  4250  4.50 -2.00  1.00  1.25 -15.052 -15.037   2.489
   44  4250  5.00 -2.00  1.00  1.25 -15.046 -15.025   2.481
   45  4500  0.00 -2.00  1.00  1.25 -15.240 -15.273   2.554
   46  4500  0.50 -2.00  1.00  1.25 -15.326 -15.355   2.550
   47  4500  1.00 -2.00  1.00  1.25 -15.392 -15.419   2.547
   48  4500  1.50 -2.00  1.00  1.25 -15.439 -15.463   2.543
   49  4500  2.00 -2.00  1.00  1.25 -15.470 -15.491   2.539
   50  4500  2.50 -2.00  1.00  1.25 -15.491 -15.509   2.534
   51  4500  3.00 -2.00  1.00  1.25 -15.506 -15.520   2.529
   52  4500  3.50 -2.00  1.00  1.25 -15.515 -15.524   2.522
   53  4500  4.00 -2.00  1.00  1.25 -15.516 -15.519   2.514
   54  4500  4.50 -2.00  1.00  1.25 -15.509 -15.508   2.509
   55  4500  5.00 -2.00  1.00  1.25 -15.499 -15.494   2.503
   56  4750  0.00 -2.00  1.00  1.25 -15.740 -15.773   2.555
   57  4750  0.50 -2.00  1.00  1.25 -15.787 -15.817   2.551
   58  4750  1.00 -2.00  1.00  1.25 -15.823 -15.851   2.548
   59  4750  1.50 -2.00  1.00  1.25 -15.849 -15.875   2.545
   60  4750  2.00 -2.00  1.00  1.25 -15.866 -15.890   2.542
   61  4750  2.50 -2.00  1.00  1.25 -15.878 -15.899   2.540
   62  4750  3.00 -2.00  1.00  1.25 -15.886 -15.906   2.537
   63  4750  3.50 -2.00  1.00  1.25 -15.893 -15.910   2.533
   64  4750  4.00 -2.00  1.00  1.25 -15.896 -15.911   2.529
   65  4750  4.50 -2.00  1.00  1.25 -15.895 -15.906   2.525
   66  4750  5.00 -2.00  1.00  1.25 -15.889 -15.897   2.521
   67  5000  0.00 -2.00  1.00  1.25 -16.164 -16.203   2.563
   68  5000  0.50 -2.00  1.00  1.25 -16.185 -16.220   2.557
   69  5000  1.00 -2.00  1.00  1.25 -16.200 -16.232   2.553
   70  5000  1.50 -2.00  1.00  1.25 -16.209 -16.238   2.549
   71  5000  2.00 -2.00  1.00  1.25 -16.214 -16.241   2.547
   72  5000  2.50 -2.00  1.00  1.25 -16.216 -16.242   2.545
   73  5000  3.00 -2.00  1.00  1.25 -16.219 -16.243   2.542
   74  5000  3.50 -2.00  1.00  1.25 -16.222 -16.245   2.540
   75  5000  4.00 -2.00  1.00  1.25 -16.225 -16.245   2.538
   76  5000  4.50 -2.00  1.00  1.25 -16.225 -16.245   2.536
   77  5000  5.00 -2.00  1.00  1.25 -16.223 -16.241   2.534
   78  5250  0.00 -2.00  1.00  1.25 -16.525 -16.572   2.575
   79  5250  0.50 -2.00  1.00  1.25 -16.529 -16.572   2.569
   80  5250  1.00 -2.00  1.00  1.25 -16.529 -16.569   2.564
