
       Teff log g  [M]a Vturb  l/H   small     big    beta
   86  5250  4.00 -2.00  2.00  1.25 -16.511 -16.537   2.545
   87  5250  4.50 -2.00  2.00  1.25 -16.512 -16.538   2.544
   88  5250  5.00 -2.00  2.00  1.25 -16.512 -16.537   2.544
   89  5500  0.00 -2.00  2.00  1.25 -16.835 -16.895   2.591
   90  5500  0.50 -2.00  2.00  1.25 -16.828 -16.883   2.585
   91  5500  1.00 -2.00  2.00  1.25 -16.819 -16.870   2.579
   92  5500  1.50 -2.00  2.00  1.25 -16.807 -16.854   2.574
   93  5500  2.00 -2.00  2.00  1.25 -16.794 -16.837   2.569
   94  5500  2.50 -2.00  2.00  1.25 -16.781 -16.822   2.565
   95  5500  3.00 -2.00  2.00  1.25 -16.771 -16.809   2.561
   96  5500  3.50 -2.00  2.00  1.25 -16.766 -16.802   2.558
   97  5500  4.00 -2.00  2.00  1.25 -16.766 -16.799   2.556
   98  5500  4.50 -2.00  2.00  1.25 -16.767 -16.800   2.554
   99  5500  5.00 -2.00  2.00  1.25 -16.768 -16.800   2.553
  100  5750  0.00 -2.00  2.00  1.25 -17.114 -17.187   2.610
  101  5750  0.50 -2.00  2.00  1.25 -17.099 -17.168   2.605
  102  5750  1.00 -2.00  2.00  1.25 -17.082 -17.148   2.599
  103  5750  1.50 -2.00  2.00  1.25 -17.064 -17.126   2.594
  104  5750  2.00 -2.00  2.00  1.25 -17.045 -17.102   2.588
  105  5750  2.50 -2.00  2.00  1.25 -17.026 -17.080   2.583
  106  5750  3.00 -2.00  2.00  1.25 -17.010 -17.060   2.578
  107  5750  3.50 -2.00  2.00  1.25 -16.999 -17.045   2.574
  108  5750  4.00 -2.00  2.00  1.25 -16.993 -17.038   2.570
  109  5750  4.50 -2.00  2.00  1.25 -16.994 -17.036   2.567
  110  5750  5.00 -2.00  2.00  1.25 -16.995 -17.036   2.565
  111  6000  0.00 -2.00  2.00  1.25 -17.365 -17.454   2.630
  112  6000  0.50 -2.00  2.00  1.25 -17.344 -17.431   2.627
  113  6000  1.00 -2.00  2.00  1.25 -17.323 -17.406   2.623
  114  6000  1.50 -2.00  2.00  1.25 -17.300 -17.379   2.618
  115  6000  2.00 -2.00  2.00  1.25 -17.276 -17.351   2.612
